"country","countryiso3","latest.year_birthrate.2054","latest.value_birthrate.2054"
"Seychelles","SYC",2020,13.7
"Sierra Leone","SLE",2020,36.3
"Singapore","SGP",2020,8.6
"Sint Maarten","SXM",2020,13.1
"Slovakia","SVK",2020,9.7
"Slovenia","SVN",2020,8.2
"Solomon Islands","SLB",2020,24.9
"Somalia","SOM",2020,39.6
"South Africa","ZAF",2020,20.2
"South Sudan","SSD",2020,35.5
"Spain","ESP",2020,9.2
"Sri Lanka","LKA",2020,15.2
"Sudan","SDN",2020,27.9
"Suriname","SUR",2020,15.8
"Sweden","SWE",2020,12.1
"Switzerland","CHE",2020,10.5
"Syria","SYR",2020,21.2
"Taiwan","TWN",2020,8.3
"Tajikistan","TJK",2020,23.3
"Tanzania","TZA",2020,35.6
"Thailand","THA",2020,11
"Timor-Leste","TLS",2020,33.4
"Togo","TGO",2020,33.3
"Tonga","TON",2020,22.2
"Trinidad and Tobago","TTO",2020,12.7
"Tunisia","TUN",2020,18.2
"Turkey","TUR",2020,15.7
"Turkmenistan","TKM",2020,19.1
"Turks and Caicos Islands","TCA",2020,15.3
"Tuvalu","TUV",2020,23.7
"Uganda","UGA",2020,42.9
"Ukraine","UKR",2020,10.3
"United Arab Emirates","ARE",2020,15.1
"United Kingdom","GBR",2020,12.1
"United States","USA",2020,12.5
"Uruguay","URY",2020,13
"Uzbekistan","UZB",2020,16.8
"Vanuatu","VUT",2020,24
"Venezuela","VEN",2020,18.8
"Vietnam","VNM",2020,15.5
"Virgin Islands","VIR",2020,12.8
"Wallis and Futuna","WLF",2020,13.2
"West Bank","PSE",2020,26.3
"Western Sahara","ESH",2020,29.3
"Yemen","YEM",2020,28.4
"Zambia","ZMB",2020,41.5
"Zimbabwe","ZWE",2020,34.2
