"country","countryiso3","birthrate.2054_2020"
"Macau","MAC",8.6
"San Marino","SMR",8.6
"Greece","GRC",8.4
"Taiwan","TWN",8.3
"Korea, South","KOR",8.3
"Slovenia","SVN",8.2
"Puerto Rico","PRI",8.1
"Japan","JPN",7.7
"Andorra","AND",7.5
"Saint Pierre and Miquelon","SPM",7.1
"Monaco","MCO",6.6
