"country","countryiso3","FP.CPI.TOTL.ZG_2013","FP.CPI.TOTL.ZG_2014","FP.CPI.TOTL.ZG_2015","FP.CPI.TOTL.ZG_2016","FP.CPI.TOTL.ZG_2017","FP.CPI.TOTL.ZG_2018","FP.CPI.TOTL.ZG_2019"
"Afghanistan","AFG",7.38577178397857,4.67399603536339,-0.661709164713696,4.38389195513914,4.9759515055383,0.626149149168811,2.30237251516844
"Albania","ALB",1.93761754903872,1.62586504402605,1.89617402592348,1.27543168367409,1.98666133171194,2.02805963071135,1.41109078954244
"Algeria","DZA",3.25423910998847,2.91692692067457,4.78444700693894,6.39769480268749,5.59111590961673,4.26999020467078,1.95176821052894
"Angola","AGO",8.77781429332602,7.28038730361085,-21.5316935224401,32.377734069638,31.6916861406483,20.1903737898383,17.1453199427872
"Antigua and Barbuda","ATG",1.05949782356168,1.0894415743536,0.968993458825599,-0.489437796230513,2.43248789041366,1.20715793367003,NA
"Arab World","ARB",3.23810833914066,2.77288525741935,1.81407723937757,2.06884036053476,1.96682557818839,2.45814158007533,1.33601568147653
"Argentina","ARG",NA,NA,NA,NA,NA,34.2772237131008,53.5483043492342
"Armenia","ARM",5.78966778544654,2.98130868933673,3.73169119261695,-1.40360755900906,0.969553268816231,2.52023382001631,1.44344660770702
"Aruba","ABW",-2.37206524252253,0.42144091888116,0.474763597342612,-0.931195987079616,-1.02828178762002,3.62604141352956,4.25746204335428
"Australia","AUS",2.44988864142539,2.48792270531403,1.50836672165921,1.27699094497328,1.94864740944522,1.91140094445692,1.61076787290379
"Austria","AUT",2.00015891157196,1.60580414549751,0.896565315628228,0.891592367302732,2.08126858275521,1.99838187702266,1.53089553422702
"Azerbaijan","AZE",2.41886988429669,1.38972635776452,4.00943826686826,12.4494955236962,12.9399841146895,2.26351685730081,2.60833956534685
"Bahamas, The","BHS",1.03467035109885,47.775962542527,-30.2431602281729,-0.330038395555927,1.49992623313609,2.26751510061695,2.49123527368055
"Bahrain","BHR",3.30100613853474,2.64629146477823,1.83951987503599,2.80059469750482,1.3873437602251,2.08481249596594,NA
"Bangladesh","BGD",7.53040640913171,6.99163889220854,6.19428022984988,5.5135257269299,5.70207015717245,5.5436213948647,5.59199639930633
"Barbados","BRB",1.81410436049101,1.76950322089726,-1.11278992510961,1.28192813061894,4.66018463955997,3.67381410406798,4.10028964518463
"Belarus","BLR",18.3122610377873,18.1195543526734,13.5344897649734,11.8365807653497,6.03183725177789,4.87230220550687,5.59815595039853
"Belgium","BEL",1.11309594027537,0.340002833356965,0.561429152790106,1.97385264653172,2.12597086002609,2.05316499865181,1.43681956996435
"Benin","BEN",0.428888888888863,-0.548757550948147,0.218785923536177,-0.794050173906725,1.76941247391975,0.848806254600014,-0.915681572864915
"Bhutan","BTN",7.00666666666705,8.27106093949327,4.54814395082202,3.21988689395718,4.9550836698513,2.72396386183716,2.72582104307304
"Bolivia","BOL",5.73640023719613,5.7666007457914,4.05961041135646,3.62321431764138,2.8227580554717,2.27205987230148,1.83954504969032
"Bosnia and Herzegovina","BIH",-0.093045683831828,-0.897194054194286,-1.03602303425476,-1.58409999999997,0.810133321953047,1.41710814018026,0.562782154061303
"Botswana","BWA",5.8846070705681,4.40225309243433,3.06203169580559,2.81495791361944,3.30828076768219,3.2380155894771,2.7728644286333
"Brazil","BRA",6.204310666401,6.32904015516142,9.02990102416129,8.73914352329393,3.44637335032672,3.66485028376724,3.73297621216894
"Brunei Darussalam","BRN",0.389205053123613,-0.207108731719878,-0.488347420743486,-0.278693265753062,-1.26050564628963,1.02505179290213,-0.390522069165492
"Bulgaria","BGR",0.890093540913032,-1.41818380264842,-0.104633261008417,-0.798749090253956,2.06435506312528,2.81186840582685,3.10372944796774
"Burkina Faso","BFA",0.533738507090537,-0.258089517535353,0.724838981070599,0.441041448058759,1.48299897161327,1.95594302672532,-3.23338933983321
"Burundi","BDI",7.93795807492412,4.4053523418529,5.54468891259786,5.55768961400965,16.0525353030392,-2.8146980766847,-0.686772170797229
"Cabo Verde","CPV",1.50654285701402,-0.238778144990616,0.131187999024475,-1.40781637091703,0.784415251101353,1.25699566690509,1.10666656494144
"Cambodia","KHM",2.94260015985048,3.85523855347909,1.22127006080706,3.04541464017088,2.8909246921058,2.45796490023179,NA
"Cameroon","CMR",2.05034718001742,1.85489850366776,2.67623531419902,0.874190383288843,0.640409149881981,1.06885811312916,2.45280214062733
"Canada","CAN",0.93829189781521,1.90663590717873,1.12524136094279,1.4287595470108,1.5968841285297,2.268225672481,1.94926902411596
"Caribbean small states","CSS",1.28950196459005,1.42947239762543,-0.914068094075413,0.4889121436193,1.89252027849556,1.28284288443518,NA
"Cayman Islands","CYM",2.16061146813395,1.27397911533384,-2.34752770165614,-0.625258358618114,NA,NA,NA
"Central Europe and the Baltics","CEB",1.43829787234043,0.0538213132400467,-0.464499004645002,-0.0549995416704911,2.07593553673862,2.53445424186602,2.66456133425443
"Chad","TCD",0.222671564624589,1.68197313925659,4.3771266506566,-0.792440525236028,-1.53709962980847,4.27462198610544,-0.971939175419353
"Chile","CHL",1.78955553984587,4.71867527854671,4.3487735321705,3.78619355893115,2.18271846868523,2.43488981353058,2.55754475703323
"China","CHN",2.62104902701091,1.92164341593894,1.4370245139476,2.00000000000002,1.59313725490194,2.07478890229193,2.89923579925941
"Colombia","COL",2.01809847891195,2.89781874427855,4.99023427513779,7.51429322788323,4.3121410323773,3.24023413752975,3.52549273618952
"Comoros","COM",-4.29487331536753,NA,NA,NA,NA,NA,NA
