"country","countryiso3","latest.year_lifeexpectancy.2102","latest.value_lifeexpectancy.2102"
"Singapore","SGP",2020,85.2
"Sint Maarten","SXM",2020,78.3
"Slovakia","SVK",2020,77.3
"Slovenia","SVN",2020,78.3
"Solomon Islands","SLB",2020,75.6
"Somalia","SOM",2020,52.8
"South Africa","ZAF",2020,63.8
"Spain","ESP",2020,81.8
"Sri Lanka","LKA",2020,76.9
"Sudan","SDN",2020,64.4
"Suriname","SUR",2020,72.5
"Sweden","SWE",2020,82.1
"Switzerland","CHE",2020,82.6
"Syria","SYR",2020,75.1
"Taiwan","TWN",2020,80.2
"Tajikistan","TJK",2020,68.1
"Tanzania","TZA",2020,62.6
"Thailand","THA",2020,74.9
"Timor-Leste","TLS",2020,68.4
"Togo","TGO",2020,65.4
"Tonga","TON",2020,76.4
"Trinidad and Tobago","TTO",2020,73.1
"Tunisia","TUN",2020,75.7
"Turkey","TUR",2020,75
"Turkmenistan","TKM",2020,70.4
"Turks and Caicos Islands","TCA",2020,80
"Tuvalu","TUV",2020,66.9
"Uganda","UGA",2020,55.9
"Ukraine","UKR",2020,72.1
"United Arab Emirates","ARE",2020,77.7
"United Kingdom","GBR",2020,80.8
"United States","USA",2020,80
"Uruguay","URY",2020,77.4
"Uzbekistan","UZB",2020,74
"Vanuatu","VUT",2020,73.7
"Venezuela","VEN",2020,76
"Vietnam","VNM",2020,73.7
"Virgin Islands","VIR",2020,79.4
"Wallis and Futuna","WLF",2020,79.8
"West Bank","PSE",2020,75.2
"Western Sahara","ESH",2020,63.4
"Yemen","YEM",2020,65.9
"Zambia","ZMB",2020,52.7
"Zimbabwe","ZWE",2020,60.4
