"country","countryiso3","1 yes 0 no_electoral_demo.28902_2013","1 yes 0 no_electoral_demo.28902_2014","1 yes 0 no_electoral_demo.28902_2015","1 yes 0 no_electoral_demo.28902_2016","1 to 7 scale_civil_libert.40985_2013","1 to 7 scale_civil_libert.40985_2014","1 to 7 scale_civil_libert.40985_2015","1 to 7 scale_civil_libert.40985_2016","1 to 7 scale_civil_libert.40985_2017","1 to 7 scale_civil_libert.40985_2018","1 to 7 scale_political_ri.40986_2013","1 to 7 scale_political_ri.40986_2014","1 to 7 scale_political_ri.40986_2015","1 to 7 scale_political_ri.40986_2016","1 to 7 scale_political_ri.40986_2017","1 to 7 scale_political_ri.40986_2018","1 to 3 scale_freedom_stat.40987_2013","1 to 3 scale_freedom_stat.40987_2014","1 to 3 scale_freedom_stat.40987_2015","1 to 3 scale_freedom_stat.40987_2016","1 to 3 scale_freedom_stat.40987_2017","1 to 3 scale_freedom_stat.40987_2018"
"Equatorial Guinea","GNQ",0,0,0,0,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Greece","GRC",1,1,1,1,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Grenada","GRD",1,1,1,1,20899,20899,20899,20899,20899,20899,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Guatemala","GTM",1,1,1,1,66165,66165,66165,66165,66165,66165,37943,37943,37943,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Guyana","GUY",1,1,1,1,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Honduras","HND",1,1,0,0,66165,66165,66165,66165,66165,66165,66165,66165,66165,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Croatia","HRV",1,1,1,1,20899,20899,20899,20899,20899,20899,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Haiti","HTI",0,0,0,0,91179,91179,91179,91179,91179,91179,66165,66165,91179,91179,91179,91179,20899,20899,20899,20899,20899,20899
"Hungary","HUN",1,1,1,1,20899,20899,20899,20899,20899,20899,14341,14341,20899,20899,37943,37943,37943,37943,37943,37943,37943,37943
"Indonesia","IDN",1,1,1,1,37943,66165,66165,66165,66165,66165,20899,20899,20899,20899,20899,20899,37943,20899,20899,20899,20899,20899
"India","IND",1,1,1,1,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Ireland","IRL",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Iran, Islamic Rep.","IRN",0,0,0,0,107856,107856,107856,107856,107856,107856,107856,107856,107856,107856,107856,107856,14341,14341,14341,14341,14341,14341
"Iraq","IRQ",0,0,0,0,107856,107856,107856,107856,107856,107856,107856,91179,107856,91179,91179,91179,14341,14341,14341,14341,14341,14341
"Iceland","ISL",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Israel","ISR",1,1,1,1,20899,20899,20899,20899,20899,37943,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Italy","ITA",1,1,1,1,14341,14341,14341,14341,14341,14341,20899,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Jamaica","JAM",1,1,1,1,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Jordan","JOR",0,0,0,0,91179,91179,91179,91179,91179,91179,107856,107856,107856,107856,91179,91179,14341,14341,14341,14341,20899,20899
"Japan","JPN",1,1,1,1,20899,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Kazakhstan","KAZ",0,0,0,0,91179,91179,91179,91179,91179,91179,107856,107856,107856,107856,116464,116464,14341,14341,14341,14341,14341,14341
"Kenya","KEN",1,1,1,1,66165,66165,66165,66165,66165,66165,66165,66165,66165,66165,66165,66165,20899,20899,20899,20899,20899,20899
"Kyrgyz Republic","KGZ",0,0,0,0,91179,91179,91179,91179,91179,91179,91179,91179,91179,91179,91179,91179,20899,20899,20899,20899,20899,20899
"Cambodia","KHM",0,0,0,0,91179,91179,91179,91179,91179,91179,107856,107856,107856,107856,107856,107856,14341,14341,14341,14341,14341,14341
"Kiribati","KIR",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"St. Kitts and Nevis","KNA",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,20899,14341,14341,37943,37943,37943,37943,37943,37943
"Korea, Rep.","KOR",1,1,1,1,20899,20899,20899,20899,20899,20899,14341,20899,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943
"Kosovo","KSV",0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kuwait","KWT",0,0,0,0,91179,91179,91179,91179,91179,91179,91179,91179,91179,91179,91179,91179,20899,20899,20899,20899,20899,20899
"Lao PDR","LAO",0,0,0,0,107856,107856,107856,107856,107856,107856,116464,116464,116464,116464,116464,116464,14341,14341,14341,14341,14341,14341
"Lebanon","LBN",0,0,0,0,66165,66165,66165,66165,66165,66165,91179,91179,91179,91179,91179,107856,20899,20899,20899,20899,20899,20899
"Liberia","LBR",1,1,1,1,66165,66165,66165,66165,66165,37943,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Libya","LBY",1,0,0,0,91179,91179,107856,107856,107856,107856,66165,66165,107856,107856,116464,116464,20899,20899,14341,14341,14341,14341
"St. Lucia","LCA",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Liechtenstein","LIE",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,20899,20899,37943,37943,37943,37943,37943,37943
"Sri Lanka","LKA",0,0,1,1,66165,66165,91179,66165,66165,66165,91179,91179,91179,66165,37943,37943,20899,20899,20899,20899,20899,20899
"Lesotho","LSO",1,1,1,1,37943,37943,37943,37943,37943,37943,20899,20899,20899,37943,37943,37943,37943,37943,37943,20899,20899,20899
"Lithuania","LTU",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Luxembourg","LUX",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
"Latvia","LVA",1,1,1,1,20899,20899,20899,20899,20899,20899,20899,20899,20899,20899,14341,20899,37943,37943,37943,37943,37943,37943
"Morocco","MAR",0,0,0,0,66165,66165,66165,66165,66165,91179,91179,91179,91179,91179,91179,91179,20899,20899,20899,20899,20899,20899
"Monaco","MCO",1,1,1,1,14341,14341,14341,14341,14341,14341,20899,20899,20899,20899,37943,37943,37943,37943,37943,37943,37943,37943
"Moldova","MDA",1,1,1,1,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Madagascar","MDG",0,1,1,1,66165,66165,66165,66165,66165,66165,107856,91179,66165,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Maldives","MDV",0,1,0,0,66165,66165,66165,91179,91179,91179,91179,66165,66165,66165,91179,91179,20899,20899,20899,20899,20899,20899
"Mexico","MEX",1,1,1,1,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,37943,20899,20899,20899,20899,20899,20899
"Marshall Islands","MHL",1,1,1,1,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,14341,37943,37943,37943,37943,37943,37943
