"variable","description"
"Value.28134","Value Adult literacy rate, population 15+ years, gender parity index (GPI)"
"Percent.28135","Percent Barro-Lee: Percentage of female population age 15+ with primary schooling. Completed Primary"
"Percent.28136","Percent Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary"
"Percent.28137","Percent Barro-Lee: Percentage of female population age 15+ with secondary schooling. Completed Secondary"
"Percent.28138","Percent Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary"
"Percent.28139","Percent Barro-Lee: Percentage of female population age 15+ with tertiary schooling. Completed Tertiary"
"Percent.28140","Percent Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary"
