"country","countryiso3","fertilityrate.2127_2020"
"Saint Pierre and Miquelon","SPM",1.57
"Moldova","MDA",1.57
"Guernsey","GGY",1.56
"Switzerland","CHE",1.56
"Malta","MLT",1.55
"Ukraine","UKR",1.54
"Portugal","PRT",1.53
"Monaco","MCO",1.53
"Thailand","THA",1.52
"Albania","ALB",1.51
"Latvia","LVA",1.51
"Spain","ESP",1.5
"San Marino","SMR",1.5
"Belarus","BLR",1.48
"Cyprus","CYP",1.47
"Austria","AUT",1.47
"Bulgaria","BGR",1.46
"Czechia","CZE",1.45
"Hungary","HUN",1.45
"Germany","DEU",1.45
"Italy","ITA",1.44
"Serbia","SRB",1.44
"Greece","GRC",1.43
"Japan","JPN",1.41
"Slovakia","SVK",1.41
"Croatia","HRV",1.4
"Andorra","AND",1.4
"Slovenia","SVN",1.36
"Romania","ROU",1.35
"Poland","POL",1.35
"Montserrat","MSR",1.33
"Bosnia and Herzegovina","BIH",1.3
"British Virgin Islands","VGB",1.29
"Korea, South","KOR",1.26
"Puerto Rico","PRI",1.22
"Hong Kong","HKG",1.19
"Taiwan","TWN",1.13
"Macau","MAC",0.95
"Singapore","SGP",0.83
