"country","countryiso3","latest.year_fertilityrate.2127","latest.value_fertilityrate.2127"
"Gambia, The","GMB",2020,3.52
"Gaza Strip","PSE",2020,4.13
"Georgia","GEO",2020,1.76
"Germany","DEU",2020,1.45
"Ghana","GHA",2020,4
"Gibraltar","GIB",2020,1.9
"Greece","GRC",2020,1.43
"Greenland","GRL",2020,1.99
"Grenada","GRD",2020,2.02
"Guam","GUM",2020,2.96
"Guatemala","GTM",2020,2.77
"Guernsey","GGY",2020,1.56
"Guinea","GIN",2020,4.77
"Guinea-Bissau","GNB",2020,4.09
"Guyana","GUY",2020,2
"Haiti","HTI",2020,2.72
"Honduras","HND",2020,2.67
"Hong Kong","HKG",2020,1.19
"Hungary","HUN",2020,1.45
"Iceland","ISL",2020,2
"India","IND",2020,2.43
"Indonesia","IDN",2020,2.11
"Iran","IRN",2020,1.97
"Iraq","IRQ",2020,4
"Ireland","IRL",2020,1.97
"Isle of Man","IMN",2020,1.92
"Israel","ISR",2020,2.64
"Italy","ITA",2020,1.44
"Jamaica","JAM",2020,1.96
"Japan","JPN",2020,1.41
"Jersey","JEY",2020,1.66
"Jordan","JOR",2020,3.19
"Kazakhstan","KAZ",2020,2.25
"Kenya","KEN",2020,2.98
"Kiribati","KIR",2020,2.39
"Korea, North","PRK",2020,1.95
"Korea, South","KOR",2020,1.26
"Kuwait","KWT",2020,2.4
"Kyrgyzstan","KGZ",2020,2.61
"Laos","LAO",2020,2.7
"Latvia","LVA",2020,1.51
"Lebanon","LBN",2020,1.72
"Lesotho","LSO",2020,2.63
"Liberia","LBR",2020,5.06
"Libya","LBY",2020,2.04
"Liechtenstein","LIE",2020,1.69
"Lithuania","LTU",2020,1.59
"Luxembourg","LUX",2020,1.62
"Macau","MAC",2020,0.95
"Madagascar","MDG",2020,4.03
"Malawi","MWI",2020,5.49
"Malaysia","MYS",2020,2.5
"Maldives","MDV",2020,1.73
"Mali","MLI",2020,6.01
"Malta","MLT",2020,1.55
"Marshall Islands","MHL",2020,3.03
"Mauritania","MRT",2020,3.86
"Mauritius","MUS",2020,1.75
"Mexico","MEX",2020,2.24
"Micronesia, Federated States of","FSM",2020,2.41
"Moldova","MDA",2020,1.57
"Monaco","MCO",2020,1.53
"Mongolia","MNG",2020,2.09
"Montserrat","MSR",2020,1.33
"Morocco","MAR",2020,2.11
"Mozambique","MOZ",2020,5.08
"Namibia","NAM",2020,3.29
"Nauru","NRU",2020,2.8
"Nepal","NPL",2020,2.12
"Netherlands","NLD",2020,1.78
"New Caledonia","NCL",2020,1.93
"New Zealand","NZL",2020,2.02
"Nicaragua","NIC",2020,1.89
"Niger","NER",2020,6.49
"Nigeria","NGA",2020,5.07
"Northern Mariana Islands","MNP",2020,2.8
"Norway","NOR",2020,1.85
"Oman","OMN",2020,2.82
"Pakistan","PAK",2020,2.62
"Palau","PLW",2020,1.71
"Panama","PAN",2020,2.3
"Papua New Guinea","PNG",2020,3.03
"Paraguay","PRY",2020,1.9
"Peru","PER",2020,2.12
"Philippines","PHL",2020,3.02
"Poland","POL",2020,1.35
"Portugal","PRT",2020,1.53
"Puerto Rico","PRI",2020,1.22
"Qatar","QAT",2020,1.9
"Romania","ROU",2020,1.35
"Russia","RUS",2020,1.61
"Rwanda","RWA",2020,3.87
"Saint Helena, Ascension, and Tristan da Cunha","SHN",2020,1.59
"Saint Kitts and Nevis","KNA",2020,1.77
"Saint Lucia","LCA",2020,1.75
"Saint Pierre and Miquelon","SPM",2020,1.57
"Saint Vincent and the Grenadines","VCT",2020,1.8
"Samoa","WSM",2020,2.7
"San Marino","SMR",2020,1.5
"Sao Tome and Principe","STP",2020,4.25
"Saudi Arabia","SAU",2020,2.09
"Senegal","SEN",2020,4.28
"Serbia","SRB",2020,1.44
"Seychelles","SYC",2020,1.85
"Sierra Leone","SLE",2020,4.73
"Singapore","SGP",2020,0.83
"Sint Maarten","SXM",2020,2.05
"Slovakia","SVK",2020,1.41
"Slovenia","SVN",2020,1.36
"Solomon Islands","SLB",2020,3.16
"Somalia","SOM",2020,5.8
"South Africa","ZAF",2020,2.29
"South Sudan","SSD",2020,5.07
"Spain","ESP",2020,1.5
"Sri Lanka","LKA",2020,2.07
"Sudan","SDN",2020,3.57
"Suriname","SUR",2020,1.93
"Sweden","SWE",2020,1.88
"Switzerland","CHE",2020,1.56
"Syria","SYR",2020,2.5
"Taiwan","TWN",2020,1.13
"Tajikistan","TJK",2020,2.63
"Tanzania","TZA",2020,4.77
"Thailand","THA",2020,1.52
"Timor-Leste","TLS",2020,4.79
"Togo","TGO",2020,4.38
"Tonga","TON",2020,3.1
"Trinidad and Tobago","TTO",2020,1.71
"Tunisia","TUN",2020,2.23
"Turkey","TUR",2020,2.01
"Turkmenistan","TKM",2020,2.07
"Turks and Caicos Islands","TCA",2020,1.7
"Tuvalu","TUV",2020,2.95
"Uganda","UGA",2020,5.71
"Ukraine","UKR",2020,1.54
"United Arab Emirates","ARE",2020,2.32
"United Kingdom","GBR",2020,1.88
"United States","USA",2020,1.87
"Uruguay","URY",2020,1.8
"Uzbekistan","UZB",2020,1.76
"Vanuatu","VUT",2020,3.07
"Venezuela","VEN",2020,2.32
"Vietnam","VNM",2020,1.81
"Virgin Islands","VIR",2020,2.08
"Wallis and Futuna","WLF",2020,1.73
"West Bank","PSE",2020,3.27
"Western Sahara","ESH",2020,3.86
"Yemen","YEM",2020,3.63
"Zambia","ZMB",2020,5.63
"Zimbabwe","ZWE",2020,3.98
