"country","countryiso3","latest.year_obesity.2228","latest.value_obesity.2228"
"United Arab Emirates","ARE",2020,31.7
"United Kingdom","GBR",2020,27.8
"United States","USA",2020,36.2
"Uruguay","URY",2020,27.9
"Uzbekistan","UZB",2020,16.6
"Vanuatu","VUT",2020,25.2
"Venezuela","VEN",2020,25.6
"Vietnam","VNM",2020,2.1
"Yemen","YEM",2020,17.1
"Zambia","ZMB",2020,8.1
"Zimbabwe","ZWE",2020,15.5
