"country","countryiso3","SL.EMP.VULN.FE.ZS_2013","SL.EMP.VULN.FE.ZS_2014","SL.EMP.VULN.FE.ZS_2015","SL.EMP.VULN.FE.ZS_2016","SL.EMP.VULN.FE.ZS_2017","SL.EMP.VULN.FE.ZS_2018","SL.EMP.VULN.FE.ZS_2019"
"Afghanistan","AFG",95.7570009231567,94.8250007629395,93.6399974822998,92.1079978942871,90.2630004882813,90.0509967803955,89.8930015563964
"Albania","ALB",61.8549995422363,58.7290000915527,56.5219993591309,55.6480007171631,54.7100009918213,53.7389993667603,52.7689981460572
"Algeria","DZA",24.4169993400574,24.1660006046296,23.9140009880066,23.6379990577698,23.3560001850128,23.3140008449554,23.3009998798371
"Angola","AGO",80.7139987945557,80.5480012893677,80.3369998931884,80.1250019073487,79.9950017929077,79.8180027008057,79.6450004577636
"Arab World","ARB",37.7100837758985,37.4522683576013,36.4740679647587,32.219794251009,33.0691328567592,33.0692728679577,32.7961980185967
"Argentina","ARG",16.6819998025894,17.2190002202988,17.7709991931916,18.4129999279976,18.994000196457,19.9519998431205,20.099999666214
"Armenia","ARM",47.9890003204345,44.9840002059937,42.5499992370606,40.5619993209839,38.5960006713867,38.2750017642975,37.9000000953674
"Australia","AUS",7.88699981570244,8.266999989748,8.22299998998642,8.38199999928474,8.34200006723404,8.14000010490417,8.13199989497662
"Austria","AUT",8.27200019359588,8.09699988365173,7.92199981212616,7.50599992275238,7.19999992847443,6.91100001335144,6.85399997234345
"Azerbaijan","AZE",62.129997253418,63.0399990081787,64.1490020751953,62.007999420166,62.1870002746582,63.2609996795654,62.9669990539551
"Bahamas, The","BHS",8.29099985957145,8.08899980783463,8.39100041985511,8.19199988245964,8.16800019145012,8.25000011920929,8.20499980449677
"Bahrain","BHR",0.967999994754791,0.931000024080277,0.921000003814697,0.9200000166893,0.92399999499321,0.949000000953674,0.976999998092651
"Bangladesh","BGD",77.8000011444092,75.7569980621338,73.7059993743896,71.6510009765625,68.2749996185303,67.6389980316162,66.9870014190674
"Barbados","BRB",11.2529997900129,11.2589998990298,11.2659998685122,11.1659998968244,11.1560000702739,11.1869998052716,11.192000463605
"Belarus","BLR",1.82100004702806,1.8109999857843,1.8030000180006,1.79799994826317,2.29999993741512,2.17899988591671,2.16999999061227
"Belgium","BEL",8.42899990081787,8.48699998855591,8.68799996376037,8.28600013256073,8.1599998474121,8.48399996757508,8.42200005054474
"Belize","BLZ",23.4319999217987,23.6859991550445,27.2169990539551,31.0980005264282,30.125,30.0180010795594,29.9279992580414
"Benin","BEN",94.6190032958985,94.5379981994629,94.4919967651367,94.4300003051758,94.3439979553222,94.2470016479492,94.1549987792969
"Bhutan","BTN",85.32200050354,84.673999786377,84.7560005187989,84.5050010681152,84.3069992065429,84.148998260498,83.9529991149902
"Bolivia","BOL",67.5730018615723,67.8170013427735,68.2730007171631,68.359998703003,69.3139991760254,69.730001449585,69.2929992675782
"Bosnia and Herzegovina","BIH",21.3759994506836,18.8709998130798,19.5710005760193,20.4050002098084,21.0759997367859,17.6059999465943,17.2379999160767
"Botswana","BWA",30.2629990577698,29.9360003471375,29.6649999618531,29.577000617981,29.3809995651245,29.2350001335145,29.0650010108948
"Brazil","BRA",21.8689999580383,21.4529995918274,22.1670002937317,22.400000333786,23.2050006389618,23.7340009212494,23.7239999771119
"Brunei Darussalam","BRN",4.86099982261658,4.88199985027313,5.30400002002716,5.82900014519691,6.52300018072128,6.4709999859333,6.42699980735779
"Bulgaria","BGR",6.79700022935867,7.12099981307983,6.85899996757507,6.81200015544891,6.83200025558472,6.46599984169007,6.33300000429153
"Burkina Faso","BFA",91.4939994812012,90.5909996032714,90.4930000305176,90.375,90.2379989624024,90.093002319336,89.9630012512207
"Burundi","BDI",96.8290023803711,96.8120002746582,96.818000793457,96.8250007629395,96.826000213623,96.8219985961914,96.8239974975586
"Cabo Verde","CPV",47.9290008544922,47.9759998321534,48.011999130249,47.4759998321533,46.9169998168945,46.2299995422364,45.7460012435913
"Cambodia","KHM",66.0690011978149,61.2429981231689,57.6270012855529,58.319001197815,58.3439998626709,58.3619980812073,58.3959989547729
"Cameroon","CMR",84.9699993133545,84.019998550415,83.8779983520507,83.7440013885498,83.6259994506836,83.5199985504151,83.4260005950927
"Canada","CAN",9.15699961781501,9.07800030708313,9.22399954497814,9.12700040638446,9.2730002105236,9.41199985146522,9.39900043606758
"Caribbean small states","CSS",21.694783421308,21.8454175567663,21.9375012682244,22.5496599789613,22.6427023780012,22.7121222882741,22.79386647899
"Central African Republic","CAF",95.810001373291,95.8479995727539,95.8159980773925,95.7740020751953,95.7299995422364,95.6839981079101,95.6479988098145
"Central Europe and the Baltics","CEB",15.5007129037513,14.9171493240509,14.0385185053171,13.1691383643937,12.8508507614668,12.517958803474,12.2542746387177
"Chad","TCD",98.8009986877441,98.7799987792969,98.7700004577637,98.7900009155274,98.7999992370605,98.7919998168946,98.7880020141602
