"country","countryiso3","latest.year_SL.EMP.VULN.FE.ZS","latest.value_SL.EMP.VULN.FE.ZS"
"Mauritius","MUS",2019,13.0420002937317
"Mexico","MEX",2019,29.2969989776611
"Middle East & North Africa","MEA",2019,26.368032744039
"Middle East & North Africa (excluding high income)","MNA",2019,33.9209964108795
"Middle East & North Africa (IDA & IBRD countries)","TMN",2019,34.0144186803874
"Middle income","MIC",2019,51.2698662055732
"Moldova","MDA",2019,33.8790001869202
"Mongolia","MNG",2019,45.2010016441345
"Montenegro","MNE",2019,9.01500010490417
"Morocco","MAR",2019,60.0270023345947
"Mozambique","MOZ",2019,92.7190036773682
"Myanmar","MMR",2019,60.6759986877441
"Namibia","NAM",2019,37.9969992637634
"Nepal","NPL",2019,88.8869991302491
"Netherlands","NLD",2019,10.9060001373291
"New Caledonia","NCL",2019,10.1020000874996
"New Zealand","NZL",2019,10.4370002746582
"Nicaragua","NIC",2019,47.9910020828247
"Niger","NER",2019,97.3869972229004
"Nigeria","NGA",2019,84.8780002593995
"North America","NAC",2019,4.03347110082653
"North Macedonia","MKD",2019,16.3949999809265
"Norway","NOR",2019,3.46300005912781
"OECD members","OED",2019,11.3901381278639
"Oman","OMN",2019,3.7579999268055
"Other small states","OSS",2019,38.0637730959738
"Pacific island small states","PSS",2019,63.17394346475
"Pakistan","PAK",2019,71.2850017547607
"Panama","PAN",2019,33.416000366211
"Papua New Guinea","PNG",2019,87.0629997253418
"Paraguay","PRY",2019,40.6890001296997
"Peru","PER",2019,57.3089981079101
"Philippines","PHL",2019,37.3079996109009
"Poland","POL",2019,13.1160001754761
"Portugal","PRT",2019,9.40099984407425
"Post-demographic dividend","PST",2019,7.34739597141995
"Pre-demographic dividend","PRE",2019,84.0009822324245
"Puerto Rico","PRI",2019,6.52400016784668
"Qatar","QAT",2019,0.0569999981671572
"Romania","ROU",2019,22.621000289917
"Russian Federation","RUS",2019,4.79100000858307
"Rwanda","RWA",2019,77.3720016479492
"Samoa","WSM",2019,24.3910007476806
"Sao Tome and Principe","STP",2019,55.8339982032776
"Saudi Arabia","SAU",2019,1.16899998486042
"Senegal","SEN",2019,72.2609977722168
"Serbia","SRB",2019,20.9769992828369
"Sierra Leone","SLE",2019,91.8570013046265
"Singapore","SGP",2019,6.57299995422363
"Slovak Republic","SVK",2019,8.15000025182962
"Slovenia","SVN",2019,9.5019998550415
"Small states","SST",2019,36.2921883179119
"Solomon Islands","SLB",2019,74.8379993438721
"Somalia","SOM",2019,94.0799980163575
"South Africa","ZAF",2019,10.2340002059937
"South Asia","SAS",2019,74.6784908929949
"South Asia (IDA & IBRD)","TSA",2019,74.6784908929949
"South Sudan","SSD",2019,90.8479995727539
"Spain","ESP",2019,8.37899979948998
"Sri Lanka","LKA",2019,43.0580005645752
"St. Lucia","LCA",2019,26.0009994506836
"St. Vincent and the Grenadines","VCT",2019,17.1540001630783
"Sub-Saharan Africa","SSF",2019,81.0901037087365
"Sub-Saharan Africa (excluding high income)","SSA",2019,81.1697468126149
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2019,81.0901037087366
"Sudan","SDN",2019,64.8969993591309
"Suriname","SUR",2019,9.98299980163574
"Sweden","SWE",2019,4.08599990606308
"Switzerland","CHE",2019,9.40100002288819
"Syrian Arab Republic","SYR",2019,15.1089997291565
"Tajikistan","TJK",2019,46.2290000915527
"Tanzania","TZA",2019,88.0499992370606
"Thailand","THA",2019,49.8099994659424
"Timor-Leste","TLS",2019,79.0629997253418
"Togo","TGO",2019,87.9979991912842
"Tonga","TON",2019,57.2360000610351
"Trinidad and Tobago","TTO",2019,13.0189999938011
"Tunisia","TUN",2019,14.2339997291565
"Turkey","TUR",2019,32.0910005569458
"Turkmenistan","TKM",2019,24.8109993934631
"Uganda","UGA",2019,82.5020008087159
"Ukraine","UKR",2019,12.7980003058911
"United Arab Emirates","ARE",2019,2.25400000810623
"United Kingdom","GBR",2019,9.64200016856193
"United States","USA",2019,3.35999993979931
"Upper middle income","UMC",2019,42.0806069389935
"Uruguay","URY",2019,21.7270009517669
"Uzbekistan","UZB",2019,44.4119997024536
"Vanuatu","VUT",2019,74.5839986801147
"Venezuela, RB","VEN",2019,35.0940008163453
"Vietnam","VNM",2019,60.5700016021729
"Virgin Islands (U.S.)","VIR",2019,5.89599977433681
"West Bank and Gaza","PSE",2019,22.0100002288819
"World","WLD",2019,45.4235652292157
"Yemen, Rep.","YEM",2019,67.6380004882813
"Zambia","ZMB",2019,88.0029983520507
"Zimbabwe","ZWE",2019,74.5950012207031
