"CountryName","CountryCode","Date","S1_School closing","S1_IsGeneral","S1_Notes","S2_Workplace closing","S2_IsGeneral","S2_Notes","S3_Cancel public events","S3_IsGeneral","S3_Notes","S4_Close public transport","S4_IsGeneral","S4_Notes","S5_Public information campaigns","S5_IsGeneral","S5_Notes","S6_Restrictions on internal movement","S6_IsGeneral","S6_Notes","S7_International travel controls","S7_Notes","S8_Fiscal measures","S8_Notes","S9_Monetary measures","S9_Notes","S10_Emergency investment in health care","S10_Notes","S11_Investment in Vaccines","S11_Notes","ConfirmedCases","ConfirmedDeaths","StringencyIndex","...35"
"Zambia","ZMB",20200321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA
"Zimbabwe","ZWE",20200321,0,0,NA,0,0,NA,2,0,"Some high profile public and sporting events cancelled '“The government has postponed the Zimbabwe International Trade Fair (ZITF), all previously scheduled national independence celebrations and international sporting events on hold until the coronavirus threat dissipates”, Mnangagwa said.' https://web.archive.org/web/20200325170213/https://www.africanews.com/2020/03/17/despite-zero-case-zimbabwe-declares-national-emergency-over-covid-19/ . See also https://web.archive.org/web/20200325170540/https://www.businesslive.co.za/bd/world/africa/2020-03-17-zimbabwe-cancels-biggest-trade-fair-to-stave-off-coronavirus/",0,0,NA,1,1,"As part of playing our own part, Party President Adv Nelson Chamisa has initiated the #ZimLOC (Zimbabwe Lock Out Corona) campaign with a view to encouraging preparedness, especially in MDC-led councils.

https://web.archive.org/web/20200327124722/https://www.zimbabwesituation.com/news/president-chamisa-initiates-zimloc-campaign/

https://web.archive.org/web/20200327125140/https://www.thezimbabwean.co/2020/03/president-chamisa-initiates-zimloc-campaign/",0,0,NA,1,"'While all ports of entry would remain open, there would be strict screening of all those entering the country, Mnangagwa said.'  https://web.archive.org/web/20200325170540/https://www.businesslive.co.za/bd/world/africa/2020-03-17-zimbabwe-cancels-biggest-trade-fair-to-stave-off-coronavirus/",NA,NA,NA,NA,NA,NA,NA,NA,1,0,29,NA
"Taiwan","TWN",20200321,2,0,"Schools which Confirmed cases #59 and #103 in are required to close.",0,NA,NA,1,1,NA,0,NA,NA,1,1,"https://ocgptweb.azurewebsites.net/View?param=Filter
'This trend of fast response continued after Taiwan activated its Central Epidemic Command Center (CECC), which serves as a coordinator of all epidemic responses and updates the public about COVID-19.' -one of the aims of CECC is to give massive information campaigns.",0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,2,48,NA
"Aruba","ABW",20200322,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,"All inbound international flights (Aruba residents and permanent residents exempt)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA
"Afghanistan","AFG",20200322,2,1,"https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures",NA,NA,NA,2,0,"All public gatherings in Herat were banned. 

https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf",NA,NA,NA,1,1,"https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19",0,1,NA,2,"https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19",0,NA,NA,NA,0,NA,0,NA,24,0,48,NA
"Angola","AGO",20200322,0,NA,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,3,NA,0,NA,0,NA,0,NA,0,NA,2,0,14,NA
"Albania","ALB",20200322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,2,NA,NA
"Andorra","AND",20200322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,0,NA,NA
"United Arab Emirates","ARE",20200322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,2,NA,NA
"Argentina","ARG",20200322,2,1,NA,2,0,NA,2,1,NA,2,1,NA,1,1,NA,2,1,NA,3,NA,0,NA,38,"http://www.bcra.gov.ar/Institucional/Tasa_de_politica_monetaria.asp",0,NA,0,NA,225,4,95,NA
"Armenia","ARM",20200322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,0,NA,NA
"Antigua and Barbuda","ATG",20200322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
"Australia","AUS",20200322,2,0,"Prime Minister says schools remain open, but parents can keep children at home if they wish. School closures announced in some states (Victoria, ACT, and forecast in NSW). Victoria: On Sunday 22 March, the Premier announced additional steps to combat the spread of the coronavirus (COVID-19), including bringing forward the school holidays in Victoria to commence from Tuesday 24 March. Early childhood education and care services, TAFE and training providers will remain open. (https://www.education.vic.gov.au/about/department/Pages/coronavirus.aspx). Australian Capital Territory schools to be pupil-free from 24/3/20: https://www.abc.net.au/news/2020-03-23/coronavirus-covid19-how-canberra-schools-will-operate/12080248",0,NA,NA,2,0,NA,0,NA,NA,1,1,NA,2,0,NA,3,NA,37998624468,NA,0.25,"https://www.rba.gov.au/statistics/cash-rate/",0,NA,7473254,"AUD10million from Queensland Govt, AUD3 million from Federal Government and AUD3.5 million from Paul Ramsay Foundation (USD figure given for government funding only): https://www.abc.net.au/news/2020-03-22/coronavirus-vaccine-funding-university-queensland-cases/12079184",1098,7,57,NA
