"country","countryiso3","latest.year_SP.POP.1564.TO.ZS","latest.value_SP.POP.1564.TO.ZS"
"Maldives","MDV",2019,76.4493279066132
"Mali","MLI",2019,50.2001751853988
"Malta","MLT",2019,64.8540324997956
"Mauritania","MRT",2019,56.9548418629974
"Mauritius","MUS",2019,70.7415639363991
"Mexico","MEX",2019,66.3982212450791
"Micronesia, Fed. Sts.","FSM",2019,64.351798972016
"Middle East & North Africa","MEA",2019,64.8415317383637
"Middle East & North Africa (excluding high income)","MNA",2019,63.4142060465574
"Middle East & North Africa (IDA & IBRD countries)","TMN",2019,63.4779795961128
"Middle income","MIC",2019,66.4401465083864
"Moldova","MDA",2019,72.0971898192129
"Mongolia","MNG",2019,65.0123854051589
"Montenegro","MNE",2019,66.4606114457783
"Morocco","MAR",2019,65.7300280663655
"Mozambique","MOZ",2019,52.7535533449279
"Myanmar","MMR",2019,68.0738941431115
"Namibia","NAM",2019,59.4860354455549
"Nepal","NPL",2019,64.6470567879502
"Netherlands","NLD",2019,64.5111840408302
"New Caledonia","NCL",2019,68.1393457117595
"New Zealand","NZL",2019,64.4394397481279
"Nicaragua","NIC",2019,64.6871546292401
"Niger","NER",2019,47.5611194251227
"Nigeria","NGA",2019,53.569386463864
"North America","NAC",2019,65.3710697197998
"North Macedonia","MKD",2019,69.5209744948185
"Norway","NOR",2019,65.3143595377233
"OECD members","OED",2019,65.000603738163
"Oman","OMN",2019,75.1330154496917
"Other small states","OSS",2019,64.6409775487416
"Pacific island small states","PSS",2019,60.4816794626923
"Pakistan","PAK",2019,60.6232143782136
"Panama","PAN",2019,64.9070432896834
"Papua New Guinea","PNG",2019,61.0046092180487
"Paraguay","PRY",2019,64.1998394239248
"Peru","PER",2019,66.3520253009086
"Philippines","PHL",2019,64.209122714395
"Poland","POL",2019,66.6977162655768
"Portugal","PRT",2019,64.3912242168073
"Post-demographic dividend","PST",2019,64.6878485682685
"Pre-demographic dividend","PRE",2019,53.7580946332923
"Puerto Rico","PRI",2019,64.0421312002967
"Qatar","QAT",2019,84.8809367857469
"Romania","ROU",2019,65.6359760773252
"Russian Federation","RUS",2019,66.7509502286713
"Rwanda","RWA",2019,57.2057147608884
"Samoa","WSM",2019,57.2027986219983
"Sao Tome and Principe","STP",2019,54.8931441113013
"Saudi Arabia","SAU",2019,71.7211314124727
"Senegal","SEN",2019,54.0616544893082
"Serbia","SRB",2019,65.7185540515046
"Seychelles","SYC",2019,68.4557853057633
"Sierra Leone","SLE",2019,56.3279520658269
"Singapore","SGP",2019,75.2753673675391
"Slovak Republic","SVK",2019,68.2998922670699
"Slovenia","SVN",2019,64.7080755142511
"Small states","SST",2019,64.9103635317738
"Solomon Islands","SLB",2019,56.2379912305191
"Somalia","SOM",2019,50.7312905182024
"South Africa","ZAF",2019,65.6164193375248
"South Asia","SAS",2019,65.9992306277908
"South Asia (IDA & IBRD)","TSA",2019,65.9992306277908
"South Sudan","SSD",2019,55.0551418160346
"Spain","ESP",2019,65.7753050830892
"Sri Lanka","LKA",2019,65.2047322108188
"St. Lucia","LCA",2019,71.7539252694349
"St. Vincent and the Grenadines","VCT",2019,68.06553997233
