"country","countryiso3","latest.year_score_security_apparatus.28904","latest.value_score_security_apparatus.28904","latest.year_score_uneven_development.28905","latest.value_score_uneven_development.28905","latest.year_score_group_grievance.28907","latest.value_score_group_grievance.28907","latest.year_score_human_flight.28908","latest.value_score_human_flight.28908","latest.year_score_human_rights.28909","latest.value_score_human_rights.28909","latest.year_score_legitimacy_of_the_s.28910","latest.value_score_legitimacy_of_the_s.28910","latest.year_score_public_services.28911","latest.value_score_public_services.28911"
"Portugal","PRT",2017,2.2,2017,1.6,2017,2.8,2017,2.5,2017,2.5,2017,2.2,2017,2.2
"Paraguay","PRY",2017,3.1,2017,7,2017,4.8,2017,7.8,2017,5.8,2017,5.8,2017,6.2
"Qatar","QAT",2017,2,2017,6.3,2017,2.7,2017,5,2017,4.6,2017,2.6,2017,1.3
"Romania","ROU",2017,2.8,2017,5.2,2017,3.6,2017,5.4,2017,6.8,2017,4.5,2017,3.8
"Russian Federation","RUS",2017,5.8,2017,8.5,2017,5.7,2017,8.1,2017,8.8,2017,4,2017,4.2
"Rwanda","RWA",2017,8.3,2017,7.1,2017,7.5,2017,8,2017,9.4,2017,7.4,2017,7.4
"Saudi Arabia","SAU",2017,4.7,2017,8,2017,4.7,2017,8.2,2017,7.8,2017,3.8,2017,3.8
"Sudan","SDN",2017,9.8,2017,9.8,2017,9.7,2017,9.7,2017,10,2017,8.9,2017,8.9
"Senegal","SEN",2017,7.3,2017,4.7,2017,6.7,2017,6.6,2017,6.4,2017,8,2017,7.5
"Singapore","SGP",2017,1.7,2017,3.9,2017,1.2,2017,4,2017,2.6,2017,3.3,2017,1.3
"Solomon Islands","SLB",2017,4.4,2017,6.8,2017,8.6,2017,8.2,2017,6.5,2017,6.9,2017,7.7
"Sierra Leone","SLE",2017,7.7,2017,6.9,2017,7.9,2017,7.8,2017,6.2,2017,8.5,2017,8.8
"El Salvador","SLV",2017,4.8,2017,4.8,2017,5.9,2017,4.3,2017,6.7,2017,7.9,2017,6.4
"Somalia","SOM",2017,10,2017,9.3,2017,9.3,2017,10,2017,8.9,2017,9.8,2017,9
"Serbia","SRB",2017,8.4,2017,5.2,2017,6.2,2017,8,2017,7.3,2017,5.3,2017,4.2
"South Sudan","SSD",2017,10,2017,10,2017,9.8,2017,9.7,2017,9.7,2017,6.4,2017,10
"Sao Tome and Principe","STP",2017,4.4,2017,5.6,2017,7.9,2017,6.3,2017,4.5,2017,8.5,2017,5.9
"Suriname","SUR",2017,3,2017,5,2017,5.9,2017,5.8,2017,5.8,2017,6.8,2017,5.6
"Slovak Republic","SVK",2017,3.8,2017,4.3,2017,3.3,2017,4.7,2017,6.9,2017,4.2,2017,2.4
"Slovenia","SVN",2017,4,2017,2.7,2017,2.3,2017,1.7,2017,4.5,2017,3.1,2017,1.5
"Sweden","SWE",2017,5.3,2017,1,2017,1.1,2017,1.8,2017,1.5,2017,1.5,2017,1.1
"Swaziland","SWZ",2017,4.7,2017,8.8,2017,7.1,2017,6.8,2017,3.4,2017,7.2,2017,8.1
"Seychelles","SYC",2017,3.2,2017,5.5,2017,7,2017,6,2017,4.5,2017,5.9,2017,2.7
"Syrian Arab Republic","SYR",2017,9.8,2017,9.9,2017,10,2017,9.9,2017,9.8,2017,8.4,2017,9.2
"Chad","TCD",2017,9.6,2017,9.1,2017,8.3,2017,9.8,2017,8,2017,8.8,2017,9.7
"Togo","TGO",2017,6.6,2017,7.8,2017,6,2017,7.6,2017,4.6,2017,7.5,2017,8.2
"Thailand","THA",2017,5.9,2017,7.5,2017,3.8,2017,9.4,2017,8.5,2017,4.7,2017,4.4
"Tajikistan","TJK",2017,4.3,2017,9.1,2017,5.9,2017,8.4,2017,7.4,2017,6.2,2017,5.6
"Turkmenistan","TKM",2017,3.5,2017,9.7,2017,4.1,2017,7.8,2017,6.6,2017,5.1,2017,5.6
"Timor-Leste","TLS",2017,6.3,2017,6.9,2017,9.5,2017,8.3,2017,6.5,2017,7.6,2017,8.5
"Trinidad and Tobago","TTO",2017,2.7,2017,4.5,2017,3.1,2017,5.6,2017,4.2,2017,8.1,2017,4.3
"Tunisia","TUN",2017,4.7,2017,6.5,2017,6.4,2017,7.8,2017,7.7,2017,6.1,2017,4.4
"Turkey","TUR",2017,9.2,2017,7.6,2017,5.4,2017,9.1,2017,10,2017,3.9,2017,4.4
"Tanzania","TZA",2017,6.7,2017,5.9,2017,7.2,2017,5.7,2017,5.2,2017,7.6,2017,8.6
"Uganda","UGA",2017,9.3,2017,8.6,2017,8.3,2017,8.6,2017,8.5,2017,7.6,2017,8.3
"Ukraine","UKR",2017,4.6,2017,8.2,2017,8.6,2017,8,2017,6.7,2017,5.2,2017,3.7
