"variable","description"
"Score.28904","Score Security Apparatus"
"Score.28905","Score Uneven Development"
"Score.28907","Score Group Grievance"
"Score.28908","Score Human Flight"
"Score.28909","Score Human Rights"
"Score.28910","Score Legitimacy of the State"
"Score.28911","Score Public Services"
