"country","countryiso3","score_security_apparatus.28904_2013","score_security_apparatus.28904_2014","score_security_apparatus.28904_2015","score_security_apparatus.28904_2016","score_security_apparatus.28904_2017","score_uneven_development.28905_2013","score_uneven_development.28905_2014","score_uneven_development.28905_2015","score_uneven_development.28905_2016","score_uneven_development.28905_2017","score_group_grievance.28907_2013","score_group_grievance.28907_2014","score_group_grievance.28907_2015","score_group_grievance.28907_2016","score_group_grievance.28907_2017","score_human_flight.28908_2013","score_human_flight.28908_2014","score_human_flight.28908_2015","score_human_flight.28908_2016","score_human_flight.28908_2017","score_human_rights.28909_2013","score_human_rights.28909_2014","score_human_rights.28909_2015","score_human_rights.28909_2016","score_human_rights.28909_2017","score_legitimacy_of_the_s.28910_2013","score_legitimacy_of_the_s.28910_2014","score_legitimacy_of_the_s.28910_2015","score_legitimacy_of_the_s.28910_2016","score_legitimacy_of_the_s.28910_2017","score_public_services.28911_2013","score_public_services.28911_2014","score_public_services.28911_2015","score_public_services.28911_2016","score_public_services.28911_2017"
"Burundi","BDI",8.8,9,9,9.1,8.6,8.4,8.1,8.4,9,8.8,8.7,8.5,8.4,8.7,9,7.9,7.9,7.9,8.5,8.2,8.1,8.1,8,8.1,7.9,6.2,6.5,6.8,6.5,6.3,8.3,8.6,8.3,8.2,8
"Belgium","BEL",1.6,1.6,1.6,2.1,2.4,2.1,2,1.9,1.6,1.4,2,1.9,1.5,1.2,1,3.9,3.9,3.9,3.9,4.4,4.1,4.2,4.1,4.4,4.9,1.8,1.9,1.9,1.6,1.6,2.2,2.4,2.1,1.8,2.3
"Benin","BEN",6.5,6.3,6,5.7,5.5,6,6.1,6.2,5.9,5.4,7.3,7.6,7.1,6.8,6.6,6.1,6.1,6.1,7,6.7,3.6,3.6,3.9,3.6,3.4,6.2,6.5,6.8,7.1,7.4,8.6,8.7,8.6,8.9,8.7
"Burkina Faso","BFA",7.4,7.6,7.1,6.8,6.6,7.7,7.8,8.1,7.3,7.1,8,7.7,7.5,7.7,7.5,7.3,7.3,7.8,8.1,7.8,5.3,5.3,5,4.7,4.5,6.3,6.6,6.9,7.2,7.5,8.7,8.8,8.9,8.9,8.7
"Bangladesh","BGD",7.3,6.9,6.6,6.3,6.6,8.3,8.4,8.5,8,7.8,5.8,6,5.7,6,5.8,8.9,9.3,9.6,9.6,9.3,8.6,8.7,8.4,8.9,8.7,7.5,7.2,7.5,7.5,7.8,8,8.4,8.1,7.8,8.1
"Bulgaria","BGR",3.1,3.4,3.5,4,4.5,4.8,4.9,5,4.7,4.5,5,4.7,4.8,4.5,4.3,5.3,5.3,5.3,5.3,5.3,4.6,4.9,5.2,5.3,5.1,4.9,4.9,4.6,4.3,4.2,4.4,4.1,4.2,3.9,4.4
"Bahrain","BHR",2.5,2.9,2.6,2.5,2.4,7.6,7.9,8.4,8.4,8.2,5.6,5.6,5.3,5,4.8,7.1,7.1,7.1,7.1,7.6,7.3,7.6,7.7,7.9,8.4,3.3,3.3,3.5,3.2,3.5,2.4,2.5,2.3,2,1.8
"Bahamas, The","BHS",2.8,2.7,2.8,2.7,2.6,4.9,4.6,4.3,4,3.8,4.3,4,3.7,3.4,3.7,4.5,4.5,4.5,4.5,4.5,4.4,4.4,4.1,4.1,4.1,5.6,5.3,5,4.7,4.7,4.4,4.7,4.4,4.8,4.6
"Bosnia and Herzegovina","BIH",6.8,6.8,7.3,7.8,7.6,6.7,6.8,7,6.7,6.5,8,7.9,8.2,8.4,8.2,8.7,8.7,8.7,8.7,8.7,7.7,7.4,7.1,7,7,5.6,5.8,5.5,5.2,5.5,4.4,4.4,4.1,3.8,3.6
"Belarus","BLR",3.6,3.6,4.1,3.8,3.6,9,8.8,8.6,8.9,8.7,7.6,7.3,7.8,7.5,7.3,8.3,8.3,8.3,8.3,8.3,6.8,7.1,6.8,7.1,7.1,3.9,3.7,3.4,3.1,3.4,5.2,5,4.7,4.4,4.2
