"country","countryiso3","score_security_apparatus.28904_2013","score_security_apparatus.28904_2014","score_security_apparatus.28904_2015","score_security_apparatus.28904_2016","score_security_apparatus.28904_2017","score_uneven_development.28905_2013","score_uneven_development.28905_2014","score_uneven_development.28905_2015","score_uneven_development.28905_2016","score_uneven_development.28905_2017","score_group_grievance.28907_2013","score_group_grievance.28907_2014","score_group_grievance.28907_2015","score_group_grievance.28907_2016","score_group_grievance.28907_2017","score_human_flight.28908_2013","score_human_flight.28908_2014","score_human_flight.28908_2015","score_human_flight.28908_2016","score_human_flight.28908_2017","score_human_rights.28909_2013","score_human_rights.28909_2014","score_human_rights.28909_2015","score_human_rights.28909_2016","score_human_rights.28909_2017","score_legitimacy_of_the_s.28910_2013","score_legitimacy_of_the_s.28910_2014","score_legitimacy_of_the_s.28910_2015","score_legitimacy_of_the_s.28910_2016","score_legitimacy_of_the_s.28910_2017","score_public_services.28911_2013","score_public_services.28911_2014","score_public_services.28911_2015","score_public_services.28911_2016","score_public_services.28911_2017"
"Estonia","EST",3.3,3.2,2.9,2.6,3.1,3.8,3.5,3.2,2.9,2.7,3.3,3,3.1,4,4.3,5.5,5.5,5.5,5.5,5.9,5.9,6.2,6.5,6.8,7.3,3.9,3.8,3.5,3.7,4,3,3.3,3.4,3.1,2.9
"Ethiopia","ETH",8.7,9,9.4,9.5,9.3,7.3,7.1,7.4,7.7,8.2,8.1,8.4,7.9,8.2,8.7,8.7,8.7,8.6,8.3,8.7,8.6,8.9,8.5,8.6,9.1,6.7,6.7,7,7.3,7.6,8.7,8.9,8.6,8.3,8.8
"Finland","FIN",1.6,1.5,1.5,2.5,2.3,1,0.8,0.5,0.6,0.9,1,1.3,1,1,1,1.1,1.1,1.1,1.1,1.1,1.4,1.3,1.6,2,1.8,2.3,2.2,2.3,2,2.3,1.5,1.4,1.2,1,1
"Fiji","FJI",3.8,3.7,3.4,3.3,3.1,8.8,7.8,7.4,7.1,6.9,6.9,6.9,7.2,7.4,7.2,7.9,7.9,7.9,7.9,7.9,7.3,7.3,7,7.1,6.9,7,7.3,7.6,7.9,8.2,4.9,4.8,4.5,4.5,5
"France","FRA",2.2,2.5,2.2,2.7,2.5,2.2,2.1,1.8,1.5,1.3,1.4,1.6,1.4,2,1.8,1.9,1.9,1.9,1.9,1.9,5.9,6.4,6.8,7,7,1.9,2.2,2.2,1.9,2.2,1.5,1.8,1.5,1.3,1.1
"Micronesia, Fed. Sts.","FSM",3.1,3.5,3.2,3.6,3.9,6.3,6.3,6,5.7,5.5,7.9,8.2,8.3,9.2,9.5,5.6,5.6,5.6,5.6,5.6,4.2,4.2,4,4,4,8.4,8.7,9,9.5,9.8,6.3,6,5.7,6.2,6
"Gabon","GAB",5.6,5.3,5,4.7,4.5,7.6,7.7,7.4,7.7,8.2,5.4,5.2,5.1,5.4,5.7,7.1,7.1,7.1,7.1,7.4,3.3,3.6,3.7,4,3.8,5.5,5.5,5.5,5.8,6.1,7,7.1,6.8,6.9,6.7
"United Kingdom","GBR",2.7,2.7,2.4,2.2,2.1,1.6,1.7,2,1.7,1.5,1.3,1.5,1.2,1,1,3.5,3.5,3.5,3.5,4.5,5,5.3,5.6,5.9,6.4,2.1,2.1,2.1,1.8,2.1,2.3,2.4,2.1,1.8,1.6
"Georgia","GEO",7.5,7.2,7.4,7.7,7.5,8.6,8.7,8.8,8.5,8.3,7.9,7.6,7.3,7.6,7.4,9.4,9.5,9.1,9.1,9.1,8,8,7.8,8.1,7.9,5.2,5.5,5.4,5.1,4.9,5.4,5.1,4.8,4.5,4.3
"Ghana","GHA",5.5,5.8,5.5,5.2,5,5.1,4.8,5,4.7,4.2,6,6.3,6.6,6.9,6.7,5,5,4.9,4.9,5.2,4.9,4.9,4.6,4.6,4.4,7.3,7.3,7.6,7.9,8.2,7.6,7.9,7.9,7.4,7.8
"Guinea","GIN",8.2,8.3,8.7,8.4,8.2,9.8,9.9,9.9,9.8,9.6,7,7.3,8.1,7.6,7.4,8.9,9.6,9.6,9.9,9.6,7.6,8.4,8.7,8.8,8.6,7.7,7.5,7.2,7.5,7.4,8.9,9.2,9.8,9.2,9.5
"Gambia, The","GMB",6.4,6.7,6.4,6.5,6.8,7.6,7.5,7.8,8.1,8.6,6.9,7.2,7.5,7.2,7,6.8,6.8,6.8,6.8,7.8,3.7,3.7,3.7,3.4,3.8,7.1,7.4,7.7,8.4,8.3,7.5,7.8,7.7,8,7.8
"Guinea-Bissau","GNB",7.8,8.1,7.8,7.5,7.3,9.7,9.3,9,8.9,9.2,9,9.1,8.8,8.5,8.3,9.7,9.6,9.6,9.6,9.6,5.7,6,5.7,5.4,5.2,8,8.3,8.5,8.3,8.1,8.8,9.1,9.2,9.5,9.4
"Equatorial Guinea","GNQ",3.3,3.6,3.3,3.6,3.9,9.6,9.7,9.8,9.9,9.8,5.5,5.8,5.5,5.2,5,8.2,8.2,8.2,8.2,8.2,6.6,6.6,6.3,6.3,6.3,6.6,6.3,6,5.7,5.5,7.6,7.4,7.1,7.4,7.9
"Greece","GRC",2,1.9,1.6,5,6.5,5.4,6.4,6.5,6.2,6.7,5.1,5.6,5.9,6.1,6.1,3,3.5,3.7,3.8,4.1,4.8,5.1,5,5.1,5.4,4.4,4.1,3.8,3.5,3.3,3.9,3.6,3.9,4,3.8
"Grenada","GRD",3.2,3.5,3.2,3.2,3,6.2,6.2,5.9,5.6,5.4,7.7,7.4,7.1,6.8,7.1,5.6,5.6,5.6,5.6,5.6,3.9,3.9,3.8,3.8,3.8,8.5,8.2,8.4,8.6,8.4,3.6,3.9,3.7,4,3.8
"Guatemala","GTM",6,6,5.5,5.8,5.6,6.9,6.5,6.6,6.7,6.5,5.4,5.7,5.4,5.4,5.2,6,6,6,6.8,7.1,7.3,7.6,7.9,8.2,8.5,7.1,6.8,6.7,7,7.3,6.9,7.1,7.4,7.7,7.5
"Guyana","GUY",3.8,4.1,3.6,3.8,3.8,6.2,5.6,5.9,5.6,5.4,5.9,6.2,6.5,7,7.3,5.1,5.1,5.1,5.1,5.1,5.9,6.2,6.5,6.4,6.7,8.5,8.8,9.1,9.4,9.4,6,6.3,6.1,6.4,6.2
"Honduras","HND",3.9,4.2,3.7,4,4.3,6.9,7,6.7,7,6.8,6.9,7.1,7.4,7.7,7.5,6.3,7,6.6,6.8,6.8,5.8,6.1,6.4,6.1,5.9,6.6,6.3,6.9,6.6,6.4,6.8,6.7,6.7,7,6.8
"Croatia","HRV",5.5,5.2,4.9,7.5,7,3.9,3.7,3.4,3.1,2.9,5,4.7,4.4,4.8,4.6,4.4,4.4,4.4,4.4,4.4,5.3,5.6,5.7,6,5.8,4.4,4.6,4.5,4.2,4.7,2.9,3.2,2.9,2.6,2.4
"Haiti","HTI",8.6,8.5,8.2,7.9,7.7,8.8,8.9,9.4,9.4,9.7,9.9,9.8,9.9,9.9,10,9,9.1,9.1,9.6,9.6,7,7,6.7,6.7,6.5,9.1,9.1,9.3,9,8.8,9.6,9.5,9.1,9.4,9.7
"Hungary","HUN",2.9,2.8,2.5,6.7,6.5,5.9,6,6.6,6.3,6.1,3.8,3.7,4,4.1,3.9,4.8,4.9,5.3,5.3,5.3,4.1,4.4,4.7,5,4.8,3.9,3.6,3.3,3,3.3,3.1,3.2,3.3,3.4,3.2
"Indonesia","IDN",6,5.9,5.9,5.6,5.4,6.4,6.5,5.6,5.3,5.1,5.9,5.6,5.3,5.4,5.2,7,7,7,7,7,7.3,7.6,7.3,7.3,7.1,6.3,6,6.3,6.6,6.9,6.1,6,6,6.1,5.9
"India","IND",5.2,5.1,5.4,5.5,5.3,5.2,5.3,5.2,4.9,4.7,5.2,5,5.3,5.6,5.4,6.8,6.8,7.3,7.3,7.3,8.2,7.8,8.3,8.5,8.3,5.4,5.2,5.5,5.8,6.1,6.7,7,7.5,7.6,7.4
"Ireland","IRL",1.4,1.4,1.4,1.7,2,1.9,1.8,1.5,1.2,1,2.2,2,1.9,1.6,1.4,1.3,1.3,1.3,1.5,1.5,1.6,1.6,1.9,1.6,1.4,2.8,3.1,2.8,2.5,2.8,1.9,2.2,1.9,1.6,1.4
"Iran, Islamic Rep.","IRN",7.3,6.8,6.5,6.7,6.5,8.9,8.7,8.9,9.2,9,7.5,7.1,7,6.7,6.5,9.4,9.4,9.4,9.6,9.6,8.8,8.8,8.5,8.8,9.3,6.1,5.9,6.2,6.5,6.5,5,4.8,5,4.7,4.5
"Iraq","IRQ",8.8,8.5,8.9,9.4,9.9,8.6,8.7,9.2,9.2,9.5,8.5,7.9,9.4,9.7,9.7,9.6,9.6,9.6,9.6,9.6,10,10,10,9.8,9.6,8.3,8,8.1,7.9,7.7,7.6,7.7,7.5,7.8,8.2
"Iceland","ISL",1.6,1.6,1.4,1.7,2,1.4,1.2,0.9,1,1.3,5.2,4.9,4.6,4.3,4.1,1.8,1.8,1.8,1.8,1.8,1,1,1.3,1.3,1.3,2.8,3.1,2.8,2.5,2.8,1.6,1.9,1.7,1.4,1.2
"Italy","ITA",3.3,3.4,3.7,5,5.5,4.7,4.2,4.2,3.9,3.7,2,1.9,2.2,2.5,2.5,4.8,4.9,4.9,4.9,4.9,4.7,4.6,4.9,5,4.8,2.6,2.3,2,1.7,2,2.4,2.6,2.3,2.3,2.7
"Jamaica","JAM",3.4,3.3,3,3.1,3.1,6.1,5.6,5.3,5,4.8,6.3,6,5.7,6,5.8,3.7,3.7,3.7,3.7,3.7,4,4,3.9,3.6,3.4,7.2,7.5,7.8,8.1,8.4,5.7,5.6,5.8,6.1,6.4
"Jordan","JOR",7.8,8.3,8.8,9.3,9.6,6.5,6.4,6.1,6.4,6.3,6.2,6.5,6.8,7.3,7.6,6.8,6.9,6.9,6.9,6.9,7.1,7.4,7.7,7.7,8,4.2,3.9,3.6,3.9,4.2,4.3,5,4.7,4.4,4.2
"Japan","JPN",3.7,3.4,3.1,3.4,4.4,2.2,2,1.7,1.4,1.2,3.7,3.9,3.6,4,3.8,2.6,2.6,2.6,2.6,2.6,3.8,4.1,4.2,3.9,3.7,2,2.3,2.6,2.9,3.2,2.5,2.4,2.1,1.8,2.2
"Kazakhstan","KAZ",3.8,3.8,3.5,3.2,3,7.8,7.7,8,8,8.3,5.3,5,4.7,4.4,4.2,7.7,7.6,7.6,7.6,7.6,6.2,6.5,7,7.3,7.6,3.6,3.9,3.6,3.3,3.6,5.1,4.8,4.5,4.2,4
"Kenya","KEN",8.7,8.2,8.3,8,8.3,8.3,8.4,8.1,7.8,7.6,8.5,8.2,8,8.3,8.1,9,9.3,8.9,8.9,8.9,9,9.3,9,9.1,8.9,7.8,7.8,7.5,7.8,7.6,8.1,8.2,7.9,8.2,8
"Kyrgyz Republic","KGZ",5.6,5.5,5.8,5.5,5.3,8.4,8.2,7.8,7.9,7.7,7.3,7.6,6.9,6.6,6.4,8,8,8,8,8,8.4,8.2,8.4,8.6,8.4,6.4,6.1,6.4,6.7,7,5.9,5.9,5.6,5.3,5.1
"Cambodia","KHM",6.2,6.1,5.8,5.9,5.7,8.3,8.4,8.4,8.5,8.3,8,7.7,7.4,7.6,7.4,8,8.6,8.2,8.3,8.3,7,7.3,7.4,7.1,6.9,7.4,7.2,7.5,7.8,7.6,8.1,8,7.7,8,7.8
"Korea, Rep.","KOR",2,1.8,1.5,1.7,2,2.9,2.8,3.3,3.4,4.4,5.4,5.7,5.4,5.1,5.6,3.6,3.6,3.8,3.8,4.3,3.1,3.1,3.4,3.1,2.9,3.9,3.6,3.5,3.6,3.9,1.9,2.1,2.4,2.1,1.9
"Kuwait","KWT",3.8,3.7,4,3.7,3.5,7.6,7.3,7.3,7.4,7.2,4.4,4.1,4.4,4.5,4.8,7.9,8,7.5,7.5,7.8,4.6,4.9,4.7,5.2,4.7,3.7,3.4,3.1,3.3,3.6,2.6,2.8,2.5,2.8,2.6
"Lao PDR","LAO",5.8,5.9,5.6,5.3,5.1,8.6,8.6,9,9.3,9.1,6.6,6.9,6.6,6.3,6.1,8.3,8.3,8.3,8.3,8.3,6.1,6,6.3,6.6,6.6,6.8,7.1,7.4,7.7,7.7,7.3,7.4,7.7,7.2,7
"Lebanon","LBN",8.5,8.6,9.1,9.5,9.3,7.2,7.3,7.8,7.8,7.6,8.2,8.4,9.2,9.3,9.1,9.2,9.3,9.3,9.3,9.3,8.5,8.9,8.6,8.7,8.5,6,5.7,5.4,5.1,5,5.6,5.7,5.4,5.9,5.7
"Liberia","LBR",9.2,9.1,9.2,8.9,8.7,6.6,6.9,7.3,7,6.8,9.8,9.7,10,9.5,9.3,8.3,8.3,8.3,8.3,8.3,6.5,6.5,6.2,6,5.8,7,6.9,6.6,6.9,7.2,9.1,9.3,9.7,9.5,9.3
"Libya","LBY",5.4,5.7,7.4,8,8.3,8.4,8.5,9.8,9.5,9.5,8.8,9,9.5,9.7,10,8,8.1,9.1,9.4,9.4,7.4,7.5,7.8,8.3,8.1,4.2,5.5,6.4,6.5,6.3,7.3,7.4,7.5,7.2,7
"Sri Lanka","LKA",8.4,8.5,8.2,7.9,8.4,8.2,8.3,8,7.4,6.9,6.8,6.7,6.4,6.5,6.3,9.3,9.4,9.1,8.8,8.8,9.5,9.3,9.3,9.2,9,7.3,7.6,7.8,7.9,7.7,5.5,5.3,5.6,5.3,5.1
"Lesotho","LSO",4.9,5.2,4.9,4.8,4.8,6,5.7,6.4,6.1,5.9,7.2,7.5,7.8,8,7.8,7,7,7.3,7.3,7.3,4.7,4.7,4.4,4.1,3.9,6.8,7.1,7.4,7.7,8,8.2,8.2,8,8.3,8.1
"Lithuania","LTU",2.9,2.9,2.6,2.4,2.3,3.8,3.5,3.2,2.9,2.7,3.2,3,3,3.5,4,3,3,3,3,3,3.7,4,4.3,4.6,4.4,4.1,4,4.2,4.1,4.4,3.4,3.7,4,3.7,3.5
"Luxembourg","LUX",1.8,1.7,1.7,3.7,3.5,1.9,1.6,1.3,1,1,2,1.9,1.6,1.3,1.1,3.4,3.4,3.4,3.4,3.4,2.8,2.8,3.1,3.1,3.1,2.1,2.4,2.1,1.8,2.1,1.3,1.6,1.3,2.3,2.1
"Latvia","LVA",3.3,3.2,2.9,3,2.8,4.5,4.2,3.9,3.6,3.4,3.8,3.5,3.8,4.1,3.9,4.3,4.3,4.3,4.3,4.3,5.4,5.8,7.4,7.7,8,4.2,4.1,4.4,4.5,4.8,3.4,3.7,3.4,3.1,2.9
"Morocco","MAR",5.9,5.6,5.3,5.6,6.1,6.7,6.6,6.5,6.8,6.7,4.9,5.2,6,5.7,6,6.6,6.6,6.6,6.6,6.6,6.5,6.8,7.1,7.4,7.7,7,7.3,7.6,7.9,8.2,5.9,5.9,5.7,5.4,5.2
"Moldova","MDA",5,4.7,4.4,4.1,3.9,6.9,6.6,6.3,6.8,6.6,6.9,7.4,7.3,7.6,7.4,7.7,7.8,7.8,8.3,8.3,6,6.2,6.5,7,7.3,6.9,6.6,6.4,6.3,6.6,5.7,5.4,5.4,5.1,4.9
"Madagascar","MDG",4.3,4.2,3.9,3.6,3.9,7.2,7.3,7.2,7.3,7.1,7.7,7.6,7.3,7,6.8,7.5,7.6,7.6,7.8,7.8,4.9,4.9,4.6,4.3,4.1,5.5,5.8,6.1,6.4,6.7,8.6,8.8,9.1,9.3,9.1
"Maldives","MDV",5.3,5,4.7,4.4,4.7,8.3,8.4,8.5,8.7,8.5,6.4,6.7,7,6.7,6.5,8,8.3,7.8,8,8,4.9,4.9,4.6,4.8,4.8,6.2,5.9,5.6,5.9,6.2,6.7,6.4,6.1,5.8,5.6
"Mexico","MEX",4,4.3,4.4,4.1,5.1,6.1,5.8,5.9,6.2,6.5,6.1,5.8,5.5,5.2,5.5,5.2,5.1,5.1,5.1,5.4,6.1,6.1,6.4,6.7,7.2,5.9,5.6,5.8,5.5,5.8,6.6,6.3,6.8,6.5,6.8
"Macedonia, FYR","MKD",5.2,5,5.3,7,7.3,6.1,5.8,5.5,6,5.8,5.6,5.9,5.9,6.2,6,7,7,7,7.3,7.3,7.8,7.3,7,7.1,6.9,6.1,5.8,5.5,5.2,5.2,3.9,4.1,4.4,4.1,3.9
"Mali","MLI",7.6,7.5,7.8,8.1,7.9,6,5.9,6,6.3,6.1,8,8.5,9.3,9.6,9.4,5,4.9,4.9,5.2,4.9,7.6,7.5,7.6,7.9,7.4,7.8,8.1,8.4,8.7,8.5,8.5,8.6,9,9,8.8
"Malta","MLT",5.2,4.9,4.6,4.1,4.4,4.1,3.8,3.9,3.8,3.6,3.8,3.9,3.6,3.5,3.3,2,2,2,2,2,4,4,3.9,3.9,3.9,4.1,4.3,4,3.9,3.7,2.3,2.6,2.3,2.2,2
"Myanmar","MMR",8.5,8.2,8.3,8.3,8.7,9,9.3,9,8.7,8.6,6.6,6.9,7,7.5,7.3,8.6,8.6,8.3,8.6,8.3,9,9.3,9.7,9.9,9.7,5.4,5.3,5.7,6,6.4,8.1,8.3,8.6,8.7,8.5
"Montenegro","MNE",4.5,4.8,4.5,4.8,4.6,4.2,4.3,4,4.8,4.6,5.3,5.6,5.9,6.2,6.5,6.2,6.3,6.3,6.5,6.5,6.5,7,7.3,7.6,7.9,3,3.3,3.6,3.7,4,3.6,3.9,3.6,3.3,3.1
"Mongolia","MNG",2.2,2.5,2.4,2.7,3,5.3,4.8,4.5,4.2,4,6.5,6.2,6.5,6.8,7.1,5.5,5.5,5.5,5.5,5.5,3.7,4,4.3,4,3.8,2.5,2.8,3.1,3,3.3,5.7,6,5.7,5.6,5.4
"Mozambique","MOZ",4.6,4.9,5,5.5,5.8,7,7.5,7.2,6.7,6.5,6.8,7.1,7.3,7.6,8,5.6,6.6,6.9,6.9,6.6,4.9,5.4,5.9,5.6,5.4,7.2,7.4,7.4,7.7,8,8.5,8.7,9,9.2,9.7
"Mauritania","MRT",8.3,8.8,8.5,8.2,8,7.7,7.4,7.9,8.2,8,7.9,8.2,8.5,8.2,8,8.2,8.5,8.8,8.8,8.8,7.2,7.2,6.9,7.2,7,5.7,6,6.3,6.6,6.9,8.4,8.6,8.9,9.2,9
"Mauritius","MUS",2.2,2.5,2.2,2.4,2.7,4.1,3.8,3.5,3.2,3,4.6,4.9,5.2,4.9,4.7,3.2,3.2,3.2,3.2,3.2,3.5,3.5,3.8,3.8,3.6,3.6,3.9,4.2,4.1,4.4,3.8,4.1,3.8,3.5,3.3
"Malawi","MWI",6.5,6.4,6.1,6.3,5.8,7.5,7.6,6.9,6.6,6.4,8.4,8.4,8.1,8.4,8.2,7.6,7.7,7.7,7.7,8.1,5.7,5.7,5.4,5.1,5.6,8.1,8.4,8.1,8.1,7.9,8.2,8.1,7.8,8.1,8.6
"Malaysia","MYS",4.6,4.5,4.2,3.9,3.7,6.2,6.6,6.9,7.4,7.7,4.4,4.1,4.2,4,3.8,6.8,7,6.5,6.8,6.8,6.1,6.2,6.2,6.7,6.5,4.8,4.8,4.5,4.7,5,4.5,4.6,4.7,4.4,4.2
"Namibia","NAM",5.6,5.8,5.5,5.2,5,4.1,4.1,3.8,3.5,3.3,6.5,7.2,6.9,6.6,6.4,3.5,3.5,3.5,3.5,3.5,5.3,5.6,5.9,6,5.8,6.5,6.8,6.5,6.8,7.1,6.7,7,7.3,7.6,7.4
"Niger","NER",7.9,8.2,7.9,8,7.9,8.1,7.8,7.5,7.8,7.3,8.5,8.6,8.1,8.3,8.1,8.9,8.9,8.9,8.9,8.9,7.8,7.5,7.5,7.7,8,6.3,6.6,6.9,7.2,7.5,9.5,9.3,9.3,9.2,9.5
"Nigeria","NGA",6.6,6.9,7.5,7.7,7.5,8.8,8.8,9.1,8.8,8.6,6.3,6,6,6.5,6.5,9.4,9.5,9.8,9.9,9.6,9.8,9.8,9.9,9.4,9.2,7.3,7,7.1,7.4,7.2,9.3,9,9.1,9.4,9.2
"Nicaragua","NIC",4.8,5.1,4.6,4.2,4,7.5,7.6,7.3,7.6,7.9,7.3,7.6,7.3,7.5,7.3,6.8,6.8,6.8,7.1,7.1,5.9,6.2,6.5,6.7,6.5,7.8,7.8,8.1,8.3,8.1,6.8,6.9,7.2,6.9,6.7
"Netherlands","NLD",2.4,2.4,2.1,4,3.8,1,1,1,1.5,1.3,1.5,1.6,1.2,0.9,1.2,2.6,2.6,2.6,3.1,3.1,4.1,4.1,3.9,4.4,4.5,2.2,2.4,2.6,2.3,2.6,1.5,1.8,1.5,1.2,1
"Norway","NOR",1.9,2.2,1.9,3,2.8,0.5,0.5,0.4,0.5,0.8,1.3,1.5,1.2,1.5,1.3,1.1,1.1,1.1,1.1,1.1,3.6,3.7,3.7,3.8,3.6,1.6,1.9,1.6,1.3,1.6,1.4,1.7,1.4,1.1,1
"Nepal","NPL",7.7,7.6,7.6,8,7.8,8.1,7.6,7.1,7.1,7.4,7.1,7.3,7.4,7.1,6.9,8.2,8.3,8.3,8.3,8.8,9,9,9.1,9.5,9.4,5.9,6.2,7,6.7,6.5,7.3,7.4,7.1,7.4,7.2
"New Zealand","NZL",1.1,1.2,1.1,1.5,1.8,0.5,0.5,0.5,0.6,0.9,1,1.3,1.1,0.9,1.2,1.1,1.1,1.1,1.1,1.4,3.5,3.8,4.1,3.8,3.6,2.4,2.2,2.1,1.8,2.1,1.8,2.1,1.9,1.6,1.4
"Oman","OMN",2,2.3,2,2.2,2.5,6.1,6.4,6.6,6.5,6.8,2.4,2.5,2.2,2,2.3,6.6,6.6,6.6,6.6,6.6,2.7,2.7,3,3.1,2.9,1.8,2.1,1.9,2.2,2.5,4.4,4.1,3.8,3.7,3.5
"Pakistan","PAK",9.1,8.8,8.9,8.9,8.7,8.4,8.5,8.6,8.3,8.1,9.6,9.3,9.3,9.6,9.4,9.2,9.5,9.2,8.9,8.9,9.7,10,10,9.7,10,6.9,6.9,7,7.3,7.2,7.3,7.6,7.9,8.2,7.7
"Panama","PAN",3.7,4,3.5,3.2,3,4.7,4.6,4,3.7,3.2,3.3,3.5,3.2,2.9,2.7,2.5,2.5,2.5,2.5,2.2,5,5.3,5.6,5.3,5.6,4.5,4.2,4,4.3,4.6,5,5.2,5.5,5.3,4.8
"Peru","PER",4.7,5,4.8,4.5,4.3,7.1,7.4,7.1,7.4,7.2,4.5,4.4,4,3.7,3.5,6.7,6.7,6.7,6.9,6.9,7,7.3,7.5,7.6,7.4,6.1,6.4,6.7,7,7.3,6.4,6.7,7.1,6.9,6.7
"Philippines","PHL",6.5,7.7,7.4,7.1,6.9,7.6,7.3,7.5,7.2,7,5.5,6.2,6.3,6.6,6.4,8,8,8,8,8,7.9,8.3,8.3,8.1,7.9,6.2,5.9,6.2,6.5,6.5,6.4,6.9,7.2,6.9,6.7
"Papua New Guinea","PNG",5,4.9,4.6,4.7,5.2,7.1,6.6,6.9,7,6.8,6.3,6.4,6.7,7,6.8,7.1,7.1,7.1,7.1,7.1,6.6,6.6,6.3,6.5,6.3,7.5,7.3,7.1,7.4,7.4,8.9,9,8.7,9.2,9
"Poland","POL",2.8,3.1,2.8,3.8,3.6,3.4,3.5,3.2,3.5,3.3,3.3,3,2.7,3.1,2.9,3.6,3.8,3.8,3.8,4.2,3.8,4.1,4.4,4.9,5.4,5,4.7,4.4,4.2,4.5,2.8,3.1,2.8,2.5,2.3
"Korea, Dem. People’s Rep.","PRK",5,4.7,4.3,4.6,4.4,9.8,9.9,10,10,10,8.4,8.4,8.8,9.3,9.8,7.7,8.2,8.5,8.5,8.5,6.6,6.6,6.3,6,5.8,4.4,4.4,4.2,4.1,4.4,9.5,9.2,8.9,8.8,8.6
"Portugal","PRT",1.6,1.9,1.6,1.9,2.2,2.1,2.3,1.8,1.8,1.6,3.3,3,2.5,2.5,2.8,1.3,1.8,1.8,2.5,2.5,2.3,2.3,2.6,2.7,2.5,2.6,2.5,2.2,1.9,2.2,3.5,3.3,2.7,2.4,2.2
"Paraguay","PRY",2.4,2.7,2.2,2.8,3.1,7.9,7.4,7.1,7.2,7,4.2,4.1,4.4,4.5,4.8,7.9,7.8,7.8,7.8,7.8,6.5,6.2,5.9,6,5.8,4.9,4.9,5.2,5.5,5.8,6.1,6.4,6.7,6.4,6.2
"Qatar","QAT",2.1,2.1,1.8,2,2,5.9,6.2,6,6.3,6.3,4,3.7,3.2,2.9,2.7,5,5,5,5,5,4.9,4.9,4.6,4.6,4.6,3.1,3.4,3.1,2.8,2.6,2,2.3,1.8,1.5,1.3
"Romania","ROU",2.7,3,2.7,3,2.8,6.4,6.1,5.6,5.7,5.2,4.6,4.3,4.1,3.8,3.6,5.2,5.2,5.2,5.4,5.4,6.3,6.6,6.8,7,6.8,4.7,4.4,4.5,4.2,4.5,4.3,4.6,4.3,4,3.8
"Russian Federation","RUS",5.3,5.2,5.7,6,5.8,8.1,7.6,7.9,8.2,8.5,4,4.3,5.9,5.9,5.7,8,8.1,8.1,8.1,8.1,8.2,8.5,9.3,9,8.8,5.1,4.8,4.5,4.2,4,5.1,5,4.7,4.4,4.2
"Rwanda","RWA",7.9,8.2,7.9,8,8.3,6.5,6.5,6.5,6.8,7.1,8,8.1,7.8,7.7,7.5,8.2,8.2,8,8.3,8,8.2,8.5,8.8,9.1,9.4,6.9,7.2,7.5,7.6,7.4,7.6,7.5,7.3,7.6,7.4
"Saudi Arabia","SAU",5.2,4.9,4.6,4.9,4.7,7.8,8.1,7.8,8.1,8,5.6,5.3,4.8,4.9,4.7,8,8,8,8.2,8.2,7.4,7.7,7.4,7.5,7.8,3.1,3.4,3.7,3.5,3.8,4,4,3.7,4,3.8
"Sudan","SDN",10,9.7,10,10,9.8,9.6,9.3,9.6,9.8,9.8,10,9.6,9.8,9.9,9.7,10,10,9.8,10,9.7,10,9.9,9.7,9.8,10,8.4,8.7,8.8,9.1,8.9,8.8,9.1,8.8,9.1,8.9
"Senegal","SEN",7,7.3,7.8,7.5,7.3,5.9,6,5.5,5.2,4.7,6.3,6.2,6.5,6.8,6.7,6.6,6.6,6.6,6.6,6.6,6.3,6.6,6.3,6.6,6.4,6.8,7.1,7.4,7.7,8,7.8,7.9,7.9,7.6,7.5
"Singapore","SGP",1.1,1.4,1.1,1.4,1.7,3.2,3.5,3.8,3.9,3.9,2.2,2,1.7,1.4,1.2,4,4,4,4,4,2.7,2.8,3.1,2.8,2.6,3.3,3.6,3.3,3,3.3,1.9,2.1,1.8,1.5,1.3
"Solomon Islands","SLB",4.9,5.2,4.9,4.6,4.4,7.3,7,7.3,7,6.8,8.2,8.5,8,8.3,8.6,8,8,8.2,8.2,8.2,6.8,6.8,6.5,6.5,6.5,5.7,6,6.3,6.6,6.9,8,7.9,7.6,7.9,7.7
"Sierra Leone","SLE",8.1,7.8,8.2,7.9,7.7,7.3,7.2,6.9,7.1,6.9,7.4,7.4,7.8,8.1,7.9,7.9,7.7,7.7,7.8,7.8,5.9,5.9,6.2,5.9,6.2,8,8.3,8.4,8.7,8.5,9,9.1,9.3,9,8.8
"El Salvador","SLV",5.5,5.6,5.1,5,4.8,5.9,5.6,4.8,5,4.8,5.1,5.4,5.3,5.6,5.9,4.3,4.3,4.3,4.3,4.3,5.7,6,6.3,6.2,6.7,6.9,6.6,6.9,7.5,7.9,6.5,6.4,6.7,6.6,6.4
"Somalia","SOM",10,10,9.8,9.7,10,9.5,9.1,9.3,9.5,9.3,9.4,9.2,9.5,9.5,9.3,10,10,10,10,10,9.3,9.3,9.5,9.4,8.9,8.9,8.9,9.2,9.5,9.8,9.8,9.6,9.3,9,9
"Serbia","SRB",6.6,6.5,7,8.6,8.4,6.3,5.8,5.7,5.4,5.2,7,6.7,6.6,6.4,6.2,8,8,8,8,8,8,8,8.1,7.8,7.3,4.7,5,5.3,5,5.3,4.7,4.4,4.7,4.4,4.2
