"country","countryiso3","NY.GDP.PCAP.CD_2013","NY.GDP.PCAP.CD_2014","NY.GDP.PCAP.CD_2015","NY.GDP.PCAP.CD_2016","NY.GDP.PCAP.CD_2017","NY.GDP.PCAP.CD_2018"
"Kenya","KEN",1210.38801408195,1315.80453537238,1336.8833490475,1410.5275710827,1568.20154066413,1710.51009699405
"Kiribati","KIR",1715.76533141614,1642.76259749601,1542.5752495838,1584.80744578963,1625.575969558,1625.28610001512
"Korea, Rep.","KOR",25890.0186698906,27811.36638377,27105.076226264,27623.2886934892,29803.2314870196,31380.1464468654
"Kosovo","XKX",3876.97067553345,4054.71696967191,3574.24111998804,3697.12959470956,3948.05266976444,4302.27648252378
"Kuwait","KWT",49388.2093931705,44062.4002975741,29869.5293908248,27653.1644010105,29759.5324471408,33994.4065667831
"Kyrgyz Republic","KGZ",1282.43716202467,1279.76978265986,1121.08283510739,1120.66651300848,1242.76964282023,1279.94505737786
"Lao PDR","LAO",1825.66511330676,1998.33521471699,2134.71179567796,2308.80048220079,2423.8462031921,2542.4865281792
"Late-demographic dividend","LTE",8549.99466493055,8802.4618287513,8197.97171827014,8147.1116052222,8954.48947026081,9703.60049859152
"Latin America & Caribbean","LCN",10317.2940460346,10407.836019193,8862.92476515229,8570.5919749233,9423.03860364219,9072.68036208631
"Latin America & Caribbean (excluding high income)","LAC",9927.57989324764,10052.8137675316,8453.82880367977,8136.85045962308,8983.93770540052,8576.16960081681
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",10238.4090913614,10324.935869143,8720.69845908035,8410.81833433834,9277.3840560921,8916.73067860781
"Latvia","LVA",15043.1175639591,15740.3267490719,13698.9379476476,14153.4149226916,15548.0823130571,17854.7599635064
"Least developed countries: UN classification","LDC",1003.03102652117,1060.72792520505,1024.98994921996,1012.56584416081,1110.00488737708,1057.98604201905
"Lebanon","LBN",7923.851717266,7712.06284840621,7649.8326108624,7634.94654364282,7838.34338489943,8269.78767551923
"Lesotho","LSO",1249.18349561088,1276.4130001565,1112.08144054711,1115.33607520903,1226.6126297762,1299.15312598733
"Liberia","LBR",721.930055405248,721.182794835652,710.383857717515,714.623392230031,698.70176435511,677.322178545364
"Libya","LBY",10363.7894894551,6466.91027014384,4337.91913919348,4035.1943155047,5756.42314018283,7241.70448113024
"Liechtenstein","LIE",173058.317372602,178845.631017897,167290.939983907,165028.245029187,NA,NA
"Lithuania","LTU",15705.1639858867,16534.4819837926,14249.1149666026,14999.4796391329,16840.938567953,19071.299790553
"Low & middle income","LMY",4612.18066758229,4721.02730093871,4420.93222015016,4383.33828691909,4750.54580083438,4975.11498702911
"Low income","LIC",806.29891871283,836.045273385613,801.988637009799,765.169691626458,795.794303089909,840.860138270249
"Lower middle income","LMC",1965.43325000868,2040.06755625983,1996.21009152207,2049.67383434143,2187.98896665772,2217.61351761399
"Luxembourg","LUX",113625.13289956,118823.648368575,101376.496574339,104278.390971905,107361.306947271,116597.295637954
"Macao SAR, China","MAC",89287.4540184115,93777.1067959425,75340.9869811152,74061.0860345658,81516.6749248075,87208.535912643
"Madagascar","MDG",541.06608508644,530.861263904165,467.235277373582,475.955365636474,515.292738970352,527.501285041282
"Malawi","MWI",348.430269640572,371.269749625713,380.597033140938,315.777326372575,356.717573153369,389.398033178836
"Malaysia","MYS",10970.1232849014,11319.0797572756,9955.24212653611,9817.74086096214,10254.2340242588,11373.2330025676
"Maldives","MDV",7928.45736514824,8499.36576172668,9033.3904129872,9209.28862477108,9540.63434888323,10330.615614094
"Mali","MLI",805.259668494187,847.150386296709,751.170593517089,779.874933008414,828.511976401524,899.659908096615
"Malta","MLT",23838.6143979371,26012.0153054014,24077.0108248549,25151.5196168932,27283.5447293274,30029.9670447209
"Marshall Islands","MHL",3296.69816291405,3230.02326028787,3213.83728825363,3473.77500649519,3666.69537359193,3788.16359372058
"Mauritania","MRT",1477.36153924563,1371.58434966602,1193.40059592486,1123.88816589683,1145.54794727391,1188.83458753973
"Mauritius","MUS",9637.00265000958,10153.9382184867,9260.44730250635,9681.61856689674,10484.9083620411,11238.6903948961
"Mexico","MEX",10725.1833166036,10922.3760488647,9605.95235103139,8739.75604280929,9278.41816833763,9673.44367360619
"Micronesia, Fed. Sts.","FSM",2994.6788332915,2971.45688395377,2906.37722112463,3014.7000181241,3289.70122265962,3568.29082936098
"Middle East & North Africa","MEA",8669.99347169996,8542.08707795643,7389.22350891522,7275.57905480745,7419.12785315043,8044.3218889333
"Middle East & North Africa (excluding high income)","MNA",4626.61495129994,4472.32284366497,3963.37285694474,3939.87659633446,3825.03406310963,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN",4644.79779863396,4488.89726899767,3974.81039088449,3949.75304068937,3831.27133748199,NA
"Middle income","MIC",5052.88314188754,5177.27337960726,4852.38728119164,4820.26992296252,5234.50382762359,5489.30481808577
"Moldova","MDA",3322.03840846966,3328.80144892125,2732.45711293733,2880.43928129296,3509.69345025814,4228.9224754993
"Monaco","MCO",177593.351895053,189170.895671097,165937.865343145,169915.804840176,167101.759376942,185741.279991587
"Mongolia","MNG",4366.07590145025,4158.52571473091,3918.57917389554,3660.15074616061,3669.4175404033,4121.73243469391
"Montenegro","MNE",7186.43192406181,7378.34528902948,6514.27269528653,7028.93657685094,7784.06528996557,8845.91421887296
"Morocco","MAR",3121.68117550498,3171.69919227376,2875.25798516781,2896.72000268117,3036.32525487301,3222.20063433213
