"country","countryiso3","score_ability_to_reform:_.30821_2012","score_ability_to_reform:_.30821_2016","score_capacity_to_adapt_p.30822_2012","score_capacity_to_adapt_p.30822_2016","score_certification_of_co.30828_2012","score_certification_of_co.30828_2016","score_certification_of_co.30829_2012","score_certification_of_co.30829_2016","score_child_labour_in_rur.30831_2012","score_child_labour_in_rur.30831_2016","score_child_labour_in_urb.30832_2012","score_child_labour_in_urb.30832_2016","score_ability_to_reform:_.30833_2012","score_ability_to_reform:_.30833_2016","score_compensation_in_cas.30839_2012","score_compensation_in_cas.30839_2016","score_compensation_in_cas.30840_2012","score_compensation_in_cas.30840_2016","score_ability_to_reform:_.30844_2012","score_ability_to_reform:_.30844_2016","score_competition_in_the_.30848_2012","score_competition_in_the_.30848_2016","score_control_over_the_ar.30863_2012","score_control_over_the_ar.30863_2016","score_control_over_the_cu.30864_2012","score_control_over_the_cu.30864_2016","score_control_over_the_po.30865_2012","score_control_over_the_po.30865_2016","score_cooperation_of_publ.30870_2012","score_cooperation_of_publ.30870_2016","score_cooperation_private.30871_2012","score_cooperation_private.30871_2016","score_cooperation_private.30872_2012","score_cooperation_private.30872_2016","score_cooperation_private.30873_2012","score_cooperation_private.30873_2016","score_coordinationcollabo.30879_2012","score_coordinationcollabo.30879_2016","score_coordinationcollabo.30880_2012","score_coordinationcollabo.30880_2016","score_corruption:_between.30883_2012","score_corruption:_between.30883_2016","score_corruption:_between.30884_2012","score_corruption:_between.30884_2016","score_credit:_quantitativ.30885_2012","score_credit:_quantitativ.30885_2016","score_currency_convertibi.30886_2012","score_currency_convertibi.30886_2016","score_de_facto_obstacles_.30890_2012","score_de_facto_obstacles_.30890_2016","score_de_facto_obstacles_.30891_2012","score_de_facto_obstacles_.30891_2016","score_demands_of_workers_.30901_2012","score_demands_of_workers_.30901_2016","score_development_of_the_.30903_2012","score_development_of_the_.30903_2016","score_development_of_the_.30904_2012","score_development_of_the_.30904_2016","score_development_of_vent.30905_2012","score_development_of_vent.30905_2016","score_developmenteconomic.30906_2012","score_developmenteconomic.30906_2016","score_developmenteconomic.30907_2012","score_developmenteconomic.30907_2016","score_discrimination_on_t.30919_2012","score_discrimination_on_t.30919_2016","score_discrimination_on_t.30920_2012","score_discrimination_on_t.30920_2016","score_discrimination:_on_.30921_2012","score_discrimination:_on_.30921_2016","score_discrimination:_on_.30922_2012","score_discrimination:_on_.30922_2016","score_discrimination:_on_.30923_2012","score_discrimination:_on_.30923_2016","score_discrimination:_on_.30925_2012","score_discrimination:_on_.30925_2016","score_discrimination:_on_.30926_2012","score_discrimination:_on_.30926_2016","score_dismissal_procedure.30929_2012","score_dismissal_procedure.30929_2016","score_disparity_in_labour.30930_2012","score_disparity_in_labour.30930_2016","score_diversity_of_the_la.30933_2012","score_diversity_of_the_la.30933_2016","score_diversity_of_the_la.30934_2012","score_diversity_of_the_la.30934_2016","score_ability_to_hire_for.30936_2012","score_ability_to_hire_for.30936_2016","score_accounts_certificat.30959_2012","score_accounts_certificat.30959_2016","score_dynamism_of_special.30984_2012","score_dynamism_of_special.30984_2016","score_ease_of_domestic_ba.30985_2012","score_ease_of_domestic_ba.30985_2016","score_ease_of_foreignfund.30986_2012","score_ease_of_foreignfund.30986_2016","score_ease_of_setting_up_.30987_2012","score_ease_of_setting_up_.30987_2016","score_ease_of_starting_a_.30988_2012","score_ease_of_starting_a_.30988_2016","score_effectiveness_of_ar.30995_2012","score_effectiveness_of_ar.30995_2016","score_efficiency_of_bank_.31000_2012","score_efficiency_of_bank_.31000_2016","score_efficiency_of_the_b.31001_2012","score_efficiency_of_the_b.31001_2016","score_efficiency_of_the_f.31003_2012","score_efficiency_of_the_f.31003_2016","score_efficiency_of_the_i.31004_2012","score_efficiency_of_the_i.31004_2016","score_efficiency_of_the_s.31005_2012","score_efficiency_of_the_s.31005_2016","score_efficiency_of_the_t.31006_2012","score_efficiency_of_the_t.31006_2016","score_efficiency_of_the_t.31007_2012","score_efficiency_of_the_t.31007_2016","score_efficiency_of_the_t.31008_2012","score_efficiency_of_the_t.31008_2016","score_electoral_processes.31009_2012","score_electoral_processes.31009_2016","score_elite:_capacity_to_.31010_2012","score_elite:_capacity_to_.31010_2016","score_employers_organizat.31014_2012","score_employers_organizat.31014_2016","score_employment_contract.31016_2012","score_employment_contract.31016_2016","score_employment_contract.31017_2012","score_employment_contract.31017_2016","score_enforcement_of_judi.31018_2012","score_enforcement_of_judi.31018_2016","score_equal_treatment.31019_2012","score_equal_treatment.31019_2016","score_equal_treatment_bef.31020_2012","score_equal_treatment_bef.31020_2016","score_equal_treatment_bef.31021_2012","score_equal_treatment_bef.31021_2016","score_equal_treatment:_ac.31022_2012","score_equal_treatment:_ac.31022_2016","score_equal_treatment:_ac.31023_2012","score_equal_treatment:_ac.31023_2016","score_equal_treatment:_ac.31024_2012","score_equal_treatment:_ac.31024_2016","score_equal_treatment:_ad.31025_2012","score_equal_treatment:_ad.31025_2016","score_evaluation_of_publi.31031_2012","score_evaluation_of_publi.31031_2016","score_evictionexpulsion_o.31032_2012","score_evictionexpulsion_o.31032_2016","score_ability_to_limit_ta.31045_2012","score_ability_to_limit_ta.31045_2016","score_existence_of_establ.31057_2012","score_existence_of_establ.31057_2016","score_exploitation_of_nat.31064_2012","score_exploitation_of_nat.31065_2016","score_financial_sector:_c.31088_2012","score_financial_sector:_c.31088_2016","score_fiscal_autonomy:_mu.31089_2012","score_fiscal_autonomy:_mu.31089_2016","score_fiscal_autonomy:_ot.31090_2012","score_fiscal_autonomy:_ot.31090_2016","score_foreign_economic_st.31093_2012","score_foreign_economic_st.31093_2016","score_freedom_and_legalit.31099_2012","score_freedom_and_legalit.31099_2016","score_freedom_for_trade_u.31100_2012","score_freedom_for_trade_u.31100_2016","score_freedom_of_collecti.31114_2012","score_freedom_of_collecti.31114_2016","score_freedom_of_entry_fo.31115_2012","score_freedom_of_entry_fo.31115_2016","score_freedom_of_movement.31116_2012","score_freedom_of_movement.31116_2016","score_freedom_of_the_pres.31119_2012","score_freedom_of_the_pres.31119_2016","score_freedom_to_establis.31123_2012","score_freedom_to_establis.31123_2016","score_freedom_to_establis.31124_2012","score_freedom_to_establis.31124_2016","score_freedom_to_establis.31125_2012","score_freedom_to_establis.31125_2016","score_freedom_to_leave_th.31128_2012","score_freedom_to_leave_th.31128_2016","score_genuine_media_plura.31142_2012","score_genuine_media_plura.31142_2016","score_amendment_of_the_ru.31145_2012","score_amendment_of_the_ru.31145_2016","score_guidance_of_the_cre.31154_2012","score_guidance_of_the_cre.31154_2016","score_ability_to_reform:_.31166_2012","score_ability_to_reform:_.31166_2016","score_arbitrary_pressures.31167_2012","score_arbitrary_pressures.31167_2016","score_higher_education_sy.31171_2012","score_higher_education_sy.31171_2016","score_hopes_of_young_peop.31172_2012","score_hopes_of_young_peop.31172_2016","score_impartiality_of_the.31175_2012","score_impartiality_of_the.31175_2016","score_impartiality_of_the.31177_2012","score_impartiality_of_the.31177_2016","score_impartiality_of_the.31178_2012","score_impartiality_of_the.31178_2016","score_importance_of_joint.31181_2012","score_importance_of_joint.31181_2016","score_independence_of_the.31222_2012","score_independence_of_the.31222_2016","score_independence_of_tra.31223_2012","score_independent_decisio.31225_2012","score_independent_decisio.31225_2016","score_influence_of_donors.31229_2012","score_influence_of_donors.31229_2016","score_influence_of_organi.31230_2012","score_influence_of_organi.31230_2016","score_informal_microfinan.31232_2012","score_informal_microfinan.31232_2016","score_insolvency_legislat.31240_2012","score_insolvency_legislat.31240_2016","score_institutional_solid.31241_2012","score_institutional_solid.31241_2016","score_institutional_solid.31242_2012","score_institutional_solid.31242_2016","score_institutional_solid.31243_2012","score_institutional_solid.31243_2016","score_institutional_micro.31244_2012","score_institutional_micro.31244_2016","score_integration_capacit.31252_2012","score_integration_capacit.31252_2016","score_integration_capacit.31253_2012","score_integration_capacit.31253_2016","score_intellectual_proper.31255_2012","score_intellectual_proper.31255_2016","score_intellectual_proper.31256_2012","score_intellectual_proper.31256_2016","score_intellectual_proper.31258_2012","score_intellectual_proper.31258_2016","score_internal_conflicts:.31259_2012","score_internal_conflicts:.31259_2016","score_internal_conflicts:.31260_2012","score_internal_conflicts:.31261_2016","score_internal_conflicts:.31262_2016","score_internal_conflicts:.31263_2012","score_internal_conflicts:.31263_2016","score_intervention_of_int.31275_2012","score_intervention_of_int.31275_2016","score_involvement_of_the_.31277_2012","score_involvement_of_the_.31277_2016","score_ability_to_reform:_.31278_2012","score_ability_to_reform:_.31278_2016","score_irregularities_in_o.31280_2012","score_irregularities_in_o.31280_2016","score_is_economic_policy_.31286_2012","score_is_economic_policy_.31286_2016","score_is_economic_policy_.31287_2012","score_is_economic_policy_.31287_2016","score_judicial_decisions_.31319_2012","score_judicial_decisions_.31319_2016","score_land_in_public_owne.31328_2012","score_land_in_public_owne.31328_2016","score_land_issues_as_a_po.31329_2012","score_land_issues_as_a_po.31329_2016","score_land_tenure_rights:.31330_2012","score_land_tenure_rights:.31330_2016","score_land_tenure_rights:.31331_2012","score_land_tenure_rights:.31331_2016","score_legal_means_to_prot.31335_2012","score_legal_means_to_prot.31335_2016","score_legitimacy_of_the_p.31336_2012","score_legitimacy_of_the_p.31336_2016","score_legitimacy_of_the_p.31338_2012","score_legitimacy_of_the_p.31338_2016","score_legitimacy_of_the_p.31339_2012","score_legitimacy_of_the_p.31339_2016","score_level_of_""""largesca.31344_2012","score_level_of_""""largesca.31344_2016","score_longterm_strategic_.31361_2012","score_longterm_strategic_.31361_2016","score_microfinance:_repay.31372_2012","score_microfinance:_repay.31372_2016","score_middle_classes:_pol.31373_2012","score_middle_classes:_pol.31373_2016","score_minimum_wage_respec.31380_2012","score_minimum_wage_respec.31380_2016","score_mobilisation_of_soc.31381_2012","score_mobilisation_of_soc.31381_2016","score_municipal_authoriti.31386_2012","score_municipal_authoriti.31386_2016","score_national_economic_s.31387_2012","score_national_economic_s.31387_2016","score_ability_to_reform:_.31388_2012","score_ability_to_reform:_.31388_2016","score_national_economic_s.31390_2012","score_national_economic_s.31390_2016","score_neighbouring_countr.31392_2012","score_neighbouring_countr.31392_2016","score_observance_of_contr.31393_2012","score_observance_of_contr.31393_2016","score_observance_of_contr.31394_2012","score_observance_of_contr.31394_2016","score_obtaining_import_li.31395_2012","score_obtaining_import_li.31395_2016","score_opening_of_bank_cap.31399_2012","score_opening_of_bank_cap.31399_2016","score_operational_indepen.31407_2012","score_operational_indepen.31408_2012","score_operational_indepen.31409_2012","score_operational_indepen.31410_2012","score_assumption_of_polit.31411_2012","score_assumption_of_polit.31411_2016","score_operational_indepen.31412_2012","score_opposition_to_the_m.31413_2012","score_opposition_to_the_m.31413_2016","score_opposition_to_the_m.31414_2012","score_opposition_to_the_m.31414_2016","score_other_subnational_a.31418_2012","score_other_subnational_a.31418_2016","score_overall_coherence_o.31424_2012","score_overall_coherence_o.31424_2016","score_oversight_instituti.31425_2012","score_oversight_instituti.31425_2016","score_planningurban_plann.31430_2012","score_planningurban_plann.31431_2012","score_pluralism_of_trade_.31432_2012","score_pluralism_of_trade_.31432_2016","score_political_or_social.31435_2012","score_political_or_social.31435_2016","score_population_particip.31442_2012","score_population_particip.31442_2016","score_population_particip.31443_2012","score_population_particip.31443_2016","score_practice_of_guarant.31448_2012","score_practice_of_guarant.31448_2016","score_practice_of_guarant.31451_2012","score_practice_of_guarant.31451_2016","score_authority_of_the_po.31452_2012","score_authority_of_the_po.31452_2016","score_pressure_on_land:_r.31456_2012","score_pressure_on_land:_r.31456_2016","score_price_tension_on_la.31458_2012","score_price_tension_on_la.31458_2016","score_price_tension_on_la.31459_2012","score_price_tension_on_la.31459_2016","score_privatization_progr.31464_2012","score_privatization_progr.31464_2016","score_privatization:_repl.31465_2012","score_privatization:_repl.31465_2016","score_privatization:_tran.31466_2012","score_privatization:_tran.31466_2016","score_procedures_for_land.31467_2012","score_procedures_for_land.31467_2016","score_professional_mobili.31469_2012","score_professional_mobili.31469_2016","score_proportion_of_gdp_a.31470_2012","score_proportion_of_gdp_a.31470_2016","score_proportion_of_publi.31473_2012","score_proportion_of_publi.31473_2016","score_proportion_of_publi.31475_2012","score_proportion_of_publi.31475_2016","score_proportion_of_publi.31476_2012","score_proportion_of_publi.31476_2016","score_proportion_of_publi.31477_2012","score_proportion_of_publi.31477_2016","score_proportion_of_publi.31478_2012","score_proportion_of_publi.31478_2016","score_proportion_of_publi.31479_2012","score_proportion_of_publi.31479_2016","score_proportion_of_publi.31480_2012","score_proportion_of_publi.31480_2016","score_ability_to_reform:_.31494_2012","score_ability_to_reform:_.31494_2016","score_public_authorities_.31499_2012","score_public_authorities_.31499_2016","score_public_information_.31502_2012","score_public_information_.31502_2016","score_public_ownership_in.31503_2012","score_public_ownership_in.31503_2016","score_public_policies_for.31504_2012","score_public_policies_for.31504_2016","score_public_policy_exper.31505_2012","score_public_policy_exper.31505_2016","score_public_procurement:.31507_2012","score_public_procurement:.31507_2016","score_public_support_in_m.31510_2012","score_public_support_in_m.31510_2016","score_public_support_in_m.31511_2012","score_public_support_in_m.31511_2016","score_quality_of_public_s.31514_2012","score_quality_of_public_s.31514_2016","score_quality_of_public_s.31515_2012","score_quality_of_public_s.31515_2016","score_quality_of_public_s.31516_2012","score_quality_of_public_s.31516_2016","score_quality_of_public_s.31518_2012","score_quality_of_public_s.31518_2016","score_quality_of_public_s.31519_2012","score_quality_of_public_s.31519_2016","score_recognition_of_occu.31523_2012","score_recognition_of_occu.31523_2016","score_recognition_of_occu.31524_2012","score_recognition_of_occu.31524_2016","score_redeployment_and_re.31525_2012","score_redeployment_and_re.31525_2016","score_redistribution_mech.31526_2012","score_redistribution_mech.31526_2016","score_redistribution_mech.31527_2012","score_redistribution_mech.31527_2016","score_relationship_betwee.31546_2012","score_relationship_betwee.31546_2016","score_reliability:_state_.31548_2012","score_reliability:_state_.31548_2016","score_reliability:_state_.31549_2012","score_reliability:_state_.31549_2016","score_reliability:_stateo.31551_2012","score_reliability:_stateo.31551_2016","score_reliability:_stateo.31552_2012","score_reliability:_stateo.31552_2016","score_reliability:_econom.31553_2012","score_reliability:_econom.31553_2016","score_reluctance_to_hire_.31557_2012","score_reluctance_to_hire_.31557_2016","score_representative_inst.31558_2012","score_representative_inst.31558_2016","score_resistance_to_finan.31560_2012","score_resistance_to_finan.31560_2016","score_resistance_to_finan.31561_2012","score_resistance_to_finan.31561_2016","score_resistance_to_trade.31563_2012","score_resistance_to_trade.31563_2016","score_balance_of_the_acco.31573_2012","score_balance_of_the_acco.31573_2016","score_respect_for_the_rig.31576_2012","score_respect_for_the_rig.31576_2016","score_restructuring_proce.31579_2012","score_restructuring_proce.31579_2016","score_revenues_from_the_e.31581_2012","score_revenues_from_the_e.31581_2016","score_revenues_from_the_e.31582_2012","score_revenues_from_the_e.31582_2016","score_right_to_strike_in_.31586_2012","score_right_to_strike_in_.31586_2016","score_right_to_strike_in_.31587_2012","score_right_to_strike_in_.31587_2016","score_role_of_networks_in.31594_2012","score_role_of_networks_in.31594_2016","score_role_of_networks_in.31595_2012","score_role_of_networks_in.31595_2016","score_role_of_networks_in.31597_2016","score_role_of_networks:_s.31598_2012","score_role_of_networks:_s.31599_2012","score_role_of_networks:_s.31600_2012","score_ability_to_reform:_.31605_2012","score_ability_to_reform:_.31605_2016","score_banking_prudential_.31606_2012","score_banking_prudential_.31606_2016","score_scale_of_strike_mov.31610_2012","score_scale_of_strike_mov.31610_2016","score_scale_of_strike_mov.31611_2012","score_scale_of_strike_mov.31611_2016","score_security_across_the.31614_2012","score_security_across_the.31614_2016","score_security_of_persons.31616_2012","score_security_of_persons.31616_2016","score_banking_prudential_.31617_2012","score_banking_prudential_.31617_2016","score_sense_of_national_i.31629_2012","score_sense_of_national_i.31629_2016","score_banking_prudential_.31630_2012","score_banking_prudential_.31630_2016","score_share_of_stateowned.31632_2012","score_share_of_stateowned.31632_2016","score_share_of_administer.31633_2012","score_share_of_administer.31633_2016","score_banking_prudential_.31641_2012","score_banking_prudential_.31641_2016","score_significance_of_inf.31656_2012","score_significance_of_inf.31656_2016","score_significance_of_inf.31657_2012","score_significance_of_inf.31657_2016","score_skills_level_of_ban.31661_2012","score_skills_level_of_ban.31661_2016","score_social_dialogue_eff.31665_2012","score_social_dialogue_eff.31665_2016","score_social_dialogue_eff.31666_2012","score_social_dialogue_eff.31666_2016","score_social_dialogue_eff.31667_2012","score_social_dialogue_eff.31667_2016","score_societys_capacity_f.31680_2012","score_societys_capacity_f.31680_2016","score_societys_capacity_f.31681_2012","score_societys_capacity_f.31681_2016","score_societys_capacity_t.31682_2012","score_societys_capacity_t.31682_2016","score_sovereign_wealth_fu.31688_2012","score_sovereign_wealth_fu.31688_2016","score_standard_accounting.31692_2012","score_standard_accounting.31692_2016","score_standardised_accoun.31694_2012","score_standardised_accoun.31694_2016","score_standardised_accoun.31695_2012","score_standardised_accoun.31695_2016","score_states_arbitrary_vi.31704_2012","score_states_arbitrary_vi.31704_2016","score_strategic_vision:_t.31705_2012","score_strategic_vision:_t.31705_2016","score_strategic_vision:_c.31706_2012","score_strategic_vision:_c.31706_2016","score_strategic_vision:_h.31707_2012","score_strategic_vision:_h.31707_2016","score_strategic_vision:_i.31709_2012","score_strategic_vision:_i.31709_2016","score_strategic_vision:_p.31710_2012","score_strategic_vision:_p.31710_2016","score_strategic_vision:_s.31711_2012","score_strengthening_of_th.31714_2012","score_strengthening_of_th.31714_2016","score_strengthening_of_th.31715_2012","score_strengthening_of_th.31715_2016","score_strengthening_of_th.31716_2012","score_strengthening_of_th.31716_2016","score_ability_to_reform:_.31719_2012","score_ability_to_reform:_.31719_2016","score_subcontracting:_bet.31721_2012","score_subcontracting:_bet.31721_2016","score_subcontracting:_lar.31722_2012","score_subcontracting:_lar.31722_2016","score_subcontracting:_nat.31723_2012","score_subcontracting:_nat.31723_2016","score_subsidies:_commodit.31726_2012","score_subsidies:_commodit.31726_2016","score_subsidies:_petrol_a.31727_2012","score_subsidies:_petrol_a.31727_2016","score_support:_related_to.31728_2012","score_support:_related_to.31728_2016","score_system_of_norms_and.31729_2012","score_system_of_norms_and.31729_2016","score_targeted_support:_e.31733_2012","score_targeted_support:_e.31733_2016","score_tax_exemptions.31734_2012","score_tax_exemptions.31734_2016","score_technical_capacitie.31736_2012","score_technical_capacitie.31736_2016","score_technical_capacitie.31737_2012","score_technical_capacitie.31737_2016","score_technology_transfer.31738_2012","score_technology_transfer.31738_2016","score_termination_of_cont.31741_2012","score_termination_of_cont.31741_2016","score_capacity_of_nationa.31742_2012","score_capacity_of_nationa.31742_2016","score_termination_of_cont.31743_2012","score_termination_of_cont.31743_2016","score_territorial_coverag.31744_2012","score_territorial_coverag.31744_2016","score_territorial_coverag.31745_2012","score_territorial_coverag.31745_2016","score_territorial_coverag.31746_2012","score_territorial_coverag.31746_2016","score_territorial_coverag.31747_2012","score_territorial_coverag.31747_2016","score_territorial_coverag.31748_2012","score_territorial_coverag.31748_2016","score_territorial_coverag.31749_2012","score_territorial_coverag.31749_2016","score_capacity_of_nationa.31753_2012","score_capacity_of_nationa.31753_2016","score_think_tanks.31757_2012","score_think_tanks.31757_2016","score_timeliness_of_judic.31759_2012","score_timeliness_of_judic.31759_2016","score_traditional_solidar.31762_2012","score_traditional_solidar.31762_2016","score_capacity_of_nationa.31764_2012","score_capacity_of_nationa.31764_2016","score_traditional_rights_.31768_2012","score_traditional_rights_.31768_2016","score_traditional_solidar.31773_2012","score_traditional_solidar.31773_2016","score_traditional_solidar.31774_2012","score_traditional_solidar.31774_2016","score_capacity_of_nationa.31776_2012","score_capacity_of_nationa.31776_2016","score_transparency_of_inf.31777_2012","score_transparency_of_inf.31777_2016","score_transparency:_publi.31785_2012","score_transparency:_publi.31785_2016","score_unemployment_rate_f.31788_2012","score_unemployment_rate_f.31788_2016","score_capacity_of_nationa.31790_2012","score_capacity_of_nationa.31790_2016","score_upward_social_mobil.31791_2012","score_upward_social_mobil.31791_2016","score_violence_against_pu.31793_2012","score_violence_against_pu.31793_2016","score_violent_activities:.31796_2012","score_violent_activities:.31796_2016","score_violent_activities:.31797_2012","score_violent_activities:.31797_2016","score_violent_activities:.31798_2012","score_violent_activities:.31798_2016","score_vocational_training.31803_2012","score_vocational_training.31803_2016","score_vocational_training.31804_2012","score_vocational_training.31804_2016","score_wage_indexation_to_.31809_2012","score_wage_indexation_to_.31809_2016","score_workers_organizatio.31815_2012","score_workers_organizatio.31815_2016"
"Afghanistan","AFG",1,3,1,0,0,0,1,0,4,0,2,0,1,4,3,3,3,1,1,1,3,0,4,0,4,3,4,2,2,0,1,0,1,2,3,0,1,3,1,2,1,0,3,0,3,1,2,2,3,4,3,4,99,99,4,1,4,0,0,1,3,0,3,4,4,1,4,1,3,1,4,1,3,1,3,1,3,3,3,0,4,4,3,0,4,99,4,3,3,99,3,1,4,4,2,1,4,4,4,4,3,99,1,3,2,2,99,99,2,0,2,3,2,0,0,0,2,3,1,0,3,1,99,99,3,0,0,0,3,2,1,3,3,2,3,1,2,2,3,4,3,4,3,4,1,2,1,2,1,3,2,2,3,1,3,99,1,0,3,0,1,1,2,4,99,99,0,2,1,1,1,3,4,4,4,4,4,0,4,1,1,0,3,3,3,3,4,4,1,3,2,4,1,1,3,2,3,1,3,3,2,3,4,4,2,99,99,2,4,3,3,4,4,4,4,0,3,0,0,0,1,0,0,4,4,4,2,3,1,0,1,0,0,2,1,3,3,2,1,2,1,2,3,1,1,0,1,4,4,0,3,4,3,3,3,3,3,3,4,4,4,4,4,4,3,1,1,3,1,1,2,3,4,3,1,3,4,3,4,0,3,99,3,1,3,1,4,1,1,4,4,1,4,0,3,99,4,2,2,4,2,2,4,4,4,0,4,4,2,1,4,1,0,1,1,2,1,3,2,3,4,99,99,2,4,1,2,2,2,0,4,1,0,3,2,4,0,4,0,4,0,3,4,4,99,3,99,3,3,4,1,2,4,1,2,2,1,3,1,2,1,4,3,1,0,3,1,1,3,0,0,0,0,1,0,0,0,0,4,4,1,1,0,2,0,1,1,0,1,0,1,0,1,1,1,2,0,2,0,0,1,1,0,0,0,1,0,3,1,1,1,3,3,1,4,1,4,0,4,4,3,0,4,0,4,2,4,1,0,2,3,0,3,3,0,3,3,0,2,0,2,4,0,4,3,0,4,4,4,1,2,1,99,0,4,0,4,1,0,2,0,1,99,0,1,1,1,3,3,2,4,1,99,4,0,4,0,2,1,0,1,0,2,0,0,1,2,1,0,4,0,0,0,0,3,2,99,1,3,1,3,3,4,1,2,3,2,4,3,2,3,1,4,3,4,3,4,0,1,3,2,3,3,3,3,3,1,4,0,4,3,0,2,0,4,2,3,1,1,0,1,0,3,0,1,3,1,1,1,1,1,1,1,0,1,1,1,1,1,3,1,2,4,0,2,0,3,2,4,3,4,0,3,2,4,3,4,4,1,1,99,99,2,2,0,2,1,0,0,0,1,1,1,1,0,2,3,0,1,0,1,99,0,4,99,99
"Angola","AGO",2,3,2,1,1,1,2,2,3,1,2,2,2,4,2,1,2,3,2,3,3,2,4,2,4,4,4,4,2,1,2,3,2,2,1,2,2,2,2,2,3,3,4,0,2,1,2,0,3,2,4,1,1,2,4,1,4,1,0,0,3,2,3,2,3,2,3,2,3,3,3,2,4,1,3,3,2,1,3,4,3,2,3,0,2,99,2,2,3,3,1,1,1,1,4,3,2,3,3,3,1,1,2,3,3,3,99,3,2,3,2,1,2,0,1,0,0,3,1,1,3,1,1,2,3,1,3,1,1,0,1,1,1,4,1,1,0,1,1,1,1,1,3,3,2,3,4,2,0,3,2,2,3,2,1,2,0,0,0,0,1,1,2,2,3,2,3,2,1,2,2,0,2,2,2,2,1,1,1,3,2,2,2,2,0,3,2,2,3,3,4,1,1,2,1,3,1,0,3,0,1,1,2,3,3,2,3,3,1,1,2,3,3,2,3,2,2,1,2,1,1,1,0,1,3,1,3,2,3,1,0,0,0,1,0,2,2,2,2,2,2,1,2,3,4,4,2,3,3,1,3,3,1,3,2,2,4,4,1,1,4,1,4,1,2,2,1,1,4,1,1,2,4,3,3,2,2,3,4,2,3,4,2,3,0,1,3,1,3,4,3,1,2,1,3,2,2,2,3,2,1,1,2,1,1,1,1,2,2,1,4,2,1,0,4,2,3,2,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,2,3,2,3,3,1,4,0,2,3,1,0,0,2,2,3,3,3,4,0,4,4,3,2,4,0,3,2,3,3,3,3,4,0,2,3,1,0,1,1,4,3,1,0,1,2,3,2,2,2,1,2,1,0,1,2,1,0,1,1,1,0,2,2,2,2,2,1,2,1,1,1,1,1,2,1,3,3,3,3,2,3,2,3,1,4,2,2,3,1,4,1,1,2,2,2,1,1,1,1,2,1,1,0,3,3,1,1,4,1,4,1,0,4,4,4,1,3,1,2,1,3,1,3,4,0,2,0,1,1,4,4,2,4,3,1,4,3,1,1,3,0,4,0,1,1,2,0,2,1,2,1,1,1,1,2,1,3,1,2,1,2,3,3,2,3,3,3,2,3,4,2,3,2,3,2,1,2,3,3,3,3,3,3,3,1,3,0,0,2,1,3,3,3,1,3,3,2,1,1,2,2,1,2,3,1,1,2,2,2,2,1,3,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,3,1,2,2,3,0,2,2,1,1,2,2,3,1,1,99,1,0,0,1,3,1,3,2,1,2,2,2,2,1,3,1,2,1,1,2,3,2,4,1,2
"Albania","ALB",2,3,2,2,99,99,3,3,3,1,2,2,2,4,2,1,99,1,3,2,3,4,4,3,3,4,4,3,2,2,2,2,2,2,3,2,3,3,3,2,3,1,3,1,3,4,2,2,2,2,2,2,2,2,1,1,1,3,2,2,3,1,3,3,0,3,2,2,2,1,3,1,3,4,3,1,2,2,2,4,0,3,0,0,99,99,3,3,3,4,1,99,4,4,4,2,4,4,4,4,3,2,3,1,4,3,99,99,3,3,99,3,2,1,2,1,2,2,1,1,3,2,2,2,1,1,1,1,2,2,4,4,2,2,3,2,2,2,4,3,4,4,2,2,2,3,3,1,2,2,4,1,0,0,3,3,2,3,3,99,3,1,3,3,2,2,3,1,2,3,2,4,3,3,4,4,4,1,4,1,2,3,3,1,3,4,0,4,2,2,1,4,2,3,3,1,2,2,2,1,3,1,2,2,2,2,2,3,3,3,1,3,3,1,3,2,1,3,2,3,3,0,2,2,3,2,2,2,2,2,2,2,2,2,2,0,2,3,2,3,0,3,3,3,0,0,3,4,3,1,3,2,3,99,2,1,1,2,3,1,0,3,0,3,1,1,3,4,1,1,3,0,3,2,3,2,3,2,1,2,3,4,2,2,2,2,3,2,3,4,3,3,1,2,3,3,3,2,2,2,4,1,3,2,3,2,3,4,3,4,3,3,4,2,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,4,1,3,4,1,3,1,2,2,2,2,3,3,1,1,3,3,2,3,2,2,1,2,2,2,3,1,2,1,3,1,1,3,0,4,4,0,3,2,2,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,2,1,1,2,1,2,1,1,1,2,1,2,1,99,3,2,2,3,2,0,4,3,3,1,3,0,3,2,2,1,1,3,2,2,1,2,0,1,1,3,3,2,2,3,0,3,1,1,3,3,3,2,3,3,3,1,3,3,1,3,99,2,2,3,3,2,3,3,3,0,4,1,2,99,3,4,0,3,1,3,3,2,2,2,2,1,1,1,2,2,3,3,3,0,0,2,2,3,2,3,3,1,2,3,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,1,3,0,4,0,0,3,2,0,1,2,3,2,2,3,3,3,3,1,2,1,2,1,2,1,1,2,2,4,4,1,1,4,4,3,2,1,2,2,3,2,1,3,3,1,1,4,4,3,3,3,3,3,2,99,99,2,2,1,3,3,0,2,2,2,1,3,2,1,4,0,1,2,2,99,1,3,4,2,2
