"country","countryiso3","population.2119_2020"
"Monaco","MCO",30645
"Gibraltar","GIB",29396
"Palau","PLW",21431
"Anguilla","AIA",17087
"Wallis and Futuna","WLF",15714
"Nauru","NRU",11359
"Tuvalu","TUV",11052
"Cook Islands","COK",9290
"Saint Helena, Ascension, and Tristan da Cunha","SHN",7828
"Saint Barthelemy","BLM",7184
"Saint Pierre and Miquelon","SPM",5533
"Montserrat","MSR",5292
"Falkland Islands (Islas Malvinas)","FLK",3198
"Svalbard","SJM",2583
"Christmas Island","CXR",2205
"Norfolk Island","NFK",1748
"Niue","NIU",1618
"Tokelau","TKL",1285
"Holy See (Vatican City)","VAT",1000
"Cocos (Keeling) Islands","CCK",596
"Pitcairn Islands","PCN",54
