"country","countryiso3","latest.year_population.2119","latest.value_population.2119"
"Qatar","QAT","2020","2314307"
"Romania","ROU","2020","21529967"
"Russia","RUS","2020","142257519"
"Rwanda","RWA","2020","11901484"
"Saint Barthelemy","BLM","2020","7184"
"Saint Helena, Ascension, and Tristan da Cunha","SHN","2020","7828"
"Saint Kitts and Nevis","KNA","2020","52715"
"Saint Lucia","LCA","2020","164994"
"Saint Martin","MAF","2020","32125"
"Saint Pierre and Miquelon","SPM","2020","5533"
"Saint Vincent and the Grenadines","VCT","2020","102089"
"Samoa","WSM","2020","200108"
"San Marino","SMR","2020","33537"
"Sao Tome and Principe","STP","2020","201025"
"Saudi Arabia","SAU","2020","28571770"
"Senegal","SEN","2020","14668522"
"Serbia","SRB","2020","7111024"
"Seychelles","SYC","2020","93920"
"Sierra Leone","SLE","2020","6163195"
"Singapore","SGP","2020","5888926"
"Sint Maarten","SXM","2020","42083"
"Slovakia","SVK","2020","5445829"
"Slovenia","SVN","2020","1972126"
"Solomon Islands","SLB","2020","647581"
"Somalia","SOM","2020","11031386"
"South Africa","ZAF","2020","54841552"
"South Sudan","SSD","2020","13026129"
"Spain","ESP","2020","48958159"
"Sri Lanka","LKA","2020","22409381"
"Sudan","SDN","2020","37345935"
"Suriname","SUR","2020","591919"
"Svalbard","SJM","2020","2583"
"Sweden","SWE","2020","9960487"
"Switzerland","CHE","2020","8236303"
"Syria","SYR","2020","18028549"
"Taiwan","TWN","2020","23508428"
"Tajikistan","TJK","2020","8468555"
"Tanzania","TZA","2020","53950935"
"Thailand","THA","2020","68414135"
"Timor-Leste","TLS","2020","1291358"
"Togo","TGO","2020","7965055"
"Tokelau","TKL","2020","1285"
"Tonga","TON","2020","106479"
"Trinidad and Tobago","TTO","2020","1218208"
"Tunisia","TUN","2020","11403800"
"Turkey","TUR","2020","80845215"
"Turkmenistan","TKM","2020","5351277"
"Turks and Caicos Islands","TCA","2020","52570"
"Tuvalu","TUV","2020","11052"
"Uganda","UGA","2020","39570125"
"Ukraine","UKR","2020","44033874"
"United Arab Emirates","ARE","2020","6072475"
"United Kingdom","GBR","2020","65648100"
"United States","USA","2020","326625791"
"Uruguay","URY","2020","3360148"
"Uzbekistan","UZB","2020","29748859"
"Vanuatu","VUT","2020","282814"
"Venezuela","VEN","2020","31304016"
"Vietnam","VNM","2020","96160163"
"Virgin Islands","VIR","2020","107268"
"Wallis and Futuna","WLF","2020","15714"
"Western Sahara","ESH","2020","603253"
"Yemen","YEM","2020","28036829"
"Zambia","ZMB","2020","15972001"
"Zimbabwe","ZWE","2020","13805084"
"Palestine","PSE","2020","4543126"
