"country","countryiso3","latest.year_SH.DYN.MORT","latest.value_SH.DYN.MORT"
"Kyrgyz Republic","KGZ",2018,18.9
"Lao PDR","LAO",2018,47.3
"Late-demographic dividend","LTE",2018,10.4773180954247
"Latin America & Caribbean","LCN",2018,16.4
"Latin America & Caribbean (excluding high income)","LAC",2018,16.7108110595541
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2018,16.5767450937181
"Latvia","LVA",2018,3.9
"Least developed countries: UN classification","LDC",2018,64.2596910329713
"Lebanon","LBN",2018,7.4
"Lesotho","LSO",2018,81.1
"Liberia","LBR",2018,70.9
"Libya","LBY",2018,12
"Lithuania","LTU",2018,4
"Low & middle income","LMY",2018,42.0231320083961
"Low income","LIC",2018,68.1
"Lower middle income","LMC",2018,49.1
"Luxembourg","LUX",2018,2.4
"Madagascar","MDG",2018,53.6
"Malawi","MWI",2018,49.7
"Malaysia","MYS",2018,7.8
"Maldives","MDV",2018,8.6
"Mali","MLI",2018,97.8
"Malta","MLT",2018,7
"Marshall Islands","MHL",2018,33.1
"Mauritania","MRT",2018,75.7
"Mauritius","MUS",2018,15.5
"Mexico","MEX",2018,12.7
"Micronesia, Fed. Sts.","FSM",2018,30.8
"Middle East & North Africa","MEA",2018,21.9
"Middle East & North Africa (excluding high income)","MNA",2018,23.6521521478456
"Middle East & North Africa (IDA & IBRD countries)","TMN",2018,23.7057656061518
"Middle income","MIC",2018,36.1002711526528
"Moldova","MDA",2018,15.8
"Monaco","MCO",2018,3.2
"Mongolia","MNG",2018,16.3
"Montenegro","MNE",2018,2.5
"Morocco","MAR",2018,22.4
"Mozambique","MOZ",2018,73.2
"Myanmar","MMR",2018,46.2
"Namibia","NAM",2018,39.6
"Nauru","NRU",2018,31.8
"Nepal","NPL",2018,32.2
"Netherlands","NLD",2018,3.9
"New Zealand","NZL",2018,5.7
"Nicaragua","NIC",2018,18.3
"Niger","NER",2018,83.7
"Nigeria","NGA",2018,119.9
"North America","NAC",2018,6.4
"North Macedonia","MKD",2018,9.9
"Norway","NOR",2018,2.5
"OECD members","OED",2018,6.80134081058211
"Oman","OMN",2018,11.4
"Other small states","OSS",2018,48.7308603468436
"Pacific island small states","PSS",2018,24.2510866574966
"Pakistan","PAK",2018,69.3
"Palau","PLW",2018,17.9
"Panama","PAN",2018,15.3
"Papua New Guinea","PNG",2018,47.8
"Paraguay","PRY",2018,20.2
"Peru","PER",2018,14.3
"Philippines","PHL",2018,28.4
"Poland","POL",2018,4.4
"Portugal","PRT",2018,3.7
"Post-demographic dividend","PST",2018,4.84032783988894
"Pre-demographic dividend","PRE",2018,81.047147579407
"Qatar","QAT",2018,6.8
"Romania","ROU",2018,7.3
"Russian Federation","RUS",2018,7.2
"Rwanda","RWA",2018,35.3
"Samoa","WSM",2018,15.8
"San Marino","SMR",2018,2
"Sao Tome and Principe","STP",2018,31.2
"Saudi Arabia","SAU",2018,7.1
"Senegal","SEN",2018,43.6
"Serbia","SRB",2018,5.5
"Seychelles","SYC",2018,14.5
"Sierra Leone","SLE",2018,105.1
"Singapore","SGP",2018,2.8
"Slovak Republic","SVK",2018,5.6
"Slovenia","SVN",2018,2.1
"Small states","SST",2018,42.935514240078
"Solomon Islands","SLB",2018,20
"Somalia","SOM",2018,121.5
"South Africa","ZAF",2018,33.8
"South Asia","SAS",2018,42.1
"South Asia (IDA & IBRD)","TSA",2018,42.1591021230507
"South Sudan","SSD",2018,98.6
"Spain","ESP",2018,3
"Sri Lanka","LKA",2018,7.4
"St. Kitts and Nevis","KNA",2018,12
"St. Lucia","LCA",2018,16.6
"St. Vincent and the Grenadines","VCT",2018,16.4
"Sub-Saharan Africa","SSF",2018,77.5
"Sub-Saharan Africa (excluding high income)","SSA",2018,77.5026194892553
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2018,77.4789533817993
"Sudan","SDN",2018,60.5
"Suriname","SUR",2018,18.9
"Sweden","SWE",2018,2.7
"Switzerland","CHE",2018,4.1
"Syrian Arab Republic","SYR",2018,16.7
"Tajikistan","TJK",2018,34.8
"Tanzania","TZA",2018,53
"Thailand","THA",2018,9.1
"Timor-Leste","TLS",2018,45.8
"Togo","TGO",2018,69.8
"Tonga","TON",2018,15.6
"Trinidad and Tobago","TTO",2018,18.3
"Tunisia","TUN",2018,17
"Turkey","TUR",2018,10.6
"Turkmenistan","TKM",2018,45.8
"Tuvalu","TUV",2018,24.4
"Uganda","UGA",2018,46.4
"Ukraine","UKR",2018,8.7
"United Arab Emirates","ARE",2018,7.6
"United Kingdom","GBR",2018,4.3
"United States","USA",2018,6.5
"Upper middle income","UMC",2018,12.6
"Uruguay","URY",2018,7.6
"Uzbekistan","UZB",2018,21.4
"Vanuatu","VUT",2018,26.4
"Venezuela, RB","VEN",2018,24.5
"Vietnam","VNM",2018,20.7
"West Bank and Gaza","PSE",2018,20.3
"World","WLD",2018,38.6
"Yemen, Rep.","YEM",2018,55
"Zambia","ZMB",2018,57.8
"Zimbabwe","ZWE",2018,46.2
