"country","countryiso3","SH.DYN.MORT_2013","SH.DYN.MORT_2014","SH.DYN.MORT_2015","SH.DYN.MORT_2016","SH.DYN.MORT_2017","SH.DYN.MORT_2018"
"Egypt, Arab Rep.","EGY",25.5,24.6,23.6,22.8,21.9,21.2
"El Salvador","SLV",16.7,16,15.3,14.7,14.2,13.7
"Equatorial Guinea","GNQ",100.7,97.5,94.2,90.9,88.2,85.3
"Eritrea","ERI",49.8,48.1,46.6,44.9,43.4,41.9
"Estonia","EST",3.6,3.4,3.2,3,2.8,2.6
"Eswatini","SWZ",69.4,67.2,62.9,61.7,58.1,54.4
"Ethiopia","ETH",70.5,66.8,63.5,60.4,57.7,55.2
"Euro area","EMU",3.97109390700442,3.88076318323059,3.81983250357583,3.75402140577661,3.67723120701359,3.5948586203905
"Europe & Central Asia","ECS",10.9,10.4,10,9.5,9.1,8.7
"Europe & Central Asia (excluding high income)","ECA",16.6009364588053,15.7554434488743,14.9429795927843,14.1918376246477,13.5227151026056,12.8943126485775
"Europe & Central Asia (IDA & IBRD countries)","TEC",15.688994057611,14.9041858384275,14.1431395008381,13.4305121950408,12.7956819946458,12.1977269910188
"European Union","EUU",4.46021496973108,4.33189599257812,4.22367165132545,4.1097951767118,4.00113125363214,3.88719573394755
"Fiji","FJI",24.1,24.3,24.6,25,25.4,25.6
"Finland","FIN",2.6,2.4,2.2,2,1.8,1.7
"Fragile and conflict affected situations","FCS",94.3041863098061,92.1024506185301,90.1274416767408,88.2528214695747,86.3173632950785,84.2857168879228
"France","FRA",4.2,4.1,4.1,4.1,4.1,4
"Gabon","GAB",55.7,53.5,51,48.1,46,44.8
"Gambia, The","GMB",69.3,67,64.7,62.6,60.4,58.4
"Georgia","GEO",11.4,10.9,10.5,10.2,10,9.8
"Germany","DEU",4,3.9,3.9,3.8,3.7,3.7
"Ghana","GHA",60.2,57.4,54.7,52.3,50,47.9
"Greece","GRC",4.2,4.4,4.6,4.7,4.6,4.5
"Grenada","GRD",14.7,14.9,15,15.2,15.3,15.2
"Guatemala","GTM",31.2,30.1,29,28,27.1,26.2
"Guinea","GIN",110.9,109,107.2,105.3,103.2,100.8
"Guinea-Bissau","GNB",98.7,94.8,91.2,87.7,84.5,81.5
"Guyana","GUY",35,34.1,33.1,32.1,31.2,30.1
"Haiti","HTI",74.4,72.6,70.6,68.7,66.7,64.8
"Heavily indebted poor countries (HIPC)","HPC",82.8538920518749,79.511817486041,76.4209917937265,73.47776406031,70.8209736759975,68.4048398224573
"High income","HIC",5.5,5.4,5.3,5.2,5.1,5
"Honduras","HND",21,20.2,19.5,18.8,18.2,17.6
"Hungary","HUN",5.6,5.4,5.1,4.8,4.5,4.3
"IBRD only","IBD",29.5028712241414,27.97015182557,26.5383860544895,25.3212259542939,24.0717729134354,23.0144856122453
"Iceland","ISL",2.3,2.3,2.2,2.1,2,2
"IDA & IBRD total","IBT",49.3272056954631,47.5860129203568,45.9820979916055,44.5398097320234,43.1357311071048,41.8759374113113
"IDA blend","IDB",95.2419714880397,93.2245422952671,91.3815675813474,89.5655024375127,87.7357008530071,85.7180017326694
"IDA only","IDX",74.4524262999379,71.6376310211575,69.0378212951121,66.5461604523941,64.2881716711024,62.2384249470843
"IDA total","IDA",81.5668122945979,79.0349730465137,76.6995178629507,74.4386190485107,72.3210875246576,70.2715667475204
"India","IND",49.1,46.3,43.6,41.1,38.7,36.6
"Indonesia","IDN",30.3,29.1,28,26.9,25.9,25
"Iran, Islamic Rep.","IRN",17.3,16.6,16,15.5,14.9,14.4
"Iraq","IRQ",31.5,30.5,29.5,28.5,27.6,26.7
"Ireland","IRL",3.9,3.9,3.8,3.8,3.7,3.7
"Israel","ISR",4.1,4,3.9,3.8,3.8,3.7
"Italy","ITA",3.7,3.6,3.4,3.3,3.2,3
"Jamaica","JAM",16.9,16.4,15.9,15.4,14.9,14.4
"Japan","JPN",2.9,2.8,3,2.7,2.6,2.5
"Jordan","JOR",18.7,18.2,17.7,17.2,16.7,16.2
"Kazakhstan","KAZ",14.5,13.1,11.9,11,10.4,9.9
"Kenya","KEN",50.1,48.2,46.3,44.4,43,41.1
"Kiribati","KIR",60.6,59,57.5,55.8,54.3,52.5
"Korea, Dem. People’s Rep.","PRK",24,22.4,21.1,20,19,18.2
"Korea, Rep.","KOR",3.7,3.6,3.5,3.4,3.3,3.2
"Kuwait","KWT",9.2,8.9,8.6,8.3,8.1,7.9
"Kyrgyz Republic","KGZ",24.7,23.5,22.3,21.1,20,18.9
"Lao PDR","LAO",58.9,56.1,53.6,51.3,49.3,47.3
"Late-demographic dividend","LTE",13.7361503083043,12.9890575015349,12.2525556416492,11.6922720456193,10.9977936491986,10.4773180954247
"Latin America & Caribbean","LCN",18.9,18.4,17.9,17.9,17,16.4
"Latin America & Caribbean (excluding high income)","LAC",19.2419859283942,18.6424387319981,18.161843638927,18.153172919444,17.2701186863378,16.7108110595541
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",19.09647435581,18.5031171267586,18.0247450550948,18.005988568646,17.1326412837564,16.5767450937181
"Latvia","LVA",6,5.5,5,4.5,4.2,3.9
"Least developed countries: UN classification","LDC",77.3325998382273,74.280309630256,71.4826698479694,68.8122912246216,66.4246210172012,64.2596910329713
