"country","countryiso3","latest.year_SP.POP.65UP.TO.ZS","latest.value_SP.POP.65UP.TO.ZS"
"Malawi","MWI",2018,2.64543493031032
"Malaysia","MYS",2018,6.67175462547886
"Maldives","MDV",2018,3.70334460612454
"Mali","MLI",2018,2.50722975755683
"Malta","MLT",2018,20.3493242997122
"Mauritania","MRT",2018,3.14111215805009
"Mauritius","MUS",2018,11.4741730686522
"Mexico","MEX",2018,7.22368498087198
"Micronesia, Fed. Sts.","FSM",2018,3.99680397727273
"Middle East & North Africa","MEA",2018,5.18218338486217
"Middle East & North Africa (excluding high income)","MNA",2018,5.37543637508798
"Middle East & North Africa (IDA & IBRD countries)","TMN",2018,5.40251473043988
"Middle income","MIC",2018,7.63642450958066
"Moldova","MDA",2018,11.4695563413512
"Mongolia","MNG",2018,4.08353878726245
"Montenegro","MNE",2018,14.9749366447439
"Morocco","MAR",2018,7.0129048211122
"Mozambique","MOZ",2018,2.8907644574499
"Myanmar","MMR",2018,5.78464193257209
"Namibia","NAM",2018,3.63603168074514
"Nepal","NPL",2018,5.72767077569198
"Netherlands","NLD",2018,19.1961926333387
"New Caledonia","NCL",2018,9.17415792537671
"New Zealand","NZL",2018,15.6524245271741
"Nicaragua","NIC",2018,5.24749744838026
"Niger","NER",2018,2.59500788269853
"Nigeria","NGA",2018,2.74737700532743
"North America","NAC",2018,15.9527647408102
"North Macedonia","MKD",2018,13.6701813815648
"Norway","NOR",2018,17.0492221563211
"OECD members","OED",2018,17.119198446952
"Oman","OMN",2018,2.39278695625796
"Other small states","OSS",2018,5.49320575891841
"Pacific island small states","PSS",2018,4.53731737663538
"Pakistan","PAK",2018,4.31277431133756
"Panama","PAN",2018,8.10473107966757
"Papua New Guinea","PNG",2018,3.44526925145617
"Paraguay","PRY",2018,6.43021500946081
"Peru","PER",2018,8.08839279183076
"Philippines","PHL",2018,5.12256876829946
"Poland","POL",2018,17.5178167625452
"Portugal","PRT",2018,21.9538575375873
"Post-demographic dividend","PST",2018,18.9561311183688
"Pre-demographic dividend","PRE",2018,2.75381363776434
"Puerto Rico","PRI",2018,18.6748502103569
"Qatar","QAT",2018,1.3700703387375
"Romania","ROU",2018,18.3387013938296
"Russian Federation","RUS",2018,14.6747083203719
"Rwanda","RWA",2018,2.9381960775388
"Samoa","WSM",2018,4.80041197375197
"Sao Tome and Principe","STP",2018,2.9256781090661
"Saudi Arabia","SAU",2018,3.31408802294981
"Senegal","SEN",2018,3.08682370101833
"Serbia","SRB",2018,18.3457926916963
"Seychelles","SYC",2018,7.59454560435034
"Sierra Leone","SLE",2018,2.96655621131612
"Singapore","SGP",2018,11.4633801933791
"Slovak Republic","SVK",2018,15.629246504777
"Slovenia","SVN",2018,19.6068796541788
"Small states","SST",2018,6.03011710454628
"Solomon Islands","SLB",2018,3.59895045928894
"Somalia","SOM",2018,2.87331094294556
"South Africa","ZAF",2018,5.31800500542302
"South Asia","SAS",2018,5.84056048177619
"South Asia (IDA & IBRD)","TSA",2018,5.84056048177619
"South Sudan","SSD",2018,3.39848287985152
"Spain","ESP",2018,19.3785075224995
"Sri Lanka","LKA",2018,10.4732197537841
"St. Lucia","LCA",2018,9.80653035642617
"St. Vincent and the Grenadines","VCT",2018,9.58978686338024
"Sub-Saharan Africa","SSF",2018,2.98770560654484
"Sub-Saharan Africa (excluding high income)","SSA",2018,2.98729217395572
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2018,2.98770560654484
"Sudan","SDN",2018,3.58116052825144
"Suriname","SUR",2018,6.90636990225525
"Sweden","SWE",2018,20.0955249278002
"Switzerland","CHE",2018,18.6232165647717
"Syrian Arab Republic","SYR",2018,4.50312442147583
"Tajikistan","TJK",2018,3.02188755207627
"Tanzania","TZA",2018,2.60129917835952
"Thailand","THA",2018,11.9008931395893
"Timor-Leste","TLS",2018,4.31649229400603
"Togo","TGO",2018,2.86946801108822
"Tonga","TON",2018,5.95366144364662
"Trinidad and Tobago","TTO",2018,10.7349535163324
"Tunisia","TUN",2018,8.31567907898877
"Turkey","TUR",2018,8.4832129399716
"Turkmenistan","TKM",2018,4.42663446194014
"Uganda","UGA",2018,1.94098692046317
"Ukraine","UKR",2018,16.4346864392016
