"country","countryiso3","latest.year_roadways.2085","latest.value_roadways.2085"
"South Sudan","SSD",2020,7000
"Spain","ESP",2020,683175
"Sri Lanka","LKA",2020,114093
"Sudan","SDN",2020,11900
"Suriname","SUR",2020,4304
"Sweden","SWE",2020,579564
"Switzerland","CHE",2020,71464
"Syria","SYR",2020,69873
"Taiwan","TWN",2020,42520
"Tajikistan","TJK",2020,27767
"Tanzania","TZA",2020,86472
"Thailand","THA",2020,180053
"Timor-Leste","TLS",2020,6040
"Togo","TGO",2020,11652
"Tonga","TON",2020,680
"Trinidad and Tobago","TTO",2020,9592
"Tunisia","TUN",2020,19418
"Turkey","TUR",2020,385754
"Turkmenistan","TKM",2020,58592
"Turks and Caicos Islands","TCA",2020,121
"Tuvalu","TUV",2020,8
"Uganda","UGA",2020,20000
"Ukraine","UKR",2020,169694
"United Arab Emirates","ARE",2020,4080
"United Kingdom","GBR",2020,394428
"United States","USA",2020,6586610
"Uruguay","URY",2020,77732
"Uzbekistan","UZB",2020,86496
"Vanuatu","VUT",2020,1070
"Venezuela","VEN",2020,96189
"Vietnam","VNM",2020,195468
"Virgin Islands","VIR",2020,1260
"West Bank","PSE",2020,4686
"Yemen","YEM",2020,71300
"Zambia","ZMB",2020,40454
"Zimbabwe","ZWE",2020,97267
