"country","countryiso3","latest.year_SL.UEM.TOTL.ZS","latest.value_SL.UEM.TOTL.ZS"
"Mauritius","MUS",2019,6.67399978637695
"Mexico","MEX",2019,3.42499995231628
"Middle East & North Africa","MEA",2019,9.82507690140782
"Middle East & North Africa (excluding high income)","MNA",2019,11.5250354584392
"Middle East & North Africa (IDA & IBRD countries)","TMN",2019,11.3679449580973
"Middle income","MIC",2019,5.59253105568827
"Moldova","MDA",2019,5.47300004959106
"Mongolia","MNG",2019,6.01100015640259
"Montenegro","MNE",2019,14.8830003738403
"Morocco","MAR",2019,9.01900005340576
"Mozambique","MOZ",2019,3.2409999370575
"Myanmar","MMR",2019,1.57700002193451
"Namibia","NAM",2019,20.2730007171631
"Nepal","NPL",2019,1.40699994564056
"Netherlands","NLD",2019,3.19600009918213
"New Caledonia","NCL",2019,12.8000001907349
"New Zealand","NZL",2019,4.06899976730347
"Nicaragua","NIC",2019,6.83699989318848
"Niger","NER",2019,0.474999994039536
"Nigeria","NGA",2019,8.0959997177124
"North America","NAC",2019,3.88974374551614
"North Macedonia","MKD",2019,17.7590007781982
"Norway","NOR",2019,3.34599995613098
"OECD members","OED",2019,5.35623218465824
"Oman","OMN",2019,2.6710000038147
"Other small states","OSS",2019,9.15997950251
"Pacific island small states","PSS",2019,2.97033222435131
"Pakistan","PAK",2019,4.45300006866455
"Panama","PAN",2019,3.90199995040894
"Papua New Guinea","PNG",2019,2.45900011062622
"Paraguay","PRY",2019,4.80900001525879
"Peru","PER",2019,3.30999994277954
"Philippines","PHL",2019,2.15000009536743
"Poland","POL",2019,3.47399997711182
"Portugal","PRT",2019,6.33400011062622
"Post-demographic dividend","PST",2019,4.99967091233052
"Pre-demographic dividend","PRE",2019,5.6934620996701
"Puerto Rico","PRI",2019,8.1870002746582
"Qatar","QAT",2019,0.090999998152256
"Romania","ROU",2019,3.9760000705719
"Russian Federation","RUS",2019,4.58500003814697
"Rwanda","RWA",2019,1.02999997138977
"Samoa","WSM",2019,8.35900020599365
"Sao Tome and Principe","STP",2019,13.3690004348755
"Saudi Arabia","SAU",2019,5.92700004577637
"Senegal","SEN",2019,6.60400009155273
"Serbia","SRB",2019,12.6859998703003
"Sierra Leone","SLE",2019,4.42799997329712
"Singapore","SGP",2019,4.10900020599365
"Slovak Republic","SVK",2019,5.56099987030029
"Slovenia","SVN",2019,4.19500017166138
"Small states","SST",2019,8.64577579376638
"Solomon Islands","SLB",2019,0.575999975204468
"Somalia","SOM",2019,11.3509998321533
"South Africa","ZAF",2019,28.1809997558594
"South Asia","SAS",2019,5.11142275225937
"South Asia (IDA & IBRD)","TSA",2019,5.11142275225937
"South Sudan","SSD",2019,12.2440004348755
"Spain","ESP",2019,13.9589996337891
"Sri Lanka","LKA",2019,4.19799995422363
"St. Lucia","LCA",2019,20.7059993743896
"St. Vincent and the Grenadines","VCT",2019,18.8810005187988
"Sub-Saharan Africa","SSF",2019,6.18680679523679
"Sub-Saharan Africa (excluding high income)","SSA",2019,6.18610962729062
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2019,6.18680679523679
"Sudan","SDN",2019,16.5349998474121
"Suriname","SUR",2019,7.33400011062622
"Sweden","SWE",2019,6.47599983215332
"Switzerland","CHE",2019,4.58099985122681
"Syrian Arab Republic","SYR",2019,8.36999988555908
"Tajikistan","TJK",2019,11.0170001983643
"Tanzania","TZA",2019,1.98000001907349
"Thailand","THA",2019,0.754000008106232
"Timor-Leste","TLS",2019,4.5479998588562
"Togo","TGO",2019,2.03800010681152
"Tonga","TON",2019,1.11699998378754
"Trinidad and Tobago","TTO",2019,2.68600010871887
"Tunisia","TUN",2019,16.0219993591309
"Turkey","TUR",2019,13.4899997711182
"Turkmenistan","TKM",2019,3.91300010681152
"Uganda","UGA",2019,1.84300005435944
"Ukraine","UKR",2019,8.88199996948242
"United Arab Emirates","ARE",2019,2.34800004959106
"United Kingdom","GBR",2019,3.8510000705719
"United States","USA",2019,3.68199992179871
"Upper middle income","UMC",2019,5.94048844384005
"Uruguay","URY",2019,8.73099994659424
"Uzbekistan","UZB",2019,5.91699981689453
"Vanuatu","VUT",2019,4.38500022888184
"Venezuela, RB","VEN",2019,8.80099964141846
"Vietnam","VNM",2019,2.01300001144409
"Virgin Islands (U.S.)","VIR",2019,8.66199970245361
"West Bank and Gaza","PSE",2019,26.1690006256104
"World","WLD",2019,5.39506305206711
"Yemen, Rep.","YEM",2019,12.9099998474121
"Zambia","ZMB",2019,11.4250001907349
"Zimbabwe","ZWE",2019,4.9539999961853
