"variable","description"
"percent_women_participati.28129","Percent Women participating in making major household purchase decisions (% of women age 15-49)"
"value_proportion_of_time_.28130","Value Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)"
"value_proportion_of_time_.28131","Value Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)"
