"country","countryiso3","latest.year_estimate_control_of_corru.364","latest.value_estimate_control_of_corru.364","latest.year_stderr_control_of_corrupt.366","latest.value_stderr_control_of_corrupt.366","latest.year_rank_control_of_corruptio.367","latest.value_rank_control_of_corruptio.367","latest.year_lower_control_of_corrupti.368","latest.value_lower_control_of_corrupti.368","latest.year_upper_control_of_corrupti.369","latest.value_upper_control_of_corrupti.369","latest.year_estimate_rule_of_law.370","latest.value_estimate_rule_of_law.370","latest.year_stderr_rule_of_law.372","latest.value_stderr_rule_of_law.372","latest.year_rank_rule_of_law.373","latest.value_rank_rule_of_law.373","latest.year_lower_rule_of_law.374","latest.value_lower_rule_of_law.374","latest.year_upper_rule_of_law.375","latest.value_upper_rule_of_law.375","latest.year_estimate_political_stabil.376","latest.value_estimate_political_stabil.376","latest.year_stderr_political_stabilit.378","latest.value_stderr_political_stabilit.378","latest.year_rank_political_stability_.379","latest.value_rank_political_stability_.379","latest.year_lower_political_stability.380","latest.value_lower_political_stability.380","latest.year_upper_political_stability.381","latest.value_upper_political_stability.381","latest.year_estimate_voice_and_accoun.382","latest.value_estimate_voice_and_accoun.382","latest.year_stderr_voice_and_accounta.384","latest.value_stderr_voice_and_accounta.384","latest.year_rank_voice_and_accountabi.385","latest.value_rank_voice_and_accountabi.385","latest.year_lower_voice_and_accountab.386","latest.value_lower_voice_and_accountab.386","latest.year_upper_voice_and_accountab.387","latest.value_upper_voice_and_accountab.387","latest.year_estimate_government_effec.388","latest.value_estimate_government_effec.388","latest.year_stderr_government_effecti.390","latest.value_stderr_government_effecti.390","latest.year_rank_government_effective.391","latest.value_rank_government_effective.391","latest.year_lower_government_effectiv.392","latest.value_lower_government_effectiv.392","latest.year_upper_government_effectiv.393","latest.value_upper_government_effectiv.393","latest.year_estimate_regulatory_quali.394","latest.value_estimate_regulatory_quali.394","latest.year_stderr_regulatory_quality.396","latest.value_stderr_regulatory_quality.396","latest.year_rank_regulatory_quality.397","latest.value_rank_regulatory_quality.397","latest.year_lower_regulatory_quality.398","latest.value_lower_regulatory_quality.398","latest.year_upper_regulatory_quality.399","latest.value_upper_regulatory_quality.399"
"Chile","CHL",2018,1.012118,2018,0.1223864,2018,81.73077,2018,79.80769,2018,84.13461,2018,1.115472,2018,0.1399574,2018,83.65385,2018,78.84615,2018,87.01923,2018,0.4252459,2018,0.211271,2018,61.42857,2018,49.04762,2018,73.80952,2018,1.054925,2018,0.1293303,2018,82.26601,2018,74.87685,2018,89.65517,2018,1.084034,2018,0.1854095,2018,81.73077,2018,75.48077,2018,88.94231,2018,1.343512,2018,0.180271,2018,88.94231,2018,81.73077,2018,93.26923
"China","CHN",2018,-0.2712442,2018,0.1249812,2018,45.67308,2018,37.98077,2018,55.28846,2018,-0.2015748,2018,0.1448283,2018,48.07692,2018,35.09615,2018,55.76923,2018,-0.2610621,2018,0.211271,2018,36.66667,2018,23.80952,2018,49.52381,2018,-1.449377,2018,0.129805,2018,8.866995,2018,4.926108,2018,13.30049,2018,0.4771284,2018,0.1955121,2018,69.71154,2018,58.65385,2018,75.48077,2018,-0.1350215,2018,0.1753201,2018,48.07692,2018,35.09615,2018,61.05769
"Cote d'Ivoire","CIV",2018,-0.4990963,2018,0.132053,2018,36.53846,2018,26.44231,2018,45.19231,2018,-0.5795925,2018,0.1435532,2018,30.76923,2018,20.67308,2018,40.86538,2018,-0.9311823,2018,0.2195558,2018,15.71429,2018,10.95238,2018,25.71428,2018,-0.2161922,2018,0.1255846,2018,37.93103,2018,33.00492,2018,44.82759,2018,-0.5705186,2018,0.1907385,2018,31.73077,2018,17.30769,2018,42.78846,2018,-0.1907277,2018,0.1686924,2018,46.15385,2018,34.61538,2018,59.13462
"Cameroon","CMR",2018,-1.149748,2018,0.1273428,2018,11.05769,2018,7.692307,2018,16.34615,2018,-1.079662,2018,0.1387609,2018,12.5,2018,6.730769,2018,18.26923,2018,-1.37598,2018,0.2157381,2018,8.571428,2018,6.666667,2018,13.80952,2018,-1.104003,2018,0.1242243,2018,18.2266,2018,12.80788,2018,23.15271,2018,-0.7996525,2018,0.1805988,2018,19.71154,2018,12.01923,2018,34.13462,2018,-0.7993764,2018,0.1665556,2018,20.19231,2018,12.01923,2018,32.21154
"Congo, Dem. Rep.","COD",2018,-1.503398,2018,0.1433302,2018,3.846154,2018,0,2018,9.134615,2018,-1.784221,2018,0.1527795,2018,2.884615,2018,0.9615384,2018,5.288462,2018,-2.116205,2018,0.225771,2018,4.761905,2018,1.428571,2018,6.190476,2018,-1.512408,2018,0.1342701,2018,7.389163,2018,4.433497,2018,12.80788,2018,-1.554787,2018,0.1877656,2018,5.769231,2018,1.442308,2018,9.615385,2018,-1.474037,2018,0.1777096,2018,5.769231,2018,3.365385,2018,9.615385
"Congo, Rep.","COG",2018,-1.358807,2018,0.1470706,2018,7.692307,2018,1.442308,2018,11.53846,2018,-1.101223,2018,0.1528088,2018,11.53846,2018,6.730769,2018,18.26923,2018,-0.4428181,2018,0.225094,2018,29.52381,2018,17.61905,2018,43.33333,2018,-1.181061,2018,0.1323768,2018,15.27094,2018,10.83744,2018,21.67488,2018,-1.217236,2018,0.1910554,2018,10.09615,2018,6.25,2018,16.34615,2018,-1.362082,2018,0.1780088,2018,7.211538,2018,3.365385,2018,12.01923
"Colombia","COL",2018,-0.3014929,2018,0.1182229,2018,44.71154,2018,36.53846,2018,53.36538,2018,-0.4078089,2018,0.1397771,2018,38.46154,2018,28.36539,2018,48.07692,2018,-0.8133885,2018,0.211271,2018,17.61905,2018,12.38095,2018,29.04762,2018,0.1913842,2018,0.1280941,2018,52.70936,2018,44.33498,2018,60.59113,2018,-0.0852262,2018,0.1831254,2018,50,2018,39.42308,2018,62.01923,2018,0.3277881,2018,0.1753201,2018,65.38461,2018,56.25,2018,73.07692
"Comoros","COM",2018,-0.8164125,2018,0.2060391,2018,22.59615,2018,10.57692,2018,37.98077,2018,-1.081078,2018,0.2155484,2018,12.01923,2018,6.25,2018,23.55769,2018,-0.2032647,2018,0.2562913,2018,39.04762,2018,23.80952,2018,53.80952,2018,-0.4373426,2018,0.1525995,2018,33.00492,2018,28.07882,2018,38.42365,2018,-1.639134,2018,0.2342786,2018,3.846154,2018,0.9615384,2018,9.615385,2018,-1.117265,2018,0.2226099,2018,11.05769,2018,5.288462,2018,22.59615
"Cabo Verde","CPV",2018,0.7682196,2018,0.1708981,2018,78.36539,2018,67.78846,2018,82.21154,2018,0.4454568,2018,0.1577282,2018,67.78846,2018,59.13462,2018,75,2018,0.7472337,2018,0.2347493,2018,71.90476,2018,58.09524,2018,89.04762,2018,0.9977438,2018,0.156593,2018,79.80296,2018,71.92118,2018,89.65517,2018,0.3192393,2018,0.2058335,2018,64.42308,2018,51.92308,2018,74.51923,2018,-0.2411533,2018,0.2052808,2018,43.26923,2018,29.80769,2018,59.13462
"Costa Rica","CRI",2018,0.5517608,2018,0.1307023,2018,70.67308,2018,64.90385,2018,77.88461,2018,0.4787028,2018,0.1536184,2018,69.23077,2018,60.09615,2018,75,2018,0.4864345,2018,0.2157381,2018,62.38095,2018,52.85714,2018,75.2381,2018,1.144658,2018,0.1294525,2018,84.72906,2018,78.32513,2018,92.61084,2018,0.3781868,2018,0.2086586,2018,67.78846,2018,54.80769,2018,75.48077,2018,0.479403,2018,0.2076896,2018,69.23077,2018,59.61538,2018,77.40385
"Cuba","CUB",2018,0.1654153,2018,0.1598049,2018,61.05769,2018,53.84615,2018,67.30769,2018,-0.4443496,2018,0.1815135,2018,35.09615,2018,23.55769,2018,48.55769,2018,0.6523342,2018,0.225094,2018,67.61905,2018,56.19048,2018,85.71429,2018,-1.444819,2018,0.1385204,2018,9.852217,2018,4.926108,2018,13.7931,2018,-0.2448378,2018,0.2468503,2018,44.71154,2018,25.48077,2018,58.65385,2018,-1.455965,2018,0.2211003,2018,6.25,2018,2.884615,2018,12.01923
"Cayman Islands","CYM",2018,0.4963436,2018,0.2826696,2018,68.26923,2018,58.65385,2018,81.25,2018,0.7744462,2018,0.2123641,2018,76.44231,2018,66.34615,2018,84.61539,2018,1.149285,2018,0.2831305,2018,90,2018,69.04762,2018,99.52381,2018,0.4919728,2018,0.2493472,2018,64.03941,2018,50.2463,2018,77.3399,2018,1.204366,2018,0.3318715,2018,85.57692,2018,74.51923,2018,95.19231,2018,0.9785166,2018,0.3641367,2018,80.76923,2018,65.86539,2018,91.82692
"Cyprus","CYP",2018,0.6399662,2018,0.1570675,2018,74.03846,2018,67.30769,2018,80.76923,2018,0.7534632,2018,0.1675214,2018,75.96154,2018,69.23077,2018,81.25,2018,0.543319,2018,0.2161918,2018,64.7619,2018,53.33333,2018,79.52381,2018,1.038081,2018,0.1552453,2018,80.78818,2018,72.9064,2018,89.65517,2018,0.9209022,2018,0.2221446,2018,77.88461,2018,72.59615,2018,87.5,2018,1.017323,2018,0.2454936,2018,81.25,2018,73.07692,2018,90.38461
"Czech Republic","CZE",2018,0.5037321,2018,0.1309793,2018,69.23077,2018,63.46154,2018,76.92308,2018,1.04966,2018,0.1409364,2018,81.73077,2018,77.40385,2018,86.53846,2018,1.040143,2018,0.211271,2018,87.14286,2018,69.04762,2018,96.19048,2018,0.930312,2018,0.1309706,2018,78.32513,2018,71.42857,2018,84.72906,2018,0.9222081,2018,0.2132453,2018,78.36539,2018,73.07692,2018,87.5,2018,1.261501,2018,0.1982157,2018,87.01923,2018,79.80769,2018,92.30769
"Germany","DEU",2018,1.946584,2018,0.1434279,2018,95.19231,2018,92.30769,2018,99.51923,2018,1.630446,2018,0.1569692,2018,91.34615,2018,88.46154,2018,98.07692,2018,0.6048951,2018,0.211271,2018,66.66666,2018,55.23809,2018,81.90476,2018,1.422362,2018,0.1437459,2018,95.07389,2018,88.17734,2018,99.50739,2018,1.619633,2018,0.2221446,2018,93.26923,2018,87.01923,2018,98.55769,2018,1.749248,2018,0.2226358,2018,94.71154,2018,89.90385,2018,99.03846
"Djibouti","DJI",2018,-0.7168093,2018,0.1796275,2018,26.44231,2018,14.42308,2018,39.90385,2018,-0.9226128,2018,0.1632201,2018,17.30769,2018,9.134615,2018,27.88461,2018,-0.1341229,2018,0.239692,2018,41.42857,2018,27.61905,2018,55.23809,2018,-1.352054,2018,0.1416328,2018,11.33005,2018,6.403941,2018,17.24138,2018,-0.8990966,2018,0.2128842,2018,17.30769,2018,9.615385,2018,33.17308,2018,-0.7057354,2018,0.1886452,2018,24.51923,2018,12.5,2018,35.57692
"Dominica","DMA",2018,0.5457337,2018,0.2344027,2018,70.19231,2018,60.57692,2018,80.76923,2018,0.6176011,2018,0.2512142,2018,74.03846,2018,59.61538,2018,81.25,2018,1.107935,2018,0.2550432,2018,89.04762,2018,69.04762,2018,98.57143,2018,0.8105155,2018,0.2410059,2018,74.38424,2018,60.59113,2018,88.66995,2018,-0.2895034,2018,0.3493173,2018,40.86538,2018,17.78846,2018,63.94231,2018,0.0820731,2018,0.2547005,2018,57.69231,2018,38.94231,2018,69.71154
"Denmark","DNK",2018,2.147795,2018,0.1451362,2018,98.55769,2018,94.71154,2018,100,2018,1.833378,2018,0.1569692,2018,96.63461,2018,90.38461,2018,100,2018,0.9590668,2018,0.211271,2018,82.38095,2018,66.66666,2018,94.28571,2018,1.611797,2018,0.1455305,2018,98.02956,2018,92.61084,2018,100,2018,1.871631,2018,0.2221446,2018,97.11539,2018,91.82692,2018,100,2018,1.67705,2018,0.2226358,2018,94.23077,2018,87.5,2018,99.03846
"Dominican Republic","DOM",2018,-0.74949,2018,0.1229678,2018,24.51923,2018,16.34615,2018,33.65385,2018,-0.3962312,2018,0.144388,2018,38.94231,2018,28.36539,2018,48.07692,2018,0.0347933,2018,0.2157381,2018,47.61905,2018,34.76191,2018,58.57143,2018,0.1374327,2018,0.1282128,2018,51.23153,2018,41.37931,2018,59.60591,2018,-0.4002573,2018,0.191959,2018,39.42308,2018,22.59615,2018,49.51923,2018,-0.0771244,2018,0.1817735,2018,50.48077,2018,37.01923,2018,61.53846
"Algeria","DZA",2018,-0.636465,2018,0.1556377,2018,28.36539,2018,17.30769,2018,41.34615,2018,-0.7753089,2018,0.1554313,2018,22.11539,2018,15.38461,2018,32.21154,2018,-0.7937849,2018,0.2209855,2018,18.57143,2018,12.38095,2018,29.52381,2018,-0.9809838,2018,0.131522,2018,21.67488,2018,13.7931,2018,25.61576,2018,-0.4439246,2018,0.1942946,2018,37.01923,2018,20.19231,2018,48.07692,2018,-1.263752,2018,0.1984809,2018,8.173077,2018,3.846154,2018,14.90385
"Ecuador","ECU",2018,-0.5617972,2018,0.1256668,2018,32.69231,2018,24.03846,2018,42.30769,2018,-0.6301615,2018,0.15338,2018,28.84615,2018,17.78846,2018,39.90385,2018,-0.0747498,2018,0.2157381,2018,43.33333,2018,29.52381,2018,56.19048,2018,0.0264112,2018,0.1282128,2018,47.29064,2018,38.42365,2018,55.17241,2018,-0.2613976,2018,0.2054188,2018,42.78846,2018,29.80769,2018,55.28846,2018,-0.8901963,2018,0.2002183,2018,16.34615,2018,9.134615,2018,30.28846
"Egypt, Arab Rep.","EGY",2018,-0.5869341,2018,0.1305998,2018,30.76923,2018,23.07692,2018,41.34615,2018,-0.412311,2018,0.1387609,2018,37.5,2018,28.36539,2018,48.07692,2018,-1.164931,2018,0.2157381,2018,11.90476,2018,7.619048,2018,17.61905,2018,-1.284183,2018,0.1242243,2018,13.30049,2018,7.881773,2018,18.71921,2018,-0.5848041,2018,0.1805988,2018,30.76923,2018,17.30769,2018,40.86538,2018,-0.8670051,2018,0.1665556,2018,17.78846,2018,9.615385,2018,29.80769
"Eritrea","ERI",2018,-1.316023,2018,0.1714831,2018,9.134615,2018,1.442308,2018,14.42308,2018,-1.58643,2018,0.1563079,2018,5.288462,2018,1.442308,2018,6.730769,2018,-0.6051562,2018,0.2339885,2018,24.76191,2018,13.80952,2018,38.09524,2018,-2.176343,2018,0.1375619,2018,0.4926108,2018,0,2018,1.970443,2018,-1.727732,2018,0.2029846,2018,2.403846,2018,0.9615384,2018,8.173077,2018,-2.231222,2018,0.1860124,2018,1.923077,2018,0,2018,2.884615
"Spain","ESP",2018,0.613507,2018,0.1434279,2018,72.59615,2018,66.82692,2018,79.80769,2018,0.9689376,2018,0.1569692,2018,80.28846,2018,75,2018,85.57692,2018,0.2548025,2018,0.211271,2018,55.23809,2018,42.38095,2018,66.19048,2018,1.064253,2018,0.1437459,2018,82.75862,2018,74.87685,2018,89.65517,2018,1.002136,2018,0.2221446,2018,79.32692,2018,74.51923,2018,88.46154,2018,0.9452896,2018,0.2226358,2018,80.28846,2018,72.59615,2018,87.5
"Estonia","EST",2018,1.506318,2018,0.1309793,2018,89.90385,2018,87.5,2018,92.30769,2018,1.240627,2018,0.1409364,2018,86.53846,2018,80.76923,2018,89.90385,2018,0.5999668,2018,0.211271,2018,66.19048,2018,54.76191,2018,81.90476,2018,1.21297,2018,0.1323162,2018,89.65517,2018,79.31035,2018,95.56651,2018,1.191938,2018,0.2132453,2018,84.61539,2018,76.92308,2018,91.82692,2018,1.562708,2018,0.1982157,2018,91.82692,2018,86.05769,2018,97.59615
"Ethiopia","ETH",2018,-0.4861672,2018,0.1305998,2018,37.5,2018,26.44231,2018,45.19231,2018,-0.4282891,2018,0.1397717,2018,36.53846,2018,27.88461,2018,48.07692,2018,-1.343246,2018,0.2157381,2018,9.523809,2018,6.666667,2018,13.80952,2018,-1.15887,2018,0.1259813,2018,16.25616,2018,10.83744,2018,21.67488,2018,-0.6074697,2018,0.1808676,2018,29.32692,2018,16.34615,2018,39.90385,2018,-0.9736451,2018,0.1665556,2018,13.94231,2018,8.173077,2018,24.51923
"Finland","FIN",2018,2.21243,2018,0.1451362,2018,100,2018,95.19231,2018,100,2018,2.046279,2018,0.1569692,2018,100,2018,95.19231,2018,100,2018,0.9249202,2018,0.211271,2018,81.90476,2018,65.71429,2018,92.85714,2018,1.612387,2018,0.1455305,2018,98.52217,2018,92.61084,2018,100,2018,1.984208,2018,0.2221446,2018,99.03846,2018,93.26923,2018,100,2018,1.786545,2018,0.2226358,2018,97.11539,2018,90.38461,2018,99.51923
"Fiji","FJI",2018,0.3809974,2018,0.2755803,2018,67.30769,2018,54.80769,2018,79.80769,2018,-0.1286585,2018,0.2978832,2018,50,2018,28.84615,2018,64.42308,2018,0.7425547,2018,0.2638418,2018,70.95238,2018,57.14286,2018,90.95238,2018,0.2166662,2018,0.1687246,2018,54.6798,2018,41.37931,2018,64.03941,2018,0.2595362,2018,0.3493173,2018,62.5,2018,39.90385,2018,76.44231,2018,-0.2195376,2018,0.290707,2018,44.71154,2018,24.51923,2018,62.01923
"France","FRA",2018,1.316893,2018,0.1434279,2018,87.98077,2018,82.21154,2018,90.86539,2018,1.440087,2018,0.1569692,2018,88.94231,2018,85.09615,2018,92.30769,2018,0.1091348,2018,0.211271,2018,51.90476,2018,38.09524,2018,61.42857,2018,1.179415,2018,0.1437459,2018,88.17734,2018,78.32513,2018,94.58128,2018,1.480526,2018,0.2221446,2018,91.82692,2018,82.69231,2018,96.15385,2018,1.173062,2018,0.2226358,2018,83.65385,2018,75.48077,2018,90.86539
"Micronesia, Fed. Sts.","FSM",2018,0.6930298,2018,0.3084422,2018,75.48077,2018,61.53846,2018,84.13461,2018,-0.0186115,2018,0.307847,2018,53.84615,2018,32.21154,2018,69.23077,2018,1.340414,2018,0.2638418,2018,94.7619,2018,79.52381,2018,99.52381,2018,1.146016,2018,0.2962991,2018,87.68473,2018,70.44335,2018,99.50739,2018,-0.1488629,2018,0.3491045,2018,48.07692,2018,22.59615,2018,68.26923,2018,-0.9598854,2018,0.2906961,2018,14.90385,2018,6.25,2018,33.17308
"Gabon","GAB",2018,-0.8512049,2018,0.1424652,2018,19.71154,2018,12.01923,2018,28.84615,2018,-0.7061859,2018,0.1514907,2018,24.51923,2018,16.82692,2018,34.13462,2018,-0.2475997,2018,0.225094,2018,37.61905,2018,23.80952,2018,52.85714,2018,-0.9477494,2018,0.1316689,2018,22.16749,2018,15.76355,2018,27.0936,2018,-0.8122834,2018,0.1907385,2018,18.75,2018,11.53846,2018,34.13462,2018,-0.8840587,2018,0.1780088,2018,16.82692,2018,9.615385,2018,29.80769
"United Kingdom","GBR",2018,1.826577,2018,0.1434279,2018,93.26923,2018,90.86539,2018,96.63461,2018,1.638637,2018,0.1569692,2018,91.82692,2018,88.46154,2018,98.55769,2018,0.0487175,2018,0.211271,2018,48.09524,2018,35.23809,2018,58.57143,2018,1.383976,2018,0.1437459,2018,93.59606,2018,87.68473,2018,99.01478,2018,1.341884,2018,0.2221446,2018,87.98077,2018,78.84615,2018,94.23077,2018,1.761863,2018,0.2226358,2018,96.15385,2018,89.90385,2018,99.03846
"Georgia","GEO",2018,0.7079911,2018,0.1399504,2018,76.44231,2018,67.78846,2018,80.76923,2018,0.3280484,2018,0.1398785,2018,63.94231,2018,57.21154,2018,72.11539,2018,-0.4264878,2018,0.2235309,2018,30,2018,18.57143,2018,43.33333,2018,0.2466903,2018,0.1312635,2018,56.15763,2018,47.29064,2018,61.57635,2018,0.6145709,2018,0.2192134,2018,74.03846,2018,62.01923,2018,78.84615,2018,1.122732,2018,0.1903207,2018,83.17308,2018,75.48077,2018,90.38461
"Ghana","GHA",2018,-0.1149039,2018,0.1273428,2018,52.88462,2018,43.75,2018,59.61538,2018,0.0718521,2018,0.1387609,2018,56.73077,2018,48.07692,2018,61.53846,2018,0.0298971,2018,0.2157381,2018,47.14286,2018,34.28571,2018,58.57143,2018,0.5787039,2018,0.1242243,2018,67.98029,2018,59.60591,2018,72.9064,2018,-0.2102704,2018,0.1805988,2018,46.15385,2018,34.13462,2018,55.28846,2018,-0.0800039,2018,0.1665556,2018,50,2018,37.01923,2018,61.53846
"Guinea","GIN",2018,-1.041717,2018,0.1366014,2018,13.94231,2018,9.134615,2018,22.11539,2018,-1.211506,2018,0.1458903,2018,9.134615,2018,6.25,2018,16.82692,2018,-0.8766674,2018,0.225094,2018,16.66667,2018,11.42857,2018,28.57143,2018,-0.7536743,2018,0.1314224,2018,26.10837,2018,21.67488,2018,31.03448,2018,-0.9709232,2018,0.1805988,2018,16.34615,2018,9.615385,2018,24.03846,2018,-0.7780002,2018,0.1755035,2018,21.63461,2018,12.01923,2018,33.17308
"Gambia, The","GMB",2018,-0.4630391,2018,0.1413654,2018,38.94231,2018,26.92308,2018,46.15385,2018,-0.4307549,2018,0.1519615,2018,36.05769,2018,26.44231,2018,48.07692,2018,-0.0295531,2018,0.225771,2018,44.76191,2018,30.47619,2018,57.61905,2018,-0.1971968,2018,0.1350911,2018,38.42365,2018,33.00492,2018,46.79803,2018,-0.6234712,2018,0.1889838,2018,27.40385,2018,16.34615,2018,39.90385,2018,-0.6317748,2018,0.1777096,2018,28.36539,2018,14.90385,2018,38.46154
"Guinea-Bissau","GNB",2018,-1.533724,2018,0.1658797,2018,3.365385,2018,0,2018,9.615385,2018,-1.234043,2018,0.2169881,2018,8.653846,2018,4.807693,2018,18.26923,2018,-0.6697532,2018,0.2512817,2018,21.90476,2018,12.85714,2018,37.14286,2018,-0.6663399,2018,0.1361283,2018,29.06404,2018,23.15271,2018,32.51231,2018,-1.48785,2018,0.2213432,2018,7.211538,2018,1.442308,2018,11.53846,2018,-1.198666,2018,0.1913441,2018,9.615385,2018,5.288462,2018,16.34615
"Equatorial Guinea","GNQ",2018,-1.559684,2018,0.2119553,2018,2.403846,2018,0,2018,10.57692,2018,-1.41511,2018,0.176928,2018,6.730769,2018,3.365385,2018,10.09615,2018,-0.0511222,2018,0.239692,2018,43.80952,2018,29.04762,2018,57.61905,2018,-1.864524,2018,0.1416042,2018,2.463054,2018,0.9852217,2018,5.91133,2018,-1.29438,2018,0.2363903,2018,9.615385,2018,2.884615,2018,16.34615,2018,-1.557606,2018,0.2181228,2018,4.807693,2018,2.884615,2018,9.134615
"Greece","GRC",2018,-0.0660259,2018,0.1434279,2018,55.76923,2018,44.71154,2018,61.05769,2018,0.1529743,2018,0.1569692,2018,59.13462,2018,50.48077,2018,65.86539,2018,0.0925857,2018,0.211271,2018,50,2018,37.14286,2018,61.42857,2018,0.8573366,2018,0.1455305,2018,75.36946,2018,69.45813,2018,83.25123,2018,0.3382609,2018,0.2221446,2018,65.86539,2018,50.96154,2018,75,2018,0.2950006,2018,0.2226358,2018,64.42308,2018,50.96154,2018,73.07692
"Grenada","GRD",2018,0.3765373,2018,0.208581,2018,66.82692,2018,58.65385,2018,76.92308,2018,0.3104176,2018,0.2501756,2018,62.5,2018,50.96154,2018,75,2018,0.9976301,2018,0.2550432,2018,85.2381,2018,65.71429,2018,96.66666,2018,0.5344329,2018,0.2332783,2018,65.51724,2018,51.23153,2018,77.3399,2018,-0.2529525,2018,0.3347234,2018,43.75,2018,19.23077,2018,63.94231,2018,-0.2930871,2018,0.2602793,2018,40.38462,2018,24.03846,2018,59.61538
"Greenland","GRL",2018,1.177301,2018,0.345219,2018,84.13461,2018,72.11539,2018,92.30769,2018,1.738418,2018,0.2304213,2018,94.23077,2018,87.01923,2018,100,2018,1.939219,2018,0.3751861,2018,100,2018,94.28571,2018,100,2018,1.305925,2018,0.2493472,2018,91.62562,2018,77.3399,2018,99.50739,2018,0.8380827,2018,0.4375256,2018,76.92308,2018,57.69231,2018,91.82692,2018,1.37654,2018,0.4818063,2018,89.90385,2018,72.59615,2018,99.51923
"Guatemala","GTM",2018,-0.8228126,2018,0.1219236,2018,22.11539,2018,14.42308,2018,28.84615,2018,-1.050815,2018,0.144388,2018,13.46154,2018,7.211538,2018,20.67308,2018,-0.541353,2018,0.2157381,2018,27.14286,2018,16.19048,2018,40,2018,-0.3424338,2018,0.1282128,2018,35.46798,2018,31.03448,2018,38.91626,2018,-0.6820061,2018,0.191959,2018,23.55769,2018,15.38461,2018,39.42308,2018,-0.1955709,2018,0.1817735,2018,45.67308,2018,33.17308,2018,59.13462
"Guam","GUM",2018,1.238614,2018,0.4023822,2018,86.53846,2018,71.15385,2018,94.71154,2018,1.363964,2018,0.4841593,2018,87.98077,2018,72.59615,2018,100,2018,0.6334171,2018,0.2825343,2018,67.14286,2018,53.33333,2018,88.09524,2013,0.7834459,2013,0.4573736,2013,72.30047,2013,49.76526,2013,96.24413,2018,0.2727026,2018,0.4585745,2018,63.46154,2018,35.09615,2018,79.32692,2018,0.082563,2018,0.4940268,2018,58.17308,2018,23.55769,2018,78.84615
"Guyana","GUY",2018,-0.2266977,2018,0.1506581,2018,46.63462,2018,37.98077,2018,57.69231,2018,-0.320109,2018,0.1643115,2018,41.82692,2018,29.80769,2018,52.40385,2018,-0.1750658,2018,0.224247,2018,40.95238,2018,26.66667,2018,53.33333,2018,0.2575835,2018,0.1489947,2018,56.65025,2018,46.79803,2018,64.03941,2018,-0.2694839,2018,0.2506322,2018,41.82692,2018,23.55769,2018,58.65385,2018,-0.5320596,2018,0.2072607,2018,32.21154,2018,17.30769,2018,45.67308
"Hong Kong SAR, China","HKG",2018,1.676441,2018,0.1433421,2018,92.30769,2018,89.42308,2018,94.71154,2018,1.771396,2018,0.1588832,2018,95.19231,2018,89.90385,2018,99.51923,2018,0.7943653,2018,0.2392333,2018,74.7619,2018,59.04762,2018,90.95238,2018,0.468593,2018,0.1536049,2018,62.06897,2018,54.6798,2018,71.42857,2018,1.903607,2018,0.2221446,2018,98.07692,2018,91.82692,2018,100,2018,2.206004,2018,0.2226358,2018,100,2018,97.59615,2018,100
"Honduras","HND",2018,-0.6164857,2018,0.1219236,2018,29.32692,2018,22.11539,2018,40.38462,2018,-1.023039,2018,0.144388,2018,16.34615,2018,8.173077,2018,21.63461,2018,-0.550988,2018,0.2157381,2018,26.66667,2018,15.71429,2018,39.04762,2018,-0.5083182,2018,0.1282128,2018,31.52709,2018,27.58621,2018,36.94581,2018,-0.6206585,2018,0.191959,2018,27.88461,2018,16.34615,2018,39.90385,2018,-0.4688137,2018,0.1817735,2018,34.61538,2018,22.11539,2018,46.63462
"Croatia","HRV",2018,0.1316391,2018,0.1267572,2018,60.09615,2018,54.32692,2018,64.90385,2018,0.324786,2018,0.1338652,2018,62.98077,2018,57.69231,2018,71.15385,2018,0.7688776,2018,0.211271,2018,73.80952,2018,60.95238,2018,89.04762,2018,0.5019643,2018,0.1279276,2018,64.53202,2018,57.63547,2018,71.42857,2018,0.4569183,2018,0.1982992,2018,69.23077,2018,58.17308,2018,75.48077,2018,0.4473468,2018,0.180271,2018,68.26923,2018,61.05769,2018,75.48077
"Haiti","HTI",2018,-1.265189,2018,0.1427448,2018,9.615385,2018,3.846154,2018,14.42308,2018,-1.028031,2018,0.1567964,2018,15.86539,2018,7.211538,2018,22.11539,2018,-0.6268144,2018,0.2209855,2018,23.33333,2018,13.80952,2018,36.19048,2018,-0.7454833,2018,0.1379577,2018,26.60098,2018,21.67488,2018,31.03448,2018,-1.909054,2018,0.2063741,2018,1.442308,2018,0,2018,5.288462,2018,-1.224258,2018,0.1935906,2018,8.653846,2018,4.807693,2018,14.90385
"Hungary","HUN",2018,0.053347,2018,0.1309793,2018,59.61538,2018,50.48077,2018,62.5,2018,0.555392,2018,0.1409364,2018,72.11539,2018,62.5,2018,76.92308,2018,0.7552119,2018,0.211271,2018,73.33334,2018,59.04762,2018,88.09524,2018,0.3183424,2018,0.1309706,2018,58.62069,2018,50.73891,2018,64.53202,2018,0.4873109,2018,0.2132453,2018,70.19231,2018,58.17308,2018,76.44231,2018,0.6022686,2018,0.1982157,2018,73.07692,2018,62.5,2018,78.84615
