"country","countryiso3","latest.year_estimate_control_of_corru.364","latest.value_estimate_control_of_corru.364","latest.year_stderr_control_of_corrupt.366","latest.value_stderr_control_of_corrupt.366","latest.year_rank_control_of_corruptio.367","latest.value_rank_control_of_corruptio.367","latest.year_lower_control_of_corrupti.368","latest.value_lower_control_of_corrupti.368","latest.year_upper_control_of_corrupti.369","latest.value_upper_control_of_corrupti.369","latest.year_estimate_rule_of_law.370","latest.value_estimate_rule_of_law.370","latest.year_stderr_rule_of_law.372","latest.value_stderr_rule_of_law.372","latest.year_rank_rule_of_law.373","latest.value_rank_rule_of_law.373","latest.year_lower_rule_of_law.374","latest.value_lower_rule_of_law.374","latest.year_upper_rule_of_law.375","latest.value_upper_rule_of_law.375","latest.year_estimate_political_stabil.376","latest.value_estimate_political_stabil.376","latest.year_stderr_political_stabilit.378","latest.value_stderr_political_stabilit.378","latest.year_rank_political_stability_.379","latest.value_rank_political_stability_.379","latest.year_lower_political_stability.380","latest.value_lower_political_stability.380","latest.year_upper_political_stability.381","latest.value_upper_political_stability.381","latest.year_estimate_voice_and_accoun.382","latest.value_estimate_voice_and_accoun.382","latest.year_stderr_voice_and_accounta.384","latest.value_stderr_voice_and_accounta.384","latest.year_rank_voice_and_accountabi.385","latest.value_rank_voice_and_accountabi.385","latest.year_lower_voice_and_accountab.386","latest.value_lower_voice_and_accountab.386","latest.year_upper_voice_and_accountab.387","latest.value_upper_voice_and_accountab.387","latest.year_estimate_government_effec.388","latest.value_estimate_government_effec.388","latest.year_stderr_government_effecti.390","latest.value_stderr_government_effecti.390","latest.year_rank_government_effective.391","latest.value_rank_government_effective.391","latest.year_lower_government_effectiv.392","latest.value_lower_government_effectiv.392","latest.year_upper_government_effectiv.393","latest.value_upper_government_effectiv.393","latest.year_estimate_regulatory_quali.394","latest.value_estimate_regulatory_quali.394","latest.year_stderr_regulatory_quality.396","latest.value_stderr_regulatory_quality.396","latest.year_rank_regulatory_quality.397","latest.value_rank_regulatory_quality.397","latest.year_lower_regulatory_quality.398","latest.value_lower_regulatory_quality.398","latest.year_upper_regulatory_quality.399","latest.value_upper_regulatory_quality.399"
"Australia","AUS",2018,1.806201,2018,0.1390601,2018,92.78846,2018,90.86539,2018,96.63461,2018,1.715279,2018,0.1569692,2018,92.78846,2018,89.42308,2018,99.51923,2018,0.9765741,2018,0.211271,2018,82.85714,2018,66.66666,2018,94.28571,2018,1.428148,2018,0.1455305,2018,95.56651,2018,88.17734,2018,99.50739,2018,1.596495,2018,0.2221446,2018,92.78846,2018,86.53846,2018,98.55769,2018,1.929283,2018,0.2226358,2018,98.07692,2018,91.82692,2018,100
"Austria","AUT",2018,1.596262,2018,0.1451362,2018,91.34615,2018,88.46154,2018,93.26923,2018,1.875834,2018,0.1569692,2018,97.59615,2018,90.86539,2018,100,2018,0.9175232,2018,0.211271,2018,80.95238,2018,65.71429,2018,92.85714,2018,1.380672,2018,0.1455305,2018,93.10345,2018,84.23645,2018,99.01478,2018,1.453342,2018,0.2221446,2018,90.86539,2018,81.73077,2018,95.67308,2018,1.544717,2018,0.2226358,2018,91.34615,2018,83.65385,2018,97.59615
"Azerbaijan","AZE",2018,-0.8286031,2018,0.1404115,2018,21.63461,2018,12.98077,2018,29.32692,2018,-0.6002176,2018,0.1537411,2018,29.32692,2018,18.26923,2018,40.38462,2018,-0.6967331,2018,0.2209855,2018,20.95238,2018,12.85714,2018,33.33333,2018,-1.497994,2018,0.1331245,2018,7.881773,2018,4.433497,2018,13.30049,2018,-0.1004674,2018,0.2233855,2018,49.03846,2018,35.09615,2018,62.5,2018,-0.3807242,2018,0.2163536,2018,37.01923,2018,23.07692,2018,54.80769
"Burundi","BDI",2018,-1.450633,2018,0.1615282,2018,5.288462,2018,0.4807692,2018,10.57692,2018,-1.496611,2018,0.1501777,2018,5.769231,2018,3.365385,2018,8.173077,2018,-1.597951,2018,0.2293836,2018,7.619048,2018,5.238095,2018,11.42857,2018,-1.651565,2018,0.1372808,2018,5.418719,2018,1.970443,2018,9.852217,2018,-1.419982,2018,0.1908892,2018,8.173077,2018,1.923077,2018,11.53846,2018,-0.982583,2018,0.1831593,2018,13.46154,2018,7.692307,2018,25
"Belgium","BEL",2018,1.510279,2018,0.1434279,2018,90.38461,2018,87.5,2018,92.30769,2018,1.3679,2018,0.1569692,2018,88.46154,2018,82.69231,2018,90.86539,2018,0.412356,2018,0.211271,2018,59.52381,2018,48.57143,2018,73.33334,2018,1.397253,2018,0.1455305,2018,94.08867,2018,87.68473,2018,99.50739,2018,1.171748,2018,0.2221446,2018,83.65385,2018,75.48077,2018,91.82692,2018,1.233861,2018,0.2226358,2018,86.05769,2018,77.88461,2018,92.78846
"Benin","BEN",2018,-0.3833744,2018,0.1544845,2018,41.34615,2018,27.88461,2018,51.92308,2018,-0.6751704,2018,0.1484559,2018,26.92308,2018,17.30769,2018,35.09615,2018,-0.132421,2018,0.2293836,2018,41.90476,2018,28.57143,2018,54.28571,2018,0.2674125,2018,0.1348838,2018,57.63547,2018,48.76847,2018,63.05419,2018,-0.5659866,2018,0.1890158,2018,32.69231,2018,17.30769,2018,42.78846,2018,-0.3391147,2018,0.1831593,2018,38.94231,2018,27.88461,2018,53.84615
"Burkina Faso","BFA",2018,-0.112395,2018,0.132053,2018,53.36538,2018,43.75,2018,59.61538,2018,-0.4455683,2018,0.1435532,2018,34.61538,2018,26.44231,2018,47.11538,2018,-1.040907,2018,0.2195558,2018,13.33333,2018,8.095238,2018,21.42857,2018,-0.0432251,2018,0.1244324,2018,43.84237,2018,36.94581,2018,51.72414,2018,-0.5783429,2018,0.1907385,2018,31.25,2018,17.30769,2018,42.30769,2018,-0.3863249,2018,0.1686924,2018,36.05769,2018,25.48077,2018,49.03846
"Bangladesh","BGD",2018,-0.9050215,2018,0.133124,2018,16.82692,2018,11.53846,2018,26.92308,2018,-0.6402364,2018,0.1495493,2018,28.36539,2018,17.78846,2018,38.94231,2018,-1.03248,2018,0.2157381,2018,13.80952,2018,8.095238,2018,21.42857,2018,-0.7284137,2018,0.1298104,2018,27.58621,2018,22.16749,2018,31.03448,2018,-0.7483993,2018,0.2063302,2018,21.63461,2018,12.01923,2018,38.94231,2018,-0.8262727,2018,0.1817709,2018,19.23077,2018,10.57692,2018,32.21154
"Bulgaria","BGR",2018,-0.1515335,2018,0.1267572,2018,50.96154,2018,42.30769,2018,59.61538,2018,-0.029567,2018,0.1338652,2018,53.36538,2018,44.71154,2018,59.13462,2018,0.4196386,2018,0.211271,2018,60.47619,2018,48.57143,2018,73.33334,2018,0.3233821,2018,0.1279276,2018,59.1133,2018,50.73891,2018,64.53202,2018,0.2718757,2018,0.1982992,2018,62.98077,2018,50.96154,2018,73.55769,2018,0.5765803,2018,0.180271,2018,72.59615,2018,62.98077,2018,77.88461
"Bahrain","BHR",2018,-0.1472867,2018,0.1786588,2018,51.44231,2018,39.42308,2018,60.09615,2018,0.4127088,2018,0.1840094,2018,66.34615,2018,57.69231,2018,75,2018,-0.8404424,2018,0.225094,2018,17.14286,2018,11.42857,2018,29.04762,2018,-1.405907,2018,0.1472449,2018,10.83744,2018,5.418719,2018,15.76355,2018,0.1798774,2018,0.2489419,2018,59.61538,2018,45.67308,2018,73.07692,2018,0.4460675,2018,0.2312884,2018,67.78846,2018,57.21154,2018,77.40385
"Bahamas, The","BHS",2018,1.131102,2018,0.1760069,2018,83.17308,2018,79.80769,2018,88.94231,2018,0.0969947,2018,0.1847173,2018,57.21154,2018,47.59615,2018,65.86539,2018,0.8721167,2018,0.224247,2018,78.57143,2018,62.85714,2018,92.38095,2018,0.7956346,2018,0.1658501,2018,73.39902,2018,64.53202,2018,82.75862,2018,0.5391499,2018,0.2917387,2018,71.63461,2018,55.28846,2018,79.32692,2018,0.1511079,2018,0.2484729,2018,61.05769,2018,41.34615,2018,72.11539
"Bosnia and Herzegovina","BIH",2018,-0.5718023,2018,0.1399504,2018,31.73077,2018,23.07692,2018,42.78846,2018,-0.2332111,2018,0.1398785,2018,46.63462,2018,34.13462,2018,53.84615,2018,-0.3923242,2018,0.2235309,2018,30.95238,2018,19.04762,2018,44.76191,2018,-0.2435907,2018,0.1312635,2018,37.43842,2018,32.51231,2018,44.33498,2018,-0.6185398,2018,0.2192134,2018,28.36539,2018,15.86539,2018,42.78846,2018,-0.2064383,2018,0.1903207,2018,45.19231,2018,32.21154,2018,59.13462
"Belarus","BLR",2018,-0.1922756,2018,0.1365389,2018,49.03846,2018,40.38462,2018,58.65385,2018,-0.8329659,2018,0.1425991,2018,19.23077,2018,12.98077,2018,29.32692,2018,0.3535319,2018,0.2195558,2018,58.09524,2018,45.23809,2018,70,2018,-1.350769,2018,0.1295371,2018,11.82266,2018,6.403941,2018,16.25616,2018,-0.3010303,2018,0.2260143,2018,40.38462,2018,24.51923,2018,55.28846,2018,-0.6600578,2018,0.1903641,2018,25.96154,2018,13.94231,2018,37.98077
"Belize","BLZ",2018,-0.138192,2018,0.1985105,2018,51.92308,2018,38.46154,2018,61.53846,2018,-0.823954,2018,0.1895593,2018,20.19231,2018,9.615385,2018,32.69231,2018,0.0156727,2018,0.2330375,2018,46.19048,2018,31.42857,2018,58.57143,2018,0.4507534,2018,0.1666713,2018,61.08374,2018,51.72414,2018,71.92118,2018,-0.5938884,2018,0.319281,2018,30.28846,2018,11.53846,2018,50.48077,2018,-0.6593263,2018,0.2556349,2018,26.44231,2018,12.01923,2018,43.26923
"Bermuda","BMU",2018,1.238614,2018,0.4023822,2018,86.53846,2018,71.15385,2018,94.71154,2018,0.8764146,2018,0.4841593,2018,78.84615,2018,56.73077,2018,91.82692,2018,1.162025,2018,0.2825343,2018,90.95238,2018,69.52381,2018,99.52381,2013,1.004767,2013,0.4573736,2013,81.22066,2013,56.33803,2013,100,2018,1.387551,2018,0.4585745,2018,88.94231,2018,74.51923,2018,99.51923,2018,0.8194681,2018,0.4940268,2018,77.40385,2018,56.25,2018,93.26923
"Bolivia","BOL",2018,-0.62591,2018,0.1260384,2018,28.84615,2018,21.15385,2018,40.38462,2018,-1.14962,2018,0.1498107,2018,9.615385,2018,6.730769,2018,17.78846,2018,-0.2428411,2018,0.2195558,2018,38.09524,2018,24.76191,2018,52.85714,2018,-0.0425873,2018,0.1284416,2018,44.33498,2018,36.94581,2018,51.72414,2018,-0.3220994,2018,0.2042724,2018,39.90385,2018,25,2018,53.84615,2018,-0.8945125,2018,0.1845614,2018,15.86539,2018,9.615385,2018,29.80769
"Brazil","BRA",2018,-0.4196956,2018,0.1182229,2018,40.38462,2018,29.32692,2018,46.63462,2018,-0.2776436,2018,0.1397771,2018,44.23077,2018,32.69231,2018,52.40385,2018,-0.3570176,2018,0.211271,2018,31.90476,2018,20.47619,2018,44.76191,2018,0.3885686,2018,0.1280941,2018,60.59113,2018,51.72414,2018,68.47291,2018,-0.4474374,2018,0.1831254,2018,36.05769,2018,21.63461,2018,48.07692,2018,-0.3132748,2018,0.1753201,2018,39.90385,2018,29.80769,2018,54.80769
"Barbados","BRB",2018,1.411373,2018,0.205695,2018,88.94231,2018,82.21154,2018,92.30769,2018,0.3949094,2018,0.1867613,2018,65.86539,2018,56.73077,2018,75,2018,0.9214329,2018,0.2330375,2018,81.42857,2018,64.28571,2018,94.28571,2018,1.12459,2018,0.1642308,2018,84.23645,2018,74.87685,2018,93.59606,2018,0.4269727,2018,0.3318715,2018,68.75,2018,48.07692,2018,78.84615,2018,0.5401858,2018,0.2717637,2018,72.11539,2018,59.13462,2018,80.76923
"Brunei Darussalam","BRN",2018,0.7953077,2018,0.1780641,2018,79.80769,2018,68.75,2018,82.21154,2018,0.6292501,2018,0.1791468,2018,75,2018,63.94231,2018,78.84615,2018,1.201149,2018,0.2209855,2018,91.90476,2018,75.2381,2018,99.04762,2018,-0.8432592,2018,0.1656622,2018,24.63054,2018,17.24138,2018,31.03448,2018,1.252714,2018,0.2416333,2018,87.01923,2018,76.92308,2018,93.26923,2018,0.685179,2018,0.2642237,2018,74.51923,2018,61.53846,2018,82.69231
"Bhutan","BTN",2018,1.646514,2018,0.2041037,2018,91.82692,2018,87.5,2018,95.19231,2018,0.5520926,2018,0.1798081,2018,71.63461,2018,61.53846,2018,77.88461,2018,1.104605,2018,0.239692,2018,88.57143,2018,70,2018,98.09524,2018,0.0605407,2018,0.1510144,2018,49.7537,2018,38.42365,2018,57.63547,2018,0.3588973,2018,0.2648508,2018,67.30769,2018,50.48077,2018,75.48077,2018,-0.3346259,2018,0.2205652,2018,39.42308,2018,24.51923,2018,56.25
"Botswana","BWA",2018,0.7505108,2018,0.1305735,2018,77.88461,2018,69.71154,2018,81.25,2018,0.4664786,2018,0.1435289,2018,68.75,2018,60.09615,2018,75,2018,0.9791562,2018,0.2201839,2018,83.33334,2018,66.66666,2018,94.28571,2018,0.4747402,2018,0.1271977,2018,62.56158,2018,57.14286,2018,71.42857,2018,0.3334411,2018,0.1874648,2018,65.38461,2018,54.80769,2018,74.51923,2018,0.454911,2018,0.1684377,2018,68.75,2018,61.53846,2018,75.48077
"Central African Republic","CAF",2018,-1.233395,2018,0.1701442,2018,10.57692,2018,3.365385,2018,15.86539,2018,-1.687692,2018,0.1557647,2018,3.846154,2018,1.442308,2018,6.25,2018,-2.281261,2018,0.2339885,2018,2.857143,2018,0.952381,2018,5.238095,2018,-1.188597,2018,0.1374218,2018,14.77833,2018,10.34483,2018,21.67488,2018,-1.720417,2018,0.2011058,2018,2.884615,2018,0.9615384,2018,8.173077,2018,-1.367495,2018,0.1860124,2018,6.730769,2018,3.365385,2018,12.01923
"Canada","CAN",2018,1.873514,2018,0.1434637,2018,94.71154,2018,91.34615,2018,97.59615,2018,1.770795,2018,0.1547573,2018,94.71154,2018,89.90385,2018,99.51923,2018,0.9911886,2018,0.211271,2018,84.7619,2018,67.14286,2018,94.28571,2018,1.520857,2018,0.145374,2018,96.05911,2018,89.65517,2018,100,2018,1.716108,2018,0.2221446,2018,94.71154,2018,87.98077,2018,99.51923,2018,1.665293,2018,0.2226358,2018,93.75,2018,87.01923,2018,99.03846
"Switzerland","CHE",2018,2.00971,2018,0.1570675,2018,96.63461,2018,92.30769,2018,100,2018,1.931222,2018,0.1675214,2018,99.03846,2018,91.82692,2018,100,2018,1.344863,2018,0.2161918,2018,95.2381,2018,84.28571,2018,99.52381,2018,1.616422,2018,0.1552453,2018,99.01478,2018,92.61084,2018,100,2018,2.039621,2018,0.2221446,2018,99.51923,2018,93.75,2018,100,2018,1.780406,2018,0.2454936,2018,96.63461,2018,89.90385,2018,99.51923
