"country","countryiso3","estimate_control_of_corru.364_2013","estimate_control_of_corru.364_2014","estimate_control_of_corru.364_2015","estimate_control_of_corru.364_2016","estimate_control_of_corru.364_2017","estimate_control_of_corru.364_2018","stderr_control_of_corrupt.366_2013","stderr_control_of_corrupt.366_2014","stderr_control_of_corrupt.366_2015","stderr_control_of_corrupt.366_2016","stderr_control_of_corrupt.366_2017","stderr_control_of_corrupt.366_2018","rank_control_of_corruptio.367_2013","rank_control_of_corruptio.367_2014","rank_control_of_corruptio.367_2015","rank_control_of_corruptio.367_2016","rank_control_of_corruptio.367_2017","rank_control_of_corruptio.367_2018","lower_control_of_corrupti.368_2013","lower_control_of_corrupti.368_2014","lower_control_of_corrupti.368_2015","lower_control_of_corrupti.368_2016","lower_control_of_corrupti.368_2017","lower_control_of_corrupti.368_2018","upper_control_of_corrupti.369_2013","upper_control_of_corrupti.369_2014","upper_control_of_corrupti.369_2015","upper_control_of_corrupti.369_2016","upper_control_of_corrupti.369_2017","upper_control_of_corrupti.369_2018","estimate_rule_of_law.370_2013","estimate_rule_of_law.370_2014","estimate_rule_of_law.370_2015","estimate_rule_of_law.370_2016","estimate_rule_of_law.370_2017","estimate_rule_of_law.370_2018","stderr_rule_of_law.372_2013","stderr_rule_of_law.372_2014","stderr_rule_of_law.372_2015","stderr_rule_of_law.372_2016","stderr_rule_of_law.372_2017","stderr_rule_of_law.372_2018","rank_rule_of_law.373_2013","rank_rule_of_law.373_2014","rank_rule_of_law.373_2015","rank_rule_of_law.373_2016","rank_rule_of_law.373_2017","rank_rule_of_law.373_2018","lower_rule_of_law.374_2013","lower_rule_of_law.374_2014","lower_rule_of_law.374_2015","lower_rule_of_law.374_2016","lower_rule_of_law.374_2017","lower_rule_of_law.374_2018","upper_rule_of_law.375_2013","upper_rule_of_law.375_2014","upper_rule_of_law.375_2015","upper_rule_of_law.375_2016","upper_rule_of_law.375_2017","upper_rule_of_law.375_2018","estimate_political_stabil.376_2013","estimate_political_stabil.376_2014","estimate_political_stabil.376_2015","estimate_political_stabil.376_2016","estimate_political_stabil.376_2017","estimate_political_stabil.376_2018","stderr_political_stabilit.378_2013","stderr_political_stabilit.378_2014","stderr_political_stabilit.378_2015","stderr_political_stabilit.378_2016","stderr_political_stabilit.378_2017","stderr_political_stabilit.378_2018","rank_political_stability_.379_2013","rank_political_stability_.379_2014","rank_political_stability_.379_2015","rank_political_stability_.379_2016","rank_political_stability_.379_2017","rank_political_stability_.379_2018","lower_political_stability.380_2013","lower_political_stability.380_2014","lower_political_stability.380_2015","lower_political_stability.380_2016","lower_political_stability.380_2017","lower_political_stability.380_2018","upper_political_stability.381_2013","upper_political_stability.381_2014","upper_political_stability.381_2015","upper_political_stability.381_2016","upper_political_stability.381_2017","upper_political_stability.381_2018","estimate_voice_and_accoun.382_2013","estimate_voice_and_accoun.382_2014","estimate_voice_and_accoun.382_2015","estimate_voice_and_accoun.382_2016","estimate_voice_and_accoun.382_2017","estimate_voice_and_accoun.382_2018","stderr_voice_and_accounta.384_2013","stderr_voice_and_accounta.384_2014","stderr_voice_and_accounta.384_2015","stderr_voice_and_accounta.384_2016","stderr_voice_and_accounta.384_2017","stderr_voice_and_accounta.384_2018","rank_voice_and_accountabi.385_2013","rank_voice_and_accountabi.385_2014","rank_voice_and_accountabi.385_2015","rank_voice_and_accountabi.385_2016","rank_voice_and_accountabi.385_2017","rank_voice_and_accountabi.385_2018","lower_voice_and_accountab.386_2013","lower_voice_and_accountab.386_2014","lower_voice_and_accountab.386_2015","lower_voice_and_accountab.386_2016","lower_voice_and_accountab.386_2017","lower_voice_and_accountab.386_2018","upper_voice_and_accountab.387_2013","upper_voice_and_accountab.387_2014","upper_voice_and_accountab.387_2015","upper_voice_and_accountab.387_2016","upper_voice_and_accountab.387_2017","upper_voice_and_accountab.387_2018","estimate_government_effec.388_2013","estimate_government_effec.388_2014","estimate_government_effec.388_2015","estimate_government_effec.388_2016","estimate_government_effec.388_2017","estimate_government_effec.388_2018","stderr_government_effecti.390_2013","stderr_government_effecti.390_2014","stderr_government_effecti.390_2015","stderr_government_effecti.390_2016","stderr_government_effecti.390_2017","stderr_government_effecti.390_2018","rank_government_effective.391_2013","rank_government_effective.391_2014","rank_government_effective.391_2015","rank_government_effective.391_2016","rank_government_effective.391_2017","rank_government_effective.391_2018","lower_government_effectiv.392_2013","lower_government_effectiv.392_2014","lower_government_effectiv.392_2015","lower_government_effectiv.392_2016","lower_government_effectiv.392_2017","lower_government_effectiv.392_2018","upper_government_effectiv.393_2013","upper_government_effectiv.393_2014","upper_government_effectiv.393_2015","upper_government_effectiv.393_2016","upper_government_effectiv.393_2017","upper_government_effectiv.393_2018","estimate_regulatory_quali.394_2013","estimate_regulatory_quali.394_2014","estimate_regulatory_quali.394_2015","estimate_regulatory_quali.394_2016","estimate_regulatory_quali.394_2017","estimate_regulatory_quali.394_2018","stderr_regulatory_quality.396_2013","stderr_regulatory_quality.396_2014","stderr_regulatory_quality.396_2015","stderr_regulatory_quality.396_2016","stderr_regulatory_quality.396_2017","stderr_regulatory_quality.396_2018","rank_regulatory_quality.397_2013","rank_regulatory_quality.397_2014","rank_regulatory_quality.397_2015","rank_regulatory_quality.397_2016","rank_regulatory_quality.397_2017","rank_regulatory_quality.397_2018","lower_regulatory_quality.398_2013","lower_regulatory_quality.398_2014","lower_regulatory_quality.398_2015","lower_regulatory_quality.398_2016","lower_regulatory_quality.398_2017","lower_regulatory_quality.398_2018","upper_regulatory_quality.399_2013","upper_regulatory_quality.399_2014","upper_regulatory_quality.399_2015","upper_regulatory_quality.399_2016","upper_regulatory_quality.399_2017","upper_regulatory_quality.399_2018"
"Switzerland","CHE",2.13242,2.151519,2.136473,1.988357,1.989034,2.00971,0.1657184,0.1567226,0.1563745,0.1627774,0.1455851,0.1570675,97.63033,97.59615,97.59615,95.67308,96.63461,96.63461,94.78673,95.19231,93.75,92.78846,92.30769,92.30769,99.52607,100,100,99.51923,99.03846,100,1.804692,1.994928,1.945174,1.947542,1.927894,1.931222,0.1602068,0.1736039,0.1678593,0.1863676,0.1751574,0.1675214,96.24413,98.07692,97.59615,98.07692,98.55769,99.03846,90.14085,90.86539,90.86539,91.82692,91.34615,91.82692,100,100,100,100,100,100,1.40114,1.402653,1.339359,1.30629,1.256539,1.344863,0.2291728,0.1957394,0.2017246,0.2095633,0.2166968,0.2161918,98.10426,98.09524,96.66666,94.7619,94.28571,95.2381,82.93839,89.04762,86.19048,80,79.52381,84.28571,99.52607,99.52381,99.52381,99.52381,98.57143,99.52381,1.628098,1.559489,1.558501,1.531788,1.555488,1.616422,0.1399095,0.1538932,0.1526971,0.1499769,0.1513569,0.1552453,98.12206,99.01478,98.52217,97.53695,98.02956,99.01478,92.95775,92.11823,92.11823,92.11823,92.61084,92.61084,100,100,100,100,100,100,1.824577,2.112258,1.998052,2.008593,2.056261,2.039621,0.2167549,0.2292054,0.2278272,0.2193927,0.2222289,0.2221446,97.63033,99.51923,99.51923,99.51923,99.51923,99.51923,88.6256,94.71154,92.30769,92.78846,93.75,93.75,100,100,100,100,100,100,1.628784,1.806558,1.741087,1.911901,1.883794,1.780406,0.2429509,0.2465838,0.2364944,0.2498258,0.242165,0.2454936,94.3128,96.15385,95.19231,98.07692,97.11539,96.63461,86.25592,89.90385,89.90385,91.82692,90.86539,89.90385,100,99.51923,99.03846,100,100,99.51923
"Chile","CHL",1.541565,1.488503,1.27997,1.140054,1.039291,1.012118,0.1360284,0.1320328,0.1325926,0.1334442,0.1261564,0.1223864,90.52132,90.86539,87.5,82.69231,82.21154,81.73077,87.67773,87.01923,82.21154,79.80769,79.80769,79.80769,93.36493,92.78846,90.38461,89.42308,87.01923,84.13461,1.367829,1.43314,1.344083,1.129269,1.011737,1.115472,0.1369183,0.1457527,0.1416878,0.152408,0.156987,0.1399574,87.79343,87.98077,87.01923,85.09615,81.73077,83.65385,85.91549,86.05769,82.21154,79.80769,76.44231,78.84615,91.54929,90.38461,89.90385,87.98077,86.05769,87.01923,0.3637425,0.4475169,0.4334392,0.4131105,0.4170224,0.4252459,0.2257874,0.1922474,0.1981644,0.2049565,0.211684,0.211271,59.71564,60,60,60.47619,61.90476,61.42857,45.49763,50.47619,51.42857,48.57143,48.57143,49.04762,67.77251,70.95238,70,71.90476,71.90476,73.80952,1.106285,1.055915,1.004488,0.9951399,0.9987726,1.054925,0.1196616,0.1272822,0.1290714,0.1255194,0.1261043,0.1293303,84.50704,80.78818,79.31035,77.83251,79.31035,82.26601,73.70892,71.92118,71.92118,71.92118,73.39902,74.87685,91.54929,89.65517,89.65517,88.66995,88.17734,89.65517,1.264524,1.161332,1.086102,1.010753,0.8435157,1.084034,0.1957652,0.2054331,0.2052675,0.1964069,0.213248,0.1854095,86.72986,84.61539,83.17308,79.32692,77.88461,81.73077,77.72512,74.03846,74.03846,73.07692,69.23077,75.48077,92.41706,90.86539,87.98077,88.46154,85.09615,88.94231,1.491449,1.494421,1.345232,1.373064,1.335125,1.343512,0.181186,0.186392,0.1780823,0.1825372,0.196561,0.180271,91.94313,91.82692,88.94231,89.90385,88.94231,88.94231,86.25592,85.57692,80.28846,83.17308,80.28846,81.73077,96.68246,95.67308,92.30769,92.30769,93.26923,93.26923
"China","CHN",-0.3583522,-0.3400691,-0.2821073,-0.2540594,-0.2699364,-0.2712442,0.1272801,0.1249014,0.123939,0.1293661,0.1199207,0.1249812,44.54976,45.67308,48.07692,49.03846,46.63462,45.67308,35.07109,34.61538,37.5,36.53846,40.38462,37.98077,54.02843,52.88462,54.80769,56.25,54.80769,55.28846,-0.5245902,-0.4144774,-0.4097969,-0.3344146,-0.2629562,-0.2015748,0.1343342,0.1452256,0.143067,0.1575645,0.1494485,0.1448283,38.96714,38.94231,39.90385,41.34615,44.71154,48.07692,27.69953,29.80769,30.28846,31.25,32.69231,35.09615,45.53991,49.51923,49.51923,51.92308,52.40385,55.76923,-0.5437899,-0.522584,-0.5502946,-0.499395,-0.2310128,-0.2610621,0.2257874,0.1922474,0.1981644,0.2049565,0.211684,0.211271,26.54029,28.57143,26.19048,26.66667,38.57143,36.66667,18.00948,18.57143,19.04762,17.14286,25.71428,23.80952,39.81042,36.66667,38.57143,39.04762,50.95238,49.52381,-1.631409,-1.616668,-1.660777,-1.561287,-1.504779,-1.449377,0.1105247,0.1276454,0.129908,0.1256537,0.1260073,0.129805,4.694836,5.418719,4.926108,6.896552,7.881773,8.866995,3.286385,3.448276,2.955665,3.940887,4.926108,4.926108,8.450705,8.374384,8.866995,11.82266,12.80788,13.30049,0.0036481,0.3228883,0.4078639,0.3548748,0.4204699,0.4771284,0.1901324,0.1950526,0.1965686,0.1911846,0.1906033,0.1955121,55.45024,64.90385,68.26923,66.82692,67.78846,69.71154,45.49763,55.76923,55.76923,54.32692,57.21154,58.65385,62.55924,72.59615,73.55769,73.07692,74.03846,75.48077,-0.2879804,-0.2829926,-0.2894387,-0.2644748,-0.1476175,-0.1350215,0.1749033,0.1804529,0.1737436,0.1785568,0.1735235,0.1753201,44.07583,43.75,44.23077,44.23077,48.55769,48.07692,30.80569,31.25,30.28846,29.32692,35.09615,35.09615,53.08057,53.84615,53.84615,53.84615,59.13462,61.05769
"Cote d'Ivoire","CIV",-0.7355494,-0.4191529,-0.4349297,-0.5300656,-0.5253296,-0.4990963,0.1346905,0.1326332,0.1336183,0.1354613,0.1289985,0.132053,26.06635,42.30769,41.34615,33.17308,36.53846,36.53846,17.06161,29.80769,29.32692,23.55769,24.51923,26.44231,36.96682,51.44231,52.40385,45.67308,44.71154,45.19231,-0.9050444,-0.5914158,-0.6297165,-0.6445513,-0.6302257,-0.5795925,0.1283461,0.1383345,0.1395979,0.1526877,0.1477763,0.1435532,19.71831,32.69231,30.76923,29.32692,29.80769,30.76923,11.73709,20.67308,19.23077,17.30769,18.26923,20.67308,30.04695,41.34615,40.38462,37.01923,39.42308,40.86538,-1.048724,-1.037161,-0.8325459,-0.9075593,-1.090075,-0.9311823,0.2280198,0.1963862,0.2029834,0.2077957,0.2190167,0.2195558,17.06161,13.33333,20,15.71429,12.85714,15.71429,7.582938,8.095238,10,10.95238,8.571428,10.95238,23.22275,21.42857,28.09524,24.76191,19.52381,25.71428,-0.7511911,-0.5076874,-0.4072846,-0.2977152,-0.2701313,-0.2161922,0.1046801,0.1215127,0.1229717,0.1203883,0.1211738,0.1255846,26.29108,31.03448,33.00492,36.4532,37.93103,37.93103,22.53521,27.0936,28.57143,32.0197,32.0197,33.00492,29.10798,37.43842,39.40887,42.85714,42.85714,44.82759,-0.9257876,-0.833844,-0.6855241,-0.6731305,-0.7580353,-0.5705186,0.170496,0.1801673,0.1755285,0.1711018,0.1863622,0.1907385,18.00948,19.71154,25.48077,26.44231,20.67308,31.73077,11.37441,12.5,15.38461,16.82692,12.98077,17.30769,30.80569,31.73077,39.90385,39.42308,35.09615,42.78846,-0.7363843,-0.5945303,-0.504151,-0.3648906,-0.3618664,-0.1907277,0.1685729,0.1729697,0.1666885,0.169555,0.1684293,0.1686924,24.64455,30.28846,34.13462,39.90385,37.98077,46.15385,15.63981,20.19231,25,26.92308,28.36539,34.61538,35.07109,42.30769,46.15385,51.92308,51.92308,59.13462
"Cameroon","CMR",-1.205251,-1.164004,-1.074493,-1.154442,-1.199323,-1.149748,0.1345407,0.1315395,0.1336183,0.1354613,0.1251366,0.1273428,9.952606,10.57692,12.98077,11.53846,11.05769,11.05769,1.895735,4.807693,7.692307,6.25,6.25,7.692307,16.11374,15.38461,19.23077,15.38461,14.90385,16.34615,-1.050953,-0.8964483,-0.975968,-1.036001,-1.031634,-1.079662,0.1303715,0.1383345,0.1395979,0.1526877,0.143516,0.1387609,14.55399,17.78846,15.38461,13.94231,14.90385,12.5,8.920188,10.09615,8.173077,8.173077,8.653846,6.730769,22.06573,28.84615,25.96154,21.63461,21.63461,18.26923,-0.5322373,-1.059252,-0.9896075,-1.062137,-1.09568,-1.37598,0.2280198,0.1963862,0.2029834,0.2077957,0.2159105,0.2157381,27.48815,12.38095,15.2381,13.33333,12.38095,8.571428,18.48341,8.095238,9.047619,9.047619,8.571428,6.666667,40.75829,20.95238,22.38095,20.95238,19.04762,13.80952,-1.036896,-0.9443417,-0.9540802,-1.03297,-1.052105,-1.104003,0.1112815,0.1201542,0.1216444,0.119419,0.1197758,0.1242243,17.84038,21.67488,22.6601,21.18227,20.19704,18.2266,14.55399,15.76355,16.25616,13.30049,13.30049,12.80788,24.41315,26.60098,25.61576,23.64532,23.64532,23.15271,-0.918752,-0.7910342,-0.7805845,-0.7638641,-0.813673,-0.7996525,0.170496,0.1801673,0.1755285,0.1711018,0.1768257,0.1805988,18.48341,21.63461,21.63461,22.11539,20.19231,19.71154,11.37441,14.90385,12.5,12.98077,12.98077,12.01923,31.27962,33.65385,35.57692,35.57692,33.17308,34.13462,-0.9374695,-0.8845948,-0.9170986,-0.7898978,-0.8227918,-0.7993764,0.1685729,0.1729697,0.1666885,0.169555,0.1658562,0.1665556,18.95735,19.71154,16.82692,23.07692,20.19231,20.19231,9.952606,10.09615,10.09615,12.01923,11.53846,12.01923,26.54029,29.80769,28.36539,31.25,30.76923,32.21154
"Congo, Dem. Rep.","COD",-1.318193,-1.300999,-1.285265,-1.337323,-1.41812,-1.503398,0.1590323,0.1543238,0.1516001,0.1561579,0.1410747,0.1433302,5.21327,7.211538,8.173077,7.211538,5.769231,3.846154,0.4739336,1.923077,1.923077,1.923077,0.9615384,0,12.32228,13.46154,13.46154,12.01923,11.05769,9.134615,-1.573436,-1.451048,-1.572547,-1.618508,-1.689818,-1.784221,0.1374373,0.148886,0.1498495,0.1696539,0.1589977,0.1527795,2.816901,3.365385,2.884615,4.807693,3.846154,2.884615,0.4694836,1.442308,0.9615384,1.442308,0.9615384,0.9615384,7.042253,7.211538,5.769231,8.173077,6.730769,5.288462,-2.192191,-2.167921,-2.150854,-2.234622,-2.351179,-2.116205,0.2382643,0.2055897,0.2105385,0.2166786,0.2258295,0.225771,2.843602,4.761905,4.761905,4.285714,2.857143,4.761905,0.9478673,1.904762,0.952381,0.952381,0.4761905,1.428571,4.739336,6.190476,6.666667,5.714286,5.238095,6.190476,-1.458554,-1.286678,-1.303908,-1.390514,-1.443118,-1.512408,0.1096631,0.1277291,0.1267989,0.127275,0.1282229,0.1342701,8.450705,12.31527,12.31527,9.852217,8.374384,7.389163,4.225352,6.403941,7.881773,5.91133,5.91133,4.433497,12.67606,19.70443,19.21182,14.28571,13.30049,12.80788,-1.47771,-1.56138,-1.629201,-1.510932,-1.63523,-1.554787,0.1797514,0.1909208,0.1845862,0.1791816,0.1839964,0.1877656,5.21327,4.326923,2.884615,6.730769,4.807693,5.769231,0.4739336,0.9615384,0.9615384,2.403846,0.9615384,1.442308,11.37441,9.615385,7.692307,9.615385,9.134615,9.615385,-1.233635,-1.362629,-1.34549,-1.323978,-1.465562,-1.474037,0.1783987,0.1822016,0.1770902,0.180631,0.1768302,0.1777096,9.952606,6.730769,6.25,7.692307,5.288462,5.769231,4.739336,4.326923,3.846154,3.846154,3.365385,3.365385,18.00948,13.46154,12.5,12.5,11.05769,9.615385
"Congo, Rep.","COG",-1.153927,-1.178787,-1.196039,-1.186978,-1.33061,-1.358807,0.16287,0.1560984,0.1520775,0.1560704,0.141802,0.1470706,10.90047,10.09615,10.57692,10.57692,8.173077,7.692307,1.895735,3.846154,3.365385,4.807693,1.923077,1.442308,20.85308,16.82692,15.86539,15.38461,12.01923,11.53846,-1.11283,-1.108604,-1.078537,-1.095594,-1.103761,-1.101223,0.139933,0.148886,0.1498495,0.1668346,0.1571948,0.1528088,12.67606,11.53846,12.98077,12.01923,12.01923,11.53846,7.042253,6.25,5.769231,7.692307,7.692307,6.730769,20.18779,19.23077,20.67308,19.23077,20.19231,18.26923,-0.4750501,-0.3592916,-0.526366,-0.5192695,-0.5316639,-0.4428181,0.2382643,0.2055897,0.2105385,0.2161667,0.2245828,0.225094,29.85782,30.95238,26.66667,25.71428,27.61905,29.52381,19.43128,22.85714,19.04762,16.19048,16.19048,17.61905,42.65403,44.28571,40.47619,39.04762,39.52381,43.33333,-1.11778,-1.108313,-1.016877,-1.157612,-1.121758,-1.181061,0.1197433,0.1293646,0.1283042,0.125695,0.1267057,0.1323768,15.49296,18.2266,21.18227,15.27094,16.74877,15.27094,12.20657,10.83744,13.30049,11.33005,12.31527,10.83744,22.53521,21.67488,24.63054,22.6601,22.6601,21.67488,-1.155924,-1.11031,-1.022191,-1.096795,-1.198483,-1.217236,0.1797514,0.1909208,0.1845862,0.1802083,0.1868565,0.1910554,12.79621,14.42308,14.90385,12.01923,10.57692,10.09615,5.687204,6.25,7.692307,7.692307,5.769231,6.25,21.32701,21.15385,24.03846,20.19231,17.78846,16.34615,-1.333404,-1.214696,-1.195739,-1.165628,-1.329811,-1.362082,0.1783987,0.1822016,0.1770902,0.1810222,0.1777362,0.1780088,8.056872,9.615385,10.09615,10.57692,7.211538,7.211538,2.843602,4.326923,4.807693,5.288462,3.365385,3.365385,15.63981,18.26923,17.78846,18.26923,12.5,12.01923
"Colombia","COL",-0.405205,-0.3686264,-0.2981746,-0.3242517,-0.3700208,-0.3014929,0.1334404,0.130378,0.1310062,0.1319515,0.1208834,0.1182229,42.1801,44.23077,47.59615,44.71154,43.75,44.71154,31.75356,33.17308,36.53846,32.69231,31.25,36.53846,53.5545,52.40385,54.80769,53.84615,50.48077,53.36538,-0.4058876,-0.2919019,-0.2684166,-0.2787975,-0.3600142,-0.4078089,0.1334336,0.143883,0.1407954,0.1518412,0.1466011,0.1397771,41.78404,44.71154,46.63462,43.75,40.38462,38.46154,33.33333,33.65385,36.05769,31.73077,30.76923,28.36539,49.29578,55.28846,56.73077,52.88462,50.48077,48.07692,-1.291972,-1.114594,-1.069147,-0.8824593,-0.7726035,-0.8133885,0.2257874,0.1922474,0.1981644,0.2049565,0.211684,0.211271,10.42654,10.95238,12.85714,16.19048,17.61905,17.61905,6.635071,8.095238,9.047619,10.95238,11.90476,12.38095,18.00948,19.52381,21.42857,24.76191,30,29.04762,-0.0812788,-0.0433162,0.0039272,0.1207723,0.1109427,0.1913842,0.1102582,0.1269193,0.1288175,0.1253172,0.1257042,0.1280941,45.53991,47.78325,47.78325,49.7537,49.26109,52.70936,38.96714,38.91626,39.40887,42.85714,42.36453,44.33498,52.58216,53.69458,54.18719,56.15763,57.14286,60.59113,0.0713581,-0.1005563,-0.0361266,0.0154443,-0.0738818,-0.0852262,0.1896839,0.194905,0.1965327,0.1889718,0.1905654,0.1831254,57.8199,49.51923,52.40385,53.36538,51.44231,50,46.4455,38.46154,40.86538,41.82692,37.01923,39.42308,64.92891,62.01923,64.42308,65.38461,61.53846,62.01923,0.4028929,0.4962346,0.4654272,0.4020093,0.3409346,0.3277881,0.1749033,0.1804529,0.1737436,0.1785568,0.1735235,0.1753201,63.98104,67.78846,68.75,67.30769,65.86539,65.38461,55.92417,58.65385,58.65385,57.69231,57.21154,56.25,73.45972,75.48077,73.55769,73.55769,72.11539,73.07692
"Comoros","COM",-0.73996,-0.6122024,-0.7191136,-0.6658682,-0.684956,-0.8164125,0.2553928,0.2522002,0.2454732,0.2203675,0.2213582,0.2060391,25.11848,31.73077,25.96154,29.32692,26.44231,22.59615,10.42654,13.94231,11.53846,12.98077,13.46154,10.57692,45.97157,51.44231,46.63462,45.67308,44.71154,37.98077,-0.9368037,-0.8916997,-0.8152064,-0.9985093,-1.054814,-1.081078,0.17555,0.1846609,0.1908589,0.2169583,0.2112451,0.2155484,18.30986,18.26923,21.63461,16.34615,13.94231,12.01923,10.32864,7.692307,10.57692,8.173077,6.730769,6.25,31.92488,32.69231,36.05769,29.80769,25,23.55769,-0.2569292,-0.1869102,-0.2327915,0.0357599,0.0360746,-0.2032647,0.2972529,0.2380577,0.252858,0.2496468,0.2597767,0.2562913,37.44076,37.61905,37.61905,48.09524,47.61905,39.04762,21.80095,25.71428,22.85714,31.90476,30.47619,23.80952,55.45024,53.80952,53.80952,61.90476,62.85714,53.80952,-0.460561,-0.2917461,-0.2911712,-0.2519301,-0.2953874,-0.4373426,0.1406863,0.154221,0.152385,0.1462428,0.1482211,0.1525995,32.86385,37.93103,36.94581,37.93103,36.4532,33.00492,27.69953,30.54187,29.06404,32.0197,32.0197,28.07882,41.31455,47.78325,45.81281,46.79803,43.84237,38.42365,-1.589367,-1.67404,-1.522007,-1.552775,-1.566743,-1.639134,0.22356,0.2378525,0.2324086,0.2185398,0.2277677,0.2342786,1.895735,2.403846,5.769231,5.288462,5.288462,3.846154,0,0.4807692,0.9615384,0.9615384,0.9615384,0.9615384,10.90047,8.653846,12.5,9.615385,10.57692,9.615385,-1.201662,-1.104208,-1.029055,-1.049556,-1.037488,-1.117265,0.2302994,0.2308277,0.2225696,0.2245803,0.223497,0.2226099,10.42654,11.53846,13.46154,12.5,12.98077,11.05769,3.791469,4.326923,5.288462,5.769231,5.769231,5.288462,23.22275,26.44231,28.36539,25.96154,27.40385,22.59615
"Cabo Verde","CPV",0.8367285,0.9380258,0.9501761,0.8689056,0.8347586,0.7682196,0.19298,0.1946008,0.1893495,0.1904224,0.1831864,0.1708981,77.25118,79.32692,79.80769,78.84615,80.28846,78.36539,70.14218,70.67308,73.07692,69.23077,69.23077,67.78846,82.93839,87.01923,87.01923,84.13461,82.69231,82.21154,0.5359706,0.6348052,0.5907446,0.3474432,0.4151231,0.4454568,0.1448487,0.1556302,0.1568245,0.1768178,0.164535,0.1577282,66.19718,74.51923,71.15385,63.46154,64.90385,67.78846,61.03286,67.78846,64.90385,56.25,59.61538,59.13462,73.23943,78.36539,77.40385,74.03846,75.96154,75,0.7779999,0.3507791,0.8678104,0.8862156,0.77446,0.7472337,0.2524667,0.2275043,0.2215961,0.2259923,0.2357102,0.2347493,69.66824,58.57143,74.28571,76.19048,72.38095,71.90476,59.71564,44.28571,60.95238,63.80952,60.47619,58.09524,91.46919,69.52381,93.33334,93.80952,90,89.04762,0.9160244,0.9569727,0.9438726,0.9755524,0.9675867,0.9977438,0.1383061,0.1530139,0.1512783,0.1502974,0.1516702,0.156593,74.17841,75.36946,75.36946,76.84729,76.84729,79.80296,68.07512,70.44335,70.93596,70.93596,70.93596,71.92118,86.85446,89.16256,87.68473,89.65517,89.65517,89.65517,0.0969095,0.069981,0.1674934,0.12505,0.1679305,0.3192393,0.192028,0.2040753,0.1969293,0.1948883,0.2030817,0.2058335,58.76777,56.73077,60.09615,57.69231,59.13462,64.42308,46.4455,44.23077,48.55769,44.71154,47.59615,51.92308,65.40285,69.23077,70.19231,68.75,69.23077,74.51923,-0.1007206,-0.1838116,-0.2646035,-0.2960399,-0.2044774,-0.2411533,0.2022367,0.206212,0.1991457,0.2064603,0.2044545,0.2052808,48.81517,48.07692,45.19231,42.78846,46.15385,43.26923,35.54502,32.21154,29.80769,27.40385,30.76923,29.80769,58.29384,56.25,54.32692,53.84615,59.13462,59.13462
"Costa Rica","CRI",0.6259013,0.7554398,0.7484275,0.7442378,0.4666402,0.5517608,0.1612099,0.1393596,0.1405086,0.1402252,0.13206,0.1307023,72.03792,75,75.96154,76.44231,66.82692,70.67308,67.29858,69.23077,68.26923,67.78846,63.46154,64.90385,77.25118,79.80769,80.28846,80.76923,74.51923,77.88461,0.55167,0.5605012,0.5047452,0.4660427,0.4548208,0.4787028,0.1467875,0.1509171,0.1489647,0.1599937,0.1644721,0.1536184,66.66666,72.11539,69.71154,68.26923,67.78846,69.23077,61.50235,65.38461,63.46154,59.13462,59.61538,60.09615,73.23943,76.92308,75.48077,75.48077,76.44231,75,0.677918,0.5774182,0.6820255,0.6614283,0.6086774,0.4864345,0.2315082,0.1963862,0.2029834,0.2077957,0.2159105,0.2157381,67.77251,65.2381,67.61905,67.61905,66.19048,62.38095,57.34597,56.19048,58.09524,57.61905,54.76191,52.85714,86.25592,76.66666,86.19048,85.2381,80.47619,75.2381,1.078483,1.138346,1.151579,1.117528,1.120113,1.144658,0.1271415,0.1275078,0.1292873,0.1256549,0.1262159,0.1294525,83.09859,85.22167,86.20689,84.72906,84.72906,84.72906,73.23943,73.39902,74.87685,75.36946,75.36946,78.32513,91.54929,92.61084,93.10345,93.10345,92.61084,92.61084,0.4823061,0.3965975,0.3756126,0.355468,0.2485956,0.3781868,0.2021012,0.2157607,0.2164043,0.2054006,0.2243896,0.2086586,68.24644,68.75,66.82692,67.30769,62.01923,67.78846,59.24171,55.76923,53.84615,53.36538,48.55769,54.80769,73.93365,74.03846,73.55769,73.07692,73.55769,75.48077,0.5832982,0.5148572,0.5257646,0.4074337,0.4479403,0.479403,0.1988956,0.1935797,0.1853213,0.1900592,0.2052686,0.2076896,69.66824,68.26923,69.71154,67.78846,69.23077,69.23077,59.24171,58.65385,59.61538,57.21154,58.17308,59.61538,77.72512,75.48077,76.44231,75.48077,75.96154,77.40385
