"DV","lasso_lambda.1se","lasso_mse","lasso_train_r2","lasso_train_mse","lasso_train_r_actual_pred","lasso_test_r2","lasso_test_mse","lasso_test_r_actual_pred","rf_mtry","rf_min.node.size","rf_mse","rf_train_r2","rf_train_mse","rf_train_r_actual_pred","rf_test_r2","rf_test_mse","rf_test_r_actual_pred"
"c19eff","0.011034353427968","1.08951714823363","0.579175410425197","1.08519642004001","0.761240678972592","0.58846881116223","1.07410618266235","0.767540047673953","42","18","1.04790363924225","0.591693328189121","1.05291598804936","0.771070953945168","0.602907501373936","1.03642085808285","0.778850504014139"
"c19perbeh","0.0122842034610199","0.516414655615138","0.482250637663895","0.514446500255818","0.695246442866166","0.484440774915908","0.53288164099791","0.69770992324863","27","10","0.476769801685763","0.517658993121906","0.479264024196364","0.724109408431776","0.521987419517681","0.494073456378393","0.727976508121382"
"c19proso","0.0129484755796266","0.571812030734292","0.624169974255825","0.570038377885007","0.790271581306471","0.631036411170567","0.56167894012206","0.794621270984995","44","12","0.559870860386792","0.63014550912974","0.560975014201445","0.794803681420124","0.639482141300554","0.548821875382914","0.801001720443156"
"consp","0.0177209082159914","3.36521293303183","0.229707758537598","3.35004293037604","0.480581565903236","0.223519293003207","3.38880763031037","0.473947957439674","28","5","3.21552956489935","0.258073271822469","3.22667976749897","0.515576437432013","0.255215430849799","3.25047565011045","0.512636494870034"
"ecoproso","0.0127368146830721","0.664232249453352","0.625494588629879","0.662007905706462","0.791059425045106","0.632916982852971","0.653069151862844","0.795861406497929","46","8","0.646810255165384","0.633760125516015","0.647397033346802","0.7971164320457","0.641099877768831","0.638511147289336","0.802055915855035"
"ecorca","0.0111037795709381","1.36247476925757","0.314730327481382","1.35634051371569","0.561724567524547","0.305570841697084","1.36550136280322","0.553012749789053","36","6","1.30145278857582","0.340775085061887","1.3047906475929","0.588699425465599","0.336181285410053","1.30531005011667","0.58409045518935"
"inperson","0.0292185563159923","4.19756636091422","0.25553310753358","4.18408894195177","0.506715541488288","0.245681378506642","4.31160816372128","0.496875986241296","36","53","4.02735109747764","0.280678590991853","4.04276507605194","0.531838828980304","0.270529950316956","4.16957626629568","0.522079967252112"
