"variable","description"
"0-4 (DB15-20 methodology).42606","0-4 (DB15-20 methodology) Resolving insolvency: Creditor participation index"
"0-18 (DB17-20 methodology).42609","0-18 (DB17-20 methodology) Enforcing contracts: Quality of judicial processes index"
"hours (DB16-20 methodology).42616","hours (DB16-20 methodology) Trading across borders : Time to export: Border compliance"
"hours (DB16-20 methodology).42617","hours (DB16-20 methodology) Trading across borders : Time to export: Documentary compliance"
"USD (DB16-20 methodology).42618","USD (DB16-20 methodology) Trading across borders : Cost to export: Border compliance"
"USD (DB16-20 methodology).42619","USD (DB16-20 methodology) Trading across borders : Cost to export: Documentary compliance"
"hours (DB16-20 methodology).42620","hours (DB16-20 methodology) Trading across borders : Time to import: Border compliance"
"hours (DB16-20 methodology).42621","hours (DB16-20 methodology) Trading across borders : Time to import: Documentary compliance"
"USD (DB16-20 methodology).42622","USD (DB16-20 methodology) Trading across borders : Cost to import: Border compliance"
"USD (DB16-20 methodology).42623","USD (DB16-20 methodology) Trading across borders : Cost to import: Documentary compliance"
"Rank (DB20).42624","Rank (DB20) Getting electricity"
"Rank (DB20).42625","Rank (DB20) Trading across borders"
"Rank (DB20).42626","Rank (DB20) Paying taxes"
"Rank (DB20).42627","Rank (DB20) Getting credit"
"Rank (DB20).42629","Rank (DB20) Starting a business"
"Rank.42630","Rank Dealing with construction permits"
"Rank (DB20).42631","Rank (DB20) Registering property"
"Rank (DB20).42632","Rank (DB20) Enforcing contracts"
"Rank (DB20).42633","Rank (DB20) Resolving insolvency"
