"country","countryiso3","latest.year_total_press_freedom_index.32416","latest.value_total_press_freedom_index.32416","latest.year_total_press_freedom_rank.32417","latest.value_total_press_freedom_rank.32417"
"West Bank and Gaza","PSE",2019,44.68,2019,137
"Qatar","QAT",2019,42.51,2019,128
"Romania","ROU",2019,25.67,2019,47
"Russian Federation","RUS",2019,50.31,2019,149
"Rwanda","RWA",2019,52.43,2019,155
"Saudi Arabia","SAU",2019,65.88,2019,172
"Sudan","SDN",2019,72.45,2019,175
"Senegal","SEN",2019,25.81,2019,49
"Singapore","SGP",2019,51.41,2019,151
"Sierra Leone","SLE",2019,30.36,2019,86
"El Salvador","SLV",2019,29.81,2019,81
"Somalia","SOM",2019,57.24,2019,164
"Serbia","SRB",2019,31.18,2019,90
"South Sudan","SSD",2019,45.65,2019,139
"Suriname","SUR",2019,16.38,2019,20
"Slovak Republic","SVK",2019,23.58,2019,35
"Slovenia","SVN",2019,22.31,2019,34
"Sweden","SWE",2019,8.31,2019,3
"Swaziland","SWZ",2019,49.09,2019,147
"Seychelles","SYC",2019,29.41,2019,69
"Syrian Arab Republic","SYR",2019,71.78,2019,174
"Chad","TCD",2019,36.71,2019,122
"Togo","TGO",2019,29.69,2019,76
"Thailand","THA",2019,44.1,2019,136
"Tajikistan","TJK",2019,54.02,2019,161
"Turkmenistan","TKM",2019,85.44,2019,180
"Timor-Leste","TLS",2019,29.93,2019,84
"Tonga","TON",2019,25.41,2019,45
"Trinidad and Tobago","TTO",2019,24.74,2019,39
"Tunisia","TUN",2019,29.61,2019,72
"Turkey","TUR",2019,52.81,2019,157
"Taiwan, China","TWN",2019,24.98,2019,42
"Tanzania","TZA",2019,36.28,2019,118
"Uganda","UGA",2019,39.42,2019,125
"Ukraine","UKR",2019,32.46,2019,102
"Uruguay","URY",2019,16.06,2019,19
"United States","USA",2019,25.69,2019,48
"Uzbekistan","UZB",2019,53.52,2019,160
"Venezuela, RB","VEN",2019,49.1,2019,148
"Vietnam","VNM",2019,74.93,2019,176
"Samoa","WSM",2019,18.25,2019,22
"Yemen, Rep.","YEM",2019,61.66,2019,168
"South Africa","ZAF",2019,22.19,2019,31
"Zambia","ZMB",2019,36.38,2019,119
"Zimbabwe","ZWE",2019,42.23,2019,127
