"retail_recreation","grocery_pharmacy","parks","transit_stations","workplaces","residential","country","countryiso3"
-85,-49,-53,-79,-55,19,"Milton Keynes",NA
-85,-56,-61,-58,-47,16,"Monmouthshire",NA
-88,-45,-42,-63,-54,12,"Moray",NA
-77,-31,NA,-54,-51,NA,"Na h Eileanan an Iar",NA
-74,-38,-46,-60,-46,23,"Neath Port Talbot Principle Area",NA
-83,-47,-49,-66,-52,26,"Newport",NA
-87,-45,-65,-55,-52,29,"Newry and Mourne And Down",NA
-87,-52,-69,-68,-53,14,"Norfolk","NFK"
-79,-37,-12,-59,-51,25,"North Ayrshire Council",NA
-85,-46,-72,-68,-46,22,"North East Lincolnshire",NA
-78,-37,NA,-56,-50,13,"North Lanarkshire",NA
-79,-41,-56,-58,-46,23,"North Lincolnshire",NA
-84,-50,-52,-88,-54,27,"North Somerset",NA
-88,-48,-65,-74,-55,15,"North Yorkshire",NA
-84,-42,-59,-71,-47,14,"Northamptonshire",NA
-84,-42,-66,-61,-54,14,"Northumberland",NA
-90,-45,-58,-80,-56,15,"Nottinghamshire",NA
-85,-40,NA,NA,-61,NA,"Orkney",NA
-87,-45,-48,-79,-58,17,"Oxfordshire",NA
-87,-49,-62,-61,-47,18,"Pembrokeshire",NA
-86,-46,-39,-65,-54,27,"Perth and Kinross",NA
-80,-45,-36,-77,-43,17,"Peterborough",NA
-87,-50,-43,-70,-54,18,"Plymouth",NA
-88,-43,-46,-71,-54,19,"Portsmouth",NA
-88,-50,-56,-63,-51,23,"Powys",NA
-89,-50,-41,-84,-55,32,"Reading",NA
-88,-44,-63,-62,-50,23,"Redcar and Cleveland",NA
-86,-39,14,-84,-58,29,"Renfrewshire",NA
-80,-41,-47,-52,-50,19,"Rhondda Cynon Taff",NA
-100,-37,-70,NA,-57,NA,"Rutland",NA
-88,-46,-39,-44,-51,20,"Scottish Borders",NA
-85,-49,NA,-54,-60,NA,"Shetland Islands",NA
-85,-49,-56,-70,-50,14,"Shropshire",NA
-80,-45,-45,-78,-54,29,"Slough",NA
-86,-48,-56,-73,-49,14,"Somerset",NA
-88,-42,-35,-62,-56,20,"South Ayrshire Council",NA
-81,-45,-30,-64,-52,20,"South Gloucestershire",NA
-78,-38,-6,-57,-54,14,"South Lanarkshire",NA
-86,-43,-47,-71,-53,15,"South Yorkshire",NA
-87,-41,-57,-71,-54,19,"Southampton",NA
-89,-39,-63,-79,-57,28,"Southend on Sea",NA
-85,-44,-54,-73,-54,14,"Staffordshire",NA
-85,-49,-49,-76,-62,11,"Stirling",NA
-84,-47,-60,-69,-52,25,"Stockton on Tees",NA
-84,-44,-41,-70,-49,14,"Stoke on Trent",NA
-87,-51,-67,-69,-54,15,"Suffolk",NA
-85,-44,-57,-74,-59,17,"Surrey",NA
-84,-50,-51,-67,-54,19,"Swansea",NA
-83,-44,-30,-69,-52,28,"Swindon",NA
-88,-53,-51,-59,-50,29,"Thurrock",NA
-86,-44,-58,-68,-55,24,"Torbay",NA
-82,-37,NA,-54,-53,24,"Torfaen Principal Area",NA
-85,-47,-58,-74,-57,15,"Tyne and Wear",NA
-84,-49,-59,-70,-54,27,"Vale of Glamorgan",NA
-86,-42,-29,-68,-52,27,"Warrington",NA
-86,-44,-56,-72,-54,15,"Warwickshire",NA
-88,-49,-41,-82,-58,29,"West Berkshire",NA
-75,-43,NA,-54,-51,23,"West Dunbartonshire Council",NA
-74,-29,-29,-52,-50,27,"West Lothian",NA
-84,-45,-45,-78,-57,15,"West Midlands",NA
-85,-46,-53,-85,-56,15,"West Sussex",NA
-84,-44,-49,-74,-55,15,"West Yorkshire",NA
-84,-45,-56,-70,-54,15,"Wiltshire",NA
-88,-42,-74,-79,-63,31,"Windsor and Maidenhead",NA
-81,-52,-26,-66,-61,32,"Wokingham",NA
-86,-47,-44,-71,-55,14,"Worcestershire",NA
-83,-43,-45,-64,-48,24,"Wrexham Principal Area",NA
-90,-50,-64,-84,-65,29,"York",NA
-47,-22,-19,-51,-38,12,"United States","USA"
-41,-13,19,-30,-32,9,"Alabama",NA
-48,-27,18,-55,-33,10,"Alaska",NA
-49,-25,51,-53,-39,11,"Anchorage",NA
NA,-26,NA,NA,-19,NA,"Bethel",NA
-48,-34,NA,-76,-32,12,"Fairbanks North Star",NA
-61,-34,-34,-66,-31,-1,"Juneau",NA
-49,-28,NA,NA,-24,14,"Kenai Peninsula Borough",NA
-48,-38,NA,NA,-32,NA,"Ketchikan Gateway",NA
-50,NA,NA,NA,-23,NA,"Kodiak Island",NA
-48,-33,NA,NA,-33,10,"Matanuska Susitna",NA
NA,NA,NA,NA,-7,NA,"North Slope",NA
-59,NA,NA,NA,-31,NA,"Sitka",NA
NA,NA,NA,NA,-35,NA,"Southeast Fairbanks",NA
NA,NA,NA,NA,-22,NA,"Valdez Cordova",NA
-40,-17,-7,-41,-33,10,"Arizona",NA
-38,-13,-35,-8,-27,20,"Apache County",NA
-37,-21,-14,-23,-29,8,"Cochise County",NA
-55,-24,-25,-34,-38,12,"Coconino County",NA
-14,16,95,NA,-28,11,"Gila County",NA
-21,14,-63,NA,-19,11,"Graham County",NA
-37,-10,NA,NA,-28,NA,"Greenlee County",NA
-61,-35,-54,-50,-21,NA,"La Paz County",NA
-40,-18,-6,-44,-33,10,"Maricopa County",NA
-36,-13,-13,-23,-37,9,"Mohave County",NA
-29,-9,11,-12,-28,10,"Navajo County",NA
-43,-16,-16,-43,-36,10,"Pima County",NA
-27,-23,1,-28,-31,8,"Pinal County",NA
-56,-47,-29,-25,-33,18,"Santa Cruz County",NA
-40,-15,6,-27,-38,9,"Yavapai County",NA
-45,-21,-17,-53,-27,10,"Yuma County",NA
-29,-7,81,-22,-27,7,"Arkansas",NA
-22,-7,NA,NA,-11,NA,"Arkansas County",NA
-24,-4,NA,NA,-27,NA,"Ashley County",NA
-30,-2,NA,NA,-26,11,"Baxter County",NA
-36,-16,56,-65,-34,9,"Benton County",NA
-25,-17,NA,NA,-32,14,"Boone County",NA
-28,-17,NA,NA,-37,NA,"Bradley County",NA
-27,14,NA,NA,-27,-1,"Carroll County",NA
-19,6,NA,NA,-25,NA,"Chicot County",NA
-33,2,NA,-23,-22,NA,"Clark County",NA
-7,-2,NA,NA,-21,NA,"Clay County",NA
-16,0,NA,NA,-37,NA,"Cleburne County",NA
NA,NA,NA,NA,-33,NA,"Cleveland County",NA
-18,-20,NA,NA,-20,NA,"Columbia County",NA
2,4,NA,-2,-25,NA,"Conway County",NA
-32,-3,-59,-5,-24,4,"Craighead County",NA
-16,-1,NA,-11,-21,14,"Crawford County",NA
-15,-11,NA,-17,-26,15,"Crittenden County",NA
-49,90,NA,NA,-7,NA,"Cross County",NA
-17,NA,NA,NA,-32,NA,"Dallas County",NA
-8,0,NA,NA,-33,NA,"Desha County",NA
-27,-10,NA,NA,-16,NA,"Drew County",NA
-32,-15,-21,NA,-31,8,"Faulkner County",NA
-8,12,NA,8,-16,NA,"Franklin County",NA
NA,NA,NA,NA,-28,NA,"Fulton County",NA
-32,-12,17,NA,-32,7,"Garland County",NA
-10,-17,NA,NA,-26,NA,"Grant County",NA
-18,-4,NA,NA,-20,12,"Greene County",NA
-19,-13,NA,NA,-24,NA,"Hempstead County",NA
5,9,NA,-28,-24,10,"Hot Spring County",NA
-8,-7,NA,NA,-29,NA,"Howard County",NA
-27,9,NA,NA,-24,13,"Independence County",NA
