"retail_recreation","grocery_pharmacy","parks","transit_stations","workplaces","residential","country","countryiso3"
-51,-25,-16,-44,-39,12,"Pinellas County",NA
-40,-22,-28,-29,-38,11,"Polk County 1",NA
-23,-15,-20,NA,-33,9,"Putnam County",NA
-28,-13,17,NA,-32,9,"Santa Rosa County",NA
-52,-28,-59,-28,-41,11,"Sarasota County",NA
-48,-21,-19,-74,-42,13,"Seminole County",NA
-48,-13,-53,-34,-41,11,"St  Johns County",NA
-40,-14,-22,-52,-34,11,"St  Lucie County",NA
-50,-21,-31,-36,-45,10,"Sumter County",NA
-28,-14,0,-42,-27,11,"Suwannee County",NA
-34,-7,NA,NA,-25,NA,"Taylor County",NA
-44,-5,NA,NA,-35,NA,"Union County 1",NA
-42,-19,-10,-39,-38,10,"Volusia County",NA
-25,-20,20,NA,-20,16,"Wakulla County",NA
-46,-23,-29,-21,-31,9,"Walton County",NA
-33,5,NA,NA,-31,NA,"Washington County 1",NA
-42,-17,-2,-52,-37,11,"Georgia 1","GEO"
-28,-16,NA,NA,-19,NA,"Appling County",NA
-29,12,NA,NA,-26,NA,"Atkinson County",NA
-26,-15,NA,NA,-20,NA,"Bacon County",NA
-34,-20,NA,NA,-31,13,"Baldwin County",NA
-35,NA,NA,NA,-19,NA,"Banks County",NA
-35,-12,-37,NA,-34,11,"Barrow County",NA
-42,-5,40,-25,-33,9,"Bartow County",NA
-28,9,NA,NA,-30,NA,"Ben Hill County",NA
-28,5,NA,NA,-20,NA,"Berrien County",NA
-43,-16,36,-27,-32,10,"Bibb County",NA
-31,-8,NA,NA,-37,NA,"Bleckley County",NA
-27,-4,NA,NA,-28,NA,"Brantley County",NA
-38,-5,NA,NA,-23,NA,"Brooks County",NA
-45,-19,-9,-29,-36,18,"Bryan County",NA
-41,-12,NA,NA,-35,9,"Bulloch County",NA
-24,-7,-23,NA,-14,NA,"Burke County",NA
-30,-6,NA,-13,-31,-1,"Butts County",NA
-35,3,7,-29,-30,16,"Camden County",NA
-57,-20,NA,NA,-24,NA,"Candler County",NA
-38,-18,12,-25,-36,10,"Carroll County 1",NA
-38,-8,14,NA,-33,16,"Catoosa County",NA
-31,7,NA,NA,-25,NA,"Charlton County",NA
-50,-24,-32,-48,-41,11,"Chatham County",NA
-53,-39,NA,NA,-36,NA,"Chattahoochee County",NA
-15,-2,NA,NA,-42,NA,"Chattooga County",NA
-39,-20,59,NA,-40,12,"Cherokee County",NA
-51,-24,-21,-30,-41,12,"Clarke County",NA
-30,-18,15,-80,-33,11,"Clayton County",NA
NA,-2,NA,NA,-25,NA,"Clinch County",NA
-49,-22,-47,-38,-41,13,"Cobb County",NA
-41,-8,NA,NA,-23,11,"Coffee County",NA
-31,-6,NA,NA,-25,13,"Colquitt County",NA
-35,-7,-20,-44,-37,11,"Columbia County 2",NA
-17,2,NA,-21,-21,NA,"Cook County","COK"
-46,-16,-56,-15,-35,11,"Coweta County",NA
NA,NA,NA,NA,-20,NA,"Crawford County 1",NA
-28,-22,NA,-10,-35,NA,"Crisp County",NA
-49,-9,NA,-16,-23,NA,"Dade County",NA
-49,-25,17,NA,-37,0,"Dawson County",NA
-47,-26,-15,-27,-42,13,"DeKalb County",NA
-24,-10,NA,NA,-19,-3,"Decatur County",NA
-26,-5,NA,NA,-26,NA,"Dodge County",NA
-59,-25,NA,-28,-21,NA,"Dooly County",NA
-51,-24,-37,-30,-34,11,"Dougherty County",NA
-40,-26,-2,-28,-37,11,"Douglas County 1",NA
-73,-23,NA,NA,-27,NA,"Early County",NA
-28,-7,NA,NA,-33,16,"Effingham County",NA
-13,3,NA,NA,-25,NA,"Elbert County 1",NA
-21,17,NA,NA,-9,NA,"Emanuel County",NA
-22,4,NA,NA,-23,NA,"Evans County",NA
-45,-21,38,NA,-38,NA,"Fannin County",NA
-40,-29,25,NA,-43,13,"Fayette County",NA
-36,-8,28,NA,-28,9,"Floyd County",NA
-45,-32,3,NA,-42,13,"Forsyth County",NA
-42,-15,-22,-22,-28,NA,"Franklin County 2",NA
-54,-26,-44,-47,-43,13,"Fulton County 1",NA
-45,-31,NA,NA,-33,2,"Gilmer County",NA
-45,-22,-32,-39,-40,10,"Glynn County",NA
-30,-8,NA,-20,-33,15,"Gordon County",NA
-35,-6,NA,NA,-35,-1,"Grady County",NA
-17,-13,NA,NA,-36,NA,"Greene County 1",NA
-50,-24,-9,-42,-46,15,"Gwinnett County",NA
-35,-10,NA,NA,-27,13,"Habersham County",NA
-39,-19,51,-20,-34,10,"Hall County",NA
NA,6,NA,NA,-24,NA,"Hancock County",NA
-27,-6,-29,-22,-33,8,"Haralson County",NA
-4,9,NA,NA,-41,13,"Harris County",NA
-18,-6,NA,NA,-17,NA,"Hart County",NA
NA,2,NA,NA,-31,NA,"Heard County",NA
-42,-13,22,NA,-41,12,"Henry County",NA
-39,-15,-6,NA,-36,10,"Houston County",NA
NA,-2,NA,NA,-26,NA,"Irwin County",NA
-61,-38,NA,-22,-30,16,"Jackson County 2",NA
-39,-2,NA,NA,-9,NA,"Jasper County",NA
-27,-12,NA,NA,-21,NA,"Jeff Davis County",NA
-28,-3,NA,NA,-13,NA,"Jefferson County 3",NA
-33,2,NA,NA,-25,NA,"Jenkins County",NA
NA,-9,NA,NA,-26,NA,"Johnson County 1",NA
-25,4,NA,NA,-38,8,"Jones County",NA
-34,-6,NA,NA,-36,NA,"Lamar County",NA
-43,-6,NA,NA,-35,NA,"Lanier County",NA
-42,-15,NA,-27,-31,14,"Laurens County",NA
-45,-21,NA,NA,-28,11,"Lee County 1",NA
-32,-17,-17,-22,-27,10,"Liberty County 1",NA
NA,NA,NA,NA,-27,NA,"Lincoln County 2",NA
NA,NA,NA,NA,-30,NA,"Long County",NA
-45,-17,-13,-21,-29,8,"Lowndes County",NA
-35,19,NA,NA,-37,6,"Lumpkin County",NA
-35,-4,NA,NA,-22,NA,"Macon County",NA
-51,-17,NA,NA,-24,8,"Madison County 2",NA
NA,12,NA,NA,-27,NA,"Marion County 2",NA
-14,4,NA,-21,-18,NA,"McDuffie County",NA
-49,0,NA,NA,-39,NA,"McIntosh County",NA
-21,-4,NA,NA,-26,NA,"Meriwether County",NA
-58,NA,NA,NA,-30,NA,"Miller County 1",NA
-21,-25,NA,NA,-13,NA,"Mitchell County",NA
-39,3,11,-35,-32,-2,"Monroe County 2",NA
NA,-7,NA,NA,-26,NA,"Montgomery County 1",NA
-33,-14,NA,-27,-30,NA,"Morgan County 1",NA
-18,1,NA,NA,-25,13,"Murray County",NA
-44,-8,19,-56,-29,9,"Muscogee County",NA
-31,-14,-13,NA,-36,10,"Newton County 1",NA
-46,-7,NA,NA,-37,0,"Oconee County",NA
NA,0,NA,NA,-41,NA,"Oglethorpe County",NA
-34,-25,-55,NA,-36,11,"Paulding County",NA
-39,-16,NA,-24,-33,7,"Peach County",NA
-27,-16,NA,NA,-30,9,"Pickens County",NA
-48,-14,NA,NA,-26,NA,"Pierce County",NA
-38,3,NA,NA,-38,NA,"Pike County 1",NA
-21,-4,NA,NA,-31,12,"Polk County 2",NA
-54,-12,NA,NA,-31,NA,"Pulaski County 1",NA
-3,2,NA,-59,-28,NA,"Putnam County 1",NA
-42,-2,37,NA,-40,NA,"Rabun County",NA
-64,NA,NA,NA,-32,NA,"Randolph County 1",NA
-40,-5,26,-51,-31,8,"Richmond County",NA
-43,-11,-18,NA,-39,12,"Rockdale County",NA
NA,NA,NA,NA,-36,NA,"Schley County",NA
-37,0,NA,NA,-29,NA,"Screven County",NA
-7,-18,NA,NA,-22,NA,"Seminole County 1",NA
-27,-13,NA,NA,-31,8,"Spalding County",NA
-24,-9,NA,NA,-27,1,"Stephens County",NA
-29,-25,NA,NA,-21,1,"Sumter County 1",NA
NA,NA,-9,NA,-29,NA,"Talbot County",NA
-32,3,NA,NA,-23,NA,"Tattnall County",NA
NA,4,NA,NA,-15,NA,"Taylor County 1",NA
-55,0,NA,NA,-28,NA,"Telfair County",NA
-27,-17,NA,NA,-33,NA,"Terrell County",NA
-35,-9,NA,NA,-28,15,"Thomas County",NA
-40,-26,NA,-24,-25,14,"Tift County",NA
-31,-12,NA,NA,-23,-2,"Toombs County",NA
-38,-3,NA,NA,-22,NA,"Towns County",NA
NA,-4,NA,NA,-26,NA,"Treutlen County",NA
-36,-10,NA,-28,-27,10,"Troup County",NA
-61,23,NA,-22,-23,NA,"Turner County",NA
NA,NA,NA,NA,-36,NA,"Twiggs County",NA
-30,11,22,NA,-36,NA,"Union County 2",NA
-25,-8,NA,NA,-36,-4,"Upson County",NA
-20,7,-28,NA,-28,15,"Walker County",NA
-28,7,NA,NA,-35,9,"Walton County 1",NA
-39,-18,NA,NA,-23,11,"Ware County",NA
NA,NA,NA,NA,-32,NA,"Warren County",NA
-12,-31,NA,NA,-13,NA,"Washington County 2",NA
-30,-8,NA,NA,-33,-2,"Wayne County",NA
-43,-2,-16,NA,-29,9,"White County 1",NA
-34,-7,-45,-23,-25,9,"Whitfield County",NA
NA,13,NA,NA,-24,NA,"Wilcox County",NA
-31,-14,NA,NA,-22,NA,"Wilkes County",NA
NA,0,NA,NA,-24,NA,"Wilkinson County",NA
-28,-9,NA,NA,-28,NA,"Worth County",NA
-56,-36,-65,-72,-45,16,"Hawaii",NA
-61,-47,-77,-84,-41,15,"Hawaii County",NA
-53,-32,-58,-69,-44,16,"Honolulu County",NA
-69,-53,-74,-83,-48,26,"Kauai County",NA
-64,-40,-73,-85,-54,17,"Maui County",NA
-42,-18,25,-34,-38,10,"Idaho",NA
-49,-23,33,-54,-43,11,"Ada County",NA
-39,-24,-6,-28,-37,9,"Bannock County",NA
-53,NA,NA,NA,-36,NA,"Bear Lake County",NA
-65,4,NA,NA,-35,NA,"Benewah County",NA
-21,-13,NA,NA,-38,14,"Bingham County",NA
-83,-48,NA,-49,-62,NA,"Blaine County",NA
-62,NA,-50,NA,-48,NA,"Boise County",NA
-40,-34,-22,NA,-38,14,"Bonner County",NA
-38,-11,59,-21,-34,9,"Bonneville County",NA
-23,-9,NA,NA,-18,NA,"Boundary County",NA
-41,-15,35,-15,-37,9,"Canyon County",NA
-50,-2,NA,NA,-27,NA,"Caribou County",NA
-7,-10,NA,NA,-26,0,"Cassia County",NA
-61,0,NA,NA,-28,NA,"Clearwater County",NA
-35,-9,NA,-25,-29,14,"Elmore County",NA
-6,-4,NA,NA,-27,NA,"Franklin County 3",NA
-36,-5,-33,NA,-57,NA,"Fremont County 1",NA
-20,-25,NA,NA,-34,NA,"Gem County",NA
-42,-10,NA,NA,-21,NA,"Gooding County",NA
-60,-12,NA,NA,-46,NA,"Idaho County",NA
-39,-10,-56,NA,-45,9,"Jefferson County 4",NA
-8,-44,NA,-13,-27,6,"Jerome County",NA
-42,-20,26,-18,-40,10,"Kootenai County",NA
-54,-33,NA,NA,-47,20,"Latah County",NA
-26,-20,NA,NA,-28,NA,"Lemhi County",NA
NA,NA,NA,NA,-44,NA,"Lincoln County 3",NA
-29,-19,NA,NA,-59,20,"Madison County 3",NA
-43,10,NA,-11,-33,1,"Minidoka County",NA
-46,-14,-24,-55,-31,18,"Nez Perce County",NA
NA,NA,NA,NA,-42,NA,"Oneida County",NA
-14,13,NA,NA,-20,NA,"Owyhee County",NA
-33,-10,NA,NA,-26,5,"Payette County",NA
NA,-7,NA,NA,-34,NA,"Power County",NA
-31,4,NA,NA,-31,NA,"Shoshone County",NA
-73,-20,NA,NA,-47,NA,"Teton County",NA
-43,-13,-6,NA,-25,8,"Twin Falls County",NA
-86,-58,-57,NA,-60,NA,"Valley County",NA
-23,-15,NA,NA,-39,NA,"Washington County 3",NA
-53,-24,-29,-55,-39,13,"Illinois",NA
-42,-15,NA,-30,-27,16,"Adams County 1",NA
NA,NA,NA,NA,-30,NA,"Alexander County",NA
-36,-2,NA,-5,-21,NA,"Bond County",NA
-41,-23,NA,-65,-38,21,"Boone County 1",NA
-43,-9,NA,NA,-25,3,"Bureau County",NA
-60,-9,NA,NA,-32,NA,"Carroll County 2",NA
-21,-10,NA,NA,-6,NA,"Cass County",NA
-54,-29,44,-48,-40,13,"Champaign County",NA
-31,-30,NA,NA,-20,9,"Christian County",NA
-28,NA,NA,-15,-32,NA,"Clark County 1",NA
-25,NA,NA,NA,-27,NA,"Clay County 2",NA
-28,-4,NA,NA,-29,14,"Clinton County",NA
-35,-11,NA,NA,-27,18,"Coles County",NA
-58,-26,-45,-63,-45,15,"Cook County 1","COK"
-24,2,NA,NA,-27,NA,"Crawford County 2",NA
-65,NA,NA,-23,-33,NA,"Cumberland County",NA
-65,-29,NA,NA,-22,NA,"De Witt County",NA
-52,-20,NA,NA,-37,14,"DeKalb County 1",NA
-53,-3,NA,NA,-30,NA,"Douglas County 2",NA
-60,-29,-42,-51,-45,15,"DuPage County",NA
-25,-20,NA,NA,-38,NA,"Edgar County",NA
NA,NA,NA,NA,-39,NA,"Edwards County",NA
-42,-2,NA,-26,-36,12,"Effingham County 1",NA
-33,-16,NA,NA,-19,NA,"Fayette County 1",NA
-59,-18,NA,NA,-22,NA,"Ford County",NA
-17,9,NA,-34,-28,14,"Franklin County 4",NA
-37,-19,NA,NA,-26,17,"Fulton County 2",NA
-46,-2,NA,NA,-21,NA,"Greene County 2",NA
-43,-24,NA,-22,-34,19,"Grundy County",NA
-50,NA,NA,NA,-33,NA,"Hamilton County 1",NA
-44,-16,NA,NA,-24,NA,"Hancock County 1",NA
NA,NA,NA,NA,-23,NA,"Henderson County",NA
-44,-18,NA,-35,-31,18,"Henry County 1",NA
-38,-2,NA,-39,-24,3,"Iroquois County",NA
-47,-14,22,NA,-33,18,"Jackson County 3",NA
-41,NA,NA,NA,-27,NA,"Jasper County 1",NA
-37,-21,NA,-10,-39,14,"Jefferson County 5",NA
-39,10,NA,NA,-23,NA,"Jersey County","JEY"
-59,-13,NA,NA,-38,NA,"Jo Daviess County",NA
-22,NA,-20,NA,-35,NA,"Johnson County 2",NA
-57,-27,-20,-46,-39,14,"Kane County",NA
-48,-20,NA,-15,-29,11,"Kankakee County",NA
-46,-28,-25,NA,-38,17,"Kendall County",NA
-50,3,NA,-31,-32,16,"Knox County",NA
-53,0,-62,-18,-32,11,"LaSalle County",NA
-57,-25,-36,-58,-41,14,"Lake County 3",NA
-17,NA,NA,NA,-17,NA,"Lawrence County 1",NA
-39,-18,NA,NA,-24,13,"Lee County 2",NA
-44,-1,NA,NA,-27,17,"Livingston County",NA
-40,-31,NA,NA,-25,6,"Logan County 2",NA
-43,-14,NA,-20,-30,10,"Macon County 1",NA
-40,1,NA,NA,-30,17,"Macoupin County",NA
-39,-17,58,-24,-34,10,"Madison County 4",NA
-39,-5,NA,NA,-33,14,"Marion County 3",NA
-72,NA,NA,NA,-39,NA,"Marshall County","MHL"
-32,4,NA,NA,-27,NA,"Mason County",NA
-48,-18,NA,NA,-22,NA,"Massac County",NA
-40,-13,NA,NA,-28,0,"McDonough County",NA
-54,-23,-26,-61,-38,13,"McHenry County",NA
-53,-28,1,-37,-41,12,"McLean County",NA
-62,NA,NA,NA,-42,NA,"Menard County",NA
-63,NA,NA,NA,-33,NA,"Mercer County",NA
-37,-12,NA,NA,-33,16,"Monroe County 3",NA
-37,-13,NA,NA,-28,1,"Montgomery County 2",NA
-39,-3,NA,-14,-34,6,"Morgan County 2",NA
-56,NA,NA,NA,-26,NA,"Moultrie County",NA
-46,-9,NA,NA,-27,17,"Ogle County",NA
-50,-19,-16,-45,-35,11,"Peoria County",NA
-35,-4,NA,NA,-28,NA,"Perry County 1",NA
-55,NA,NA,NA,-26,NA,"Piatt County",NA
-36,-11,NA,NA,-19,NA,"Pike County 2",NA
NA,NA,NA,NA,-33,NA,"Pulaski County 2",NA
NA,NA,NA,NA,-38,NA,"Putnam County 2",NA
-24,9,NA,NA,-24,10,"Randolph County 2",NA
-32,-11,NA,NA,-19,NA,"Richland County",NA
-50,0,-55,-57,-36,10,"Rock Island County",NA
-20,1,NA,NA,-24,NA,"Saline County 1",NA
-47,-18,31,-38,-36,10,"Sangamon County",NA
-55,NA,NA,NA,-29,NA,"Schuyler County",NA
-20,NA,NA,NA,-31,NA,"Shelby County",NA
-45,-13,52,-26,-34,10,"St  Clair County",NA
NA,NA,NA,NA,-36,NA,"Stark County",NA
-44,-27,NA,NA,-30,17,"Stephenson County",NA
-41,-9,-15,NA,-33,11,"Tazewell County",NA
-8,-5,NA,NA,-23,NA,"Union County 3",NA
-39,-15,NA,-31,-26,9,"Vermilion County",NA
-33,-17,NA,NA,-32,NA,"Wabash County",NA
-48,0,NA,NA,-20,NA,"Warren County 1",NA
-58,0,NA,NA,-40,NA,"Washington County 4",NA
-30,-8,NA,NA,-24,NA,"Wayne County 1",NA
-23,-7,NA,NA,-23,NA,"White County 2",NA
-53,-24,NA,NA,-30,18,"Whiteside County",NA
-54,-27,-36,-28,-36,14,"Will County",NA
-33,-15,-45,-16,-32,17,"Williamson County",NA
-47,-30,-40,-40,-36,11,"Winnebago County",NA
-61,-5,NA,NA,-34,15,"Woodford County",NA
-48,-25,24,-34,-36,11,"Indiana","IND"
-43,-25,NA,NA,-33,8,"Adams County 2",NA
-54,-36,13,-44,-39,12,"Allen County",NA
-49,-30,10,-28,-45,26,"Bartholomew County",NA
NA,NA,NA,NA,-42,NA,"Benton County 1",NA
-51,-17,NA,NA,-24,NA,"Blackford County",NA
-51,-28,NA,-19,-39,26,"Boone County 2",NA
-68,-4,NA,NA,-37,NA,"Brown County",NA
-52,-14,NA,NA,-38,NA,"Carroll County 3",NA
-38,-17,NA,NA,-34,18,"Cass County 1",NA
-48,-10,64,-14,-36,10,"Clark County 2",NA
-33,-35,NA,-21,-32,-1,"Clay County 3",NA
-36,-30,NA,NA,-30,19,"Clinton County 1",NA
-58,-16,NA,-38,-36,NA,"Crawford County 3",NA
-40,-5,NA,NA,-25,8,"Daviess County",NA
-50,-18,NA,NA,-34,22,"DeKalb County 2",NA
-35,-11,NA,NA,-42,22,"Dearborn County",NA
-45,-26,NA,-35,-43,11,"Decatur County 1",NA
-52,-28,NA,1,-36,10,"Delaware County",NA
-40,-19,NA,NA,-29,21,"Dubois County",NA
-43,-35,18,-19,-35,10,"Elkhart County",NA
-32,-21,NA,NA,-35,6,"Fayette County 2",NA
-39,-21,NA,NA,-38,21,"Floyd County 1",NA
-65,-10,NA,NA,-36,NA,"Fountain County",NA
-38,-28,NA,NA,-36,NA,"Franklin County 5",NA
-33,-19,NA,-54,-31,NA,"Fulton County 3",NA
-35,-19,NA,-29,-29,11,"Gibson County",NA
-46,-17,NA,-13,-22,17,"Grant County 1",NA
-33,-23,NA,NA,-29,5,"Greene County 3",NA
-58,-31,38,NA,-47,13,"Hamilton County 2",NA
-46,9,NA,-12,-38,24,"Hancock County 2",NA
-44,-8,NA,NA,-30,20,"Harrison County",NA
-47,-26,-13,-19,-39,12,"Hendricks County",NA
-32,-19,NA,-28,-31,21,"Henry County 2",NA
-56,-36,NA,NA,-47,14,"Howard County 1",NA
-47,-29,NA,-46,-34,21,"Huntington County",NA
-24,-55,NA,-6,-41,22,"Jackson County 4",NA
-44,-24,NA,-22,-33,15,"Jasper County 2",NA
-40,-35,NA,NA,-22,NA,"Jay County",NA
-37,-1,NA,NA,-23,14,"Jefferson County 6",NA
-26,-11,NA,NA,-37,12,"Jennings County",NA
-51,-22,-5,-24,-37,11,"Johnson County 3",NA
-44,-15,NA,NA,-31,14,"Knox County 1",NA
-52,-24,NA,NA,-33,23,"Kosciusko County",NA
-70,-25,-46,-32,-36,9,"LaGrange County",NA
-49,-24,-23,-43,-32,10,"LaPorte County",NA
-52,-27,-18,-25,-38,13,"Lake County 4",NA
-41,-23,NA,NA,-34,17,"Lawrence County 2",NA
-44,-12,NA,-27,-35,10,"Madison County 5",NA
-52,-27,17,-49,-38,11,"Marion County 4",NA
-48,-19,NA,-26,-25,21,"Marshall County 1","MHL"
-40,-4,NA,NA,-36,NA,"Martin County 1",NA
-43,-27,NA,NA,-39,16,"Miami County",NA
-53,-33,39,-40,-42,12,"Monroe County 4",NA
-40,-25,NA,-35,-31,16,"Montgomery County 3",NA
-39,-12,NA,NA,-32,20,"Morgan County 3",NA
-45,NA,NA,NA,-27,NA,"Newton County 2",NA
-42,-26,NA,NA,-42,23,"Noble County",NA
NA,NA,NA,NA,-53,NA,"Ohio County",NA
-41,-19,NA,NA,-45,NA,"Orange County 2",NA
-30,-21,NA,NA,-29,NA,"Owen County",NA
-44,-2,NA,NA,-37,NA,"Parke County",NA
-59,-4,NA,NA,-45,NA,"Perry County 2",NA
-54,-7,NA,NA,-39,NA,"Pike County 3",NA
-54,-28,20,-39,-34,13,"Porter County",NA
-25,6,NA,NA,-22,-1,"Posey County",NA
-33,-23,NA,NA,-34,NA,"Pulaski County 3",NA
-45,-31,NA,NA,-26,11,"Putnam County 3",NA
-24,-14,NA,NA,-28,8,"Randolph County 3",NA
-46,-18,NA,NA,-27,0,"Ripley County",NA
-44,-11,NA,NA,-35,NA,"Rush County",NA
-30,-8,NA,NA,-33,3,"Scott County 1",NA
-46,-18,NA,-43,-32,21,"Shelby County 1",NA
-45,15,NA,NA,-24,NA,"Spencer County",NA
-53,-26,-17,-37,-35,11,"St  Joseph County",NA
-50,-10,NA,NA,-25,NA,"Starke County",NA
-49,-32,NA,-29,-37,19,"Steuben County",NA
-38,-17,NA,NA,-20,NA,"Sullivan County",NA
NA,-34,NA,NA,-44,NA,"Switzerland County","CHE"
-57,-37,5,-27,-41,12,"Tippecanoe County",NA
-46,-22,NA,NA,-33,NA,"Tipton County",NA
-55,NA,NA,NA,-39,NA,"Union County 4",NA
-41,-16,-16,-53,-29,10,"Vanderburgh County",NA
-34,4,NA,-32,-20,NA,"Vermillion County",NA
-47,-24,-12,-9,-36,9,"Vigo County",NA
-50,-36,NA,NA,-26,8,"Wabash County 1",NA
NA,NA,NA,NA,-32,NA,"Warren County 2",NA
-23,-1,NA,NA,-30,22,"Warrick County",NA
-27,-22,NA,NA,-25,11,"Washington County 5",NA
-48,-30,NA,-18,-32,12,"Wayne County 2",NA
-35,-12,NA,NA,-29,11,"Wells County",NA
-38,-12,NA,-22,-39,6,"White County 3",NA
-45,-34,NA,NA,-32,22,"Whitley County",NA
-43,-10,41,-28,-29,10,"Iowa",NA
-46,-3,NA,NA,-33,NA,"Adair County",NA
-57,-27,NA,NA,-22,NA,"Allamakee County",NA
-21,26,NA,NA,-24,NA,"Appanoose County",NA
NA,NA,NA,NA,-28,NA,"Audubon County",NA
-54,-10,NA,NA,-33,8,"Benton County 2",NA
-46,-23,11,-14,-30,10,"Black Hawk County",NA
-32,-21,NA,NA,-22,14,"Boone County 3",NA
-36,-24,NA,NA,-34,-1,"Bremer County",NA
-39,-13,NA,NA,-23,NA,"Buchanan County",NA
-28,-6,NA,NA,-13,NA,"Buena Vista County",NA
NA,-15,NA,NA,-30,NA,"Butler County",NA
NA,-12,NA,NA,-29,NA,"Calhoun County 1",NA
-34,-4,NA,NA,-29,NA,"Carroll County 4",NA
-23,-6,NA,NA,-16,NA,"Cass County 2",NA
-44,-23,NA,14,-18,NA,"Cedar County",NA
-46,-13,NA,-44,-29,17,"Cerro Gordo County",NA
-75,NA,NA,NA,-20,NA,"Cherokee County 1",NA
-56,-28,NA,NA,-25,NA,"Chickasaw County",NA
-30,NA,NA,-29,-17,NA,"Clarke County 1",NA
-27,-18,NA,NA,-17,NA,"Clay County 4",NA
-61,-12,NA,NA,-19,NA,"Clayton County 1",NA
-41,18,NA,NA,-24,16,"Clinton County 2",NA
-34,NA,NA,NA,-23,NA,"Crawford County 4",NA
-60,-40,NA,NA,-34,25,"Dallas County 1",NA
-64,NA,NA,NA,-21,NA,"Davis County",NA
NA,NA,NA,NA,-25,NA,"Decatur County 2",NA
-40,-20,NA,NA,-22,NA,"Delaware County 1",NA
-40,-7,NA,-32,-24,14,"Des Moines County",NA
-29,-2,-50,NA,-20,NA,"Dickinson County",NA
-53,-9,-25,-63,-34,15,"Dubuque County",NA
-42,11,NA,NA,-32,NA,"Emmet County",NA
-36,-11,NA,NA,-20,NA,"Fayette County 3",NA
-40,-21,NA,-9,-16,NA,"Floyd County 2",NA
-47,-16,NA,NA,-25,NA,"Franklin County 6",NA
-65,-9,NA,-16,-15,NA,"Fremont County 2",NA
-51,2,NA,NA,-31,NA,"Greene County 4",NA
-70,-33,NA,NA,-29,NA,"Grundy County 1",NA
NA,NA,NA,NA,-34,NA,"Guthrie County",NA
-27,-6,NA,-39,-6,NA,"Hamilton County 3",NA
NA,-22,NA,NA,-34,NA,"Hancock County 3",NA
-52,15,NA,NA,-25,NA,"Hardin County",NA
-26,0,NA,NA,-19,NA,"Harrison County 1",NA
-28,-17,NA,-17,-30,NA,"Henry County 3",NA
-69,-5,NA,NA,-21,NA,"Howard County 2",NA
-45,-7,NA,NA,-32,NA,"Humboldt County 1",NA
-57,NA,NA,NA,-22,NA,"Ida County",NA
-80,-9,NA,NA,-41,NA,"Iowa County",NA
-37,-10,NA,NA,-24,NA,"Jackson County 5",NA
-40,60,NA,5,-22,11,"Jasper County 3",NA
-40,NA,NA,NA,-34,NA,"Jefferson County 7",NA
-58,-36,-6,-24,-36,13,"Johnson County 4",NA
-43,4,NA,NA,-30,NA,"Jones County 1",NA
-66,NA,NA,NA,-21,NA,"Keokuk County",NA
-70,47,NA,NA,-21,NA,"Kossuth County",NA
-24,-13,NA,NA,-14,14,"Lee County 3",NA
-52,-7,2,-55,-36,11,"Linn County",NA
NA,NA,NA,NA,-18,NA,"Louisa County",NA
-59,6,NA,NA,-16,NA,"Lucas County",NA
-66,NA,NA,NA,-24,NA,"Lyon County",NA
-53,33,NA,NA,-25,NA,"Madison County 6",NA
-31,NA,NA,NA,-22,NA,"Mahaska County",NA
-17,26,NA,NA,-19,13,"Marion County 5",NA
-36,-15,NA,NA,-29,14,"Marshall County 2","MHL"
-6,NA,NA,NA,-20,NA,"Mills County",NA
-73,NA,NA,NA,-28,NA,"Mitchell County 1",NA
-35,NA,NA,NA,-30,NA,"Monona County",NA
-51,NA,NA,NA,-26,NA,"Monroe County 5",NA
-56,2,NA,NA,-23,NA,"Montgomery County 4",NA
-42,33,NA,NA,-28,16,"Muscatine County",NA
-22,-6,NA,NA,-4,NA,"O Brien County",NA
NA,NA,NA,NA,-25,NA,"Osceola County 1",NA
-35,NA,NA,NA,-22,NA,"Page County",NA
-73,-55,NA,NA,-30,NA,"Palo Alto County",NA
-26,6,NA,NA,-30,8,"Plymouth County",NA
NA,NA,NA,NA,-26,NA,"Pocahontas County",NA
-44,-9,66,-45,-34,10,"Polk County 3",NA
-33,2,14,-4,-30,7,"Pottawattamie County",NA
-36,-15,NA,-18,-28,NA,"Poweshiek County",NA
NA,NA,NA,NA,-22,NA,"Sac County",NA
-50,-22,-1,-24,-31,11,"Scott County 2",NA
-17,-5,NA,NA,-25,NA,"Shelby County 2",NA
-25,4,NA,NA,-23,19,"Sioux County",NA
-50,-29,NA,-38,-43,22,"Story County",NA
-44,-18,NA,NA,-36,NA,"Tama County",NA
NA,NA,NA,NA,-18,NA,"Taylor County 2",NA
-14,NA,NA,NA,-29,NA,"Union County 5",NA
NA,-7,NA,NA,-13,NA,"Van Buren County 1",NA
-33,8,NA,NA,-18,10,"Wapello County",NA
-28,-13,NA,NA,-32,15,"Warren County 3",NA
-41,-19,NA,NA,-30,-3,"Washington County 6",NA
NA,NA,NA,NA,-25,NA,"Wayne County 3",NA
-33,22,NA,NA,-24,15,"Webster County",NA
-53,-18,NA,NA,-36,NA,"Winnebago County 1",NA
-56,-33,NA,NA,-33,NA,"Winneshiek County",NA
-34,-3,NA,-13,-26,8,"Woodbury County",NA
NA,-42,NA,NA,-31,NA,"Worth County 1",NA
-57,-4,NA,NA,-8,NA,"Wright County",NA
