"country","countryiso3","latest.year_SM.POP.NETM","latest.value_SM.POP.NETM"
"Middle East & North Africa (excluding high income)","MNA",2017,-3197316
"Middle East & North Africa (IDA & IBRD countries)","TMN",2017,-3144500
"Middle income","MIC",2017,-11801558
"Moldova","MDA",2017,-6935
"Mongolia","MNG",2017,-4262
"Montenegro","MNE",2017,-2400
"Morocco","MAR",2017,-257096
"Mozambique","MOZ",2017,-25000
"Myanmar","MMR",2017,-816564
"Namibia","NAM",2017,-24030
"Nepal","NPL",2017,208549
"Netherlands","NLD",2017,80000
"New Caledonia","NCL",2017,2510
"New Zealand","NZL",2017,74403
"Nicaragua","NIC",2017,-106360
"Niger","NER",2017,20001
"Nigeria","NGA",2017,-3e+05
"North America","NAC",2017,5984188
"North Macedonia","MKD",2017,-4999
"Norway","NOR",2017,140000
"OECD members","OED",2017,16409707
"Oman","OMN",2017,437000
"Other small states","OSS",2017,470312
"Pacific island small states","PSS",2017,-63416
"Pakistan","PAK",2017,-1166895
"Panama","PAN",2017,56000
"Papua New Guinea","PNG",2017,-3999
"Paraguay","PRY",2017,-82780
"Peru","PER",2017,495345
"Philippines","PHL",2017,-335758
"Poland","POL",2017,-146976
"Portugal","PRT",2017,-30001
"Post-demographic dividend","PST",2017,13892345
"Pre-demographic dividend","PRE",2017,-2213380
"Puerto Rico","PRI",2017,-489932
"Qatar","QAT",2017,2e+05
"Romania","ROU",2017,-369997
"Russian Federation","RUS",2017,912279
"Rwanda","RWA",2017,-44998
"Samoa","WSM",2017,-14013
"Sao Tome and Principe","STP",2017,-8401
"Saudi Arabia","SAU",2017,674895
"Senegal","SEN",2017,-100001
"Serbia","SRB",2017,20000
"Seychelles","SYC",2017,-1000
"Sierra Leone","SLE",2017,-21000
"Singapore","SGP",2017,135142
"Slovak Republic","SVK",2017,7423
"Slovenia","SVN",2017,9999
"Small states","SST",2017,319841
"Solomon Islands","SLB",2017,-7998
"Somalia","SOM",2017,-200002
"South Africa","ZAF",2017,727026
"South Asia","SAS",2017,-6215366
"South Asia (IDA & IBRD)","TSA",2017,-6215366
"South Sudan","SSD",2017,-870998
"Spain","ESP",2017,2e+05
"Sri Lanka","LKA",2017,-489932
"St. Lucia","LCA",2017,0
"St. Vincent and the Grenadines","VCT",2017,-1000
"Sub-Saharan Africa","SSF",2017,-1814121
"Sub-Saharan Africa (excluding high income)","SSA",2017,-1813121
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2017,-1814121
"Sudan","SDN",2017,-250001
"Suriname","SUR",2017,-4999
"Sweden","SWE",2017,2e+05
"Switzerland","CHE",2017,259999
"Syrian Arab Republic","SYR",2017,-2136954
"Tajikistan","TJK",2017,-99999
"Tanzania","TZA",2017,-200381
"Thailand","THA",2017,97222
"Timor-Leste","TLS",2017,-26924
"Togo","TGO",2017,-9999
"Tonga","TON",2017,-3999
"Trinidad and Tobago","TTO",2017,-3999
"Tunisia","TUN",2017,-20000
"Turkey","TUR",2017,1419610
"Turkmenistan","TKM",2017,-25001
"Uganda","UGA",2017,843469
"Ukraine","UKR",2017,50001
"United Arab Emirates","ARE",2017,2e+05
"United Kingdom","GBR",2017,1303250
"United States","USA",2017,4774029
"Upper middle income","UMC",2017,-1562415
"Uruguay","URY",2017,-15000
"Uzbekistan","UZB",2017,-44314
"Vanuatu","VUT",2017,600
"Venezuela, RB","VEN",2017,-3266243
"Vietnam","VNM",2017,-399999
"Virgin Islands (U.S.)","VIR",2017,-2254
"West Bank and Gaza","PSE",2017,-52816
"World","WLD",2017,0
"Yemen, Rep.","YEM",2017,-150000
"Zambia","ZMB",2017,-40000
"Zimbabwe","ZWE",2017,-584288
