"variable","description"
"score_consultation_on_pro.40853","Score Consultation on proposed regulations"
"score_publication_of_forw.40868","Score Publication of forward regulatory plans"
"score_laws_are_made_publi.40869","Score Laws are made publicly accessible"
"score_report_back_on_the_.40994","Score Report back on the results of that consultation process"
"score_conduct_regulatory_.40995","Score Conduct regulatory impact assessment"
"score_regulatory_governan.41031","Score Regulatory governance score"
