country,countryiso3,hospital_data_yr_rec,hospitals_per_1mil,total_n_of_hospitals,total_n_of_hospital_beds,hospital_beds_per_1000,doctors_data_yr_rec,doctors_per_10k,total_n_of_doctors,nurses_data_yr_rec,nurses_and_midwifery_per_10k,total_n_of_nurses_and_midwifery,total_n_of_nurses,total_n_of_midwifery,che_perc_of_gdp_2017,che_perc_of_gdp_2016,world_pop_2016_thousands
Oman,OMN,2013,13.5,59,NA,NA,2018,20.031,9674,2018,41.965,20267,19415,852,3.8,4.3,4425
Pakistan,PAK,2013,5.300000000000001,1023,NA,NA,2018,9.801,208007,2018,6.683,141837,103777,38060,2.9,2.9,193203
Panama,PAN,2013,9.1,36,NA,NA,2016,15.687,6333,2018,30.741,12840,12840,NA,7.3,7.2,4034
Peru,PER,NA,NA,NA,NA,NA,2016,13.048,40352,2018,24.398,78048,78048,NA,5,5.1,31774
Philippines,PHL,2013,18.1,1870,NA,NA,2017,6.004,63141,2018,49.351,526331,526331,NA,4.4,4.4,103320
Palau,PLW,NA,NA,NA,NA,NA,2014,14.205,25,2018,72.626,130,130,NA,12,11.8,22
Papua New Guinea,PNG,2013,15.700000000000001,126,NA,NA,2018,0.699,602,2018,4.548,3914,3237,677,2.5,2.5,8085
Poland,POL,2017,27.86,1058,251537,6.62,2017,23.788,90284,2018,68.926,261380,233012,28368,6.5,6.5,38224
North Korea,PRK,2013,68.60000000000001,1740,NA,NA,2017,36.834,93667,2017,44.489,113135,105125,8010,NA,NA,25369
Portugal,PRT,2017,21.84,225,34953,3.39,2017,51.24,52718,2017,69.746,71758,68976,2782,9,9,10372
Paraguay,PRY,2013,24.3,163,NA,NA,2018,13.544,9421,2018,16.604,11550,10399,1151,6.7,6.7,6725
West Bank and Gaza Strip,PSE,NA,NA,NA,NA,NA,2018,NA,10417,2018,NA,9385,8286,1099,NA,NA,NA
Qatar,QAT,NA,NA,NA,NA,NA,2018,24.852,6913,2018,72.628,20203,19895,308,2.6,3,2570
Romania,ROU,2013,16.8,332,NA,NA,2017,29.807,58583,2017,73.891,145226,141821,3405,5.2,5,19778
Russia,RUS,NA,NA,NA,1182693,8.05,2015,37.494,543604,2017,85.429,1243250,1243250,NA,5.3,5.3,143965
