"country","countryiso3","SP.DYN.LE00.IN_2013","SP.DYN.LE00.IN_2014","SP.DYN.LE00.IN_2015","SP.DYN.LE00.IN_2016","SP.DYN.LE00.IN_2017","SP.DYN.LE00.IN_2018"
"Europe & Central Asia (IDA & IBRD countries)","TEC",72.6239104357689,72.8880799579456,73.1485813758075,73.5027179350298,73.8945964702111,74.0376029005072
"European Union","EUU",80.4637409328603,80.8704475779471,80.5668071425711,80.9498646440156,80.9306588411386,81.0344092172663
"Faroe Islands","FRO",81.3414634146341,81.5926829268293,81.7951219512195,82.0463414634146,82.2975609756098,82.5487804878049
"Fiji","FJI",66.95,67.03,67.103,67.175,67.252,67.341
"Finland","FIN",80.9756097560976,81.1804878048781,81.4804878048781,81.4292682926829,81.6317073170732,81.7341463414634
"Fragile and conflict affected situations","FCS",59.930738230298,60.2852493357234,60.6197110072122,60.9314077784551,61.2213593313871,61.4950123289385
"France","FRA",82.219512195122,82.719512195122,82.3219512195122,82.5731707317073,82.5756097560976,82.7243902439024
"French Polynesia","PYF",76.307,76.546,76.787,77.024,77.251,77.462
"Gabon","GAB",63.648,64.318,64.913,65.418,65.839,66.187
"Gambia, The","GMB",60.426,60.667,60.91,61.166,61.44,61.735
"Georgia","GEO",72.412,72.707,72.973,73.207,73.414,73.6
"Germany","DEU",80.490243902439,81.090243902439,80.6414634146341,80.990243902439,80.9926829268293,80.8926829268293
"Ghana","GHA",62.064,62.416,62.772,63.124,63.463,63.78
"Greece","GRC",81.2853658536585,81.3853658536585,81.0365853658537,81.3878048780488,81.2878048780488,81.7878048780488
"Greenland","GRL",71.8304878048781,71.5384146341463,71.2463414634146,70.8487804878049,NA,NA
"Grenada","GRD",72.579,72.503,72.445,72.408,72.388,72.384
"Guam","GUM",78.649,78.895,79.144,79.391,79.631,79.859
"Guatemala","GTM",72.596,72.935,73.25,73.541,73.81,74.063
"Guinea","GIN",58.447,59.016,59.598,60.17,60.706,61.185
"Guinea-Bissau","GNB",56.117,56.556,56.959,57.328,57.673,58.003
"Guyana","GUY",68.819,69.049,69.262,69.454,69.624,69.774
"Haiti","HTI",61.658,62.069,62.485,62.896,63.29,63.66
"Heavily indebted poor countries (HIPC)","HPC",60.7703339959901,61.3343128170965,61.8529532354615,62.3232892974951,62.7486826008412,63.1350064011699
