"country","countryiso3","latest.year_maternalmortality.2223","latest.value_maternalmortality.2223"
"Sweden","SWE",2020,4
"Switzerland","CHE",2020,5
"Syria","SYR",2020,68
"Tajikistan","TJK",2020,32
"Tanzania","TZA",2020,398
"Thailand","THA",2020,20
"Timor-Leste","TLS",2020,215
"Togo","TGO",2020,368
"Tonga","TON",2020,124
"Trinidad and Tobago","TTO",2020,63
"Tunisia","TUN",2020,62
"Turkey","TUR",2020,16
"Turkmenistan","TKM",2020,42
"Uganda","UGA",2020,343
"Ukraine","UKR",2020,24
"United Arab Emirates","ARE",2020,6
"United Kingdom","GBR",2020,9
"United States","USA",2020,14
"Uruguay","URY",2020,15
"Uzbekistan","UZB",2020,36
"Vanuatu","VUT",2020,78
"Venezuela","VEN",2020,95
"Vietnam","VNM",2020,54
"West Bank","PSE",2020,45
"Yemen","YEM",2020,385
"Zambia","ZMB",2020,224
"Zimbabwe","ZWE",2020,443
