"country","countryiso3","latest.year_score_logistics_performan.321","latest.value_score_logistics_performan.321","latest.year_score_logistics_performan.40212","latest.value_score_logistics_performan.40212","latest.year_score (lower bound)_logis.322","latest.value_score (lower bound)_logis.322","latest.year_score (upper bound)_logis.323","latest.value_score (upper bound)_logis.323","latest.year_rank_logistics_performanc.324","latest.value_rank_logistics_performanc.324","latest.year_rank_logistics_performanc.40213","latest.value_rank_logistics_performanc.40213","latest.year_rank (lower bound)_logist.325","latest.value_rank (lower bound)_logist.325","latest.year_rank (upper bound)_logist.326","latest.value_rank (upper bound)_logist.326","latest.year_% of highest performer_lo.327","latest.value_% of highest performer_lo.327","latest.year_score_customs.329","latest.value_score_customs.329","latest.year_rank_customs.330","latest.value_rank_customs.330","latest.year_score_infrastructure.331","latest.value_score_infrastructure.331","latest.year_rank_infrastructure.332","latest.value_rank_infrastructure.332","latest.year_score_international_shipm.333","latest.value_score_international_shipm.333","latest.year_rank_international_shipme.334","latest.value_rank_international_shipme.334","latest.year_score_logistics_competenc.335","latest.value_score_logistics_competenc.335","latest.year_rank_logistics_competence.336","latest.value_rank_logistics_competence.336","latest.year_score_tracking_and_tracin.337","latest.value_score_tracking_and_tracin.337","latest.year_rank_tracking_and_tracing.338","latest.value_rank_tracking_and_tracing.338","latest.year_score_timeliness_on_intl_.339","latest.value_score_timeliness_on_intl_.339","latest.year_rank_timeliness_on_intl_s.340","latest.value_rank_timeliness_on_intl_s.340"
"Bahrain","BHR",2018,2.93,2018,3.06,2018,2.75,2018,3.12,2018,59,2018,54,2018,48,2018,76,2018,60.44,2018,2.67,2018,63,2018,2.72,2018,68,2018,3.02,2018,55,2018,2.86,2018,58,2018,3.01,2018,60,2018,3.29,2018,68
"Bahamas, The","BHS",2018,2.53,2018,2.65,2018,2.37,2018,2.69,2018,112,2018,90,2018,85,2018,130,2018,47.65,2018,2.68,2018,61,2018,2.41,2018,98,2018,2.5,2018,114,2018,2.27,2018,130,2018,2.52,2018,110,2018,2.75,2018,125
"Bosnia and Herzegovina","BIH",2018,2.81,2018,2.76,2018,2.62,2018,3,2018,72,2018,78,2018,56,2018,91,2018,56.49,2018,2.63,2018,69,2018,2.42,2018,97,2018,2.84,2018,66,2018,2.8,2018,65,2018,2.89,2018,70,2018,3.21,2018,72
"Belarus","BLR",2018,2.57,2018,2.54,2018,2.41,2018,2.74,2018,103,2018,110,2018,78,2018,125,2018,49.19,2018,2.35,2018,112,2018,2.44,2018,92,2018,2.31,2018,134,2018,2.64,2018,85,2018,2.54,2018,109,2018,3.18,2018,78
"Bolivia","BOL",2018,2.36,2018,2.36,2018,2.19,2018,2.52,2018,131,2018,136,2018,113,2018,146,2018,42.43,2018,2.32,2018,117,2018,2.15,2018,129,2018,2.54,2018,106,2018,2.21,2018,139,2018,2.13,2018,148,2018,2.74,2018,127
"Brazil","BRA",2018,2.99,2018,3.02,2018,2.85,2018,3.12,2018,56,2018,56,2018,48,2018,64,2018,62.03,2018,2.41,2018,102,2018,2.93,2018,50,2018,2.88,2018,61,2018,3.09,2018,46,2018,3.11,2018,51,2018,3.51,2018,51
"Brunei Darussalam","BRN",2018,2.71,2018,2.78,2018,2.51,2018,2.91,2018,80,2018,73,2018,60,2018,114,2018,53.31,2018,2.62,2018,73,2018,2.46,2018,89,2018,2.51,2018,113,2018,2.71,2018,77,2018,2.75,2018,88,2018,3.17,2018,80
"Bhutan","BTN",2018,2.17,2018,2.25,2018,1.95,2018,2.39,2018,149,2018,151,2018,129,2018,159,2018,36.51,2018,2.14,2018,135,2018,1.91,2018,150,2018,1.8,2018,160,2018,2.35,2018,115,2018,2.35,2018,130,2018,2.49,2018,146
"Botswana","BWA",2016,3.05,2018,2.96,2016,2.82,2016,3.27,2016,57,2018,58,2016,45,2016,71,2016,63.41,2016,3.05,2016,48,2016,2.96,2016,54,2016,2.91,2016,70,2016,2.74,2016,75,2016,2.89,2016,70,2016,3.72,2016,43
"Central African Republic","CAF",2018,2.15,2018,2.26,2018,1.81,2018,2.48,2018,151,2018,150,2018,116,2018,160,2018,35.87,2018,2.24,2018,126,2018,1.93,2018,148,2018,2.3,2018,135,2018,1.93,2018,157,2018,2.1,2018,151,2018,2.33,2018,156
