"country","countryiso3","latest.year_median.2177","latest.value_median.2177"
"Senegal","SEN",2020,18.8
"Serbia","SRB",2020,42.6
"Seychelles","SYC",2020,35.4
"Sierra Leone","SLE",2020,19
"Singapore","SGP",2020,34.6
"Sint Maarten","SXM",2020,41
"Slovakia","SVK",2020,40.5
"Slovenia","SVN",2020,44.5
"Solomon Islands","SLB",2020,22.5
"Somalia","SOM",2020,18.1
"South Africa","ZAF",2020,27.1
"South Sudan","SSD",2020,17.3
"Spain","ESP",2020,42.7
"Sri Lanka","LKA",2020,32.8
"Sudan","SDN",2020,19.9
"Suriname","SUR",2020,29.8
"Sweden","SWE",2020,41.2
"Switzerland","CHE",2020,42.4
"Syria","SYR",2020,24.3
"Taiwan","TWN",2020,40.7
"Tajikistan","TJK",2020,24.5
"Tanzania","TZA",2020,17.7
"Thailand","THA",2020,37.7
"Timor-Leste","TLS",2020,18.9
"Togo","TGO",2020,19.8
"Tonga","TON",2020,23
"Trinidad and Tobago","TTO",2020,36
"Tunisia","TUN",2020,31.6
"Turkey","TUR",2020,30.9
"Turkmenistan","TKM",2020,27.9
"Turks and Caicos Islands","TCA",2020,33.3
"Tuvalu","TUV",2020,25.7
"Uganda","UGA",2020,15.8
"Ukraine","UKR",2020,40.6
"United Arab Emirates","ARE",2020,30.3
"United Kingdom","GBR",2020,40.5
"United States","USA",2020,38.1
"Uruguay","URY",2020,35
"Uzbekistan","UZB",2020,28.6
"Vanuatu","VUT",2020,22
"Venezuela","VEN",2020,28.3
"Vietnam","VNM",2020,30.5
"Virgin Islands","VIR",2020,41
"Wallis and Futuna","WLF",2020,32.2
"West Bank","PSE",2020,21.1
"Western Sahara","ESH",2020,21.3
"Yemen","YEM",2020,19.5
"Zambia","ZMB",2020,16.8
"Zimbabwe","ZWE",2020,20
