"country","countryiso3","latest.year_total_population.40942","latest.value_total_population.40942","latest.year_%_poverty_gap_at_national.40916","latest.value_%_poverty_gap_at_national.40916","latest.year_%_poverty_headcount_ratio.40918","latest.value_%_poverty_headcount_ratio.40918","latest.year_%_poverty_headcount_ratio.40925","latest.value_%_poverty_headcount_ratio.40925","latest.year_%_rural_poverty_gap_at_na.40921","latest.value_%_rural_poverty_gap_at_na.40921","latest.year_% of rural population_rur.40923","latest.value_% of rural population_rur.40923","latest.year_%_urban_poverty_gap_at_na.40930","latest.value_%_urban_poverty_gap_at_na.40930","latest.year_% of urban population_urb.40932","latest.value_% of urban population_urb.40932","latest.year_second 20%_income_share_h.40899","latest.value_second 20%_income_share_h.40899","latest.year_third 20%_income_share_he.40900","latest.value_third 20%_income_share_he.40900","latest.year_fourth 20%_income_share_h.40901","latest.value_fourth 20%_income_share_h.40901","latest.year_highest 20%_income_share_.40902","latest.value_highest 20%_income_share_.40902","latest.year_highest 10%_income_share_.40903","latest.value_highest 10%_income_share_.40903","latest.year_lowest 10%_income_share_h.40904","latest.value_lowest 10%_income_share_h.40904","latest.year_lowest 20%_income_share_h.40905","latest.value_lowest 20%_income_share_h.40905","latest.year_ratio_poverty_headcount_r.40906","latest.value_ratio_poverty_headcount_r.40906","latest.year_%_poverty_gap_at_$1.90","latest.value_%_poverty_gap_at_$1.90","latest.year_world bank estimate_gini_.40910","latest.value_world bank estimate_gini_.40910","latest.year_% of population_poverty_h.40911","latest.value_% of population_poverty_h.40911","latest.year_%_poverty_gap_at_$3.20","latest.value_%_poverty_gap_at_$3.20","latest.year_millions_number_of_poor_a.40920","latest.value_millions_number_of_poor_a.40920","latest.year_%_poverty_gap_at_$5.50","latest.value_%_poverty_gap_at_$5.50","latest.year_mean_survey_mean_consumpt.40934","latest.value_mean_survey_mean_consumpt.40934","latest.year_mean_survey_mean_consumpt.40936","latest.value_mean_survey_mean_consumpt.40936","latest.year_%_annualized_average_grow.40935","latest.value_%_annualized_average_grow.40935","latest.year_%_annualized_average_grow.40937","latest.value_%_annualized_average_grow.40937"
"Nicaragua","NIC",2017,6217581,2014,8.1,2016,24.9,2014,34.8,NA,NA,2014,50.1,NA,NA,2014,14.8,2014,9.2,2014,13.7,2014,20,2014,52.1,2014,37.2,2014,2,2014,5.1,2014,3.2,NA,NA,2014,46.2,2014,12.8,NA,NA,2014,0.2,NA,NA,2014,3.87,2014,10.83,2014,5.64,2014,6.52
"Netherlands","NLD",2017,17132854,NA,NA,NA,NA,2015,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2015,13.9,2015,17.5,2015,22.4,2015,37.3,2015,23,2015,3.5,2015,8.9,2015,0,NA,NA,2015,28.2,2015,0.2,NA,NA,2015,0,NA,NA,2015,29.25,2015,51.92,2015,0.95,2015,0.66
"Norway","NOR",2017,5282223,NA,NA,NA,NA,2015,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2015,14.1,2015,17.7,2015,22.7,2015,36.5,2015,22.3,2015,3.5,2015,9,2015,0.2,NA,NA,2015,27.5,2015,0.2,NA,NA,2015,0,NA,NA,2015,40.57,2015,70.92,2015,2.11,2015,2.95
"Nepal","NPL",2017,29304998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nauru","NRU",2017,13649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand","NZL",2017,4793900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oman","OMN",2017,4636262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pakistan","PAK",2017,197015955,NA,NA,2015,24.3,2015,75.4,NA,NA,NA,NA,NA,NA,NA,NA,2015,12.2,2015,15.6,2015,20.5,2015,42.8,2015,28.9,2015,3.9,2015,8.9,2015,4,NA,NA,2015,33.5,2015,34.7,NA,NA,2015,7.7,NA,NA,2015,2.6,2015,4.94,2015,2.72,2015,4.25
"Panama","PAN",2017,4098587,NA,NA,2016,22.1,2016,14.6,NA,NA,NA,NA,NA,NA,NA,NA,2016,8,2016,12.9,2016,21,2016,54.8,2016,37.9,2016,1.1,2016,3.3,2016,2.2,NA,NA,2016,50.4,2016,7,NA,NA,2016,0.1,NA,NA,2016,6.98,2016,24.7,2016,4,2016,3.89
"Peru","PER",2017,32165485,2015,5.4,2016,20.7,2016,24.3,2014,13.7,2014,46,2014,3.3,2014,15.3,2016,9.7,2016,14.8,2016,22,2016,48.9,2016,32.7,2016,1.6,2016,4.6,2016,3.5,NA,NA,2016,43.8,2016,10,NA,NA,2016,1.1,NA,NA,2016,4.79,2016,13.41,2016,3.08,2016,2.18
"Philippines","PHL",2017,104918090,NA,NA,2015,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2.74,2015,7.33,2015,2.43,2015,1.38
"Palau","PLW",2017,21729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papua New Guinea","PNG",2017,8251162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poland","POL",2017,37975841,NA,NA,2016,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,12.46,2015,24.7,2015,2.52,2015,2.07
"Puerto Rico","PRI",2017,3337177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Dem. People’s Rep.","PRK",2017,25490965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portugal","PRT",2017,10293718,NA,NA,NA,NA,2015,3,NA,NA,NA,NA,NA,NA,NA,NA,2015,12,2015,16.3,2015,22.3,2015,42.7,2015,27.3,2015,2.4,2015,6.7,2015,0.5,NA,NA,2015,35.5,2015,1.2,NA,NA,2015,0.1,NA,NA,2015,12.55,2015,26.84,2015,-0.87,2015,-0.74
"Paraguay","PRY",2017,6811297,NA,NA,2017,26.4,2016,20.1,NA,NA,NA,NA,NA,NA,NA,NA,2016,8.6,2016,13.2,2016,20.6,2016,53.1,2016,37.3,2016,1.6,2016,4.5,2016,1.7,NA,NA,2016,47.9,2016,7,NA,NA,2016,0.1,NA,NA,2016,5.35,2016,16.3,2016,4.9,2016,1.65
"West Bank and Gaza","PSE",2017,4684777,NA,NA,2016,29.2,2016,23.6,NA,NA,NA,NA,NA,NA,NA,NA,2016,11.9,2016,16.6,2016,23.2,2016,41.1,2016,25.2,2016,2.9,2016,7.3,2016,1,NA,NA,2016,33.7,2016,5,NA,NA,2016,0,NA,NA,2016,5.03,2016,10.5,2016,-0.89,2016,-0.55
"French Polynesia","PYF",2017,283007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Qatar","QAT",2017,2639211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Romania","ROU",2017,19586539,NA,NA,2016,23.6,2015,25.7,NA,NA,NA,NA,NA,NA,NA,NA,2015,11.8,2015,17.7,2015,24.7,2015,40.7,2015,24.7,2015,1.7,2015,5.1,2015,5.7,NA,NA,2015,35.9,2015,13.2,NA,NA,2015,1.1,NA,NA,2015,4.26,2015,10.27,2015,0.06,2015,1.14
"Russian Federation","RUS",2017,144495044,2015,1.3,2017,13.2,2015,2.7,NA,NA,NA,NA,NA,NA,NA,NA,2015,11.1,2015,15.2,2015,21.5,2015,45.3,2015,29.7,2015,2.8,2015,6.9,2015,0,NA,NA,2015,37.7,2015,0.3,NA,NA,2015,0,NA,NA,2015,10.07,2015,22.36,2015,1.62,2015,0.48
"Rwanda","RWA",2017,12208407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saudi Arabia","SAU",2017,32938213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sudan","SDN",2017,40533330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senegal","SEN",2017,15850567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Singapore","SGP",2017,5612253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solomon Islands","SLB",2017,611343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sierra Leone","SLE",2017,7557212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Salvador","SLV",2017,6377853,NA,NA,2017,29.2,2016,30.7,NA,NA,2014,37.9,NA,NA,2014,28.5,2016,10.6,2016,15.2,2016,21.9,2016,46.4,2016,30.7,2016,2.3,2016,5.9,2016,2.2,NA,NA,2016,40,2016,10.3,NA,NA,2016,0.1,NA,NA,2016,4.22,2016,10.23,2016,4.08,2016,2.93
"San Marino","SMR",2017,33400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Somalia","SOM",2017,14742523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serbia","SRB",2017,7022268,NA,NA,2015,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,4.45,2015,11.72,2015,-1.7,2015,-0.88
"South Sudan","SSD",2017,12575714,NA,NA,2016,82.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Tome and Principe","STP",2017,204327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suriname","SUR",2017,563402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovak Republic","SVK",2017,5439892,NA,NA,NA,NA,2015,3,NA,NA,NA,NA,NA,NA,NA,NA,2015,14.6,2015,18.7,2015,23.2,2015,35,2015,20.9,2015,3.1,2015,8.5,2015,0.7,NA,NA,2015,26.5,2015,1,NA,NA,2015,0,NA,NA,2015,12.77,2015,22.25,2015,-0.62,2015,-0.61
"Slovenia","SVN",2017,2066748,NA,NA,2014,14.3,2015,0.2,NA,NA,NA,NA,NA,NA,NA,NA,2015,14.5,2015,18.2,2015,22.6,2015,35.1,2015,21,2015,3.9,2015,9.6,2015,0,NA,NA,2015,25.4,2015,0,NA,NA,2015,0,NA,NA,2015,20.31,2015,33.74,2015,-0.78,2015,-0.56
"Sweden","SWE",2017,10067744,NA,NA,NA,NA,2015,1,NA,NA,NA,NA,NA,NA,NA,NA,2015,13.9,2015,17.6,2015,22.8,2015,37.6,2015,22.9,2015,3,2015,8.2,2015,0.5,NA,NA,2015,29.2,2015,0.7,NA,NA,2015,0,NA,NA,2015,29.49,2015,53.85,2015,1.8,2015,2.4
"Sint Maarten (Dutch part)","SXM",2017,41109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seychelles","SYC",2017,95843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syrian Arab Republic","SYR",2017,18269868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turks and Caicos Islands","TCA",2017,35446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chad","TCD",2017,14899994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Togo","TGO",2017,7797694,2015,22.1,2015,55.1,2015,90.1,2015,29.2,2015,68.7,2015,12.4,2015,35.9,2015,9.5,2015,14.4,2015,22.4,2015,48.6,2015,31.6,2015,1.9,2015,5,2015,49.2,NA,NA,2015,43.1,2015,73.2,NA,NA,2015,3.6,NA,NA,2015,0.99,2015,2.71,2015,2.76,2015,0.82
"Thailand","THA",2017,69037513,NA,NA,2016,8.6,2015,7.1,NA,NA,NA,NA,NA,NA,NA,NA,2015,11.3,2015,15.5,2015,21.9,2015,43.8,2015,28.4,2015,3.2,2015,7.5,2015,0,NA,NA,2015,36,2015,0.5,NA,NA,2015,0,NA,NA,2015,7.24,2015,15.43,2015,5.03,2015,3.04
"Tajikistan","TJK",2017,8921343,NA,NA,2015,31.3,2015,54.2,NA,NA,2015,35.2,NA,NA,2015,23.2,2015,12,2015,16.4,2015,22.4,2015,41.7,2015,26.4,2015,3,2015,7.4,2015,4.8,NA,NA,2015,34,2015,20.3,NA,NA,2015,0.4,NA,NA,2015,3.08,2015,6.34,2015,2.3,2015,3.58
"Turkmenistan","TKM",2017,5758075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Timor-Leste","TLS",2017,1296311,2014,10.4,2014,41.8,2014,94,2014,12.2,2014,47.1,2014,5.9,2014,28.3,2014,13.4,2014,16.9,2014,21.8,2014,38.4,2014,24,2014,4,2014,9.4,2014,30.3,NA,NA,2014,28.7,2014,73.2,NA,NA,2014,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tonga","TON",2017,108020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trinidad and Tobago","TTO",2017,1369125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tunisia","TUN",2017,11532127,NA,NA,2015,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turkey","TUR",2017,80745020,NA,NA,2015,1.6,2016,9.9,NA,NA,NA,NA,NA,NA,NA,NA,2016,9.9,2016,14.5,2016,21.6,2016,48.3,2016,32.1,2016,2.2,2016,5.7,2016,0.2,NA,NA,2016,41.9,2016,1.8,NA,NA,2016,0.2,NA,NA,2016,7.3,2016,18.66,2016,2.53,2016,3.47
"Tuvalu","TUV",2017,11192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tanzania","TZA",2017,57310019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uganda","UGA",2017,42862958,NA,NA,2016,21.4,2016,87.7,NA,NA,NA,NA,NA,NA,NA,NA,2016,9.8,2016,13.8,2016,20.4,2016,49.8,2016,34.2,2016,2.5,2016,6.1,2016,41.6,NA,NA,2016,42.8,2016,69.8,NA,NA,2016,17.3,NA,NA,2016,1.28,2016,3.19,2016,-2.15,2016,-0.96
"Ukraine","UKR",2017,44831159,NA,NA,2017,2.4,2016,6.4,NA,NA,NA,NA,NA,NA,NA,NA,2016,14.4,2016,17.9,2016,22.4,2016,35.1,2016,21.2,2016,4.3,2016,10.1,2016,0.1,NA,NA,2016,25,2016,0.5,NA,NA,2016,0,NA,NA,2016,7.03,2016,11.5,2016,-0.85,2016,-0.69
"Uruguay","URY",2017,3456750,2015,1.6,2017,7.9,2016,3.7,2014,0.6,2014,3,2014,1.7,2014,10.1,2016,10.5,2016,15.4,2016,22.4,2016,45.9,2016,29.7,2016,2.2,2016,5.8,2016,0.1,NA,NA,2016,39.7,2016,0.5,NA,NA,2016,0,NA,NA,2016,10.64,2016,26.13,2016,3.18,2016,1.76
"United States","USA",2017,325719178,NA,NA,NA,NA,2016,2,NA,NA,NA,NA,NA,NA,NA,NA,2016,10.2,2016,15.3,2016,22.6,2016,46.9,2016,30.6,2016,1.7,2016,5,2016,1.2,NA,NA,2016,41.5,2016,1.5,NA,NA,2016,4,NA,NA,2016,26.36,2016,68.93,2016,1.31,2016,1.67
"Uzbekistan","UZB",2017,32387200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Vincent and the Grenadines","VCT",2017,109897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Venezuela, RB","VEN",2017,31977065,NA,NA,2015,33.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"British Virgin Islands","VGB",2017,31196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virgin Islands (U.S.)","VIR",2017,107268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vietnam","VNM",2017,95540800,NA,NA,2016,9.8,2016,28.7,NA,NA,2014,18.6,NA,NA,2014,3.8,2016,11.9,2016,16.3,2016,22.4,2016,42.5,2016,27.1,2016,2.6,2016,6.9,2016,2,NA,NA,2016,35.3,2016,8.2,NA,NA,2016,1.8,NA,NA,2016,4.46,2016,9.49,2016,5.17,2016,3.75
"Vanuatu","VUT",2017,276244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Samoa","WSM",2017,196440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen, Rep.","YEM",2017,28250420,NA,NA,2014,48.6,2014,81.6,NA,NA,NA,NA,NA,NA,NA,NA,2014,11.5,2014,15.3,2014,21.2,2014,44.7,2014,29.4,2014,3,2014,7.3,2014,18.8,NA,NA,2014,36.7,2014,52.2,NA,NA,2014,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","ZAF",2017,56717156,NA,NA,2014,55.5,2014,57.1,NA,NA,NA,NA,NA,NA,NA,NA,2014,4.8,2014,8.2,2014,16.5,2014,68.2,2014,50.5,2014,0.9,2014,2.4,2014,18.9,NA,NA,2014,63,2014,37.6,NA,NA,2014,10.4,NA,NA,2014,1.99,2014,11.11,2014,-1.34,2014,-1.23
"Zambia","ZMB",2017,17094130,NA,NA,2015,54.4,2015,87.2,NA,NA,NA,NA,NA,NA,NA,NA,2015,6,2015,10.6,2015,19.3,2015,61.3,2015,44.4,2015,1,2015,2.9,2015,57.5,NA,NA,2015,57.1,2015,74.3,NA,NA,2015,9.3,NA,NA,2015,0.66,2015,2.99,2015,-0.59,2015,2.93
"Zimbabwe","ZWE",2017,16529904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
