"country","countryiso3","total_population.40942_2014","total_population.40942_2015","total_population.40942_2016","total_population.40942_2017","%_poverty_gap_at_national.40916_2014","%_poverty_gap_at_national.40916_2015","%_poverty_headcount_ratio.40918_2014","%_poverty_headcount_ratio.40918_2015","%_poverty_headcount_ratio.40918_2016","%_poverty_headcount_ratio.40918_2017","%_rural_poverty_gap_at_na.40921_2014","%_rural_poverty_gap_at_na.40921_2015","% of rural population_rur.40923_2014","% of rural population_rur.40923_2015","%_urban_poverty_gap_at_na.40930_2014","%_urban_poverty_gap_at_na.40930_2015","% of urban population_urb.40932_2014","% of urban population_urb.40932_2015","second 20%_income_share_h.40899_2014","second 20%_income_share_h.40899_2015","second 20%_income_share_h.40899_2016","second 20%_income_share_h.40899_2017","third 20%_income_share_he.40900_2014","third 20%_income_share_he.40900_2015","third 20%_income_share_he.40900_2016","third 20%_income_share_he.40900_2017","fourth 20%_income_share_h.40901_2014","fourth 20%_income_share_h.40901_2015","fourth 20%_income_share_h.40901_2016","fourth 20%_income_share_h.40901_2017","highest 20%_income_share_.40902_2014","highest 20%_income_share_.40902_2015","highest 20%_income_share_.40902_2016","highest 20%_income_share_.40902_2017","highest 10%_income_share_.40903_2014","highest 10%_income_share_.40903_2015","highest 10%_income_share_.40903_2016","highest 10%_income_share_.40903_2017","lowest 10%_income_share_h.40904_2014","lowest 10%_income_share_h.40904_2015","lowest 10%_income_share_h.40904_2016","lowest 10%_income_share_h.40904_2017","lowest 20%_income_share_h.40905_2014","lowest 20%_income_share_h.40905_2015","lowest 20%_income_share_h.40905_2016","lowest 20%_income_share_h.40905_2017","ratio_poverty_headcount_r.40906_2014","ratio_poverty_headcount_r.40906_2015","ratio_poverty_headcount_r.40906_2016","ratio_poverty_headcount_r.40906_2017","%_poverty_gap_at_$1.90_a_.40909_2014","%_poverty_gap_at_$1.90_a_.40909_2015","%_poverty_gap_at_$1.90_a_.40909_2016","%_poverty_gap_at_$1.90_a_.40909_2017","world bank estimate_gini_.40910_2014","world bank estimate_gini_.40910_2015","world bank estimate_gini_.40910_2016","world bank estimate_gini_.40910_2017","% of population_poverty_h.40911_2014","% of population_poverty_h.40911_2015","% of population_poverty_h.40911_2016","% of population_poverty_h.40911_2017","%_poverty_gap_at_$3.20_a_.40912_2014","%_poverty_gap_at_$3.20_a_.40912_2015","%_poverty_gap_at_$3.20_a_.40912_2016","%_poverty_gap_at_$3.20_a_.40912_2017","millions_number_of_poor_a.40920_2014","millions_number_of_poor_a.40920_2015","millions_number_of_poor_a.40920_2016","millions_number_of_poor_a.40920_2017","%_poverty_headcount_ratio.40925_2014","%_poverty_headcount_ratio.40925_2015","%_poverty_headcount_ratio.40925_2016","%_poverty_headcount_ratio.40925_2017","%_poverty_gap_at_$5.50_a_.40926_2014","%_poverty_gap_at_$5.50_a_.40926_2015","%_poverty_gap_at_$5.50_a_.40926_2016","%_poverty_gap_at_$5.50_a_.40926_2017","mean_survey_mean_consumpt.40934_2014","mean_survey_mean_consumpt.40934_2015","mean_survey_mean_consumpt.40934_2016","mean_survey_mean_consumpt.40934_2017","%_annualized_average_grow.40935_2014","%_annualized_average_grow.40935_2015","%_annualized_average_grow.40935_2016","%_annualized_average_grow.40935_2017","mean_survey_mean_consumpt.40936_2014","mean_survey_mean_consumpt.40936_2015","mean_survey_mean_consumpt.40936_2016","mean_survey_mean_consumpt.40936_2017","%_annualized_average_grow.40937_2014","%_annualized_average_grow.40937_2015","%_annualized_average_grow.40937_2016","%_annualized_average_grow.40937_2017"
"Aruba","ABW",103795,104341,104822,105264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","AFG",32758020,33736494,34656032,35530081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","AGO",26920466,27859305,28813463,29784193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","ALB",2889104,2880703,2876101,2873457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra","AND",79223,78014,77281,76965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Arab Emirates","ARE",9070867,9154302,9269612,9400145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","ARG",42981515,43417765,43847430,44271041,NA,NA,NA,NA,30.3,25.7,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,9.6,NA,15.2,NA,15,NA,23.4,NA,22.7,NA,46.6,NA,47.6,NA,29.5,NA,30.9,NA,1.8,NA,1.8,NA,5.1,NA,5,NA,0.7,NA,0.6,NA,0.3,NA,0.3,NA,41.4,NA,42.4,NA,2.8,NA,2.4,NA,0.8,NA,0.7,NA,0.3,NA,0.2,NA,9.1,NA,7.8,NA,2.9,NA,2.4,NA,NA,NA,8.51,NA,NA,NA,0.15,NA,NA,NA,23.26,NA,NA,NA,0,NA
"Armenia","ARM",2906220,2916950,2924816,2930450,4.5,NA,30,29.8,29.4,NA,4.5,NA,29.9,NA,4.5,NA,30,NA,12.7,12.6,12.1,NA,16.9,16.7,17,NA,22,21.8,22.8,NA,40.1,40.7,40.2,NA,25.7,26.7,25.3,NA,3.5,3.4,3.3,NA,8.4,8.2,7.9,NA,2.3,1.9,1.8,NA,0.4,0.4,0.3,NA,31.5,32.4,32.5,NA,16.4,13.5,14.1,NA,3.5,3,2.9,NA,0.1,0.1,0.1,NA,52.3,48.3,43.5,NA,16.7,14.8,14.2,NA,NA,NA,3.53,NA,NA,NA,2.25,NA,NA,NA,7.08,NA,NA,NA,4.58,NA
"American Samoa","ASM",55437,55537,55599,55641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG",98875,99923,100963,102012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","AUS",23504138,23850784,24210809,24598933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","AUT",8546356,8642699,8736668,8809212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,13.2,NA,NA,17.5,17.6,NA,NA,22.7,22.9,NA,NA,38.6,38.4,NA,NA,24,23.8,NA,NA,3.1,3,NA,NA,8,7.9,NA,NA,0.2,0.7,NA,NA,0.1,0.5,NA,NA,30.5,30.5,NA,NA,0.2,0.7,NA,NA,0.2,0.6,NA,NA,0,0.1,NA,NA,0.7,0.9,NA,NA,0.3,0.7,NA,NA,NA,29.07,NA,NA,NA,-0.47,NA,NA,NA,55.26,NA,NA,NA,-0.28,NA,NA
"Azerbaijan","AZE",9535079,9649341,9757812,9862429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burundi","BDI",9891790,10199270,10524117,10864245,25.1,NA,64.9,NA,NA,NA,26.9,NA,68.8,NA,9.2,NA,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","BEL",11209057,11274196,11331422,11372068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,14,NA,NA,17.8,18.1,NA,NA,22.8,22.7,NA,NA,36.9,36.5,NA,NA,22.4,22.2,NA,NA,3.4,3.4,NA,NA,8.6,8.6,NA,NA,0,0,NA,NA,0,0,NA,NA,28.1,27.7,NA,NA,0.2,0.2,NA,NA,0,0.1,NA,NA,0,0,NA,NA,0.2,0.2,NA,NA,0.1,0.1,NA,NA,NA,27.5,NA,NA,NA,0.57,NA,NA,NA,48.89,NA,NA,NA,0.48,NA,NA
"Benin","BEN",10286712,10575952,10872298,11175692,NA,NA,NA,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,NA,NA,NA,14.2,NA,NA,NA,20.8,NA,NA,NA,52.1,NA,NA,NA,37.6,NA,NA,NA,1,NA,NA,NA,3.2,NA,NA,NA,49.6,NA,NA,NA,22.4,NA,NA,NA,47.8,NA,NA,NA,76.2,NA,NA,NA,39.5,NA,NA,NA,5.2,NA,NA,NA,90.6,NA,NA,NA,59.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burkina Faso","BFA",17585977,18110624,18646433,19193382,9.7,NA,40.1,NA,NA,NA,11.6,NA,47.5,NA,2.9,NA,13.7,NA,11.7,NA,NA,NA,15,NA,NA,NA,20.6,NA,NA,NA,44.3,NA,NA,NA,29.6,NA,NA,NA,3.6,NA,NA,NA,8.3,NA,NA,NA,43.7,NA,NA,NA,11.1,NA,NA,NA,35.3,NA,NA,NA,76.4,NA,NA,NA,32.2,NA,NA,NA,7.7,NA,NA,NA,92.3,NA,NA,NA,54.9,NA,NA,NA,1.38,NA,NA,NA,5.84,NA,NA,NA,2.76,NA,NA,NA,2.93,NA,NA,NA
"Bangladesh","BGD",159405279,161200886,162951560,164669751,NA,NA,NA,NA,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,NA,NA,NA,16.1,NA,NA,NA,21.4,NA,NA,NA,41.4,NA,NA,NA,26.8,NA,NA,NA,3.7,NA,NA,NA,8.6,NA,NA,NA,14.8,NA,NA,NA,2.7,NA,NA,NA,32.4,NA,NA,NA,52.9,NA,NA,NA,15.6,NA,NA,NA,24.1,NA,NA,NA,84.5,NA,NA,NA,39.2,NA,NA,NA,2.03,NA,NA,NA,1.35,NA,NA,NA,3.86,NA,NA,NA,1.54,NA
"Bulgaria","BGR",7223938,7177991,7127822,7075991,NA,NA,22,22.9,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,16.2,NA,NA,NA,22.1,NA,NA,NA,43.9,NA,NA,NA,28.8,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,1.5,NA,NA,NA,0.5,NA,NA,NA,37.4,NA,NA,NA,3.7,NA,NA,NA,1.4,NA,NA,NA,0.1,NA,NA,NA,8.7,NA,NA,NA,3.4,NA,NA,NA,8.32,NA,NA,NA,0.43,NA,NA,NA,18.72,NA,NA,NA,2.11,NA,NA,NA
"Bahrain","BHR",1336397,1371855,1425171,1492584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The","BHS",382169,386838,391232,395361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bosnia and Herzegovina","BIH",3566002,3535961,3516816,3507017,NA,NA,NA,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,NA,NA,NA,16.6,NA,NA,NA,22.8,NA,NA,NA,40.5,NA,NA,NA,25.1,NA,NA,NA,3,NA,NA,NA,7.7,NA,NA,NA,0.2,NA,NA,NA,0.1,NA,NA,NA,32.7,NA,NA,NA,0.8,NA,NA,NA,0.2,NA,NA,NA,0,NA,NA,NA,3.8,NA,NA,NA,0.9,NA,NA,NA,9.34,NA,NA,NA,-0.45,NA,NA,NA,18.65,NA,NA,NA,-0.79,NA,NA
"Belarus","BLR",9474511,9489616,9501534,9507875,NA,NA,4.8,5.1,5.7,NA,NA,NA,7.9,8.7,NA,NA,3.7,3.7,14,14,14.1,NA,17.7,17.7,17.5,NA,22.4,22.4,21.9,NA,36.7,36.4,36.9,NA,22.6,22.2,22.9,NA,3.9,4,4.1,NA,9.3,9.5,9.6,NA,0,0,0,NA,0,0,0,NA,27.2,26.7,27,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0.4,0.7,0.7,NA,0.1,0.1,0.1,NA,NA,NA,11.47,NA,NA,NA,4.06,NA,NA,NA,19.37,NA,NA,NA,3.46,NA
"Belize","BLZ",351694,359288,366954,374681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bermuda","BMU",65139,65239,65341,65441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia","BOL",10562159,10724705,10887882,11051600,16.9,16.8,39.1,38.6,39.5,NA,30.5,NA,57.6,NA,10.5,NA,30.6,NA,8.8,9,9.5,NA,13.8,14.2,14.9,NA,21.3,21.8,22.8,NA,52.3,51.1,49,NA,36,34.8,32.1,NA,1.1,1.1,1.1,NA,3.8,3.9,3.9,NA,5.8,6.4,7.1,NA,2.6,2.8,3,NA,47.8,46.7,44.6,NA,12.3,11.7,12.6,NA,5.2,5.3,5.7,NA,0.6,0.7,0.8,NA,24.9,25.6,25,NA,10.6,10.7,11.2,NA,NA,NA,4.42,NA,NA,NA,1.67,NA,NA,NA,13.24,NA,NA,NA,1.06,NA
"Brazil","BRA",204213133,205962108,207652865,209288278,NA,NA,7.4,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,7.9,NA,NA,12.5,12.7,NA,NA,19.7,19.7,NA,NA,56.3,56.1,NA,NA,40.6,40.4,NA,NA,1.2,1.2,NA,NA,3.7,3.6,NA,NA,2.8,3.4,NA,NA,1,1.2,NA,NA,51.5,51.3,NA,NA,6.9,8,NA,NA,2.5,2.9,NA,NA,5.6,6.9,NA,NA,17.9,19.4,NA,NA,6.5,7.3,NA,NA,NA,5.54,NA,NA,NA,3.8,NA,NA,NA,19.25,NA,NA,NA,2.19,NA,NA
"Barbados","BRB",283385,284217,284996,285719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brunei Darussalam","BRN",411704,417542,423196,428697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan","BTN",776448,787386,797765,807610,NA,NA,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,NA,NA,NA,15.5,NA,NA,NA,22.7,NA,NA,NA,44.4,NA,NA,NA,27.9,NA,NA,NA,2.7,NA,NA,NA,6.7,NA,NA,NA,1.5,NA,NA,NA,0.2,NA,NA,NA,37.4,NA,NA,NA,12,NA,NA,NA,2.5,NA,NA,NA,0,NA,NA,NA,38.6,NA,NA,NA,12.1,NA,NA,NA,3.83,NA,NA,NA,1.63,NA,NA,NA,8.78,NA,NA,NA,1.67
"Botswana","BWA",2168573,2209197,2250260,2291661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic","CAF",4515392,4546100,4594621,4659080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada","CAN",35535348,35832513,36264604,36708083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland","CHE",8188649,8282396,8373338,8466017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,12.5,NA,NA,16.6,16.8,NA,NA,22.5,22.6,NA,NA,40.5,40.2,NA,NA,25.5,25.2,NA,NA,3.2,3.2,NA,NA,7.8,7.8,NA,NA,0,0,NA,NA,0,0,NA,NA,32.5,32.3,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,33.59,NA,NA,NA,0.98,NA,NA,NA,66.35,NA,NA,NA,0.84,NA,NA
"Channel Islands","CHI",162969,163758,164541,165314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile","CHL",17613798,17762681,17909754,18054726,NA,NA,NA,11.7,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,13,NA,NA,NA,19.7,NA,NA,NA,53.6,NA,NA,NA,38,NA,NA,NA,1.7,NA,NA,NA,4.8,NA,NA,NA,1.3,NA,NA,NA,0.8,NA,NA,NA,47.7,NA,NA,NA,3.1,NA,NA,NA,1.3,NA,NA,NA,0.2,NA,NA,NA,10.1,NA,NA,NA,3.3,NA,NA,NA,7.37,NA,NA,NA,5.97,NA,NA,NA,21.63,NA,NA,NA,5.49,NA,NA
"China","CHN",1364270000,1371220000,1378665000,1386395000,NA,NA,7.2,5.7,4.5,3.1,NA,NA,7.2,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,1.4,0.7,NA,NA,0.3,0.2,NA,NA,NA,NA,NA,NA,9.5,7,NA,NA,2.1,1.4,NA,NA,18.5,10,NA,NA,31.5,27.2,NA,NA,9.7,7.8,NA,NA,NA,4.65,NA,NA,NA,9.11,NA,NA,NA,10.9,NA,NA,NA,7.37,NA,NA
"Cote d'Ivoire","CIV",22531350,23108472,23695919,24294750,NA,16.3,NA,46.3,NA,NA,NA,21.5,NA,56.8,NA,11.2,NA,35.9,NA,10.2,NA,NA,NA,14.6,NA,NA,NA,21.6,NA,NA,NA,47.8,NA,NA,NA,31.9,NA,NA,NA,2.1,NA,NA,NA,5.7,NA,NA,NA,28.2,NA,NA,NA,9.1,NA,NA,NA,41.5,NA,NA,NA,57.4,NA,NA,NA,23.3,NA,NA,NA,6.5,NA,NA,NA,82.2,NA,NA,NA,43.6,NA,NA,NA,1.53,NA,NA,NA,0.74,NA,NA,NA,3.84,NA,NA,NA,-0.22,NA,NA
"Cameroon","CMR",22239904,22834522,23439189,24053727,14.4,NA,37.5,NA,NA,NA,22.9,NA,56.8,NA,1.8,NA,8.9,NA,8.5,NA,NA,NA,13.7,NA,NA,NA,21.6,NA,NA,NA,51.7,NA,NA,NA,35,NA,NA,NA,1.7,NA,NA,NA,4.5,NA,NA,NA,23.8,NA,NA,NA,7.6,NA,NA,NA,46.6,NA,NA,NA,44.8,NA,NA,NA,18.7,NA,NA,NA,5.3,NA,NA,NA,69,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
