"country","countryiso3","Q1.1.1a","Q1.1.1b","Q1.1.1c","Q1.1.2a","Q1.1.2b","Q1.2.1a","Q1.2.1b","Q1.2.1c","Q1.2.2a","Q1.2.2b","Q1.2.2c","Q1.2.3a","Q1.2.4a","Q1.2.4b","Q1.2.5a","Q1.3.1a","Q1.3.1b","Q1.3.1c","Q1.3.1d","Q1.3.1e","Q1.3.2a","Q1.3.3a","Q1.3.4a","Q1.3.5a","Q1.4.1a","Q1.4.1b","Q1.4.2a","Q1.5.1a","Q1.5.1b","Q1.5.1c","Q1.5.2a","Q1.6.1a","Q1.6.1b","Q2.1.1a","Q2.1.1b","Q2.1.2a","Q2.1.2b","Q2.1.3a","Q2.1.3b","Q2.2.1a","Q2.2.1b","Q2.2.2a","Q2.2.2b","Q2.2.2c","Q2.2.3a","Q2.2.4a","Q2.2.4b","Q2.2.5a","Q2.2.5b","Q2.2.5c","Q2.3.1a","Q2.3.1b","Q2.3.2a","Q2.4.1a","Q3.1.1a","Q3.1.1b","Q3.1.1c","Q3.1.1d","Q3.1.2a","Q3.2.1a","Q3.2.1b","Q3.3.1a","Q3.3.1b","Q3.3.1c","Q3.4.1a","Q3.5.1a","Q3.5.2a","Q3.5.2b","Q3.6.1a","Q3.6.2a","Q3.6.3a","Q3.6.4a","Q3.7.1a","Q3.7.1b","Q3.7.2a","Q3.7.2b","Q4.1.1a","Q4.1.1b","Q4.1.1c","Q4.1.2a","Q4.1.2b","Q4.2.1a","Q4.2.2a","Q4.2.3a","Q4.3.1a","Q4.3.1b","Q4.3.1c","Q4.3.2a","Q4.4.1a","Q4.4.1b","Q4.5.1a","Q4.5.2a","Q4.6.1a","Q4.6.1b","Q4.6.2a","Q4.6.2b","Q5.1.1a","Q5.1.2a","Q5.2.1a","Q5.2.1b","Q5.3.1a","Q5.3.1b","Q5.3.1c","Q5.3.1d","Q5.3.2a","Q5.4.1a","Q5.4.1b","Q5.4.2a","Q5.4.2b","Q5.5.1a","Q5.5.1b","Q5.5.2a","Q5.5.3a","Q5.5.3b","Q5.6.1a","Q5.6.1b","Q5.6.1c","Q6.1.1a","Q6.1.2a","Q6.1.3a","Q6.1.4a","Q6.1.5a","Q6.1.6a","Q6.1.7a","Q6.2.1a","Q6.2.2a","Q6.2.3a","Q6.2.4a","Q6.2.5a","Q6.3.1a","Q6.3.2a","Q6.3.3a","Q6.4.1a","Q6.4.2a","Q6.4.3a","Q6.5.1a","Q6.5.1b","Q6.5.2a","Q6.5.2b","Q6.5.3a"
"Bolivia","BOL",0,1,0,1,1,1,1,0,1,0,1,1,75,47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,83,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,39.7,99.2,8,10,1,1,1,1,47.3,100.6,0,110,0,1,0,0,1,89.8,139.1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,2,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,3,3,2,3,92.5,0.5495,3,1,2,1,2,2,69.1,-3.47,2,69.13,48.8,92.9,52.6,326
"Bosnia and Herzegovina","BIH",0,1,0,1,1,1,1,0,1,0,1,0,20,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,69,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,69.5,98.1,1,0,1,1,1,1,188.6,588.5,0,350,0,0,0,0,1,99.9,322.2,0,1,0,0,1,1,0,1,1,1,0,1,0,2,1,1,3,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,2,3,2,1,97,0.8341,0.1,0,1,1,1,3,47.9,0,1,76.91,72.2,97.7,94.8,795
"Botswana","BWA",0,0,0,1,0,1,0,0,1,0,0,0,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1,2,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39.4,130,0,18,1,1,1,1,38.4,272.7,0,180,0,0,0,0,0,99.7,48.9,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,2,3,3,4,4,2,3,87.7,0.5655,5.8,1,2,3,3,1,68.7,-1.92,4,66.8,51.5,79.2,60,521
"Brazil","BRA",2,2,0,1,1,1,1,0,1,1,1,1,57,4,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,97,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,60.9,113,0,0,1,1,1,1,185.2,744.4,1,220,1,1,0,0,1,99.1,774.3,0,0,0,0,1,1,1,1,1,1,0,0,1,2,1,1,3,0,0,0,1,0,0,0,0,0,1,0,1,1,2,1,2,4,4,2,3,92,0.5933,1.2,0,2,1,2,1,86.3,-1.5,4,75.51,63.8,97.5,86.1,591
"Brunei","BRN",0,0,0,1,0,1,0,0,0,0,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90,127.1,3,4,1,1,1,1,174.6,651.2,0,270,1,0,0,0,0,100,91.9,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,3,4,2,3,96.1,0.7644,0.2,1,0,3,3,3,77.3,-1.37,4,77.2,76.4,99.5,96.3,1720
"Bulgaria","BGR",0,1,0,0,0,1,1,0,0,0,1,0,69,12,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,94,1,2,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.4,120.4,0,3,1,1,1,1,399.9,531.8,0,680,1,1,0,0,1,99.8,756.7,0,0,0,0,1,1,0,1,1,1,1,1,1,2,1,1,4,1,0,0,0,0,0,0,0,0,1,0,1,1,2,3,3,3,4,2,2,98.4,0.7826,0.5,1,2,2,2,3,74.7,1.61,3,74.61,77.2,99.3,86,798
"Burkina Faso","BFA",0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,14,93.5,8,2,1,1,1,1,4.7,63,0,40,0,0,0,0,0,79.8,36.3,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,2,2,2,34.6,0.3897,11.1,1,2,1,2,1,28.7,-2.19,4,60.36,30.1,53.9,22.5,46
"Burundi","BDI",0,1,0,1,0,0,0,0,1,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.2,54.5,11,8,1,1,1,1,2.6,17.6,0,80,0,0,0,0,0,85.1,15.3,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,2,0,0,61.6,0.5293,30.3,1,0,1,1,0,12.7,3.32,1,57.48,27.4,55.9,50.5,15
"Cabo Verde","CPV",0,0,0,1,0,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,57.2,112.1,8,8,1,1,1,1,78.8,125.6,0,210,0,0,0,0,1,91.4,90.4,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,3,3,2,4,4,2,4,86.8,0.5239,1.8,1,2,2,4,2,65.3,1.73,4,72.8,54.8,86.5,65.2,197
"Cambodia","KHM",2,1,0,0,0,1,0,0,1,0,1,0,9,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,2,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,34,116,12,16,1,1,1,1,14.3,95.1,1,80,0,0,0,0,0,89,133.9,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,3,4,2,1,80.5,0.5271,4.4,1,0,1,1,1,23,-7.22,0,68.98,39.4,75,48.8,50
"Cameroon","CMR",1,1,0,1,0,1,0,1,1,0,1,0,1,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77,1,2,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,23.2,81.9,0,3,1,1,1,1,8.3,52,0,130,1,1,0,0,0,64.7,117.7,0,0,0,0,0,1,0,1,0,1,1,1,0,2,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,2,0,1,71.3,0.4312,7.6,1,1,1,2,0,55.8,-4.65,3,58.07,31.9,65.3,38.8,23
"Canada","CAN",2,1,0,1,1,1,0,0,1,1,1,0,43,41,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,89,1,2,1,1,1,1,1,2,1,0,0,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,0,0,0,1,0,0,1,1,1,0,91.2,85.9,7,4,1,1,1,1,253.9,984.2,0,270,1,1,1,1,1,97.9,689.7,0,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,4,1,0,0,1,0,0,0,0,1,1,1,1,1,4,4,4,3,4,2,3,99.9,0.9079,0.2,2,2,4,3,3,81.4,-0.05,4,82.3,93.8,98.9,98.5,3465
"Central African Republic","CAF",0,1,0,0,0,1,0,0,0,0,0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,1,0,4,27.2,7,5,1,1,1,1,4.7,25.2,0,100,0,0,0,0,0,40,12.9,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,36.8,0.3266,33.1,0,1,0,2,0,41,-0.25,3,52.17,18.6,54.1,25.1,4
"Chad","TCD",0,1,0,1,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,5,38.6,23,5,1,1,1,1,4.4,30.9,0,40,0,0,0,0,0,20.2,58.1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,2,0,2,22.3,0.2917,15.3,0,0,1,1,0,22.9,-1.01,3,52.9,25.4,42.5,9.5,18
"Chile","CHL",2,2,0,1,1,1,0,0,1,0,1,0,9,3,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,93,1,2,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,2,1,0,1,0,0,0,1,0,0,1,1,1,0,82.3,127.5,0,1,0,1,1,1,103.3,14.5,0,220,0,0,0,0,1,99.7,696.1,0,1,0,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,3,4,2,3,4,2,3,96.9,0.6807,0.8,1,2,2,4,3,87.5,2.63,2,79.52,77.9,100,99.9,1171
"China","CHN",2,2,0,1,1,1,1,0,1,0,1,0,NA,NA,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,99,0,2,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,1,54.3,104.6,0,0,0,1,1,1,181.2,234.2,0,420,1,1,0,0,0,99.9,273.4,0,0,0,1,1,1,0,1,1,1,0,1,1,2,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,3,3,2,1,95.1,0.8476,0.2,2,0,3,3,3,58,1.63,3,76.25,77.9,95.8,75,442
"Colombia","COL",1,1,0,1,1,1,1,0,1,0,0,1,31,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,62.3,126.8,2,11,1,1,1,1,182.1,108,0,150,0,1,0,0,1,99.2,167.3,0,0,0,0,1,1,0,1,1,1,0,1,1,2,1,1,2,1,0,0,1,1,0,0,0,0,1,0,1,1,2,3,2,2,2,0,3,94.7,0.6166,1.8,1,1,1,2,3,80.4,-1.27,1,74.38,68.5,96.5,84.4,526
"Comoros","COM",0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,7.9,54.9,15,16,1,1,1,1,19,97.4,0,220,0,0,0,0,0,82.2,84.7,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,2,0,4,3,2,3,49.2,0.3976,6.3,1,1,0,1,0,28.8,-2.58,0,63.7,33,83.7,34.2,17
"Congo (Brazzaville)","COG",0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.1,96.1,6,2,1,1,1,1,9.5,82.4,0,160,0,0,0,0,0,91.2,130.9,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,3,3,0,2,79.3,0.4216,14.9,1,1,1,3,1,66.5,-0.41,2,64.63,34.1,68.3,15,111
"Congo (Democratic Republic)","COD",0,1,0,0,0,1,1,0,0,0,1,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,6.2,43.4,19,11,1,1,1,1,9.1,96.1,1,80,0,0,0,0,0,80.1,12.9,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,0,0,77,0.3481,39.2,0,1,0,0,0,43.9,-1.37,3,59.62,29.6,41.8,19.7,4
"Cook Islands","COK",0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,42.9,3,4,1,1,1,1,119.1,575.7,1,318,0,0,0,0,0,100,43.2,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,4,2,4,83.3,0.6015,0.2,1,1,0,0,2,75.1,0,1,76.2,85.32,99.9,97.6,1007
"Costa Rica","CRI",2,1,0,1,1,1,1,0,1,0,1,0,27,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,96,1,2,1,1,0,1,1,0,0,1,0,0,1,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,71.6,130,1,3,1,1,1,1,115,79.6,0,120,0,0,0,0,1,90,276.5,0,0,0,0,1,1,0,1,0,1,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,3,4,2,4,4,2,3,97.4,0.7004,0.5,2,2,1,3,2,78.6,5.33,4,79.83,73.7,99.7,97.1,933
"Côte d'Ivoire","CIV",0,1,0,0,0,1,1,0,0,0,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,43.8,130,6,15,1,1,1,1,14.4,48.3,0,40,0,1,0,0,1,73.6,65.3,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,3,2,3,43.9,0.3366,9.1,1,1,1,2,2,50.3,-0.01,3,53.58,27.3,73.1,29.9,42
"Croatia","HRV",2,1,0,1,1,1,1,1,1,0,1,1,52,14,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,89,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,67.1,103,10,7,1,1,1,1,312.6,651.2,1,560,1,1,0,1,1,99.9,262,0,0,0,0,1,1,0,1,0,1,0,1,1,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,2,2,99.1,0.8762,0.3,0,1,3,3,3,56.7,0.29,2,78.02,86.9,99.6,97.5,1334
"Cuba","CUB",0,1,0,0,0,0,0,0,1,0,1,1,44,68,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,99,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,43,40.2,4,6,1,1,1,1,751.9,797.6,0,520,0,0,0,0,1,99.9,253.3,0,1,1,0,0,1,0,1,0,1,1,1,0,2,1,1,3,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,2,4,4,2,2,99.8,0.6989,1,2,0,2,1,1,77,5.5,2,79.74,75.5,95.2,90.8,2202
"Cyprus","CYP",2,1,0,0,0,1,1,0,1,1,1,1,23,11,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,90,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,80.7,130,7,5,1,1,1,1,249.6,411.7,1,340,0,1,0,0,0,97.4,1020.1,0,0,0,0,0,1,0,1,0,1,0,1,1,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,4,0,2,98.7,0.9146,0,2,1,3,3,2,66.8,-0.02,4,80.51,90.3,100,99.4,958
"Czech Republic","CZE",2,1,0,1,0,1,1,0,1,0,1,1,75,36,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,97,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,78.7,119,2,4,1,1,1,1,367.7,841.7,0,650,0,1,0,0,1,99.8,373.3,0,0,0,0,1,1,0,1,1,1,0,1,1,2,1,1,3,1,0,0,0,0,0,0,1,0,1,0,1,1,3,3,3,4,4,2,2,99.9,0.8759,0,1,2,3,3,3,73.7,0.27,3,78.33,89,99.9,99.1,2034
"Denmark","DNK",2,2,0,1,1,1,1,1,1,0,1,1,38,NA,0,1,1,1,0,1,1,2,1,1,1,1,1,0,0,0,0,97,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,97.1,121.7,1,4,0,0,1,1,365.5,1701.4,1,250,1,1,0,0,1,94.4,698.4,0,1,1,0,1,1,1,1,1,1,0,1,1,2,1,1,4,1,0,0,0,0,0,0,1,1,1,0,1,1,4,4,3,2,4,2,3,99.9,0.9601,0.1,2,2,3,3,3,87.8,1.42,4,80.7,92.1,100,99.6,4284
"Djibouti","DJI",0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55.7,39,5,6,1,1,1,1,22.9,55.7,0,140,0,0,0,0,0,87.4,31.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,2,2,2,0,2,52.5,0.3976,7.5,1,1,2,4,2,77.6,0,2,62.47,35,76.9,51.4,56
"Dominica","DMA",0,0,0,1,0,0,0,0,1,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,106.7,4,6,0,1,1,1,178,628.8,0,380,0,0,0,0,0,96,169.2,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,3,2,4,4,2,3,94.2,0.6543,1,1,1,2,1,2,70.2,-3.55,0,77.4,61.9,96.5,77.9,373
"Dominican Republic","DOM",0,1,0,0,0,1,1,0,1,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,86,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,63.9,81.4,4,3,1,1,1,1,149.4,133.4,0,160,0,0,0,0,1,99.6,418,0,0,0,0,0,1,0,1,0,1,0,0,1,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,3,4,4,2,2,93.8,0.5493,0.4,1,2,2,3,1,80.3,6.86,1,73.86,61.2,94.5,82.7,428
"Ecuador","ECU",0,2,0,1,1,0,0,0,1,0,1,1,16,16,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,81,1,2,1,1,0,1,1,2,0,1,0,1,1,1,1,1,1,1,1,0,0,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,57.3,83.5,8,12,1,1,1,1,166.5,208.4,0,150,1,0,1,0,1,96.7,381.7,0,0,0,0,1,1,0,1,0,1,0,1,0,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,2,3,3,2,2,94.4,0.6151,1.2,1,1,2,3,3,63.7,-3.17,1,76.33,62.2,92.6,86.1,483
"Egypt","EGY",1,1,0,1,1,1,1,0,0,0,0,1,66,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,94,1,2,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,45,105.5,14,10,0,1,1,1,81.4,143.4,0,160,0,0,0,0,1,91.5,320.1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,2,2,3,2,3,75.1,0.5512,0.2,1,0,2,3,3,42.7,0.01,2,71.48,58,98.4,93.2,151
"El Salvador","SLV",0,1,0,0,0,1,0,0,1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,2,1,0,0,0,0,0,1,0,0,0,1,1,0,29,130,10,13,1,1,1,1,159.6,40.5,1,130,0,0,0,0,0,99.9,162.8,0,0,0,0,1,1,0,1,0,1,1,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,1,4,4,0,3,88.5,0.6077,0.5,0,1,1,2,2,71.3,-2.12,1,73.51,63.2,93,91.1,387
"Equatorial Guinea","GNQ",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,47.1,8,8,1,1,1,1,25.2,44.7,0,210,0,0,0,0,0,68.3,610.9,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,3,3,2,2,95,0.5239,3.5,0,0,2,2,2,71.6,-4.16,3,57.68,49.3,49.6,74.5,197
"Eritrea","ERI",0,0,0,0,0,0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,10.2,8,8,1,1,1,1,5.3,61.6,0,70,0,1,0,0,0,34.1,32.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,3,2,1,2,1,64.7,0.3976,18.9,0,0,1,1,1,35.8,-0.44,3,65.09,27.6,47,11.3,16
"Estonia","EST",0,2,0,1,0,1,0,0,0,0,1,1,82,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,93,1,2,1,1,0,1,1,0,0,1,1,1,1,1,1,2,1,1,1,1,0,1,2,1,1,0,0,0,0,1,0,0,0,1,1,0,88.1,130,1,7,1,1,1,1,343,636.7,0,500,1,1,0,0,1,99.4,450.9,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,1,3,1,0,0,0,0,0,0,1,0,1,0,1,1,4,3,2,3,4,2,1,99.9,0.8785,0.4,2,2,3,3,3,68.7,-1.7,3,77.74,85.9,99.6,99.6,1499
"eSwatini (Swaziland)","SWZ",2,1,0,1,1,0,0,0,1,0,0,0,3,72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,89,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,26.9,74.1,3,11,0,1,1,1,14.7,138.6,0,210,0,0,0,0,0,88.3,65.7,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,4,3,2,2,83.1,0.431,16.6,0,1,2,2,2,23.6,2.63,2,57.75,40.5,67.6,58,460
"Ethiopia","ETH",2,1,0,1,0,1,1,0,0,0,0,0,1,10,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,92,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,1,15.4,59.7,20,5,1,1,1,1,2.2,23.6,1,30,1,1,0,0,0,27.7,26,0,0,0,0,0,1,1,1,1,1,1,1,0,2,0,1,2,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,2,2,0,2,29.8,0.4979,7.7,1,0,1,2,2,20.3,-0.32,1,65.48,28.1,39.1,7.1,19
