"country","countryiso3","score","category"
"Vietnam","VNM",49.1,"more_prepared"
"China","CHN",48.2,"more_prepared"
"Slovakia","SVK",47.9,"more_prepared"
"Philippines","PHL",47.6,"more_prepared"
"Israel","ISR",47.3,"more_prepared"
"Kenya","KEN",47.1,"more_prepared"
"United Arab Emirates","ARE",46.7,"more_prepared"
"India","IND",46.5,"more_prepared"
"Iceland","ISL",46.3,"more_prepared"
"Kuwait","KWT",46.1,"more_prepared"
"Romania","ROU",45.8,"more_prepared"
"Bulgaria","BGR",45.6,"more_prepared"
"Costa Rica","CRI",45.1,"more_prepared"
"Russia","RUS",44.3,"more_prepared"
"Uganda","UGA",44.3,"more_prepared"
"Colombia","COL",44.2,"more_prepared"
"El Salvador","SLV",44.2,"more_prepared"
"Luxembourg","LUX",43.8,"more_prepared"
"Montenegro","MNE",43.7,"more_prepared"
"Morocco","MAR",43.7,"more_prepared"
"Panama","PAN",43.7,"more_prepared"
"Liechtenstein","LIE",43.5,"more_prepared"
"Myanmar","MMR",43.4,"more_prepared"
"Laos","LAO",43.1,"more_prepared"
"Lebanon","LBN",43.1,"more_prepared"
"Nicaragua","NIC",43.1,"more_prepared"
"Oman","OMN",43.1,"more_prepared"
"Cyprus","CYP",43,"more_prepared"
"Moldova","MDA",42.9,"more_prepared"
"Bosnia and Herzegovina","BIH",42.8,"more_prepared"
"Jordan","JOR",42.1,"more_prepared"
"Uruguay","URY",41.3,"more_prepared"
"Qatar","QAT",41.2,"more_prepared"
"Kazakhstan","KAZ",40.7,"more_prepared"
"Ethiopia","ETH",40.6,"more_prepared"
"Bhutan","BTN",40.3,"more_prepared"
"Madagascar","MDG",40.1,"more_prepared"
"Egypt","EGY",39.9,"more_prepared"
"Bahrain","BHR",39.4,"more_prepared"
"Cambodia","KHM",39.2,"more_prepared"
"North Macedonia","MKD",39.1,"more_prepared"
"Dominican Republic","DOM",38.3,"more_prepared"
"Sierra Leone","SLE",38.2,"more_prepared"
"Zimbabwe","ZWE",38.2,"more_prepared"
"Ukraine","UKR",38,"more_prepared"
"Senegal","SEN",37.9,"more_prepared"
"Nigeria","NGA",37.8,"more_prepared"
"Iran","IRN",37.7,"more_prepared"
"Malta","MLT",37.3,"more_prepared"
"Trinidad and Tobago","TTO",36.6,"more_prepared"
"Suriname","SUR",36.5,"more_prepared"
"Tanzania","TZA",36.4,"more_prepared"
"Bolivia","BOL",35.8,"more_prepared"
"Paraguay","PRY",35.7,"more_prepared"
"Namibia","NAM",35.6,"more_prepared"
"Côte d'Ivoire","CIV",35.5,"more_prepared"
"Ghana","GHA",35.5,"more_prepared"
"Pakistan","PAK",35.5,"more_prepared"
"Belarus","BLR",35.3,"more_prepared"
"St Lucia","LCA",35.3,"more_prepared"
"Cuba","CUB",35.2,"more_prepared"
"Liberia","LBR",35.1,"more_prepared"
"Nepal","NPL",35.1,"more_prepared"
"Bangladesh","BGD",35,"more_prepared"
"Mauritius","MUS",34.9,"more_prepared"
"Cameroon","CMR",34.4,"more_prepared"
"Uzbekistan","UZB",34.3,"more_prepared"
"Azerbaijan","AZE",34.2,"more_prepared"
"Gambia","GMB",34.2,"more_prepared"
"Rwanda","RWA",34.2,"more_prepared"
"Sri Lanka","LKA",33.9,"more_prepared"
"Maldives","MDV",33.8,"more_prepared"
"Tunisia","TUN",33.7,"more_prepared"
"St Vincent and The Grenadines","VCT",33,"least_prepared"
"Micronesia",NA,32.8,"least_prepared"
"Guatemala","GTM",32.7,"least_prepared"
"Guinea","GIN",32.7,"least_prepared"
"Monaco","MCO",32.7,"least_prepared"
"Brunei","BRN",32.6,"least_prepared"
"Togo","TGO",32.5,"least_prepared"
"Afghanistan","AFG",32.3,"least_prepared"
"Tajikistan","TJK",32.3,"least_prepared"
"Niger","NER",32.2,"least_prepared"
"Barbados","BRB",31.9,"least_prepared"
"Seychelles","SYC",31.9,"least_prepared"
"Belize","BLZ",31.8,"least_prepared"
"Turkmenistan","TKM",31.8,"least_prepared"
"Guyana","GUY",31.7,"least_prepared"
"Haiti","HTI",31.5,"least_prepared"
"Botswana","BWA",31.1,"least_prepared"
"eSwatini (Swaziland)","SWZ",31.1,"least_prepared"
"San Marino","SMR",31.1,"least_prepared"
"Bahamas","BHS",30.6,"least_prepared"
"Andorra","AND",30.5,"least_prepared"
"Lesotho","LSO",30.2,"least_prepared"
"Burkina Faso","BFA",30.1,"least_prepared"
"Cabo Verde","CPV",29.3,"least_prepared"
"Antigua and Barbuda","ATG",29,"least_prepared"
"Jamaica","JAM",29,"least_prepared"
"Mali","MLI",29,"least_prepared"
"Benin","BEN",28.8,"least_prepared"
