"country","countryiso3","latest.year_SP.ADO.TFRT","latest.value_SP.ADO.TFRT"
"Mozambique","MOZ",2018,146.2508
"Myanmar","MMR",2018,28.2066
"Namibia","NAM",2018,61.632
"Nepal","NPL",2018,64.399
"Netherlands","NLD",2018,3.7028
"New Caledonia","NCL",2018,14.4552
"New Zealand","NZL",2018,18.6046
"Nicaragua","NIC",2018,83.3048
"Niger","NER",2018,183.5134
"Nigeria","NGA",2018,105.447
"North America","NAC",2018,17.6419501986564
"North Macedonia","MKD",2018,15.162
"Norway","NOR",2018,5.1048
"OECD members","OED",2018,22.0990651220245
"Oman","OMN",2018,12.6964
"Other small states","OSS",2018,60.4489882118786
"Pacific island small states","PSS",2018,50.5431962001075
"Pakistan","PAK",2018,38.2106
"Panama","PAN",2018,81.0386
"Papua New Guinea","PNG",2018,51.982
"Paraguay","PRY",2018,70.1824
"Peru","PER",2018,55.9518
"Philippines","PHL",2018,54.7592
"Poland","POL",2018,10.1692
"Portugal","PRT",2018,8.0012
"Post-demographic dividend","PST",2018,12.0591187387328
"Pre-demographic dividend","PRE",2018,107.124923531955
"Puerto Rico","PRI",2018,28.3068
"Qatar","QAT",2018,9.5896
"Romania","ROU",2018,35.535
"Russian Federation","RUS",2018,19.6196
"Rwanda","RWA",2018,38.852
"Samoa","WSM",2018,23.2952
"Sao Tome and Principe","STP",2018,93.3376
"Saudi Arabia","SAU",2018,7.097
"Senegal","SEN",2018,70.716
"Serbia","SRB",2018,14.1444
"Seychelles","SYC",2018,61.2244
"Sierra Leone","SLE",2018,110.2282
"Singapore","SGP",2018,3.5134
"Slovak Republic","SVK",2018,25.9352
"Slovenia","SVN",2018,3.6524
"Small states","SST",2018,58.004025723721
"Solomon Islands","SLB",2018,78.4116
"Somalia","SOM",2018,97.6452
"South Africa","ZAF",2018,67.8488
"South Asia","SAS",2018,24.5230468897055
"South Asia (IDA & IBRD)","TSA",2018,24.5230468897055
"South Sudan","SSD",2018,59.4332
"Spain","ESP",2018,7.4904
"Sri Lanka","LKA",2018,20.6904
"St. Lucia","LCA",2018,39.8792
"St. Vincent and the Grenadines","VCT",2018,48.1898
"Sub-Saharan Africa","SSF",2018,101.220225106526
"Sub-Saharan Africa (excluding high income)","SSA",2018,101.284382425285
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",2018,101.220225106526
"Sudan","SDN",2018,60.796
"Suriname","SUR",2018,60.6396
"Sweden","SWE",2018,5.1226
"Switzerland","CHE",2018,2.6438
"Syrian Arab Republic","SYR",2018,37.9512
"Tajikistan","TJK",2018,57.4706
"Tanzania","TZA",2018,116.926
"Thailand","THA",2018,44.6888
"Timor-Leste","TLS",2018,32.364
"Togo","TGO",2018,88.6878
"Tonga","TON",2018,14.3302
"Trinidad and Tobago","TTO",2018,29.3338
"Tunisia","TUN",2018,7.85
"Turkey","TUR",2018,25.5558
"Turkmenistan","TKM",2018,24.2324
"Uganda","UGA",2018,116.0714
"Ukraine","UKR",2018,23.0026
"United Arab Emirates","ARE",2018,5.8868
"United Kingdom","GBR",2018,12.641
"United States","USA",2018,18.5562
"Upper middle income","UMC",2018,32.8222487965102
"Uruguay","URY",2018,58.2386
"Uzbekistan","UZB",2018,24.2094
"Vanuatu","VUT",2018,48.9082
"Venezuela, RB","VEN",2018,84.9792
"Vietnam","VNM",2018,29.1518
"Virgin Islands (U.S.)","VIR",2018,27.6482
"West Bank and Gaza","PSE",2018,51.8828
"World","WLD",2018,42.0356033271255
"Yemen, Rep.","YEM",2018,59.1624
"Zambia","ZMB",2018,118.3048
"Zimbabwe","ZWE",2018,83.2486
