"country","countryiso3","SP.ADO.TFRT_2013","SP.ADO.TFRT_2014","SP.ADO.TFRT_2015","SP.ADO.TFRT_2016","SP.ADO.TFRT_2017","SP.ADO.TFRT_2018"
"Fiji","FJI",46.593,47.283,47.973,48.663,49.353,49.1406
"Finland","FIN",7.101,6.779,6.457,6.135,5.813,5.6588
"Fragile and conflict affected situations","FCS",99.1429000545372,97.5509243241838,95.9626863643144,94.3841649270033,92.8097344189617,91.4756329325182
"France","FRA",6.2638,5.8796,5.4954,5.1112,4.727,4.7362
"French Polynesia","PYF",40.6648,40.1706,39.6764,39.1822,38.688,38.487
"Gabon","GAB",104.1782,102.1904,100.2026,98.2148,96.227,93.5644
"Gambia, The","GMB",88.3514,85.8098,83.2682,80.7266,78.185,75.7058
"Georgia","GEO",50.6,49.552,48.504,47.456,46.408,45.1848
"Germany","DEU",8.0694,8.0758,8.0822,8.0886,8.095,7.8568
"Ghana","GHA",70.743,69.71,68.677,67.644,66.611,65.7842
"Greece","GRC",8.2758,8.0126,7.7494,7.4862,7.223,6.9376
"Grenada","GRD",34.1218,32.8856,31.6494,30.4132,29.177,28.1938
"Guam","GUM",37.301,35.904,34.507,33.11,31.713,30.6066
"Guatemala","GTM",77.0428,75.5146,73.9864,72.4582,70.93,69.756
"Guinea","GIN",143.7572,141.6414,139.5256,137.4098,135.294,133.365
"Guinea-Bissau","GNB",107.2046,106.6092,106.0138,105.4184,104.823,103.2252
"Guyana","GUY",81.326,79.59,77.854,76.118,74.382,72.8682
"Haiti","HTI",56.388,55.21,54.032,52.854,51.676,50.9536
"Heavily indebted poor countries (HIPC)","HPC",109.614069072364,107.567551713092,105.551869767907,103.56265983767,101.610832387371,99.9112808155785
"High income","HIC",15.9009289497107,15.127991885013,14.3689077863741,13.6188566186563,12.8783665850579,12.3229638899511
"Honduras","HND",78.6576,77.2212,75.7848,74.3484,72.912,71.8464
"Hong Kong SAR, China","HKG",2.9578,2.8946,2.8314,2.7682,2.705,2.6462
"Hungary","HUN",21.0478,21.7806,22.5134,23.2462,23.979,24.2756
"IBRD only","IBD",33.031300392096,31.867864895419,30.6927352554749,29.4767964036294,28.2381267108873,27.6703026962103
"Iceland","ISL",8.7418,8.1236,7.5054,6.8872,6.269,5.9066
"IDA & IBRD total","IBT",50.0881045170745,49.190238396187,48.2887697566242,47.3342223460704,46.3608736048904,45.9150472169481
"IDA blend","IDB",75.893385483715,74.9241949219775,73.9693876126276,72.9890657086332,72.0280387271374,71.2762027892254
"IDA only","IDX",96.3827336839029,94.9487399876342,93.5189687189795,92.0977825050342,90.6900295571425,89.551325635571
"IDA total","IDA",89.6420853804252,88.378769462665,87.1192134534776,85.8548693608377,84.601253999873,83.5921301523853
"India","IND",25.077,22.102,19.127,16.152,13.177,12.0708
"Indonesia","IDN",49.8548,49.2346,48.6144,47.9942,47.374,46.9052
"Iran, Islamic Rep.","IRN",35.7838,36.9966,38.2094,39.4222,40.635,40.6932
"Iraq","IRQ",77.941,76.389,74.837,73.285,71.733,71.7416
"Ireland","IRL",10.1254,9.4728,8.8202,8.1676,7.515,7.0566
"Israel","ISR",11.1558,10.7686,10.3814,9.9942,9.607,9.192
"Italy","ITA",5.7632,5.6324,5.5016,5.3708,5.24,5.11
"Jamaica","JAM",59.1546,57.5552,55.9558,54.3564,52.757,51.3186
"Japan","JPN",4.3392,4.1994,4.0596,3.9198,3.78,3.6644
"Jordan","JOR",27.6426,27.2012,26.7598,26.3184,25.877,25.8414
"Kazakhstan","KAZ",30.998,30.686,30.374,30.062,29.75,29.364
"Kenya","KEN",83.938,81.723,79.508,77.293,75.078,74.044
"Kiribati","KIR",20.1426,19.1512,18.1598,17.1684,16.177,15.4046
"Korea, Dem. People’s Rep.","PRK",0.3038,0.2986,0.2934,0.2882,0.283,0.286
"Korea, Rep.","KOR",1.6886,1.6112,1.5338,1.4564,1.379,1.3204
"Kuwait","KWT",9.1956,8.9452,8.6948,8.4444,8.194,7.8858
"Kyrgyz Republic","KGZ",41.767,39.516,37.265,35.014,32.763,32.4414
"Lao PDR","LAO",67.2148,66.7636,66.3124,65.8612,65.41,64.939
"Late-demographic dividend","LTE",22.2190399685883,21.909157165774,21.6271344159261,21.3363345939123,21.0291672168762,20.6917530015648
"Latin America & Caribbean","LCN",67.1532084193415,66.1339192462503,65.1129054001644,64.0671620612829,63.0299505134263,62.0980750343964
"Latin America & Caribbean (excluding high income)","LAC",67.7180148862891,66.7279559006688,65.7378038188228,64.7198556428148,63.7117147698182,62.7627239057112
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",67.5003906508804,66.4794504878961,65.4563021005595,64.400893298902,63.3541728018602,62.4010589040744
"Latvia","LVA",15.4654,15.6418,15.8182,15.9946,16.171,15.8014
"Least developed countries: UN classification","LDC",100.381099500696,98.7583458043441,97.1463644513696,95.5620088032817,93.9990634068246,92.7499516985022
"Lebanon","LBN",16.0792,15.6844,15.2896,14.8948,14.5,14.2238
"Lesotho","LSO",89.7548,90.4976,91.2404,91.9832,92.726,92.578
"Liberia","LBR",138.426,137.81,137.194,136.578,135.962,135.5662
"Libya","LBY",6.0538,5.9826,5.9114,5.8402,5.769,5.7148
"Lithuania","LTU",12.9132,12.3984,11.8836,11.3688,10.854,10.2026
"Low & middle income","LMY",50.0863269666789,49.1880099153019,48.2856920475546,47.3302788920924,46.3556309429446,45.9082391272079
"Low income","LIC",102.263037475529,100.564876842435,98.8591418573802,97.1278041347068,95.4004308182923,93.9034222390913
"Lower middle income","LMC",49.7503213429296,48.0775710331928,46.4095100575938,44.71196903864,43.033744359601,42.3537235218603
"Luxembourg","LUX",6.0686,5.7332,5.3978,5.0624,4.727,4.6038
"Macao SAR, China","MAC",3.041,2.876,2.711,2.546,2.381,2.3036
"Madagascar","MDG",117.9436,115.8552,113.7668,111.6784,109.59,107.7374
"Malawi","MWI",141.9286,139.6142,137.2998,134.9854,132.671,132.0948
"Malaysia","MYS",13.202,13.255,13.308,13.361,13.414,13.4668
"Maldives","MDV",10.1988,9.6016,9.0044,8.4072,7.81,7.4138
"Mali","MLI",176.9494,174.9938,173.0382,171.0826,169.127,166.8668
"Malta","MLT",13.2054,13.1238,13.0422,12.9606,12.879,12.4966
"Mauritania","MRT",77.4234,75.8298,74.2362,72.6426,71.049,69.628
"Mauritius","MUS",27.8518,27.3226,26.7934,26.2642,25.735,25.2786
"Mexico","MEX",64.849,63.728,62.607,61.486,60.365,59.4542
