"country","countryiso3","region","time_since_first_case","time_since_first_death","time_since_first_recovered"
"US","USA","Plymouth County, MA",38,NA,NA
"US","USA","Santa Cruz County, CA",38,NA,NA
"US","USA","Tulsa County, OK",38,NA,NA
"US","USA","Montgomery County, TX",NA,NA,NA
"US","USA","Montgomery County, PA",37,NA,NA
"US","USA","Fairfax County, VA",37,NA,NA
"US","USA","Rockingham County, NH",37,NA,NA
"US","USA","Washington, D.C.",37,NA,NA
"US","USA","Berkshire County, MA",37,NA,NA
"US","USA","Davidson County, TN",37,NA,NA
"US","USA","Douglas County, OR",37,NA,NA
"US","USA","Fresno County, CA",37,NA,NA
"US","USA","Harford County, MD",37,NA,NA
"US","USA","Hendricks County, IN",37,NA,NA
"US","USA","Hudson County, NJ",37,NA,NA
"US","USA","Johnson County, KS",37,NA,NA
"US","USA","Kittitas County, WA",37,NA,NA
"US","USA","Manatee County, FL",37,NA,NA
"US","USA","Marion County, OR",37,NA,NA
"US","USA","Okaloosa County, FL",37,NA,NA
"US","USA","Polk County, GA",37,NA,NA
"US","USA","Riverside County, CA",37,NA,NA
"US","USA","Shelby County, TN",37,NA,NA
"US","USA","Spokane County, WA",37,NA,NA
"US","USA","St. Louis County, MO",37,NA,NA
"US","USA","Suffolk County, NY",37,NA,NA
"US","USA","Ulster County, NY",37,NA,NA
"US","USA","Unassigned Location, VT",37,NA,NA
"US","USA","Unknown Location, MA",37,NA,NA
"US","USA","Volusia County, FL",37,NA,NA
"US","USA","Johnson County, IA",36,NA,NA
"US","USA","Harrison County, KY",36,NA,NA
"US","USA","Bennington County, VT",36,NA,NA
"US","USA","Carver County, MN",36,NA,NA
"US","USA","Charlotte County, FL",36,NA,NA
"US","USA","Cherokee County, GA",36,NA,NA
"US","USA","Collin County, TX",36,NA,NA
"US","USA","Jefferson County, KY",36,NA,NA
"US","USA","Jefferson Parish, LA",36,NA,NA
"US","USA","Shasta County, CA",36,NA,NA
"US","USA","Spartanburg County, SC",36,NA,NA
"US","USA","New York",35,31,NA
"US","USA","Massachusetts",35,25,35
"US","USA","Diamond Princess",35,NA,NA
"US","USA","Grand Princess",35,23,NA
"US","USA","Georgia",35,33,NA
"US","USA","Colorado",35,31,NA
"US","USA","Florida",35,35,NA
"US","USA","New Jersey",35,35,29
"US","USA","Oregon",35,30,NA
"US","USA","Texas",35,28,NA
"US","USA","Pennsylvania",35,26,NA
"US","USA","Iowa",35,NA,NA
"US","USA","Maryland",35,26,29
"US","USA","North Carolina",35,NA,NA
"US","USA","South Carolina",35,29,NA
"US","USA","Tennessee",35,24,NA
"US","USA","Virginia",35,31,NA
"US","USA","Indiana",35,29,NA
"US","USA","Kentucky",35,29,29
"US","USA","District of Columbia",35,25,NA
"US","USA","Nevada",35,29,NA
"US","USA","New Hampshire",35,NA,NA
"US","USA","Minnesota",35,24,NA
"US","USA","Nebraska",35,NA,NA
"US","USA","Ohio",35,25,NA
"US","USA","Rhode Island",35,NA,NA
"US","USA","Wisconsin",35,25,35
"US","USA","Connecticut",35,26,NA
"US","USA","Hawaii",35,NA,NA
"US","USA","Oklahoma",35,26,NA
"US","USA","Utah",35,NA,NA
"US","USA","Kansas",35,32,NA
"US","USA","Louisiana",35,31,NA
"US","USA","Missouri",35,26,NA
"US","USA","Vermont",35,25,NA
"US","USA","Alaska",32,14,NA
"US","USA","Arkansas",34,NA,NA
"US","USA","Delaware",34,17,NA
"US","USA","Idaho",32,16,NA
"US","USA","Maine",32,NA,NA
"US","USA","Michigan",34,26,NA
"US","USA","Mississippi",33,26,NA
"US","USA","Montana",34,NA,NA
"US","USA","New Mexico",34,16,NA
"US","USA","North Dakota",33,NA,NA
"US","USA","South Dakota",34,34,NA
"US","USA","West Virginia",28,NA,NA
"US","USA","Wyoming",33,NA,NA
"US","USA","Alabama",32,7,NA
"US","USA","Puerto Rico",31,24,NA
"US","USA","Virgin Islands, U.S.",31,NA,NA
"US","USA","Guam",30,23,NA
"US","USA","Virgin Islands",29,9,NA
"US","USA","United States Virgin Islands",27,NA,NA
"US","USA","US",27,NA,27
"US","USA","Wuhan Evacuee",23,NA,NA
"US","USA","American Samoa",NA,NA,NA
"US","USA","Northern Mariana Islands",14,13,NA
"US","USA","Recovered",NA,NA,21
"US","USA",NA,83,45,65
"Australia","AUS","New South Wales",78,41,73
"Australia","AUS","Victoria",78,19,61
"Australia","AUS","Queensland",75,19,53
"Australia","AUS","South Australia",73,7,57
