"country","countryiso3","region","confirmed.01_22_2020","deaths.01_22_2020","recovered.01_22_2020","confirmed.01_23_2020","deaths.01_23_2020","recovered.01_23_2020","confirmed.01_24_2020","deaths.01_24_2020","recovered.01_24_2020","confirmed.01_25_2020","deaths.01_25_2020","recovered.01_25_2020","confirmed.01_26_2020","deaths.01_26_2020","recovered.01_26_2020","confirmed.01_27_2020","deaths.01_27_2020","recovered.01_27_2020","confirmed.01_28_2020","deaths.01_28_2020","recovered.01_28_2020","confirmed.01_29_2020","deaths.01_29_2020","recovered.01_29_2020","confirmed.01_30_2020","deaths.01_30_2020","recovered.01_30_2020","confirmed.01_31_2020","deaths.01_31_2020","recovered.01_31_2020","confirmed.02_01_2020","deaths.02_01_2020","recovered.02_01_2020","confirmed.02_02_2020","deaths.02_02_2020","recovered.02_02_2020","confirmed.02_03_2020","deaths.02_03_2020","recovered.02_03_2020","confirmed.02_04_2020","deaths.02_04_2020","recovered.02_04_2020","confirmed.02_05_2020","deaths.02_05_2020","recovered.02_05_2020","confirmed.02_06_2020","deaths.02_06_2020","recovered.02_06_2020","confirmed.02_07_2020","deaths.02_07_2020","recovered.02_07_2020","confirmed.02_08_2020","deaths.02_08_2020","recovered.02_08_2020","confirmed.02_09_2020","deaths.02_09_2020","recovered.02_09_2020","confirmed.02_10_2020","deaths.02_10_2020","recovered.02_10_2020","confirmed.02_11_2020","deaths.02_11_2020","recovered.02_11_2020","confirmed.02_12_2020","deaths.02_12_2020","recovered.02_12_2020","confirmed.02_13_2020","deaths.02_13_2020","recovered.02_13_2020","confirmed.02_14_2020","deaths.02_14_2020","recovered.02_14_2020","confirmed.02_15_2020","deaths.02_15_2020","recovered.02_15_2020","confirmed.02_16_2020","deaths.02_16_2020","recovered.02_16_2020","confirmed.02_17_2020","deaths.02_17_2020","recovered.02_17_2020","confirmed.02_18_2020","deaths.02_18_2020","recovered.02_18_2020","confirmed.02_19_2020","deaths.02_19_2020","recovered.02_19_2020","confirmed.02_20_2020","deaths.02_20_2020","recovered.02_20_2020","confirmed.02_21_2020","deaths.02_21_2020","recovered.02_21_2020","confirmed.02_22_2020","deaths.02_22_2020","recovered.02_22_2020","confirmed.02_23_2020","deaths.02_23_2020","recovered.02_23_2020","confirmed.02_24_2020","deaths.02_24_2020","recovered.02_24_2020","confirmed.02_25_2020","deaths.02_25_2020","recovered.02_25_2020","confirmed.02_26_2020","deaths.02_26_2020","recovered.02_26_2020","confirmed.02_27_2020","deaths.02_27_2020","recovered.02_27_2020","confirmed.02_28_2020","deaths.02_28_2020","recovered.02_28_2020","confirmed.02_29_2020","deaths.02_29_2020","recovered.02_29_2020","confirmed.03_01_2020","deaths.03_01_2020","recovered.03_01_2020","confirmed.03_02_2020","deaths.03_02_2020","recovered.03_02_2020","confirmed.03_03_2020","deaths.03_03_2020","recovered.03_03_2020","confirmed.03_04_2020","deaths.03_04_2020","recovered.03_04_2020","confirmed.03_05_2020","deaths.03_05_2020","recovered.03_05_2020","confirmed.03_06_2020","deaths.03_06_2020","recovered.03_06_2020","confirmed.03_07_2020","deaths.03_07_2020","recovered.03_07_2020","confirmed.03_08_2020","deaths.03_08_2020","recovered.03_08_2020","confirmed.03_09_2020","deaths.03_09_2020","recovered.03_09_2020","confirmed.03_10_2020","deaths.03_10_2020","recovered.03_10_2020","confirmed.03_11_2020","deaths.03_11_2020","recovered.03_11_2020","confirmed.03_12_2020","deaths.03_12_2020","recovered.03_12_2020","confirmed.03_13_2020","deaths.03_13_2020","recovered.03_13_2020","confirmed.03_14_2020","deaths.03_14_2020","recovered.03_14_2020","confirmed.03_15_2020","deaths.03_15_2020","recovered.03_15_2020","confirmed.03_16_2020","deaths.03_16_2020","recovered.03_16_2020","confirmed.03_17_2020","deaths.03_17_2020","recovered.03_17_2020","confirmed.03_18_2020","deaths.03_18_2020","recovered.03_18_2020","confirmed.03_19_2020","deaths.03_19_2020","recovered.03_19_2020","confirmed.03_20_2020","deaths.03_20_2020","recovered.03_20_2020","confirmed.03_21_2020","deaths.03_21_2020","recovered.03_21_2020","confirmed.03_22_2020","deaths.03_22_2020","recovered.03_22_2020","confirmed.03_23_2020","deaths.03_23_2020","recovered.03_23_2020","confirmed.03_24_2020","deaths.03_24_2020","recovered.03_24_2020","confirmed.03_25_2020","deaths.03_25_2020","recovered.03_25_2020","confirmed.03_26_2020","deaths.03_26_2020","recovered.03_26_2020","confirmed.03_27_2020","deaths.03_27_2020","recovered.03_27_2020","confirmed.03_28_2020","deaths.03_28_2020","recovered.03_28_2020","confirmed.03_29_2020","deaths.03_29_2020","recovered.03_29_2020","confirmed.03_30_2020","deaths.03_30_2020","recovered.03_30_2020","confirmed.03_31_2020","deaths.03_31_2020","recovered.03_31_2020","confirmed.04_01_2020","deaths.04_01_2020","recovered.04_01_2020","confirmed.04_02_2020","deaths.04_02_2020","recovered.04_02_2020","confirmed.04_03_2020","deaths.04_03_2020","recovered.04_03_2020","confirmed.04_04_2020","deaths.04_04_2020","recovered.04_04_2020","confirmed.04_05_2020","deaths.04_05_2020","recovered.04_05_2020","confirmed.04_06_2020","deaths.04_06_2020","recovered.04_06_2020","confirmed.04_07_2020","deaths.04_07_2020","recovered.04_07_2020","confirmed.04_08_2020","deaths.04_08_2020","recovered.04_08_2020","confirmed.04_09_2020","deaths.04_09_2020","recovered.04_09_2020","confirmed.04_10_2020","deaths.04_10_2020","recovered.04_10_2020","confirmed.04_11_2020","deaths.04_11_2020","recovered.04_11_2020","confirmed.04_12_2020","deaths.04_12_2020","recovered.04_12_2020","confirmed.04_13_2020","deaths.04_13_2020","recovered.04_13_2020","confirmed.04_14_2020","deaths.04_14_2020","recovered.04_14_2020","confirmed.04_15_2020","deaths.04_15_2020","recovered.04_15_2020","confirmed.04_16_2020","deaths.04_16_2020","recovered.04_16_2020","confirmed.04_17_2020","deaths.04_17_2020","recovered.04_17_2020","confirmed.04_18_2020","deaths.04_18_2020","recovered.04_18_2020","confirmed.04_19_2020","deaths.04_19_2020","recovered.04_19_2020"
"Colombia","COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,1,0,0,1,0,0,3,0,0,9,0,0,9,0,0,13,0,0,22,0,0,34,0,0,54,0,0,65,0,1,93,0,1,102,0,1,128,0,1,196,0,1,231,2,3,277,3,3,378,3,6,470,4,8,491,6,8,539,6,10,608,6,10,702,10,10,798,12,15,906,16,31,1065,17,39,1161,19,55,1267,25,55,1406,32,85,1485,35,88,1579,46,88,1780,50,100,2054,54,123,2223,69,174,2473,80,197,2709,100,214,2776,109,270,2852,112,319,2979,127,354,3105,131,452,3233,144,550,3439,153,634,3439,153,634,3792,179,711
"Malaysia","MYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,4,NA,NA,4,NA,NA,7,NA,NA,8,NA,NA,8,NA,NA,8,0,0,8,0,0,8,0,0,10,0,0,12,0,0,12,0,0,12,0,1,16,0,1,16,0,1,18,0,1,18,0,3,18,0,3,19,0,3,19,0,3,22,0,7,22,0,7,22,0,7,22,0,13,22,0,15,22,0,15,22,0,15,22,0,15,22,0,15,22,0,18,22,0,18,22,0,18,23,0,18,23,0,18,25,0,18,29,0,18,29,0,18,36,0,22,50,0,22,50,0,22,83,0,22,93,0,23,99,0,24,117,0,24,129,0,24,149,0,26,149,0,26,197,0,26,238,0,35,428,0,42,566,0,42,673,2,49,790,2,60,900,2,75,1030,3,87,1183,4,114,1306,10,139,1518,14,159,1624,16,183,1796,20,199,2031,23,215,2161,26,259,2320,27,320,2470,35,388,2626,37,479,2766,43,537,2908,45,645,3116,50,767,3333,53,827,3483,57,915,3662,61,1005,3793,62,1241,3963,63,1321,4119,65,1487,4228,67,1608,4346,70,1830,4530,73,1995,4683,76,2108,4817,77,2276,4987,82,2478,5072,83,2647,5182,84,2766,5251,86,2967,5305,88,3102,5389,89,3197
"Mexico","MEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4,0,0,5,0,0,5,0,0,5,0,1,5,0,1,5,0,1,6,0,1,6,0,1,7,0,1,7,0,1,7,0,4,8,0,4,12,0,4,12,0,4,26,0,4,41,0,4,53,0,4,82,0,4,93,0,4,118,1,4,164,1,4,203,2,4,251,2,4,316,3,4,367,4,4,405,5,4,475,6,4,585,8,4,717,12,4,848,16,4,993,20,35,1094,28,35,1215,29,35,1378,37,35,1510,50,633,1688,60,633,1890,79,633,2143,94,633,2439,125,633,2785,141,633,3181,174,633,3441,194,633,3844,233,633,4219,273,1772,4661,296,1843,5014,332,1964,5399,406,2125,5847,449,2125,6297,486,2125,6875,546,2125,7497,650,2627
"Philippines","PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,0,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,5,1,1,6,1,1,10,1,1,20,1,1,33,1,2,49,1,2,52,2,2,64,5,2,111,8,2,140,11,2,142,12,2,187,12,5,202,19,5,217,17,8,230,18,8,307,19,13,380,25,15,462,33,18,552,35,20,636,38,26,707,45,28,803,54,31,1075,68,35,1418,71,42,1546,78,42,2084,88,49,2311,96,50,2633,107,51,3018,136,52,3094,144,57,3246,152,64,3660,163,73,3764,177,84,3870,182,96,4076,203,124,4195,221,140,4428,247,157,4648,297,197,4932,315,242,5223,335,295,5453,349,353,5660,362,435,5878,387,487,6087,397,516,6259,409,572
"Singapore","SGP",NA,NA,NA,NA,1,NA,NA,3,NA,NA,3,NA,NA,4,NA,NA,5,NA,NA,7,NA,NA,7,NA,NA,10,NA,NA,13,NA,NA,16,0,0,18,0,0,18,0,0,24,0,0,28,0,0,28,0,0,30,0,0,33,0,2,40,0,2,45,0,2,47,0,9,50,0,15,58,0,15,67,0,17,72,0,18,75,0,18,77,0,24,81,0,29,84,0,34,84,0,34,85,0,37,85,0,37,89,0,51,89,0,51,91,0,53,93,0,62,93,0,62,93,0,62,102,0,72,106,0,72,108,0,78,110,0,78,110,0,78,117,0,78,130,0,78,138,0,78,150,0,78,150,0,78,160,0,78,178,0,96,178,0,96,200,0,97,212,0,105,226,0,105,243,0,109,266,0,114,313,0,114,345,0,114,385,0,124,432,2,140,455,2,144,509,2,152,558,2,156,631,2,160,683,2,172,732,2,183,802,2,198,844,3,212,879,3,228,926,3,240,1000,3,245,1049,4,266,1114,5,282,1189,6,297,1309,6,320,1375,6,344,1481,6,377,1623,6,406,1910,6,460,2108,7,492,2299,8,528,2532,8,560,2918,9,586,3252,10,611,3699,10,652,4427,10,683,5050,11,708,5992,11,740,6588,11,768
"Vietnam","VNM",NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,6,0,1,6,0,1,8,0,1,8,0,1,8,0,1,10,0,1,10,0,1,13,0,1,13,0,1,14,0,1,15,0,6,15,0,6,16,0,7,16,0,7,16,0,7,16,0,7,16,0,7,16,0,7,16,0,7,16,0,7,16,0,14,16,0,14,16,0,14,16,0,14,16,0,16,16,0,16,16,0,16,16,0,16,16,0,16,16,0,16,16,0,16,16,0,16,16,0,16,16,0,16,16,0,16,18,0,16,30,0,16,30,0,16,NA,NA,NA,38,0,16,39,0,16,47,0,16,53,0,16,56,0,16,61,0,16,66,0,16,75,0,16,85,0,16,91,0,16,94,0,17,113,0,17,123,0,17,134,0,17,141,0,17,153,0,20,163,0,20,174,0,21,188,0,25,203,0,55,212,0,58,218,0,63,233,0,75,237,0,85,240,0,90,241,0,90,245,0,95,249,0,123,251,0,126,255,0,128,257,0,144,258,0,144,262,0,144,265,0,146,266,0,169,267,0,171,268,0,177,268,0,198,268,0,201,268,0,202
"France","FRA",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,3,NA,NA,3,NA,NA,4,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,2,11,0,2,11,0,2,12,1,4,12,1,4,12,1,4,12,1,4,12,1,4,12,1,4,12,1,4,12,1,4,12,1,4,12,1,4,14,1,11,18,2,11,38,2,11,57,2,11,100,2,12,130,2,12,191,3,12,204,4,12,285,4,12,377,6,12,653,9,12,949,11,12,1126,19,12,1209,19,12,1784,33,12,761.333333333333,16,4,761.333333333333,16,4,916.75,19.75,3,896,18.2,2.4,752.166666666667,15.1666666666667,2,950,21.1428571428571,1.71428571428571,960.375,18.5,1.5,1131.5,18.5,1.5,1209.55555555556,27,1.33333333333333,1403.55555555556,50,1.33333333333333,1589.77777777778,62.4444444444444,1.33333333333333,1621.4,67.6,220.1,2235.88888888889,95.7777777777778,245.222222222222,2262.2,110.2,328.8,2560,133.3,390.7,2955.1,169.8,495.5,3340.2,199.7,570.7,3810.5,231.7,572.4,4070.8,261.1,722.6,4517,303,796.4,5282.7,353.2,951.3,5774.9,404.3,1105.3,5992.9,539.8,1254.8,6520.2,652,1413.5,9084.8,757.4,1557.2,8524.81818181818,735.727272727273,1486.27272727273,8996.63636363636,811.454545454545,1584.36363636364,10005.9090909091,940.272727272727,1774.81818181818,10359.9090909091,989.727272727273,1950.18181818182,10798.2727272727,1111.63636363636,2128.45454545455,11448.2727272727,1201.36363636364,2290.45454545455,11884.2727272727,1259.18181818182,2423.90909090909,12151.8181818182,1310.18181818182,2497.18181818182,12534.0909090909,1362.36363636364,2545.54545454545,11941.9090909091,1431.63636363636,2645.27272727273,12234.7272727273,1562.54545454545,2860.90909090909,13371.9090909091,1631,3029.72727272727,13557.2727272727,1700.27272727273,3182.36363636364,13559,1758.63636363636,3326.09090909091,14008.8181818182,1794.90909090909,3380.27272727273
"US","USA","Chicago",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nepal","NPL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,2,0,1,2,0,1,3,0,1,3,0,1,4,0,1,5,0,1,5,0,1,5,0,1,5,0,1,5,0,1,6,0,1,6,0,1,9,0,1,9,0,1,9,0,1,9,0,1,9,0,1,9,0,1,9,0,1,9,0,1,12,0,1,14,0,1,16,0,1,16,0,1,16,0,2,30,0,2,31,0,2,31,0,4
"US","USA","Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,2,25,0,2,32,0,2,46,0,2,64,0,2,93,0,2,105,0,2,161,1,2,162,1,0,422,4,0,585,5,0,753,6,0,805,4,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,8,0,0,8,0,0,1,0,0,1,0,0,24,0,0,25,0,0,25,0,0,26,0,0,27,0,0,27,0,0,29,0,0,30,0,0,31,0,0,34,0,0
"Canada","CAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1.5,NA,NA,1.5,NA,NA,2,0,0,2,0,0,2,0,0,1.33333333333333,0,0,1.66666666666667,0,0,1.66666666666667,0,0,2.33333333333333,0,0,2.33333333333333,0,0,2.33333333333333,0,0,2.33333333333333,0,0,2.33333333333333,0,0,2.33333333333333,0,0.333333333333333,2.33333333333333,0,0.333333333333333,2.33333333333333,0,0.333333333333333,2.33333333333333,0,0.333333333333333,2.33333333333333,0,0.333333333333333,2.66666666666667,0,0.333333333333333,2.66666666666667,0,0.333333333333333,2.66666666666667,0,0.333333333333333,2.66666666666667,0,0.333333333333333,3,0,1,3,0,1,3,0,1,3.33333333333333,0,1,3.66666666666667,0,1,3.66666666666667,0,1,4.33333333333333,0,2,3.5,0,1.5,5,0,1.5,6,0,1.5,6.75,0,1.5,7.5,0,1.5,8.25,0,1.5,9.25,0,1.5,9.8,0,1.2,9,0,1.33333333333333,10.6666666666667,0,1.33333333333333,19,0.25,2,19.75,0.25,2,21.6,0.2,1.6,23.4,0.2,1.6,24.125,0.125,1,28,0.142857142857143,1.14285714285714,27.7777777777778,0.111111111111111,0.888888888888889,37.7272727272727,0.363636363636364,0.818181818181818,43.4545454545455,0.454545454545455,0.818181818181818,59.7272727272727,0.727272727272727,0.818181818181818,72.7272727272727,0.818181818181818,0.818181818181818,85.7272727272727,1.09090909090909,0.818181818181818,106.5,1.58333333333333,0.833333333333333,113.076923076923,1.61538461538462,0,174,2.08333333333333,0,214.615384615385,2,8.46153846153846,250.076923076923,2.30769230769231,14.0769230769231,269.466666666667,2.53333333333333,12.2666666666667,312.133333333333,3.6,17.0666666666667,371.733333333333,4.06666666666667,31.0666666666667,418.666666666667,4.26666666666667,31.0666666666667,493.2,5.33333333333333,31.0666666666667,568.466666666667,6.73333333333333,106.133333333333,637.333333333333,7.26666666666667,88.2666666666667,752.266666666667,9.26666666666667,115.666666666667,829.133333333333,11.9333333333333,145,865.2,14.5333333333333,171.8,1050.4,17.2666666666667,200.8,1104.2,22.6,217.066666666667,1191.46666666667,25,252.733333333333,1276.06666666667,27.1333333333333,276.933333333333,1376.93333333333,33.5333333333333,344.133333333333,1470.6,37.1333333333333,390.333333333333,1554.4,43.6,439.266666666667,1735.64285714286,50.9285714285714,508.785714285714,1834.28571428571,55.7142857142857,554.142857142857,1931.07142857143,64.2857142857143,586.428571428571,2014.92857142857,71.9285714285714,640.428571428571,2200.64285714286,89.8571428571429,692.714285714286,2343.85714285714,96.7857142857143,753.214285714286,2454,100,783.142857142857,2545.21428571429,111.714285714286,846.214285714286
"US","USA","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,2,2,177,3,2,221,4,6,282,4,6,340,5,6,426,6,6,557,7,6,698,12,6,751,13,0,952,18,0,1177,23,0,1364,24,0,407,5,0,118,1,0,135,2,0,135,2,0,178,4,0,220,4,0,220,4,0,270,6,0,283,7,0,313,7,0,313,7,0,359,8,0,443,12,0,443,12,0,566,12,0,588,13,0,634,15,0,674,16,0,674,16,0,766,20,0,806,21,0,845,23,0,888,23,0,888,23,0,964,36,0,1007,39,0,1063,40,0,1114,41,0,1164,42,0
"US","USA","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,1,9,0,1,9,0,1,9,0,1,12,0,1,13,0,1,18,0,1,20,0,1,27,0,0,45,0,0,78,0,0,118,1,0,81,2,0,4,0,0,4,0,0,7,0,0,9,0,0,11,0,0,13,0,0,13,0,0,17,0,0,16,0,0,33,0,0,35,0,0,39,0,0,42,0,0,45,0,0,58,0,0,65,0,0,78,0,0,52,0,0,55,0,0,66,0,0,72,0,0,89,0,0,97,0,0,110,0,0,118,0,0,141,0,0,169,4,0,178,4,0
"Canada","CAN","Ontario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,3,0,0,3,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,0,4,36,0,4,41,0,4,42,0,4,74,0,4,79,0,4,104,0,4,177,0,5,185,1,5,221,1,5,257,1,5,308,2,5,377,3,6,425,5,0,503,6,0,588,7,0,688,8,0,858,13,0,994,18,0,1144,18,0,1355,21,0,1706,31,0,1966,33,0,2392,37,0,2793,53,0,3255,67,0,3630,94,0,4354,119,0,4347,150,0,4726,153,0,5276,153,0,5759,200,0,6237,222,0,6648,253,0,7049,274,0,7470,291,0,7953,334,0,8447,385,0,9840,490,0,10456,524,0,11013,564,0,11561,591,0
"Cambodia","KHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,2,0,1,2,0,1,2,0,1,3,0,1,3,0,1,5,0,1,7,0,1,7,0,1,7,0,1,33,0,1,35,0,1,37,0,1,51,0,1,53,0,1,84,0,2,87,0,2,91,0,4,96,0,10,96,0,10,99,0,11,99,0,13,103,0,21,107,0,21,109,0,23,109,0,25,110,0,34,114,0,35,114,0,50,114,0,50,114,0,53,115,0,58,117,0,63,119,0,62,119,0,72,120,0,75,122,0,77,122,0,77,122,0,91,122,0,96,122,0,98,122,0,98,122,0,103,122,0,105
